"symbol","report_date","speaker","title","msg","source_url"
"ABNB","2026-05-07",NA,NA,"Good afternoon, and thank you for joining Airbnb's earnings conference call for the first quarter of 2026. As a reminder, this Conference Call is being recorded and will be available for replay from the investor relations section of Airbnb's website following this call. I will now hand the call over to Andrew Slabin, Vice President of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Andrew Slabin","VP of Investor Relations at Airbnb","Good afternoon, welcome to Airbnb's first quarter of 2026 conference call. Thank you for joining us today. On the call, we have Airbnb's Co-founder and CEO, Brian Chesky, and our Chief Financial Officer, Ellie Mertz. Earlier today, we issued a shareholder letter with our financial results and commentary for our first quarter of 2026. These items were also posted on the investor relations section of Airbnb's website. During the call, we'll make brief opening remarks and then spend the remainder of the time on Q&A. Before I turn it over to Brian, I would like to remind everyone that we'll be making forward-looking statements on this call that involve a number of risks and uncertainties. Actual results may differ materially from those expressed or implied in the forward-looking statements due to a variety of factors.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Andrew Slabin","VP of Investor Relations at Airbnb","These factors are described under forward-looking statements in our shareholder letter and in our most recent filings with the Securities and Exchange Commission. We urge you to consider these factors and remind you that we undertake no obligation to update the information contained on the call to reflect subsequent events or circumstances. You should be aware that these statements should be considered estimates only and are not a guarantee of future performance. During this call, we will discuss some non-GAAP financial measures. We provided reconciliations to the most directly comparable GAAP financial measures in the shareholder letter posted to our investor relations website. These non-GAAP measures are not intended to be a substitute for our GAAP results. With that, I will pass the call over to Brian.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","All right. Thank you. Good afternoon, everyone. Thanks for joining. Airbnb had a strong start to 2026. Last quarter, we talked about the path we've been on to rebuild our foundation, innovate faster, and accelerate growth. In Q1, that work continued to pay off. Revenue grew 18% year-over-year to $2.7 billion, which exceeded the high end of our guidance. Gross Booking Value grew 19% year-over-year, driven by strong demand and continued pricing strength. Nights and seats booked grew 9% after accounting for an approximate 100 basis point headwind from the conflict in the Middle East. We're seeing this momentum show up across the business. Nights booked on our app grew 22% year-over-year, and they now account for 63% of total nights booked, which is up from 58% a year ago.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","Growth in first-time bookers also accelerated to 10%. This is the highest growth rate since 2022, with these strong acceleration in Brazil, Japan, and India. Net nights for expansion markets grew at roughly twice the rate of our core markets. This is Project Hawaii at work, the blueprint that I talked about last quarter, where we create small elite teams and give them a clear mandate. We start with simple improvements, ship, learn quickly, and double down on what works. Eventually, we tackle bigger, more ambitious bets. Last year, it drew up  $100 million  in revenue. This quarter, you can see it really showing up more broadly across our business. I want to give you a few examples. First, new features for guests and hosts. We shipped a ton of improvements for guests in Q1.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","Reserve Now, Pay Later is obviously one of them. We introduced it last year to give guests a more flexible way to pay, and the response has been incredible. In Q1, we expanded to more markets around the world. As a result, roughly 20% of global GBV came from Reserve Now, Pay Later bookings. This increased flexibility is changing how guests book. We're seeing longer lead times, as well as a mix shift towards larger, higher-priced homes. In addition to Reserve Now, Pay Later, we're also improving search. Guests now see more relevant listings, and it's having a positive impact on bookings. On the host side, we're building more of what hosts have been asking for. We redesigned the host sign-up flow to make it easier to start hosting. We're testing host insights, which are personalized recommendations to help hosts improve their listing and stay competitive.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","Finally, we're upgrading our pricing tools to make it easier for hosts to set prices based on demand and seasonality. Second, we're expanding what Airbnb offers. In Q1, we continued piloting new Airbnb Services to make every part of the trip better. Now, you'll hear more about what's new at our May 20th launch in two weeks. We also continued scaling experiences, early results show that it's becoming a demand flywheel. Almost a quarter of new guests who book an experience go to book a stay or a service. About one in three people who book an experience book a stay within 90 days. Service experiences are about more than just standalone products. They're a great way to introduce new guests to everything Airbnb has to offer.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","We're also expanding our partnership with Delta Air Lines so that travelers can earn Delta miles on qualifying Airbnb Experiences services in addition to homes. To capture even more trips, we're scaling our boutique and independent hotel pilot to more mature markets around the world. Early results are strong, especially in cities where supply of homes isn't meeting demand or where supply is constrained because of regulation. Now, bringing more hotels onto the platform helps us serve guests when a hotel might be the right choice. It also introduces more new guests to Airbnb. Roughly 55% of guests who book a hotel on Airbnb come back, and they book a home. Third, we're using big events to drive a business. Now, big events is how Airbnb got its start, and we've spent years refining our strategy around them.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","They do a few big things for the business. First, they help us bring on thousands of new hosts at scale. Many hosts who join for a big event are renting out their home for the first time, and they may continue hosting long after the crowd sleeps. Events also strengthen our relationship with cities and governments that need new ways to host millions of visitors. Of course, they give Airbnb a global stage to do what we do best, which is bring people together from all over the world. We saw this playbook in action this February during the Winter Olympics in Italy. As an official Olympics partner, almost 200,000 guests stayed on Airbnb, with supply and host markets growing about 30% and GBV more than tripling.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","Our marketing campaigns generated around 1 billion impressions. We met with dozens of government officials and community leaders during the game, strengthening our relationships across Italy. The World Cup is the next chapter in our event strategy. We expect to host more guests than any event in Airbnb's history. Since we started outreach in October, over 100,000 homes have listed on Airbnb for the first time. Now, it's also worth noting that this isn't just a strategy for big global events. We have a playbook that works at every scale. We can be targeted about where and when we grow supply. Finally, AI. It's changing how we build and innovate. Nearly 60% of the code our engineers produce is now written by AI, which we estimate is about twice the industry average.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
"ABNB","2026-05-07","Brian Chesky","CEO at Airbnb","That means our teams are shipping more features and iterating more quickly. It's not just about speed, it's about delivering a better experience for our guests and hosts. Customer support is a really great example of this. You see, when guests contact us through our AI assistant, over 40% of issues are now resolved without a human agent. This is up from about a third in Q4, with significantly faster resolution time. We've seen the cost per booking decrease about 10% year-over-year in Q1, and we expect to see more of this as we improve AI customer support this year. You can see why we're really excited about the year ahead, and our guidance reflects that.","https://www.marketbeat.com/earnings/reports/2026-5-7-airbnb-inc-stock/"
