"symbol","report_date","speaker","title","msg","source_url"
"ADM","2025-11-04",NA,NA,"Good morning and welcome to the ADM third quarter 2025 earnings conference call. All lines have been placed on a listen-only mode to prevent background noise. As a reminder, this conference call is being recorded. I'd now like to introduce your host for today's call, Kate Walsh, Director of Investor Relations for ADM. Ms. Walsh, you may begin.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Kate Walsh","Director of Investor Relations at ADM","Welcome to the third quarter earnings conference call for ADM. Our prepared remarks today will be led by Juan Luciano, Chair of the Board and Chief Executive Officer, and Monish Patolawala, our EVP and Chief Financial Officer. We have prepared presentation slides to supplement our remarks on the call today, which are posted on the Investor Relations section of the ADM website and through the link to our webcast. Some of our comments and materials may constitute forward-looking statements that reflect management's current views and estimates of future economic circumstances, industry conditions, company performance, and financial results. These statements and materials are based on many assumptions and factors that are subject to numerous risks and uncertainties. ADM has provided additional information in its reports on file with the SEC concerning assumptions and factors that could cause actual results to differ materially from those in this presentation and the materials.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Kate Walsh","Director of Investor Relations at ADM","Unless otherwise required by law, ADM assumes no obligation to update any forward-looking statements due to new information or future events. In addition, during today's call, we will refer to certain non-GAAP or adjusted financial measures. Reconciliations of these non-GAAP financial measures to the most directly comparable GAAP financial measures are available in our earnings press release and presentation slides, which can be found in the Investor Relations section of the ADM website. I will now turn the call over to Juan.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Juan Luciano","Chairman and CEO at ADM","Thank you, Kate. Hello and welcome to all who have joined the call. Please turn to slide four. Today, ADM reported adjusted earnings per share of $0.92 and total segment operating profit of $845 million for the third quarter. Our trailing four-quarter adjusted ROIC was 6.7%. And cash flow from operations before working capital changes was $2.1 billion year to date. With a challenging industry-wide operating environment, we remain flexible, adapting plans where needed, taking action on what it is in our control, and investing for long-term growth. A key part of this dynamic environment relates to the status of highly anticipated U.S. biofuel policy. We believe progress on this front will drive significant biofuel and renewable diesel demand and lead to elevated pricing, volumes, and margins across several of our key operating areas, which we expect will set up a constructive environment over the long run.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Juan Luciano","Chairman and CEO at ADM","But based on the current short-term environment, our AS&O business is significantly impacted. Against this backdrop, we have made good progress with our self-help agenda. We made strides in improving our plant efficiency. We've entered into numerous strategic transactions which advance our portfolio optimization objectives, and we are accomplishing cost savings through several targeted streamlining initiatives. These actions have generated robust cash flow this quarter and strengthened our business going forward. Our strong balance sheet, driven by a disciplined capital allocation process, gives us flexibility to invest for growth and continue to return value to shareholders. Following our second quarter earnings call, we announced our 375th consecutive quarterly dividend. Please turn to slide five. Let me share some specific examples of how our team continues to drive simplification, optimization, and execution excellence across our segments through our self-help agenda.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Juan Luciano","Chairman and CEO at ADM","For our Services & Oilseeds, results for third quarter were sequentially in line and aligned to the expectations we set out in our second quarter earnings call. The team continued to focus on operational excellence, which was reflected in cash volumes increasing 2.6% sequentially and 2.2% compared to the third quarter of last year, elevating a lower-than-expected margin environment. Ag Services subsegment executed a robust export program during the quarter, supported by strong corn and meal programs. We achieved the best total export volume for the month of September since 2016, which helped offset some of the weakness we experienced in our cash business. For Carbohydrate Solutions, the business delivered sequentially steady results overall, with lower global demand for sweeteners and starches offset by strength in ethanol pricing and exports.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Juan Luciano","Chairman and CEO at ADM","We achieved a key milestone in our decarbonization strategy, connecting our Columbus, Nebraska dry corn mill plant into toll gas dry blazer CO2 pipeline and our commencing CO2 injections. This marks the second ADM facility that is reducing its carbon footprint by CO2 sequestration. And for Nutrition, the team drove another quarter of sequential improvement, led by our flavors and Animal Nutrition portfolios. Flavors North America achieved record quarterly revenue in the third quarter, and Flavors Internationally recently won a notable contract that is connected to a deep AS&O customer relationship. We're engaging directly with major customers of AS&O and Carbohydrate Solutions on our Nutrition portfolio, highlighting the power of our interconnected value chain. Our specialty ingredients subsegment is expected to benefit from the Decatur East Plant being back online and consistently producing white flake.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Juan Luciano","Chairman and CEO at ADM","During the quarter, we announced network amplification in specialty ingredients to streamline our production footprint, and we expect results to improve as this takes hold and we build back our third-party sales business. Within our Animal Nutrition portfolio, our turnaround continues to deliver better results, with more progress to come. In Q3, we announced plans for a North American animal feed joint venture with Alltech to further transition our Animal Nutrition business into higher margin specialty ingredients, and we expect this JV to commence operations in 2026. Through these efforts and several other initiatives we have undertaken this year, we remain on track to achieve our targeted $200 million-$300 million in cost savings in 2025, as well as our aggregate cost savings of $500 million-$750 million over the next three to five years.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Juan Luciano","Chairman and CEO at ADM","Strong cash management allows us to continue to invest in areas of innovation where we see attractive growth potential. For example, we are developing the next generation of flavor systems for our growing energy drinks portfolio. Our cutting-edge energy emulsion technology provides enhanced product stability, consistent quality, and a simplified supply chain. Additionally, there is a strong demand momentum behind our natural colors portfolio, and we are exploring creative opportunities to expand both products and geographies in this business. Another area of attractive growth for us is postbiotics, where ADM is investing in innovation. Recently, we were honored with an innovation award at the Global Premier Trade Event for our proprietary postbiotic formulation designed to support human immunity and digestive wellness. We also launched our second pet-focused postbiotic. These are examples of the diverse in-house research and development expertise we've developed in the biotics space.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
"ADM","2025-11-04","Juan Luciano","Chairman and CEO at ADM","We're also underway with advancing ethanol production performance improvements. Through close collaboration between R&D and operations, we've implemented advancements that are delivering improved yield gains. Rollout to additional plants is in progress, and further enhancements are in testing, designed to drive ongoing optimization across our facilities. We're also investing in side stream valorization as part of our continuous efforts to optimize our production processes and add value to our byproducts. As we close out 2025, we will continue to action our self-help agenda while adapting to evolving trade policy and remaining flexible to offset the impact of challenging dynamics to the best of our ability. Given the deferral in U.S. biofuel policy and other global movements, it is difficult to predict the timing of when we will see a structural increase in biofuel demand. As a result, we are lowering our expectations for full year 2025.","https://www.marketbeat.com/earnings/reports/2025-11-4-archer-daniels-midland-company-stock/"
