"symbol","report_date","speaker","title","msg","source_url"
"AEE","2025-11-05",NA,NA,"Greetings. Welcome to Ameren's Third Quarter 2025 Earnings Call. At this time, all participants are in a listen-only mode. The question-and-answer session will follow the formal presentation. If anyone should require operator assistance during the conference, please press star zero from your telephone keypad. Please note this conference is being recorded. At this time, I'll now turn the conference over to Andrew Kirk, Senior Director of Investor Relations and Corporate Modeling. Thank you. You may now begin.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Andrew Kirk","Senior Director of Investor Relations and Corporate Modeling at Ameren","Thank you and good morning. On the call with me today are Marty Lyons, our Chairman, President, Chief Executive Officer, and Michael Moehn, our Senior Executive Vice President and Chief Financial Officer, along with other members of the Ameren Management Team. This call contains time-sensitive data that is accurate only as of the date of today's live broadcast, and redistribution of this broadcast is prohibited. We have posted a presentation on the amereninvestors.com homepage that will be referenced by our speakers. As noted on page two of the presentation, comments made during this conference call may contain statements about future expectations, plans, projections, financial performance, and similar matters, which are commonly referred to as forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Andrew Kirk","Senior Director of Investor Relations and Corporate Modeling at Ameren","Please refer to the forward-looking statements section in the news release we issued yesterday, as well as our SEC filings for more information about the various factors that could cause actual results to differ materially from those anticipated. Now, here's Marty, who will start on page four.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","Thanks, Andrew. Good morning, everyone. Before we get into the financials, I want to highlight the strategy that drives our actions and delivers strong long-term value for our customers, communities, and shareholders. Pursuant to this strategy, we've been investing in the electric and natural gas infrastructure of Missouri and Illinois to harden it and make it more reliable, resilient, and safer. We've been adding new energy generation resources to meet the needs of our communities today and in the years to come. Because we are committed to providing a strong value proposition for our 2.5 million electric and 900,000 natural gas customers, we are also laser-focused on optimizing our operations to keep customer rates affordable. As we look ahead, the region and communities we serve are poised for significant economic growth, bringing investment, jobs, and tax revenue, as well as necessitating incremental investment in utility infrastructure.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","To support this growth, we are actively engaging with stakeholders on economic development opportunities and to advance constructive regulatory frameworks designed to serve new large-load customers and maintain just and reasonable rates for all customers. We're excited about the opportunities in front of us and believe the future is bright for Ameren and the communities we serve. Michael and I will dive into more details on the pages ahead. Now let's turn to page five for a summary of our third quarter results. Yesterday, we announced third quarter 2025 adjusted earnings of $2.17 per share, compared to adjusted earnings of $1.87 per share in the third quarter of 2024. A recent FERC order provided guidance on rate-making for net operating loss carryforwards, and as a result, we recorded a tax benefit of $0.18 in the third quarter of 2025.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","Given the nature of the tax benefit, we've excluded it from our adjusted third quarter 2025 earnings. The key drivers of our strong third quarter results are outlined on this page. As we move to page six, I'll cover how execution of our strategy has translated into tangible results for our stakeholders throughout this year. During the first three quarters of 2025, Ameren delivered on its commitments, deploying more than $3 billion in critical infrastructure upgrades for customers. For example, as part of our Ameren Missouri 2025 Smart Energy Plan, 11,300 electric distribution poles were replaced, 600 of which were upgraded to stronger composite poles. 300 smart switches were installed to reduce outages and speed restoration. 32 mi of sub-transmission lines were hardened. Five new or upgraded substations were energized, and 55 mi of underground cable were replaced to strengthen system reliability.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","In Illinois, our customers are benefiting from the replacement of more than 8,500 stronger electric distribution poles, eight mi of coupled steel gas distribution pipelines, and 13 mi of gas transmission pipelines for safety. Further, our transmission business placed in service 11 new or upgraded transmission substations and 40 mi of new or upgraded transmission lines to deliver energy more efficiently. These are just a few of the many projects completed through September. We also continue to execute on Ameren Missouri's Preferred Resource Plan. As you know, we updated this plan in February to reflect the growing energy needs of our customers and communities, including during extreme weather conditions. The plan calls for the addition of approximately 10 GW of generation capacity by 2035, including 3.7 GW of natural gas generation, 4.2 GW of renewables, and 1.4 GW of battery storage.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","Through September, we've invested more than $825 million in new or existing generation resources and have requested CCNs from the Missouri Public Service Commission for 1.45 GW of additional resources. In 2025, we also made the decision to spend more on operating and maintenance by accelerating certain tree trimming and energy center maintenance activities. All of these efforts underscore our commitment to delivering reliable energy for the long term. As you know, our electric rates remain below both national and Midwest averages, a testament to our unwavering focus on continuous improvement and affordability. Now let's turn to page seven. We have a long track record of strong and consistent earnings per share growth. As we look ahead, we expect this to continue.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","In February of this year, we updated our long-term earnings growth guidance, which included our expectation to grow earnings at a 6%-8% compound annual rate from 2025 through 2029. Based off of our 2025 original guidance midpoint of $4.95. For 2025, we expect adjusted diluted earnings per share to be in the range of $4.90-$5.10, up from our original guidance range of $4.85-$5.05. We're well positioned to continue our long history of delivering above the midpoint of our original earnings guidance range. For 2026, we now expect diluted earnings per share to be in the range of $5.25-$5.45. We expect consistent earnings growth near the upper end of our 6%-8% EPS compound annual growth rate range in 2027 through 2029.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","Consistent with prior years, we plan to update our long-term earnings growth guidance on our fourth quarter call in February 2026, including our five-year capital and financing plans, which will reflect, among other things, firmed-up capital estimates related to Ameren Missouri's Preferred Resource Plan. Turning to page eight, I'll provide an update on economic development activities in our region and associated sales growth expectations. We remain closely engaged with potential data center customers and are building a robust pipeline of large-load opportunities that extend into the next decade. Data centers represent significant private investment opportunity for our states, bringing in thousands of jobs in fields such as construction, plumbing, electrical work, and technology, as well as substantial tax revenue.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","As we discussed on our earnings call in August, data center developers continue to evaluate opportunities in Missouri, given the numerous desirable construction sites in our territory, available transmission capacity, and our ability to deliver power when needed at competitive rates. As a result of this engagement, Ameren Missouri's executed construction agreements with data center developers have expanded to 3 GW, up from the previous total of 2.3 GW. The developers of the data center sites, with construction agreements in place, have now made non-refundable payments to us totaling $38 million to cover the necessary transmission upgrades, and which demonstrates their confidence in and commitment to the proposed projects. We also continue to actively engage with potential data center customers to negotiate electric service agreements that are aligned with our proposed Missouri large-load rate structure and, among other things, would establish anticipated minimum ramp schedules.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","I'll talk more about progress on that large-load rate structure in a few minutes. As outlined in Ameren Missouri's Preferred Resource Plan, we expect 1 GW of new load from data center customers by the end of 2029. A total of 1.5 GW of new data center demand by the end of 2032. To give you a sense of the proportions, 1 GW of new data center load by 2029 would represent approximately 5.5% compound annual Missouri sales growth from 2025. In addition, we're seeing notable expansion in the region's defense and geospatial intelligence ecosystem, which is stimulating growth across multiple sectors, including advanced manufacturing. One such example is the opening of the National Geospatial-Intelligence Agency's new, nearly $2 billion campus in St. Louis this September. The campus, which employs more than 3,000 people, represents the largest federal investment in St. Louis' history.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","Private sector participation is also strong, with companies like Scale AI choosing to locate their headquarters downtown. The presence in St. Louis of federal and private sector geospatial operations, including advanced mapping, satellite imagery, and spatial analytics, strategically aligns with our region's strength in defense and defense tech industries. Looking ahead, Boeing has begun construction of new facilities to build the F-47 fighter approved earlier this year. Production of the F-47 is scheduled to start in 2026. These developments further strengthen St. Louis' position as a national hub for innovation and strategic investment. In Downstate Illinois, developers are also advancing data center projects with expected incremental energy demand totaling 850 MW. We have signed construction agreements with these developers and received payments to support the necessary transmission interconnections. Energy supply for these projects is expected to be provided through third-party supply agreements.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
"AEE","2025-11-05","Marty Lyons","Chairman, President and CEO at Ameren","We expect to provide an update on our Missouri and Illinois five-year sales growth expectations in February. Moving now to page nine, we provide an update on generation resources currently in progress at Ameren Missouri. We have procured long lead-time components such as turbines and transformers for our planned energy centers with expected in-service dates through 2029. We have secured production slots for the three turbines for our combined cycle energy center expected to be in service in 2031, remaining on track to deliver the dispatchable resources called for in our Preferred Resource Plan. In August, we requested a certificate of convenience and necessity for the Reform Solar Energy Center, a planned 250 MW solar facility to be located adjacent to our existing Callaway Nuclear Energy Center.","https://www.marketbeat.com/earnings/reports/2025-11-5-ameren-co-stock/"
