"symbol","report_date","speaker","title","msg","source_url"
"AES","2024-10-31",NA,NA,"I would now like to turn the call over to Susan Harcourt, Vice President of Investor Relations at AES Corporation. Susan, you may begin.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Susan Harcourt","VP of Investor Relations at AES Corporation","Thank you, Operator. Good morning and welcome to our third quarter 2024 financial review call. Our press release, presentation, and related financial information are available on our website at aes.com. Today we will be making forward-looking statements. There are many factors that may cause future results to differ materially from these statements, which are disclosed in our most recent 10-K and 10-Q filed with the SEC. Reconciliations between GAAP and non-GAAP financial measures can be found on our website along with the presentation. Joining me this morning are Andr̩s Gluski, our President and Chief Executive Officer, Steve Coughlin, our Chief Financial Officer, and other senior members of our management team. With that, I will turn the call over to Andr̩s.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","Good morning, everyone, and thank you for joining our third quarter 2024 financial review call. We are pleased with our performance this year, and today I will discuss our third quarter results: the robust growth we are seeing in our renewables and U.S. utility businesses, and our progress towards our asset sales target. Beginning on slide three with our third quarter results, which were generally in line with our expectations, adjusted EBITDA with tax attributes was about $1.2 billion, adjusted EBITDA was $692 million, and adjusted EPS was $0.71. We're on track to meet our 2024 financial objectives, including our expectation to be in the top half of our ranges for adjusted EBITDA with tax attributes and adjusted EPS.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","At the same time, we now expect adjusted EBITDA to be towards the low end of the guidance range for the year, primarily due to the one-time impact of extreme weather in Colombia and the lower margins in the Energy Infrastructure SBU. We are reaffirming our expected growth rates through 2027. Steve Coughlin, our CFO, will provide more detail on our financial performance and outlook. I'm also very pleased to report that since our last call in August, we have signed or been awarded 2.2 gigawatts of new contracts. This includes both long-term renewables PPAs and new data center load growth at our U.S. utilities. Turning to our renewables business on slide four, since our Q2 financial review call, we have added 1.3 gigawatts of new PPAs to our backlog, bringing our year-to-date total to 3.5 gigawatts, more than 70% of which is with corporate customers.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","As a reminder, last year we set a target of signing 14 to 17 gigawatts of new PPAs from 2023 to 2025, and with 9.1 gigawatts signed or awarded since the beginning of last year, we're currently well on track to meet this objective. Since setting that goal, we also materially increased our project return targets, and we are focused on prioritizing the most profitable PPAs. Moving to slide five and our construction progress. Since our second quarter call in August, we have completed construction of an additional 1.2 gigawatts of new projects, bringing our year-to-date total to 2.8 gigawatts, which represents nearly 80% of the 3.6 gigawatts we expect to complete this year. On-time execution is one of our competitive advantages, and we believe we have the best supply chain management in the industry.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","In the U.S., we have 100% of our solar panels on site for those projects coming online this year, and 84% in-country for next year. For 2026, we have 100% of our solar panels either in-country or contracted to be domestically manufactured, providing protection against potential changes in tariff policy. We have also been a first mover in securing domestically manufactured battery modules and cells. We expect our first battery energy storage project with domestic content to come online in the first half of 2026. Additionally, we have established a robust supply chain for wind through our strategic suppliers with domestic manufacturing. Regarding long lead-time equipment such as transformers and high-voltage breakers, we have secured all of the supply for our backlog through 2027.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","Turning to slide six, we are very well positioned as a leading provider of renewable energy to data center companies, particularly in the U.S., and to large mining companies outside the U.S. These customers want to work with AES due to our track record of providing customized solutions that best serve their specific needs and delivering our projects on time and on budget. With the U.S. elections only a few days away, I have great confidence in the resilience of our business plan, regardless of the outcomes of the presidential and congressional elections. While we do not believe the elimination of the investment tax credit or production tax credit is likely, even in an extreme scenario, we're uniquely well positioned due to the following. First, regardless of federal policies, our corporate customers have a massive need for new power that can only be met by renewables over the next decade.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","McKinsey estimates that in the U.S., data centers alone could require an additional 450 terawatt-hours through the end of the decade, which is equivalent to more than the annual electricity consumption of France. With these market dynamics, we will continue to sign high-return renewables PPAs with our core customers. Second, should there be any changes to U.S. tariff policy, we have a resilient supply chain with a large majority of our project components manufactured domestically by 2026. Finally, our strategy of procuring our equipment at the time of the PPA signing provides clear safe harboring protections from potential changes in policy. Now turning to slide seven, over the last 12 months, we have embarked on the most ambitious investment program in the history of our U.S. utilities, which will improve reliability and quality of service for our customers while maintaining some of the lowest rates in both states.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","AES Indiana and AES Ohio are now two of the fastest-growing U.S. utilities, with projected double-digit rate base growth through 2027, based on necessary investments for our customers. As you may recall, in the third quarter of last year, we received commission approval for a new regulatory structure for AES Ohio, providing for timely recovery of the majority of these investments. Similarly, earlier last year, we received commission approval for new rates at AES Indiana, our first rate case in seven years. We are starting to see the benefits from the $1.2 billion we have invested in both utilities so far this year, representing a year-over-year increase of investment of 60%. Excluding the one-time settlement benefit recognized in 2023, year-to-date EBITDA is up 25%. Turning to slide eight, we're also seeing additional investment opportunities from data center growth in our service areas above and beyond our existing rate-based projections.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","Our utilities have many natural advantages that are attractive to large technology companies, such as proximity to fiber networks and the presence of ample land and water. We have worked to proactively identify sites that are well positioned to support new data centers, capitalizing on our deep relationships with technology companies. At AES Indiana, we expect to have specific data center deals to announce in the coming months, as we've been in active negotiations with several parties. We recently launched an RFP for three gigawatts of new generation to support accelerating demand growth. From a regulatory perspective, we will use the results of this RFP to help inform our IRP submission next year. At AES Ohio, we have now signed agreements for new data center load growth of 2.1 gigawatts, including an incremental 900 megawatts on top of the 1.2 gigawatts we already announced on our last call.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","On our fourth quarter call in February, we will provide a comprehensive update on how these agreements impact our long-term investment plan and rate based growth. Today, we can indicate that just what we've signed to date provides a nearly 30% increase in investment through the end of the decade over our current plan. Turning to slide nine, in September, we announced a plan to sell down 30% of AES Ohio to CDPQ, our long-time partner in AES Indiana. This transaction builds upon our strong relationship with CDPQ and allows for common ownership across our U.S. utilities. This partnership will support growth at AES Ohio, with CDPQ as a funding partner for increasing investments to support reliability and economic development. Finally, as you may have seen in our release, we are pleased to report that we have now closed the sale of our equity interest in AES Brazil.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Andr̩s Gluski","President and CEO at AES Corporation","We are proud of the work our people have done in Brazil to expand beyond the 2.7 gigawatt hydro portfolio by adding 2.5 gigawatts of operating wind and solar, creating one of the largest renewable businesses in the country. With these two transactions, we have now signed or closed agreements for more than three quarters of our $3.5 billion asset sale proceeds target through 2027. We have also further simplified our portfolio and eliminated Brazilian weather, interest rate, and currency risks. With that, I would now like to turn the call over to our CFO, Steve Coughlin.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
"AES","2024-10-31","Stephen Coughlin","CFO at AES Corporation","Thank you, Andr̩s, and good morning, everyone. Today, I will discuss our third quarter results in our 2024 guidance and parent capital allocation. Turning to slide 11, Adjusted EBITDA with tax attributes was approximately $1.2 billion in the third quarter versus $1 billion a year ago. Although we realized $458 million of additional tax value year over year, Renewables EBITDA was down $68 million, driven mostly by record-breaking drought conditions in South America. In addition, our energy infrastructure SBU was down $221 million, largely due to expected items, which I'll cover in more detail on a later slide. Turning to slide 12, Adjusted EPS for the quarter was $0.71 versus $0.60 last year. Drivers were similar to those of Adjusted EBITDA with tax attributes, but partially offset by higher parent interest due to growth investments, as well as a higher adjusted tax rate.","https://www.marketbeat.com/earnings/reports/2024-10-31-the-aes-co-stock/"
