"symbol","report_date","speaker","title","msg","source_url"
"AIG","2025-05-01",NA,NA,"Good day, and welcome to AIG's first quarter 2025 Financial Results Conference Call. This conference is being recorded. Now, at this time, I would like to turn the conference over to Quentin McMillan. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Quentin McMillan","VP, MD and Head of Investor Relations at AIG","Thanks very much, and good morning. Today's marks may include forward-looking statements which are subject to risks and uncertainties. These statements are not guarantees of future performance or events and are based on management's current expectations. AIG's filings with the SEC provide details on important factors that could cause actual results or events to differ materially. Except as required by applicable securities laws, AIG is under no obligation to update any forward-looking statements if circumstances or management's estimates or opinions should change. Today's remarks may also refer to non-GAAP financial measures. The reconciliation of such measures to the most comparable GAAP figures is included in our earnings release, financial supplement, and earnings presentation, all of which are available on our website at aig.com.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Quentin McMillan","VP, MD and Head of Investor Relations at AIG","Following the deconsolidation of Corebridge Financial on June 9th, 2024, the historical results of Corebridge for all periods presented are reflected in AIG's consolidated financial statements as discontinued operations in accordance with U.S. GAAP. Finally, today's remarks related to net premiums written and net premiums earned are presented on a comparable basis, which reflects year-over-year comparison on a constant dollar basis and adjusted for the sale of the Global Personal travel and assistance business, as applicable. We believe this presentation provides the most useful view of our results and the go-forward business in light of the substantial changes to the portfolio since 2023. Please refer to page 26 of the earnings presentation for reconciliations of such metrics on a comparable basis. With that, I'd now like to turn the call over to our Chairman and CEO, Peter Zaffino.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Peter Zaffino","Chairman and CEO at AIG","Good morning, and thank you for joining us today to review our first quarter 2025 financial results. AIG's overall performance in the quarter was exceptional, and we continue to make significant progress on our strategic, operational, and financial objectives. We had a very busy start to the year, and while it's hard to believe, just 30 days ago, we hosted our Investor Day. We're incredibly grateful for the positive engagement and support from our colleagues and many stakeholders and appreciated the opportunity to share our journey with them. For my prepared remarks, I will start with an overview of our Investor Day, including what we intend to achieve, some observations from the meeting, and what we've learned since. Second, I will highlight our first quarter financial results.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Peter Zaffino","Chairman and CEO at AIG","Third, I want to provide a spotlight on our business strategy and long-term view of India, a business that we briefly touched on at our Investor Day. Fourth, given the widespread interest, I will offer a few observations on the impact of tariffs. Last, I'll provide an update on our progress toward our financial targets that we outlined at our Investor Day. Keith will then provide more detail on our financial results, and Don Bailey and Jon Hancock will join us for the Q&A portion of the call. Beginning with Investor Day, our objective was to demonstrate the incredible progress the company's made over the last seven years and why we believe we're so well-positioned for the future.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Peter Zaffino","Chairman and CEO at AIG","We shared how we established an underwriting culture of excellence, substantially reduced underwriting exposure, controlled volatility, structured the company for the future, refreshed our purpose and values, developed a world-class end-to-end operating structure, digitized end-to-end processes, developed a robust data hierarchy, and retired over 1,200 applications while migrating to the cloud. We discussed how we created a lean parent company and strengthened our balance sheet while executing a disciplined capital management strategy, which will enable AIG to have maximum strategic and financial flexibility for the future. We provided detail on our strategy to deploy GenAI end-to-end and to demonstrate how the advancement in adoption is making a difference across our business to drive future growth, and that was on full display.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Peter Zaffino","Chairman and CEO at AIG","I'm very grateful to our world-class partners, Alex Karp of Palantir and Dario Amodei of Anthropic, for joining Sara Eisen and me on stage to showcase and validate our strategy. While they are very entertaining guests and have better things to do with their time than show up at AIG's Investor Day, they felt compelled to speak to our stakeholders about how they fully endorse AIG's strategy. It was a very important moment for our company. We demonstrated the breadth and depth of our global portfolio with $24 billion of net premiums written, which enables us to leverage both our diverse geographic footprint and strong product offerings to solve our clients' risk needs.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Peter Zaffino","Chairman and CEO at AIG","We highlighted what a thoughtful and carefully planned reinsurance strategy can do for a company over time, showcasing key structures of our portfolio and providing an introduction to our special purpose vehicle backed by Blackstone, which is an important part of our strategic evolution. Our stakeholders came away from the event with a much clearer understanding of our strategic direction, the deep expertise within our company, our differentiated approach to GenAI, and our ambitious yet achievable financial targets and global growth opportunities. Inside the company, there's a sense of confidence and pride. Our Investor Day gave our colleagues the opportunity to see their hard work recognized in an impactful way, which has generated energy and engagement across the organization, and we are excited to take this momentum forward.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Peter Zaffino","Chairman and CEO at AIG","If I had to choose just one key takeaway from our Investor Day, it is that AIG is, in every way, a different company. Turning to our financial results, against a challenging geopolitical and macroeconomic environment, we made excellent progress towards our long-term strategic and financial goals while delivering exceptional underwriting results, effectively managed volatility, while reducing expenses. In the first quarter, adjusted after-tax income was $702 million, or $1.17 per diluted share. Building on our momentum, we had another quarter of strong premium growth. Net premiums written were $4.5 billion, an increase of 8% year-over-year on a comparable basis, led by 10% growth in global commercial. North America Commercial insurance net premiums written grew 14% year-over-year. Lexington grew 23%, led by Lexington Casualty, which grew 27%.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
"AIG","2025-05-01","Peter Zaffino","Chairman and CEO at AIG","It's worth noting that Lexington's submission growth continued in the first quarter, increasing 30% year-over-year, and that is following an increase of over 50% in the first quarter of 2024 when compared to 2023. Simply an outstanding result. This increase in submission activity was primarily driven by middle market casualty and property, which together represents 2/3 of the total submissions received. Glatfelter contributed 16% growth, and Retail Property grew over 40%, almost entirely driven by the significant enhancements to our reinsurance structures. International Commercial insurance net premiums written grew 8% year-over-year on an FX-adjusted basis, driven by property at 35%, largely as a result of enhanced reinsurance structures, and marine grew an impressive 17%. Turning to expenses, our General Insurance expense ratio decreased to 30.5% in the first quarter compared to 31.8% in the prior year quarter.","https://www.marketbeat.com/earnings/reports/2025-5-1-american-international-group-inc-stock/"
