"symbol","report_date","speaker","title","msg","source_url"
"AIZ","2025-02-11",NA,NA,"Welcome to Assurant's fourth quarter and full year 2024 conference call and webcast. At this time, all participants have been placed in a listen-only mode, and the floor will be open for your questions following management's prepared remarks. If you would like to ask a question at that time, please press star nine to raise your hand and star six to unmute. We ask that you please pick up your handset to allow optimal sound quality. It is now my pleasure to turn the floor over to Sean Moshier, Vice President of Investor Relations. You may now begin.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Sean Moshier","VP of Investor Relations at Assurant","Thank you, Operator, and good morning, everyone. We look forward to discussing our fourth quarter and full year 2024 results with you today. Joining me for Assurant's conference call are Keith Demmings, our President and Chief Executive Officer, and Keith Meier, our Chief Financial Officer. Yesterday, after the market closed, we issued a news release announcing our results for the fourth quarter and full year 2024.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Sean Moshier","VP of Investor Relations at Assurant","The release and corresponding financial supplement are available on assurant.com. Also, on our website is a slide presentation for our webcast participants. Some of the statements made today are forward-looking. Forward-looking statements are based upon our historical performance and current expectations and subject to risks, uncertainties, and other factors that may cause actual results to differ materially from those contemplated by these statements.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Sean Moshier","VP of Investor Relations at Assurant","Additional information regarding these factors can be found in the earnings release, presentation, and financial supplement on our website, as well as in our SEC reports. During today's call, we will refer to non-GAAP financial measures, which we believe are important in evaluating the company's performance. For more details on these measures, the most comparable GAAP measures, and a reconciliation of the two, please refer to the news release and supporting materials. We'll start today's call with remarks before moving into Q&A. I will now turn the call over to Keith Demmings.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Keith Demmings","President and CEO at Assurant","Thanks, Sean, and good morning, everyone. 2024 represented another strong year for Assurant. I'm incredibly proud of the performance of our teams across the company, whose commitment to delivering for our clients and customers enabled us to achieve 15% adjusted EBITDA growth and 19% adjusted earnings per share growth, both excluding reportable CATs. Strategic investments in our people, client partnerships, technology and capabilities, and targeted actions to drive improved performance across key areas of the business position us to continue to outperform and deliver exceptional value through our products and services.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Keith Demmings","President and CEO at Assurant","Our people are at the center of everything we do, and our performance is made possible by our world-class culture. Our culture is how we attract and retain incredible talent to deliver for our customers. We're extremely proud of the recognitions we've received, highlighting our commitment to innovation and sustainability while supporting and empowering our employees. Our competitive advantage comes from the ongoing dedication of our global workforce and leadership team, who drive new business through innovative solutions while elevating the customer and deepening existing partnerships.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Keith Demmings","President and CEO at Assurant","In Global Lifestyle, we had an unprecedented year of client wins and renewals, particularly within Connected Living. We continue to invest in new innovative client programs and leading-edge technology, including the incorporation of automation, robotics, and AI at our Device Care Center outside of Nashville. We recently partnered to launch T-Mobile's Protection 360 Home Tech product. This new offering provides protection for an unlimited number of Wi-Fi-enabled devices and electronics while providing premium tech support to consumers.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Keith Demmings","President and CEO at Assurant","This critical new product represents another strategic growth vector and underscores the long-term opportunity presented by the convergence of broadband and mobile in the connected home. By prioritizing investments in programs and capabilities, we generated significant momentum and plan to execute on additional opportunities. In Global Automotive, we made progress in stabilizing earnings through targeted actions to address elevated claim costs in our vehicle service contracts business and our guaranteed asset protection product.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Keith Demmings","President and CEO at Assurant","We continue to be optimistic about the long-term outlook for this business. Before discussing Global Housing, I want to first share that our thoughts are with everyone who's impacted by the events of the last few months, including the California wildfires. In these times, we have a critical role to play in our customers' journey. In Southern California, we're focused on making it quick and easy for policyholders to file claims online, on the phone, or in person at mobile claim centers, accelerating customer payments.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
"AIZ","2025-02-11","Keith Demmings","President and CEO at Assurant","We remain proud of our role in removing the risk of uninsured loss for lenders, investors, and homeowners through our housing offerings. As we look at housing's results, we delivered sustained outperformance in 2024, benefiting from the strength of our homeowners' and renters' businesses, including the rollout of technology innovation to enhance our customer experience.","https://www.marketbeat.com/earnings/reports/2025-2-11-assurant-inc-stock/"
