"symbol","report_date","speaker","title","msg","source_url"
"AJG","2025-10-30",NA,NA,"Good afternoon, and Welcome to Arthur J. Gallagher & Co.'s third quarter 2025 earnings conference call. Participants have been placed in a listen-only mode. Your lines will be open for questions following the presentation. Today's call is being recorded. If you have any objections, you may disconnect at this time. Some of the comments made during this conference call, including answers given in response to questions, may constitute forward-looking statements within the meanings of the securities laws. The company does not assume any obligation to update information or forward-looking statements provided on this call. These forward-looking statements are subject to risks and uncertainties that could cause actual results to differ materially. Please refer to the information concerning forward-looking statements and risk factor sections contained in the company's most recent 10-K, 10-Q, and 8-K filings for more details on such risks and uncertainties.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30",NA,NA,"In addition, for reconciliations of non-GAAP measures discussed on this call, as well as other information regarding these measures, please refer to the earnings release and other materials in the investor relations section of the company's website. It is now my pleasure to introduce J. Patrick Gallagher, Jr., Chairman and CEO of Arthur J. Gallagher & Co. Mr. Gallagher, you may begin.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","Thank you. Good afternoon, everyone, and thank you for joining us for our third quarter 2025 earnings call. On the call with me today is Doug Howell, our CFO, as well as members of the management team. Before I start, I'd like to acknowledge the damage caused by Hurricane Melissa in the Caribbean. Our thoughts are with all those impacted, including our own Gallagher colleagues. Our team of experts have been mobilized and are on the ground helping our clients and colleagues. Moving to our financial performance, we had a terrific and obviously very active third quarter. Our two-pronged revenue growth strategy, that's organic and M&A, delivered revenue growth of 20%. In fact, over the last 30 quarters, we've delivered double-digit top-line growth 26x. This is now our 19th straight quarter of double-digit growth. Clearly, our relentless client-centric, team-driven, and welcoming culture is thriving.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","Underlying that headline revenue growth, we posted 4.8% organic, grew adjusted EBITDA at 22%, and expanded adjusted EBITDA margins by 26 basis points, demonstrating we are getting substantial benefits of scale and the value delivered by our strategy of constantly focusing on improving our productivity while delivering our high-quality services. EPS for our combined brokerage and risk management segments, we posted GAAP EPS of $1.76 and adjusted EPS of $2.87. That would have been $0.22 higher had we levelized for the intra-quarter revenue seasonality related to AssuredPartners that we closed on August 18th. Doug will unpack this timing aberration in his comments. The punchline is our business continues to shine, and the early days of the AssuredPartners folks coming together with the Gallagher team is off to a terrific start. Already, we're selling together. We're showing that we are better by being together.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","Moving to the results on a segment basis, starting with the brokerage segment, reported revenue growth was 22%. Organic growth was 4.5%. Relative to our September IR Day commentary, we did see a little pressure on contingents and a few large life insurance cases shifted out of the third quarter. Adjusted EBITDA margin headline shows flat year-over-year at 33.5%. When we exclude merger and acquisition interest income, it shows underlying margin expansion of 60 basis points. Doug will give you a bridge from last year. That's terrific work by the team to stay vigilant in our relentless pursuit of being more productive every single day. Let me provide you with some highlights behind our brokerage segment organic. Within our retail operations, we delivered 5% organic overall within property and casualty, with U.S. up more than 7%. International flat, driven by less renewal premium increases and lower contingents.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","Employee benefits posted around 1% organic, driven by lower-than-expected large life cases. Shifting to our wholesale and specialty businesses, in total, we delivered organic of 5%, with the U.S. outperforming our international businesses slightly. As for reinsurance, it's a relatively small quarter, and organic here was in the high single digits. While not in our organic growth numbers, AssuredPartners' third quarter organic was 5%. That really shows you that a terrific sales-driven culture is joining our team. We continue to deliver organic growth across retail, wholesale, and reinsurance. Let me provide some thoughts on the property and casualty insurance pricing environment. Overall, global insurance renewal premium changes remain in positive territory, and we continue to see more carrier competition across property classes, particularly shared and layered programs and cat-exposed risks, resulting in renewal premium decreases.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","With that said, carriers continue to push for increases across most casualty classes, which are more than offsetting the property decreases. Let me provide a further breakdown on our third quarter global insurance renewal premium changes, which includes both rate and exposure by line of business. Property down 5%. Casualty lines up 6% overall, including general liability up 4%, commercial auto up 5%, and umbrella up 8%. U.S. casualty lines are up 8%, and that increase has been consistent over the past 12 quarters, suggesting domestic carriers are recognizing continued pressure. Package up 5%, D&O down 2%. We think perhaps close to bottoming out. Workers' Comp up a point, and personal lines up 6%. While property's down 5%, many lines are still seeing increases.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","In fact, global renewal premium change excluding property remains around 4%, with good accounts getting some premium relief and accounts with poor loss experience seeing greater increases. Looking at differences in renewal premium changes by client size, we continue to see some bifurcation. For middle market and smaller clients generating less than $250,000 of revenue, renewal premiums were up about 3%. For larger clients generating more than $250,000 of revenue, renewal premiums were down 1%. Many of the market trends we have been highlighting for the past three quarters persist today. As for the reinsurance market, a very small quarter for us. Looking towards January 1 renewals, the industry remains healthy. There's adequate capacity to meet expected demand. Property coverages continue to favor reinsurance buyers, while casualty reinsurance dynamics are more stable with continued caution for U.S. risks.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","Moving to employee benefits, we continue to see solid demand for talent retention strategies given the resilient U.S. labor market. Further, managing rising health insurance costs is becoming increasingly important for our clients as they deal with continued medical cost inflation. We are engaging with employers to help them alleviate the pressure from rising medical and pharmaceutical costs. Moving to some comments on our customers' business activity. While the U.S. government shutdown has halted economic data releases, our proprietary data, which has been an excellent indicator of the economy, continues to show solid client business activity. Third quarter revenue indications from audits, endorsements, and cancellations remain nicely positive. Interestingly, through the first three weeks of October, our revenue indications are showing even more positive endorsements and lower cancellations than in September. While we are watching our customers' business activity carefully, we are just not seeing signs of an economic downturn.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
"AJG","2025-10-30","J. Patrick Gallagher, Jr","Chairman of the Board and CEO at Arthur J. Gallagher & Co","Regardless of market and economic conditions, I believe we are very well positioned to grow. From our leading niche experts, vast proprietary data, award-winning analytics platform, extensive product offerings, outstanding service, and global resources, this puts us in an enviable spot competitively. As we sit today, we are seeing brokerage segment fourth quarter organic of around 5%, which would bring our full-year organic to more than 6%. Moving on to our risk management segment, Gallagher Bassett. Third quarter revenue growth was 8%, including organic of 6.7%. We saw strong new business revenue and excellent client retention in the third quarter and believe these favorable dynamics will continue through the end of the year. Accordingly, we expect about 7% organic growth in the fourth quarter. Third quarter adjusted EBITDA margin is 21.8%, a bit better than our September expectations.","https://www.marketbeat.com/earnings/reports/2025-10-30-arthur-j-gallagher-co-stock/"
