"symbol","report_date","speaker","title","msg","source_url"
"ALLE","2025-07-24",NA,NA,"Good day, and welcome to the Allegion Second Quarter 2025 Earnings all. All participants will be in listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star then one on your touch-tone phone. To withdraw your question, please press star then two. Please note this event is being recorded. I would now like to turn the conference over to Josh Pokrzywinski, Vice President of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","Josh Pokrzywinski","VP of Investor Relations at Allegion","Thank you, Jason. Good morning, everyone. Thank you for joining us for Allegion Second Quarter 2025 Earnings Call. With me today are John Stone, President and Chief Executive Officer, and Mike Wagnes, Senior Vice President and Chief Financial Officer of Allegion. Our earnings release, which was issued earlier this morning, and the presentation, which we will refer to in today's call, are available on our website at investor.allegion.com. This call will be recorded and archived on our website. Please go to slide two. Statements made in today's call that are not historical facts are considered forward-looking statements and are made pursuant to the safe harbor provisions of federal securities law. Please see our most recent SEC filings for a description of some of the factors that may cause actual results to differ materially from our projections. The company assumes no obligation to update these forward-looking statements.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","Josh Pokrzywinski","VP of Investor Relations at Allegion","Today's presentation and commentary include non-GAAP financial measures. Please refer to the reconciliation and the financial tables of our press release for further details. Please go to slide three, and I'll turn the call over to John.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","John Stone","President and CEO at Allegion","Thanks, Josh. Good morning, everyone, and thanks for joining us. Q2 was a strong quarter, once again demonstrating the agility of our team, durability of our business, and execution of our capital allocation strategy. We also achieved an exciting milestone. This was Allegion's first quarter of revenue in excess of a billion dollars, and we certainly do not think it will be our last. I'm very proud of our team's performance. The high single-digit Americas non-res organic growth and continued segment margin expansion speaks to the resiliency of our business model, our broad end-market exposure, and the depth of our relationships with channel partners and end users. We continue to take advantage of our business's strong cash generation, returning cash to shareholders, and growing our business through accretive acquisitions that complement our core and create long-term value.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","John Stone","President and CEO at Allegion","Midway through the year, our team's strong execution and continued demand momentum in our core non-res Americas market gives us confidence in our full-year performance. We're raising our 2025 full-year outlook for adjusted earnings per share to $8-$8.15. I'll be back later to provide more color on our markets and the outlook. Please go to slide four. Let's take a look at capital allocation for the second quarter, starting with investments for organic growth. As you may have seen at our recent investor day in New York, our Simons-Voss business continues to be a great success story for Allegion. A known pioneer in our industry, Simons-Voss is a leader in electronics, leveraging the global long-term growth trends we see across security and access.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","John Stone","President and CEO at Allegion","Most recently, SimonsVoss has introduced a new portfolio of products called FortLox, which is launching with some of our key Simons-Voss customers this year. FortLox is Allegion's first battery-less electronic cylinder, offering customers the high quality and ease of use that Simons Voss is known for, and now without the need for a battery to power it. It's an incredible evolution of SimonsVoss technology that expands applications and market segments that we can serve. Turning to M&A, since we spoke at Q1 earnings, Allegion has announced four additional acquisitions. Novas closed in Q2, while ELATEC, GateWise, and Waitwhile closed early in the third quarter. I'll spend some time on the next slide discussing these recent additions to the portfolio and how they support our long-term growth strategy.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","John Stone","President and CEO at Allegion","Allegion continues to be a dividend-paying stock, and in the second quarter, this amounted to $0.51 per share, approximately $44 million. Lastly, we made share repurchases in the quarter of approximately $40 million. We remain committed to balanced consistent capital allocation with a clear priority of investing for growth. Please go to slide five, where I'll discuss our recent acquisitions. These acquisition categories should look familiar to those of you who tuned in for investor day. At that meeting, we outlined a capital allocation strategy that takes advantage of Allegion's demand generation model, channel and distribution strength, and solid relationships. This framework also includes growing our portfolio with additional electronics products, as well as software and services that differentiate our hardware and security and access environments, where Allegion has a right to win.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","John Stone","President and CEO at Allegion","Starting with additions to our mechanical portfolio, Allegion recently completed the acquisition of Trimco in the Americas, which we announced prior to Q1 earnings, and Novas in the International segment. Both of these businesses leverage existing go-to-market channel strength in their respective geographies while broadening the high-quality hardware offerings we provide to our customers. Trimco expands our accessories portfolio in non-res Americas markets, while Novas adds to our residential offering in Australia. Moving to our electronics portfolio, Allegion closed our acquisition of Germany-based ELATEC in the third quarter, adding to our International segment. Similar to our existing electronics portfolio, ELATEC has an attractive growth profile in the high single-digit to low double-digit range with strong profitability. ELATEC's readers and credentials bolster Allegion's electronics portfolio globally, including in the US, and expands our reach into new applications and customers.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","John Stone","President and CEO at Allegion","Lastly, we'll continue to look to acquire complementary software and service businesses that differentiate our hardware and drive adoption in security and access environments where Allegion has a right to win. Our two most recent July acquisitions highlight this. We added GateWise, a Software-as-a-Service provider that offers a modern and retrofit-friendly gate entry system for multifamily communities. This business is a hand-in-glove fit with Allegion's electronic locks and Zentra multifamily property access solution, bringing together expanded perimeter security with unit and common area security. We also acquired Waitwhile, a leading Software-as- a-Service provider that specializes in cloud-based appointment scheduling and queue management. With Waitwhile, we can connect the virtual queue to secure and seamless physical access.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","John Stone","President and CEO at Allegion","At the door in core non-residential markets that we know well, ultimately providing the right access to the right people at the right time, all while streamlining operations for the building or the campus. Both of these SaaS businesses have strong growth fundamentals and deliver recurring value to our customers in a way that differentiates and supports our electronic hardware business. Collectively, we expect these acquisitions to be accretive to 2026 adjusted earnings per share and increase the long-term growth potential of Allegion at attractive margins. Mike will now walk you through the second quarter financial results.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
"ALLE","2025-07-24","Mike Wagnes","SVP and CFO at Allegion","Thanks, John, and good morning, everyone. Thank you for joining today's call. Please go to slide number six. As John shared, our Q2 results reflect continued strong execution from the Allegion team, delivering another quarter with mid-single-digit top-line growth. Revenue for the second quarter was over $1 billion, an increase of 5.8% compared to 2024. Organic revenue increased 3.2% in the quarter as a result of favorable price and volume led by our Americas non-residential business, where demand remained strong. Q2 adjusted operating margin was 23.7%, flat to the prior year. Both our segments had margin expansion, which was offset by increased corporate expenses, primarily for incentive compensation. Volume, leverage, and mix were accretive to margins driven by our Americas non-residential business. Price and productivity, net of inflation and investment, was a headwind in the quarter of $5.3 million for the enterprise.","https://www.marketbeat.com/earnings/reports/2025-7-24-allegion-plc-stock/"
