"symbol","report_date","speaker","title","msg","source_url"
"AMCR","2024-10-31",NA,NA,"Hello, and welcome to the Amcor First Quarter 2025 Results Conference Call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session, and if you would like to ask a question during this time, simply press star one on your telephone keypad. I would now like to turn the conference over to Tracey Whitehead, Head of Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Tracey Whitehead","Head of Investor Relations at Amcor","Thanks, Operator, and thank you, everyone, for joining Amcor's Fiscal '25 First Quarter Earnings Call. Joining today is Peter Konieczny, Chief Executive Officer, and Michael Casamento, Chief Financial Officer. Let me note a few items before I hand over. On our website, amcor.com, under the Investor section, you'll find today's press release and presentation, which will be discussed on this call. Please be aware that we'll also discuss non-GAAP financial measures, and related reconciliations can be found in that press release and presentation.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Tracey Whitehead","Head of Investor Relations at Amcor","Remarks will also include forward-looking statements that are based on management's current views and assumptions. The second slide in today's presentation lists several factors that could cause future results to be different than current estimates. Reference can be made to Amcor's SEC filings, including our statements on Form 10-K and 10-Q for further details. Please note that during the question-and-answer session, we request that you limit yourself to a single question and then rejoin the queue if you have any additional questions or follow-ups. Over to you, PK.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Peter Konieczny","CEO at Amcor","Thank you, Tracey, and thank you to all who have joined us for today's call. I'm pleased to report that our business continues to build on the momentum we've delivered since the beginning of the calendar year, with another quarter of solid financial performance to kick off Fiscal 2025. Our results are aligned with the expectations we set out in August and give us the confidence to reaffirm our guidance today. We start, as always, with safety on slide three.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Peter Konieczny","CEO at Amcor","The safety and well-being of our people is a value deeply embedded in Amcor's culture, and I'm incredibly proud of our collective commitment to safety. We continue to achieve industry-leading performance with another 13% reduction in injuries compared to the same quarter last year, and 73% of our sites remaining injury-free for more than a year.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Peter Konieczny","CEO at Amcor","Before we turn to the first quarter, I'd like to take a few minutes to talk about the strategic actions we're taking to evolve into an even stronger company. Amcor is an outstanding company with a strong value-based culture, highly talented people, and significant growth potential. We have a strategy that remains relevant to our business and does not require revolutionary change.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Peter Konieczny","CEO at Amcor","I begin my tenure as CEO with a good understanding of where Amcor is today and with a strong and clear vision of where Amcor will be in the future. I just covered what will always be our number one priority: safety. Our commitment here will never change, and the health and safety of our team members comes before anything else.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Peter Konieczny","CEO at Amcor","The unrelenting focus we have on safety has been rewarded with industry-leading metrics and performance, as I just shared, which is an excellent example of what Amcor can achieve when we're focused and aligned on our priorities. Second only to safety is the customer, as seen on slide four. I believe we have an excellent opportunity to become an even stronger company by accelerating our volume-driven organic growth through an unwavering focus on our customers, on sustainability, and on our portfolio.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Peter Konieczny","CEO at Amcor","With our customers, we have two clear, immediate opportunities. The first touches on our culture, talent, and organization. We will instill a stronger growth-oriented and customer-first mindset across Amcor. One of the first changes I made as CEO was appointing Fred Stephan, previously President Flexibles North America, to the newly created Chief Operating Officer role.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
"AMCR","2024-10-31","Peter Konieczny","CEO at Amcor","One of Fred's most important responsibilities is to ensure we fully leverage our scale and capabilities across the global flexible packaging businesses. Setting the org up in this way means we remove regional silos, we ensure best practices are shared and deployed across the organization, we facilitate access to our entire product catalog anywhere in the world, and we drive efficiency across our manufacturing, operations, and equipment network.","https://www.marketbeat.com/earnings/reports/2024-10-31-amcor-plc-stock/"
