"symbol","report_date","speaker","title","msg","source_url"
"AME","2026-02-03",NA,NA,"Good day, and thank you for standing by. Welcome to the Q4 2025 AMETEK, Inc earnings conference call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during the session, you will need to press star one one on your telephone. You will then hear an automated message advising your hand is raised. To withdraw your question, please press star one one again. Please be advised that today's conference is being recorded. I would now like to hand the conference over to your first speaker Kevin Coleman, VP of Investor Relations and Treasurer. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","Kevin Coleman","VP of Investor Relations and Treasurer at AMETEK, Inc","Thank you, Crystal. Good morning, and welcome to AMETEK's fourth quarter 2025 earnings conference call. Joining me today are Dave Zapico, Chairman and Chief Executive Officer, and Dalip Puri, Executive Vice President and Chief Financial Officer. During the course of today's call, we will be making forward-looking statements, which are subject to change based on various risk factors and uncertainties that may cause actual results to differ significantly from expectations. A detailed discussion of the risks and uncertainties that may affect our future results is contained in AMETEK's filings with the SEC. AMETEK disclaims any intention or obligation to update or revise any forward-looking statements. Any references made on this call to historical results will be on an adjusted basis, excluding after-tax, acquisition-related intangible amortization, and excluding acquisition-related costs. Reconciliations between GAAP and adjusted measures can be found in our press release and on the Investors section of our website.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","Kevin Coleman","VP of Investor Relations and Treasurer at AMETEK, Inc","We'll begin today's call with prepared remarks, and then we'll open it up for questions. I'll now turn the meeting over to Dave.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","David Zapico","Chairman and CEO at AMETEK, Inc","Thank you, Kevin, and good morning, everyone. AMETEK completed a strong year with excellent results in the fourth quarter, highlighted by double-digit growth in sales, orders, and operating profit, robust core margin expansion, strong cash flow growth, and earnings per share ahead of our expectations. In the quarter, we established records for sales, orders, operating income, EBITDA, diluted earnings per share, operating cash flow, and free cash flow. We also ended the quarter with a record backlog. Today, we announced the acquisition of LKC Technologies, an attractive technology acquisition, which broadens our med tech exposure. I'll provide more details on LKC shortly. Now, let me turn to our fourth quarter results. Fourth quarter sales were a record $2 billion, up 13% from the same period in 2024. Organic sales were up 5%, acquisitions added 7 points in the quarter, and foreign currency was a 1-point tailwind.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","David Zapico","Chairman and CEO at AMETEK, Inc","Orders were very strong in the quarter, with overall orders up 18% to a record $2 billion and organic orders up 7% versus the prior year, leading to a record backlog of $3.58 billion. Sales and orders growth consistently improved throughout the year, with the fourth quarter growth the strongest of the year. AMETEK delivered excellent operating results in the quarter. Operating income was a record $523 million, a 12% increase over the fourth quarter of 2024. Operating margins were 26.2% in the quarter. Core margins were an impressive 27.6%, up 100 basis points. EBITDA in the quarter was a record $618 million, up 10% versus the prior year, and EBITDA margins, a strong 30.9%.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","David Zapico","Chairman and CEO at AMETEK, Inc","Our excellent operating performance led to strong cash generation, with free cash flow a record $527 million in the quarter, up 6% versus last year's fourth quarter, and free cash flow to net income conversion of 132%. Diluted earnings per share were a record $2.01, up 7% versus the fourth quarter of 2024, and above our guidance range of $1.90-$1.95 per share. Adjusting for an abnormally low tax rate in last year's fourth quarter, diluted earnings per share would have increased 11% in the quarter on a 5% increase in organic sales, reflecting strong incremental margins. Now, let me provide some additional details at the operating group level. First, the Electronic Instruments Group.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","David Zapico","Chairman and CEO at AMETEK, Inc","EIG delivered excellent operating performance in the fourth quarter, with record sales and operating profit, along with impressive core margin expansion. EIG sales were $1.37 billion, up 13% from last year's fourth quarter. Organic sales were up 2%, acquisitions added 10 points. Foreign currency was a 1-point tailwind. We were encouraged by the organic sales growth in the quarter and the steady improvement in EIG growth rates throughout 2025. EIG's fourth quarter operating income was a record $413.7 million, up 7% versus the prior year. Core operating margins were a robust 32.3%, up 50 basis points from the prior year. The Electromechanical Group completed an outstanding year with very strong broad-based growth and excellent operating performance in the fourth quarter.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","David Zapico","Chairman and CEO at AMETEK, Inc","EMG's fourth quarter sales were $629 million, up 15% versus the prior year. Organic sales were up an impressive 14%, and foreign currency was a 1-point tailwind. Sales growth was strong across all EMG divisions, with each growing double digits organically in the quarter. EMG's operating income in the fourth quarter was $142.5 million, up a sizable 28% compared to the prior year period, while EMG's fourth quarter operating margins were 22.7%, up 240 basis points versus the fourth quarter of 2024. Now for the full year results. AMETEK delivered excellent overall results in 2025, establishing annual records for sales, operating income, operating margin, EBITDA, and diluted earnings per share. Overall sales for the year were $7.4 billion, up 7% from 2024.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","David Zapico","Chairman and CEO at AMETEK, Inc","Operating income for 2025 was $1.94 billion, up 7%, and operating margins were 26.2%, up 10 basis points from the prior year period, while core margins were up a very strong 80 basis points. EBITDA for the year was $2.33 billion, up 7%, with EBITDA margins a very strong 31.5%. Full year 2025 earnings were $7.43 per diluted share, up 9% versus the prior year. We also delivered strong cash flows in 2025, providing us with significant capital to deploy on strategic acquisitions with free cash flow and net income conversion of 113%. I'm very proud of our performance in 2025. Our businesses successfully navigated through sluggish industrial markets and ongoing macroeconomic uncertainty and delivered excellent results.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
"AME","2026-02-03","David Zapico","Chairman and CEO at AMETEK, Inc","Thank you to all AMETEK colleagues for your outstanding contributions and hard work in delivering on our commitments to our customers and shareholders. AMETEK is well positioned for continued long-term success, given your efforts. Now turning to acquisitions and capital deployment. In 2025, we completed the acquisitions of FARO Technologies and Kern Microtechnik for approximately $1 billion, acquiring approximately $400 million in annual sales. The integration of both businesses is going well as they integrate the AMETEK Growth Model into their businesses. Now switching to our most recent acquisition, LKC Technologies. LKC is a leading provider of innovative technologies that enable effective diagnosis and management of ophthalmic conditions. Their advanced technology solutions help doctors test and monitor eye health, and are designed to detect early signs of diabetic retinopathy and other serious eye conditions that can lead to vision loss.","https://www.marketbeat.com/earnings/reports/2026-2-3-ametek-inc-stock/"
