"symbol","report_date","speaker","title","msg","source_url"
"APA","2025-11-05",NA,NA,"Good day, and thank you for standing by. Welcome to APA Corporation's Third Quarter Financial and Operational Results Conference Call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during the session, you'll need to press star 11 on your telephone. You'll then hear an automated message advising your hand is raised. To withdraw your question, please press star 11 again. Please be advised that today's conference is being recorded. I would now like to hand the conference over to your first speaker today, St̩phane Aka, Managing Director of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","St̩phane Aka","Managing Director of Investor Relations at APA Corporation","Good morning, and thank you for joining us on APA Corporation's Third Quarter 2025 Financial and Operational Results Conference Call. We will begin the call with an overview by CEO John Christmann. Ben Rogers, CFO, will then provide further color on our results and outlook. Steve Riney, President, and Tracy Henderson, Executive Vice President of Exploration, are also on the call and available to answer questions. We will start with prepared remarks and allocate the remainder of time to Q&A. In conjunction with yesterday's press release, I hope you have had the opportunity to review our financial and operational supplement, which can be found on our investor relations website at investor.apacorp.com. Please note that we may discuss certain non-GAAP financial measures. A reconciliation of the differences between these measures and the most directly comparable GAAP financial measures can be found in the supplemental information provided on our website.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","St̩phane Aka","Managing Director of Investor Relations at APA Corporation","Consistent with previous reporting practices, adjusted production numbers cited in today's call are adjusted to exclude non-controlling interest in Egypt and Egypt tax payers. I would like to remind everyone that today's discussion will contain forward-looking estimates and assumptions based on our current views and reasonable expectations. However, a number of factors could cause actual results to differ materially from what we discuss on today's call. A full disclaimer is located with the supplemental information on our website. With that, I will turn the call over to John.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","John Christmann","CEO at APA Corporation","Good morning, and thank you for joining us. On today's call, I will review our third quarter results, outline our continued progress across key strategic initiatives, and discuss our outlook for the fourth quarter and our preliminary plans for 2026. This year's macro environment has remained challenging, characterized by heightened volatility and uncertainty in commodity prices, largely driven by shifting trade policies and geopolitical tensions. While these external factors have created headwinds for the industry, they also underscore the progress that we've made at APA over the past two years. At the core of these efforts is a strong focus on lowering our controllable spend, which is delivering meaningful and sustainable improvements in our cost structure.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","John Christmann","CEO at APA Corporation","Additionally, through disciplined capital allocation, a reshaped and more resilient portfolio, and a sharper operational focus, we've built a stronger, more adaptable organization, one that can perform through cycles and respond quickly to changing market conditions. Our strategy is working, and the benefits are increasingly evident across both our operations and financial performance. With a stronger foundation in place, APA is well-positioned to navigate any oil price environment for 2026. Turning to the third quarter, results were once again very strong across the board. We have exceeded our production guidance in each of our operating areas, while capital investment and operating costs were below guidance. In the Permian, continued strong operational execution resulted in oil production above guidance, while capital investment and operating costs were in line with expectations.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","John Christmann","CEO at APA Corporation","Moving to Egypt, in addition to the significant acreage award we previously discussed, we also received substantial payments during the third quarter, nearly eliminating our past due receivables. This progress reflects the strength of our partnership with the Egyptian government. Operationally, once again, gross BOEs grew sequentially in Egypt, underpinned by the ongoing success of our gas program. This reflects both strong oil performance and continued optimization of infrastructure. On the oil side, our water flood and recompletions programs are moderating our base decline and flattening our near-term gross oil production. In the North Sea, our continued focus on operating efficiency and cost management drove higher production and lower costs compared to our guidance. We remain focused on optimizing our late-life operations and are preparing to decommission our assets in a safe, efficient, and environmentally responsible manner.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","John Christmann","CEO at APA Corporation","Finally, in Suriname, progress at GranMorgu continues at pace, and First Oil remains on track for mid-2028. Moving to our outlook for the fourth quarter. In the Permian, following another strong quarter of operational execution, we are raising our guidance for oil production while maintaining our outlook for capital spend. On the gas side, with the recent dislocation in Waha pricing, we are adjusting our guidance to reflect temporary curtailments in the field. Although this slightly reduces our BOE volumes, the impact-free cash flow will be minimal. In Egypt, we are slightly increasing our fourth quarter production estimates in line with the ongoing momentum from our gas program. We are also drilling several high-potential exploration wells, including on our newly acquired acreage.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","John Christmann","CEO at APA Corporation","The Western Desert presents a vast and highly prospective opportunity set, and although we are early in our gas exploration program, success here could be impactful for our portfolio. Turning now to our cost reduction initiatives. Our commitment to reducing every aspect of our controllable spend has been evident all year, and I want to recognize the diligence of our teams and the strong alignment among leaders across the organization. Through their collective efforts, we've made significant changes to our operations and driven meaningful improvements in both capital and operational efficiency. We are now on track to realize $300 million in savings this year and are also positioned to reach our run-rate savings target of $350 million by the end of 2025, two full years ahead of the original goal of year-end 2027.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","John Christmann","CEO at APA Corporation","Looking ahead, we see significant opportunity to build on this momentum, driving additional efficiency gains and further simplifying how we work. Through these efforts, we aim to deliver an additional $50 million-$100 million in combined run-rate savings across G&A, capital, and LOE by the end of next year. Moving to our preliminary plans for 2026. With the recent volatility in oil prices, we are evaluating multiple capital allocation scenarios with a focus on free cash flow generation. While we have significantly improved our cost structure and reduced break-evens across our asset base in the last 18 months, we believe a flexible approach to capital investment is warranted in the current price environment. In the Permian, at our current pace of five rigs, we expect to deliver consistent year-over-year oil production of approximately 120,000 barrels per day with capital investment of around $1.3 billion.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
"APA","2025-11-05","John Christmann","CEO at APA Corporation","However, if oil prices move lower, we have the operational flexibility to moderate activity to reduce capital further, with minimal expected impact on 2026 oil volumes. In Egypt, we plan to maintain consistent activity levels and capital spend with a similar allocation between oil and gas drilling as this year. This would allow us to grow gas volumes on a gross basis year-over-year. Gross oil production will remain on a modest decline. We will continue to monitor commodity prices over the coming months and will provide formal guidance for 2026 in February. In closing, our third quarter results underscored strong operational performance and consistent execution across all operating areas. Through the rigorous focus of our teams, we are driving significant cost savings ahead of schedule and increasing our targets for the future.","https://www.marketbeat.com/earnings/reports/2025-11-5-apache-co-stock/"
