"symbol","report_date","speaker","title","msg","source_url"
"APD","2025-02-06",NA,NA,"Good morning and welcome to the Air Products First Quarter earnings release conference call. Today's call is being recorded at the request of Air Products. Please note that the presentation and the comments made on behalf of Air Products are subject to copyright by Air Products, and all rights are reserved. Beginning today's call is Mr. Eric Guter. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Eric Guter","VP of Investor Relations at Air Products","Thank you, Lisa. Good morning, everyone. Welcome to Air Products First Quarter 2025 Earnings Results Teleconference. This is Eric Guter, Vice President of Investor Relations. I'm pleased to be joined today by Melissa Schaeffer, our Chief Financial Officer, and Sean Major, our Executive Vice President, General Counsel, and Secretary. On today's call, I'm also pleased to welcome Air Products Chairman of the Board, Wayne Smith, and Eduardo Menezes, Air Products' new CEO, effective tomorrow, February 7, 2025. Please turn to slide number two, and let me now turn the call over to Wayne for a few brief remarks.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Wayne Smith","Chairman at Air Products","Thank you, Eric. Good morning and welcome, everyone. Air Products' annual meeting of shareholders was held exactly two weeks ago, and five new directors were elected to our board. The reconstituted board met immediately, quickly coalesced, worked intensively, and made several key leadership decisions. First, I'm honored to have been elected as Chairman of the Board of Air Products, where I've served as a director since 2021, following my career in the chemicals industry, which included 11 years in industrial gases. Second, I'm honored to be working with our new Vice Chairman, Dennis Reilley. Dennis had a tremendous career in the industrial gas industry, leading Praxair as CEO. Prior to that, Dennis held executive roles at DuPont and Conoco, in industries which are significant consumers of industrial gases. Finally, and most significantly, I'm very pleased to introduce our new CEO, Eduardo Menezes, who is on the call today.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Wayne Smith","Chairman at Air Products","Eduardo brings more than three and a half decades of international experience in all key sectors of industrial gases. At his last position, he was EVP of Linde for Europe, the Middle East, and Africa, with responsibility for operations in more than 40 countries, over $8 billion in sales, and more than 18,000 employees. He's lived and worked around the world. We all look forward to working with him, taking Air Products forward, and maximizing value for shareholders. Let me now turn over the call to Eduardo to briefly introduce himself.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Eduardo Menezes","CEO at Air Products","Thank you, Wayne. Air Products is a fantastic company with a bright future, and I'm honored to have the opportunity to work with the team to build on the company's strong positions. I met several larger shareholders during the last few weeks to understand their perspectives and requests, and starting tomorrow, I will begin meeting with employees, customers, and business partners to move Air Products forward. Tomorrow is my first day as an Air Products employee, so I apologize if I'm not going to be able to take questions on this call, but I look forward to sharing my priorities as a new CEO of Air Products and to presenting the second fiscal quarter results on the next call. Now I'll turn the call back to Wayne.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Wayne Smith","Chairman at Air Products","Thank you, Eduardo. Before turning the call back over to the management team, I would like to take a moment to thank the outstanding employees of Air Products who have remained dedicated, energized, and focused throughout this process. I'd also like to thank Seifi Ghasemi for his countless contributions and leadership of Air Products over the past decade. We have a great foundation to build upon. Now, as you can appreciate, given the changes underway, the scope of today's call will be limited to discussion of quarterly results of the company and our outlook. We appreciate that you may have a variety of questions which extend beyond the results of the quarter, which will be addressed in due course. But for today, we kindly ask that questions be limited to and focused on the financial results that we disclose this morning and our outlook for the remainder of the year.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Wayne Smith","Chairman at Air Products","With that, let me turn it back over to Eric.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Eric Guter","VP of Investor Relations at Air Products","Thank you, Wayne. Our earnings release and the slides for this call are available on the earnings page of our website at investors.airproducts.com. Today's discussion contains forward-looking statements, including those about earnings and capital expenditure guidance, business outlook, and investment opportunities. Please refer to the cautionary note regarding forward-looking statements that is provided in our earnings release and on slide number three. Additionally, throughout today's discussions, we will refer to various financial measures, including earnings per share, operating income, operating margin, EBITDA, EBITDA margin, the effective tax rate, and ROCE, either on a total company or segment basis. Unless we specifically state otherwise, statements regarding these measures refer to our adjusted non-GAAP financial measures. Reconciliations of these measures to our most directly comparable GAAP financial measures can be found on our investor website in the relevant earnings release section. Now, I'm pleased to turn the call over to Melissa.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Melissa Schaeffer","CFO at Air Products","Thank you, Eric, and good day to everyone. Please turn to slide number four of the materials we have posted on the website for this call. Safety is our number one priority without exception. We are proud of the continuous improvement we were able to achieve in this area, but our goal and efforts are always towards zero accidents and zero incidents. Now, please turn to slide number five for our first quarter results. As we announced in January, first quarter adjusted earnings per share of $2.86 exceeded the upper end of our guidance range of $2.75-$2.85, up 1% over last year, driven by results in Americas. Our earnings per share improved despite the divestment of the LNG process technology and equipment business, which closed at the end of fiscal 2024. The LNG business contributed roughly $0.08 to our first quarter earnings in 2024.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
"APD","2025-02-06","Melissa Schaeffer","CFO at Air Products","Our adjusted EBITDA margin was up 140 basis points, and our adjusted operating margin increased 80 basis points versus prior year. Please turn to slide number six for our fiscal 2025 second quarter and full year outlook. We are maintaining our fiscal 2025 full year guidance. We continue to monitor the strengthening U.S. dollar, tariffs, and the global helium market for potential impact to the remainder of the year. Consistent with our focus on driving productivity, we continue to evaluate actions to reduce our costs and improve our services to our customers. We expect our second quarter adjusted earnings per share to be in the range of $2.75-$2.85, which is up 1%-4%, reflective of the LNG divestiture. We are proud of the results this quarter.","https://www.marketbeat.com/earnings/reports/2025-2-6-air-products-and-chemicals-inc-stock/"
