"symbol","report_date","speaker","title","msg","source_url"
"APTV","2026-05-06",NA,NA,"Good day, welcome to the Aptiv Q1 2026 earnings call. Today's conference is being recorded. At this time, I would like to turn the conference over to Betsy Frank, Vice President, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Betsy Frank","VP of Investor Relations at Aptiv","Thank you, Cynthia. Good morning, and thanks for joining Aptiv's first quarter 2026 earnings conference call. The press release, slide presentation, and updated New Aptiv pro forma financials can be found on the investor relations portion of our website at aptiv.com. Today's review of our financials exclude amortization, restructuring, and other special items and will address the continuing operations of Aptiv as of March 31st. The reconciliations between GAAP and non-GAAP measures are included at the back of the slide presentation and the earnings press release. Unless stated otherwise, all references to growth rates are on an adjusted year-over-year basis. During today's call, we will be providing certain forward-looking information that reflects Aptiv's current view of future financial performance and may be materially different for reasons that we cite in our Form 10-K and other SEC filings.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Betsy Frank","VP of Investor Relations at Aptiv","Joining us today will be Kevin Clark, Aptiv's Chair and Chief Executive Officer, and Varun Laroyia, Executive Vice President and Chief Financial Officer. With that, I'd like to turn the call over to Kevin.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Thank you, Betsy, and thanks, everyone, for joining us this morning. Starting on slide three, the first quarter concluded with the successful completion of the separation of our Electrical Distribution Systems business into a new independent public company, Versigent, which you'll hear more about following their earnings release and conference call after the market closes later today. This step in our portfolio evolution better positions Aptiv to enhance our advanced software and hardware tech stack, further diversify our end market mix, and accelerate our revenue and earnings growth. I'll start by covering our first quarter total Aptiv results. We continued to flawlessly execute for our customers in an increasingly dynamic environment, further amplified by the conflict in the Middle East, enabled by our operating rigor and the resilience of our business model.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","We secured $7 billion of new business awards while also delivering solid financial results, including revenue of over $5 billion, an increase of 1% versus the prior year, despite a deterioration in underlying vehicle production. Adjusted EBITDA of over $750 million, driven by flow-through on volume growth and strong operating performance, which helped to offset significant year-over-year headwinds from FX and commodities. When combined with lower net interest expense and a lower share count, resulted in record earnings per share of $1.71. Varun will review our financial results in more detail later. Turning to slide four, my remaining prepared remarks will be focused exclusively on new Aptiv, a leading provider of advanced software and optimized hardware solutions across multiple end markets that are being shaped by the acceleration of automation, electrification, and digitalization.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Our deep domain expertise and experience providing OEMs with our technology stack to enable their vehicles to sense, think, act, and continually optimize increasingly can be utilized for applications in other end markets, which I will talk more about in a moment. Competitively, we are well-positioned, with content on all market-leading platforms across automotive, commercial aerospace, and telecom. Roughly 1/4 of our business is in markets outside of automotive. We have several strategic priorities underway to further increase our penetration of those markets. We maintain a diversified regional revenue mix and have significant momentum, gaining share with the leading local China OEMs on vehicle platforms sold in China, as well as exported to or manufactured in overseas markets. In addition, we have made significant progress further penetrating the leading OEMs serving the markets in Japan, Korea, and India.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Turning to slide five to spend a moment discussing new Aptiv's investment thesis. First, we've built a comprehensive portfolio that collectively powers intelligence at the edge by enabling devices and systems to sense, think, act, and continually optimize. Second, we deliver our unique product portfolio through a robust operating model that leverages our global engineering, supply chain, manufacturing, and commercial capabilities. Enabling us to provide high-performance, cost-optimized solutions backed by a resilient supply chain on a global scale, ensuring flawless execution in a dynamic environment. Third, our unique product portfolio and robust operating model are leveraged to create an attractive financial profile that includes more diversified, higher-margin revenues. Lastly, generates a significant amount of free cash flow that can be allocated both organically and inorganically to enhance the earnings power of our business while also returning capital to shareholders.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","We made solid progress across each of these pillars in the first quarter. Continued product innovation supporting new and emerging use cases across diverse end markets, including two that were showcased at last week's Beijing Auto Show. The advancement of our next-generation end-to-end AI-powered ADAS platform designed to deliver safer and more enhanced hands-free L2++ autonomy in both highway and urban environments.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","In robotics, we partnered to enhance the functionality and performance of both an AI-powered collaborative robot and an autonomous mobile robot for material handling, each of which integrates our award-winning Pulse sensor and advanced compute solutions. We successfully navigated ongoing geopolitical dynamics in the evolving macro environment by leveraging our resilient operating model to manage through changing vehicle production schedules and increasing headwinds associated with rising input costs, including resins and metals, enabling us to deliver strong operating performance in the quarter, more than offsetting ongoing headwinds while continuing to invest in key strategic initiatives.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Our financial results reflected continued momentum advancing our strategic priorities, including high single-digit revenue growth in non-automotive markets and double-digit revenue growth across our software and services product portfolio, as well as margin expansion of 30 basis points, excluding FX and commodities, a measure more reflective of the results of our business given we passed the majority of input cost inflation on to our customers. Lastly, we worked diligently through the Versigent separation to position both companies for success with strong operating models, resilient supply chains, and solid balance sheets. However, there's still more for us to do, and I'm confident that we'll continue to make progress further strengthening our value proposition and creating shareholder value.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Moving to slide six, customer awards were strong in the first quarter, totaling $4.6 billion, an increase of approximately 15% from the 2025 quarterly average, and included roughly $900 million of bookings with non-automotive customers. Both business segments posted solid results with approximately $2.4 billion in awards for Intelligent Systems and $2.2 billion for Engineered Components. I'll talk more about some of the key customer awards across each segment in a moment, but would also note that we have a large and growing pipeline of commercial opportunities and expect 2026 bookings of more than $20 billion. Let's now review each segment in more detail, starting with Intelligent Systems on slide seven.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Our tech stack, which first enabled intelligence at the edge for automotive applications, is now gaining momentum for applications in other markets, such as drones within aerospace and defense and robotics within diversified industrials. During the quarter, there were a number of new program and product launches. A few of strategic importance include the launch of an intelligent interior camera that incorporates our entire software and hardware stack, enabling enhanced interior sensing functionality, including driver monitoring and driver view features for the flagship sedan vehicle platform of a luxury German OEM. The launch of an integrated high-performance cockpit controller for the high-volume mid-level variant of an Indian OEM's electric SUV lineup, which follows a successful launch last year of an entry-level model.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","We also secured several important new business bookings in the quarter, including active safety awards from a large North American OEM that integrates our full tech stack from sensors to compute to software for incremental large truck and SUV platforms, underscoring the flexibility of our solutions and deep technology partnerships with several customers. Sensors and advanced compute awards for a leading China local OEM for their next generation EV platform, which support production for both the China market and export volumes. We also secured several notable software and service awards, including a VxWorks RTOS and a Helix Virtualization Platform award for a leading defense prime, building upon an established long-term partnership with this customer. A software tool chain award for a large North American OEM that will be used to build optimized deterministic software for mission-critical and safety-critical embedded systems.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","This award supports this OEM's software factory initiative to move towards cloud-based development and software-defined solutions. Lastly, our commercial momentum has also accelerated in the robotics and drone markets. In addition to our partnership with Robust.AI and Vecna Robotics, this quarter we secured another partnership agreement with Comau, a top 10 industrial robotics company. In addition, we've been executing several proofs of concept and pilots in both the robotics and drone markets that we're confident will translate to commercial agreements, and we plan to share further progress on these efforts in the near future. Moving on to slide eight to cover Engineered Components.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Notable new program launches during the quarter included a broad array of high-speed interconnect launches, including Mini-Coax, Ethernet, and other flexible and modular assemblies across more than two dozen nameplates and OEMs, ranging from North America to Europe to China, powering next-generation software-defined vehicle architectures, high-voltage electrical centers for two major local China OEMs, which will support production for both the China market and export volumes. Continued proof points of the progress we're making growing in the China market, specifically with the top 10 local OEMs that are growing both domestically and overseas, and terminals across numerous models within the portfolio and across regions for a North American-based global EV automaker. Moving on to new business awards. We secured a high-voltage inverter award from a major Korean OEM that combines high performance at a competitive cost, supporting its next-generation multi-powertrain software-defined vehicle platform.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","High-speed interconnects and components from multiple aerospace and defense primes, including for low Earth orbit satellite and subsea applications. A low voltage connection system award for an integrated high power energy storage solution from a North American-based global EV OEM that scales to support grid level performance and resilience. Collectively, these awards reflect the breadth of our solutions, meeting demanding performance, and reliability requirements in automotive, which also translate across a range of other end markets. I'll now turn the call over to Varun to go through our financial results and our full-year and second quarter guidance in more detail.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","Thanks, Kevin, and good morning, everyone. Starting with first quarter on slide nine. Total Aptiv, including our EDS segment, delivered solid financial results in the quarter, reflecting robust execution amidst a dynamic market backdrop, where we once again navigated industry-wide and OEM-specific production disruptions and macro-driven input cost inflation. Revenues of $5.1 billion grew at an adjusted rate of 1%, driven by strength at EDS, while new Aptiv absorbed certain customer mix headwinds, but importantly progressed in diversifying revenues with 9% growth in non-automotive and 10% growth in software and services. Adjusted EBITDA was $752 million. EBITDA margin declined 90 basis points year-over-year, driven by FX and commodity headwinds of 180 basis points, well above the 120 basis points we had forecasted for the quarter.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","It should be noted that the year-over-year impact for new Aptiv was lower. Earnings per share was $1.71, an increase of $0.02 from the prior year, reflecting the benefit of lower interest expense and lower share count, partially offset by a higher tax rate. Free cash flow for the quarter was negative $362 million, and this included approximately $260 million in transaction payments across new Aptiv and Versigent, consistent with our guidance for the year. It should be noted that we anticipate approximately $100 million in separation costs for new Aptiv in Q2. However, we will recoup approximately $80 million of transaction payments which were tax related later in the year. Turning to the next slide and looking at first quarter adjusted revenue growth on a regional basis for both total Aptiv and new Aptiv.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","For total Aptiv, revenue growth of 1% on an adjusted basis was driven by growth in North America and Asia Pacific, which was partially offset by a decline in Europe. New Aptiv, as I mentioned earlier, faced some customer mix headwinds in the quarter, most of which are transitory, while generating strong results in strategically important areas. Looking at revenue growth by region for new Aptiv. In North America, revenue grew 7%, driven by double-digit growth in Intelligent Systems and strength in non-automotive markets. In Europe, revenue was down 5%, largely reflecting unfavorable customer mix, specifically with one of our largest customers in Intelligent Systems, due in part to a slower than expected ramp-up of next gen programs.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","In Asia Pacific, revenue was down 5%, essentially in line with vehicle production, reflecting continued improvement in our business mix in China with local OEMs and growth with ex-China Asian OEMs. Moving on to our results on a segment level on slide 11 and starting with Intelligent Systems. Revenue of $1.4 billion decreased 1% versus the prior year, which reflects two discrete factors. As we have discussed previously, the cancellation of certain programs from local China OEMs in 2025, which will anniversary mid-year, and a greater than anticipated headwind from lower production at one of our largest North American customers owing to supply chain constraints following a supplier fire. Although this should be partially recovered in the second half of the year. Cumulatively, these two factors amounted to approximately 250 basis points of headwinds to Intelligent Systems revenue growth in the quarter.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","These were largely offset by strength in other areas, including double-digit growth in software and services. Intelligent Systems adjusted EBITDA margin declined 90 basis points, primarily owing to a 60 basis point headwind related to FX and commodities, as well as incremental investments across product engineering and go-to-market to continue diversifying towards non-automotive markets. These were partially offset by performance improvements. Moving to Engineered Components. Revenue of $1.7 billion was flat on an adjusted basis. This reflects 6% growth in non-automotive, including double-digit growth in diversified industrials markets, offset by a 2% decline in automotive, which reflects some customer mix headwinds in China attributable to broad-based production volume declines there, including with the largest local OEM. Engineered Components adjusted EBITDA margin declined 90 basis points, which was entirely the function of a 140 basis point headwind related to commodities in FX.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","Excluding this impact, margin expansion was driven by performance initiatives. Lastly, I'll briefly comment on our EDS business, which will move to discontinued operations starting in Q2. Revenue of $2.2 billion increased 3% on an adjusted basis, driven by strength in Asia Pacific, both in China via export volumes and in APAC ex-China countries, and favorable customer mix in North America, which offset broader production declines globally. EDS adjusted EBITDA margin declined 70 basis points versus the prior year, and this reflects a 260 basis point headwind related to FX and commodities, which was largely offset by the timing of certain recoveries and flow-through on volume growth. Moving to slide 12 to discuss our balance sheet before I discuss guidance. We ended the quarter with $3.2 billion of cash.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","This was temporarily inflated as it included $2.1 billion of gross debt raised by our EDS subsidiaries, which was assumed by Versigent on April 1st. In conjunction with the spin-off, year-to-date, Aptiv has paid down $2.1 billion of debt, including $300 million in the first quarter and $1.8 billion in early April. This was funded by a $1.65 billion dividend on a net basis from Versigent upon the spin-off and $400 million from cash on hand. Pro forma for the spin of Versigent, new Aptiv gross leverage for the first quarter was 2.3 times, and net leverage 1.9 times, both of which are consistent with our leverage levels prior to the EDS program that was launched in Q3 of 2024.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","We also deployed $75 million towards share repurchases in the quarter and plan to remain active on this front through the remainder of the year. Looking forward, we remain committed to a balanced approach to capital allocation, focusing on bolt-on acquisitions and investments, as well as continued return of excess cash to shareholders. Moving on to our 2026 financial guidance on the following slide. We are maintaining our full year 2026 financial guidance, which is presented on a pro forma basis to exclude our EDS segment in the first quarter. We continue to expect adjusted revenue growth of 4% at the midpoint, and this implies an acceleration through the course of the year, which is driven by the following factors, first half to second half. First, approximately 100 basis points from an improvement in vehicle production.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","Second, approximately 150 basis points from the abatement of certain headwinds mentioned earlier, which are specific to our business and include the production impact at one of our customers related to a supplier fire in North America and select program cancellations in China in 2025. Third, approximately 300 basis points from the anticipated timing of program launches and ramps. We continue to expect adjusted EBITDA and EBITDA margin of $2.4 billion and 18.6% at the midpoint. I would call out that we are starting to see incremental inflationary pressures on materials as a result of the conflict in the Middle East. Relative to our prior guidance, we now anticipate higher input costs, primarily in commodities, some of which that occurred in the first quarter.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","However, as in the first quarter and through last year, we expect to continue offsetting these macro headwinds through performance initiatives and, where appropriate, customer pass-throughs. We continue to expect adjusted earnings per share in the range of $5.70-$6.10, which assumes an effective tax rate of 18.5% and does not incorporate any meaningful incremental benefit from share repurchases. Free cash flow is expected to be $750 million at the midpoint, which is inclusive of transaction costs associated with the EDS separation, the majority of which are being incurred in the first half, as well as continued investments in supply chain resiliency for semiconductors.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Varun Laroyia","EVP and CFO at Aptiv","For the second quarter specifically, we expect adjusted revenue growth of 2% at the midpoint, adjusted EBITDA and EBITDA margin of $580 million and 17.6% at the midpoint. Lastly, we expect earnings per share of $1.40 at the midpoint. Just as a reminder for everyone, on day one of the EDS separation, new Aptiv is burdened by $70 million in annualized stranded costs, which we are working to completely eliminate from our cost structure by the end of 2027. Finally, I'll close by reiterating that our robust business model and relentless focus on optimizing performance, we remain confident in our ability to drive strong execution and financial results as well as enhance shareholder value. With that, I will turn the call back to Kevin for his closing remarks.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Thanks, Varun. Before I wrap up on slide 14, let me provide some additional context on our outlook. We continue to see significant long-term opportunity for our portfolio of products and solutions, while in the shorter term, we do see challenges that our industry will have to contend with. As Varun alluded to, the macroeconomic environment remains very dynamic. At present, and as reflected in our first quarter results in full-year guide, we're experiencing a meaningful increase in input costs broadly related to the ongoing conflict in the Middle East. However, as evidenced by 2025, we have a resilient business model with an ability to mitigate and offset these pressures through performance initiatives and through commercial recoveries. That being said, should the current situation persist, it could amplify these pressures from a macroeconomic perspective, which are difficult to precisely forecast at this point.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","This uncertainty could present a challenge to the value chain across the markets we serve, which is a risk, but it's also an opportunity for Aptiv to demonstrate our value proposition to our customers, providing high performance, cost-optimized, market-relevant system solutions at global scale and with industry-leading service levels. Now to wrap up, after reporting our final quarter as total Aptiv, we're positioned to benefit from the sharper focus resulting from the completion of our strategic portfolio evolution. For the new Aptiv, we're now better positioned to accelerate our product development, enhance go-to-market activities to further penetrate multiple high-growth end markets. The number of high-quality opportunities we're actively engaged in is growing, and our momentum is accelerating. I'm confident these opportunities will result in incremental customer awards and strong financial results and will continue to remain relentlessly focused on delivering value for our shareholders.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
"APTV","2026-05-06","Kevin Clark","Chair and CEO at Aptiv","Operator, let's now open the line for questions.","https://www.marketbeat.com/earnings/reports/2026-5-6-aptiv-plc-stock/"
