"symbol","report_date","speaker","title","msg","source_url"
"ATO","2026-02-03",NA,NA,"Thank you. I would now like to turn the call over to Dan Meziere, Vice President of Investor Relations and Treasurer. You may begin.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Dan Meziere","VP of Investor Relations at Atmos Energy Corporation","Thank you, Jeannie. Good morning, everyone, and thank you for joining us. With me today are Kevin Akers, President and Chief Executive Officer, and Chris Forsythe, Senior Vice President and Chief Financial Officer. Our earnings release and conference call slide presentation, which we will reference in our prepared remarks, are available at atmosenergy.com under the Investor Relations tab. As we review our financial results and discuss further expectations, please keep in mind that some of our discussion might contain forward-looking statements within the meaning of the Securities Act and the Securities Exchange Act. Our forward-looking statements and projections could differ materially from actual results. The factors that could cause such material differences are outlined on slide 29 and are more fully described in our SEC filings. I will now turn the call over to Kevin.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Kevin Akers","CEO at Atmos Energy Corporation","Thank you, Dan. Good morning, everyone, and thank you for joining us today. I wanted to begin today's call by thanking every one of our Atmos Energy employees for their preparation, focus, and dedication in safely providing natural gas service to our customers and communities during the very challenging weather conditions of Winter Storm Fern. For their dedication throughout the year to execute upon our system modernization strategy as we continue our journey toward our vision to be the safest provider of natural gas services. During Winter Storm Fern, all segments of our business, distribution, transmission, Atmos Pipeline-Texas, our underground storage systems, gas supply plans, and our customer support operations, all performed very well and to design expectations. I am very proud of our team and their efforts.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Kevin Akers","CEO at Atmos Energy Corporation","I would also like to thank the first responders, emergency responders, and emergency management services teams across our service territory for what they do every day for our community. Yesterday, we reported fiscal 2026 first quarter net income of $403 million or $2.44 per diluted share. Our first quarter capital expenditures totaled $1 billion, with over 85% of these investments focused on enhancing the safety and reliability of our distribution, transmission, and underground storage systems. As a reminder, we rebased our fiscal 2026 guidance to reflect the passage of Texas House Bill 4384. As we stated on our November earnings call and in our investor material, our rebased fiscal 2026 earnings per share guidance is in the range of $8.15-$8.35 per share.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Kevin Akers","CEO at Atmos Energy Corporation","Additionally, we rebased the fiscal 2026 annual dividend to $4 per share, and we plan to grow our dividend in line with our earnings per share growth of 6%-8% annually. Moving to our Atmos Pipeline-Texas division, we achieved several project milestones during the first quarter. We completed the installation of approximately 55 miles of 36-inch pipeline from APT Bethel Storage Facility to our Groesbeck Compressor Station. This provides additional pipeline capacity to transport gas from our Bethel storage into the growing DFW Metroplex and the Interstate 35 corridor between Waco and Austin. We continue to work on phase two of APT's Line WA Loop project, as we have placed 13 miles of this project into service.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Kevin Akers","CEO at Atmos Energy Corporation","As a reminder, this project is designed to install approximately 44 miles of 36-inch pipeline to the west of Fort Worth to support growth in this area of the DFW Metroplex. The remaining 31 miles is expected to be placed in service this spring. In addition to the enhanced supply capacity of those projects, we completed a project that more than doubles the takeaway capacity at our Bethel Salt Dome storage facility, providing additional peak day deliverability into the APT system for our LDC customers. Finally, we enhanced APT supply optionality, reliability, and system versatility with the completion of two interconnect projects, adding 700,000 MCF per day of additional natural gas supply to the APT system. Across our service territories, we continue to see steady customer growth.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Kevin Akers","CEO at Atmos Energy Corporation","For the 12 months ending December 31, 2025, we added nearly 54,000 new customers, with approximately 42,000 of those new customers located here in Texas. During the first quarter, we added over 1,100 commercial customers and 3 new industrial customers. This continued demand from all customer classes demonstrates the value and vital role natural gas plays in economic development across our service territory. The Texas Workforce Commission reported that at the end of December, the seasonally adjusted number of employees was 14.3 million. Texas once again added jobs at a faster rate than the nation over the last 12 months, ending December 2025. Our customer support associates and service technicians continued to provide exceptional customer service, achieving customer satisfaction ratings of 98% for the quarter.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Kevin Akers","CEO at Atmos Energy Corporation","Our customer advocacy team and customer support agents continued their outreach efforts to energy assistance agencies and customers during the first quarter. Through those efforts, the team helped over 11,000 customers receive nearly $3 million in funding assistance. Recently, our team's customer service efforts were recognized by J.D. Power and Escalent. In December, the J.D. Power 2025 Gas Utility Residential Customer Satisfaction Study ranked Atmos Energy number one in customer satisfaction in the South and Midwest among large utilities. This is Atmos Energy's fourth consecutive year to receive this honor for the Midwest region. In January, Atmos Energy was named an Escalent 2025 Utility Customer Champion in both the South and Midwest regions.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Kevin Akers","CEO at Atmos Energy Corporation","More than 96% of our customers are located in these two regions, and we are very proud of our entire team for their ongoing focus and dedication to providing exceptional customer service. Congratulations, and thank you all. I'll now turn the call over to Chris for his update.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
"ATO","2026-02-03","Chris Forsythe","CFO at Atmos Energy Corporation","Thank you, Kevin, and good morning, everyone. We appreciate you joining us this morning. Our fiscal 2026 first quarter diluted earnings per share of $2.44 represented a 9.4% increase over the prior year quarter. Our first quarter results includes $35 million, or 16 cents, in the impact of Texas House Bill 4384. $20 million was recognized in our distribution segment, and the remaining $15 million was recognized at APT. Our first quarter performance was also influenced by several other factors. Rate increases in both of our operating segments totaled $68 million. Operating income increased by an additional $24 million due to residential commercial customer growth and increased customer load. Finally, APT's through system revenues, net of Rider REV, increased about $7 million.","https://www.marketbeat.com/earnings/reports/2026-2-3-atmos-energy-co-stock/"
