"symbol","report_date","speaker","title","msg","source_url"
"AVY","2026-02-04",NA,NA,"Ladies and gentlemen, welcome to Avery Dennison's Earnings Conference Call for the Q4, ended on December 31, 2025. During the presentation, all participants will be in a listen-only mode. Afterward, we will conduct a Q&A section. At that time, if you would like to ask a question, please press star one on your telephone keypad to raise your hand and enter the queue. As a reminder, this webcast is being recorded and will be available for replay on the Avery Dennison Investor Relations website. I'd now like to turn the call over to William Gilchrist, Avery Dennison's Vice President of Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","William Gilchrist","VP of Investor Relations at Avery Dennison Corporation","Thank you, Miriam, and welcome to Avery Dennison's Q4 and Full Year 2025 Earnings Conference Call. Please note that throughout today's discussion, we'll be making references to non-GAAP financial measures. The non-GAAP measures that we use are defined, qualified, and reconciled from GAAP on Schedules A-4 to A-8 of the financial statements accompanying today's earnings release. We remind you that we'll make certain predictive statements that reflect our current views and estimates about our future performance and financial results. These forward-looking statements are made subject to the safe harbor statement included in today's earnings release. On the call today are Deon Stander, President and Chief Executive Officer, and Greg Lovins, Senior Vice President and Chief Financial Officer. I'll now turn the call over to Deon.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","Thanks, Gilly, and hello, everyone. We delivered solid full-year 2025 results with adjusted EPS of $9.53 and $707 million of adjusted free cash flow. A performance that once again underscores the durability of our franchise and our ability to activate multiple levers across a range of macro scenarios. While ongoing trade policy changes and softer consumer sentiment have been headwinds for our business, we successfully leveraged our productivity playbook to maintain an adjusted EBITDA margin of 16.4%. Our results demonstrate the resilience of our model as we remain focused on driving outsized growth in high-value categories, accelerating innovation to advance our differentiation, delivering productivity to protect base margins, and allocating capital effectively. Turning to the Q4 segment results. In Materials Group, reported sales increased 5%.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","While sales were down slightly on an organic basis, we saw low single-digit volume and mix growth that was more than offset by deflation-related price reductions. We are continuing to advance our strategic shift towards high-value categories, which now represent 38% of the segment's portfolio, a figure we expect to expand with a full year of Taylor Adhesives. Within this segment, Intelligent Labels delivered high single-digit growth, underscoring its role as an important growth engine, while Performance Materials grew mid-single digits and Graphics and Reflectives grew low single digits. High-value categories helped balance our base categories, which were down low single digits in the quarter, lower than expected on softer customer volumes. From a margin perspective, adjusted EBITDA margin was 16.6%, down 40 basis points compared to the prior year.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","This reflects the impact of higher employee-related costs and some one-time benefits in the prior year Q4, which our team worked diligently to partially offset through the benefits of our ongoing productivity actions. In Solutions Group, sales increased roughly 1.5%. This segment continues to lead our portfolio shift, with high-value categories now representing 60% of the Solutions Group portfolio. This proved critical this quarter, as our high-value categories provided a necessary offset to our base solutions, which continued to be impacted by tariff-related uncertainty. Specifically, our base apparel business was below our expectations, down roughly 7% as customers balanced inventory positions with the impact of post-tariff pricing decisions. Within our Solutions Group high-value platforms, Vestcom grew more than 10%, Embelex delivered high single-digit growth, and Intelligent Labels, tempered by the consumption trends in apparel and general retail IL, grew low single digits.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","From a profitability perspective, our disciplines focused on our productivity playbook and a favorable high-value mix allowed us to deliver an adjusted EBITDA margin of 17.8%, which is up nearly a point sequentially and comparable to prior year, successfully offsetting high employee-related costs and our continued investments in future growth. Turning to our enterprise-wide Intelligent Label platform, sales grew mid-single digits compared to prior year, in line with our expectations for a sequential improvement in the rate of growth. This was driven by our key growth market segments and a partial recovery in apparel, which grew low single digits this quarter. While apparel and general retail sales have been impacted by tariff policy changes, resulting in flat full-year sales, our food, logistics, and other categories delivered outsized performance with high teens growth in Q4 and approximately 10% growth for the full year 2025.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","Looking ahead to 2026, we continue to anticipate growth in this platform above the pace we achieved in 2025. We expect the pace of growth to be stronger in the H2 than the H1, as we lap a stronger Q1, 2025, which was largely unaffected by tariffs and as new programs roll out. In apparel and general retail, we expect to return to growth as we continue to navigate the impacts of tariff policy uncertainty. In food, adoption is set to accelerate through our major fresh grocery rollout with Walmart, with revenues ramping in the back half of 2026. Finally, in logistics, we are focused on expanding pilots with new customers, following a year of outsized growth with our largest customer.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","Pivoting back to the enterprise level, while I am pleased with our ability to protect margins and earnings in this environment, I am not satisfied with our organic revenue growth. While much of this is due to cyclical challenges, we are taking decisive action to fix this growth trajectory. As you can see on slide 10, our high-value categories, which have secular tailwinds, remain a key enabler of enterprise growth and portfolio strength, growing at a mid-single-digit CAGR over the past six years and expanding to roughly 45% of our sales in 2025, a 12-point increase since 2019. Expanding these solutions to new customers and end markets will add to our growth trajectory. Accelerating innovation outcomes in both high-value categories and the base categories is also key to changing our growth trajectory.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","This allows us to expand our opportunity with existing customers and to grow into new markets. Within our Solutions Group, we're advancing this through examples such as our Intelligent Labels, fresh solutions for food traceability, the expansion of Vestcom's scaling software platform for centralized retail execution, and the growth of Embelex's Custom Studio fan zones to drive in-venue fan engagement. Similarly, in Materials Group, new innovations such as the expansion of our CleanFlake portfolio to more packaging substrates to advance circularity and the introduction of smart materials to accelerate Intelligent Label adoption throughout the channel. Additionally, to further enhance our differentiation, we're also expanding our digital capabilities, use of automation, and leveraging AI to enable additional operational productivity and fixed cost innovation, strengthen our service and quality, shorten our innovation cycles, and provide more data-driven solutions that our customers require to address their fundamental challenges.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
"AVY","2026-02-04","Deon Stander","President and CEO at Avery Dennison Corporation","Stepping back, as you can see on slide 9, executing on all our key strategies with proven business resilience enables us to deliver GDP plus growth and top-quartile returns across cycles. In addition to investing in innovation to drive growth in our high-value categories and base businesses, and positioning ourselves to lead at the intersection of the physical and digital, we will continue to relentlessly focus on productivity to strengthen our market-leading positions in both our businesses. We will also continue to be disciplined in capital allocation to deliver returns and improve our portfolio. Finally, I'm pleased to report that we achieved our 2025 sustainability objectives, which we laid out in 2015. These include reducing our energy intensity and enabling more sustainable products and solutions for our customers. Similarly, we're making good progress towards our 2030 sustainability objectives we set in 2020.","https://www.marketbeat.com/earnings/reports/2026-2-4-avery-dennison-co-stock/"
