"symbol","report_date","speaker","title","msg","source_url"
"AZO","2025-09-23",NA,NA,"Welcome to AutoZone's 2025 Q4 Earnings Release Conference Call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. If anyone should require operator assistance during the conference, please press star zero on your telephone keypad. Please note this conference is being recorded. Before we begin, the client would like to read their forward-looking statement. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","","Company Representative at AutoZone","Before we begin, please note that today's call includes forward-looking statements that are subject to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are not guarantees of future performance. Please refer to this morning's press release and the company's most recent annual report on Form 10-K and other filings with the Securities and Exchange Commission for a discussion of important risks and uncertainties that could cause actual results to differ materially from expectations. Forward-looking statements speak only as they are made, and the company undertakes no obligation to update such statements. Today's call will also include certain non-GAAP measures. A reconciliation of GAAP to non-GAAP financial measures can be found in our press release.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23",NA,NA,"I would now like to turn the call over to your host, Phil Daniele, President and CEO of AutoZone. You may begin.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","Philip Daniele","President and CEO at AutoZone","Thank you. Good morning and thank you for joining us today for AutoZone's 2025 Fourth Quarter Conference Call. With me today are Jamere Jackson, Chief Financial Officer, and Brian Campbell, Vice President, Treasurer, Investor Relations, and Tax. Regarding the fourth quarter, I hope you had an opportunity to read our press release and learn about the quarter's results. If not, the press release, along with slides complementing our comments today, are available on our website, www.autozone.com, under the Investor Relations link. Please click on the Quarterly Earnings Conference Call to see them. To start out this morning, I want to thank our more than 130,000 AutoZoners across the entire company for their commitment to delivering on the first line of our pledge: AutoZoners always put customers first. Our operating theme for FY 2025 was ""Great People, Great Service,"" and we have lived up to that theme.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","Philip Daniele","President and CEO at AutoZone","Their contributions continue to allow us to deliver solid results. We will continue to succeed as long as we are all working towards the common goal of delivering what AutoZoners call ""Wow Customer Service."" To get started this morning, let me address our sales results. Coming into the quarter, we were optimistic that our focus on improved store execution would drive sales growth for both our retail and commercial channels. More specifically, we felt the momentum we gained over the last two quarters with our domestic commercial same-store sales would continue this quarter. We are very pleased that our domestic commercial sales accelerated again this quarter to 12.5% on a 16-week basis. Additionally, our domestic retail comp performed well at 2.2%. Finally, our international constant currency comp remained solid, up 7.2% for the quarter, and relatively consistent on a two-year basis with last quarter's results.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","Philip Daniele","President and CEO at AutoZone","We are encouraged by our continued sales results, and we are excited about the outlook for the 2026 fiscal year. Next, let me touch on a few highlights for the quarter, and then I'll give you a little more color on our execution, the current environment, and our outlook. For the quarter, as we continue to focus on what we call ""Wow Customer Service,"" our total sales grew +0.6% while earnings per share decreased 5.6%. I will remind you that last year we had an extra week in the quarter. If we adjust last year to include only 16 weeks, our total sales grew 6.9% while our earnings per share grew +1.3%. Additionally, I want to point out that this year's gross margin, operating profit, and EPS were negatively impacted by a non-cash $80 million LIFO charge. This charge had an impact on margins and EPS.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","Philip Daniele","President and CEO at AutoZone","Excluding this LIFO charge, our EPS would have been plus 8.7% versus last year on a 16-week basis. We also delivered a +5.1% total company same-store sales on a constant currency basis, with domestic same-store sales growth of 4.8%. Our domestic DIY same-store sales grew 2.2% while our domestic commercial sales grew up 12.5% versus last year on a 16-week basis. International same-store sales were up 7.2% on a constant currency basis. While our international business continues to comp impressively, we faced over 5 points of currency headwind, which resulted in a lower unadjusted international comp of 2.1%. As you know, the stronger U.S. dollar had a negative impact on our reported sales, operating profit, and earnings per share. Jamere will provide more color for you on the foreign currency impact on our financial results for both this past quarter and the upcoming first quarter later on this call.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","Philip Daniele","President and CEO at AutoZone","Specifically related to our domestic commercial business, our focus is on improving execution, expanding parts availability, and improved speed of delivery to our commercial professional customers. These initiatives helped us significantly improve our sales results versus last year. Commercial sales were up 12.5% year-over-year on a 16-week basis versus a very strong +10.7% in the third quarter and 7.3% in the second quarter. We believe the initiatives we have in place have a long runway and will drive strong results into the future quarters. We are pleased with our efforts and our execution thus far. Next, I'll discuss the quarter's sales cadence. Regarding our +4.8% quarterly domestic same-store sales, the cadence was +4.4% in the first four weeks, +2.4% in the second four weeks, +6% in the third four-week segment, and +6.4% over the last four weeks of the quarter.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","Philip Daniele","President and CEO at AutoZone","Because this quarter's second four-week segment had the July 4th holiday, while last year the holiday fell in the third four-week segment, we feel it's appropriate to combine the middle eight weeks of results. Our comp was +4.2% over this segment. Therefore, the ramp being +4.4%, +4.2%, and +6.4%. We're encouraged by those numbers. We attribute this ramp to both growing market share and the warmer, more summer-like weather arriving in mid-July, while last year's warmer weather came earlier in the quarter. This positively impacted both our DIY and commercial sales. Overall, we are encouraged with our sales acceleration this quarter, and we are excited to start the new year. Now, let me focus for a few more minutes on our domestic DIY business. Our merchandise category segments: failure, maintenance, and discretionary were all positive for the quarter.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
"AZO","2025-09-23","Philip Daniele","President and CEO at AutoZone","It is very encouraging for us to see the discretionary categories grow at a pace not seen since FY 2023. Regarding our +2.2% DIY comp for the quarter, we experienced a +2.1% in the first four-week segment, a +0.9% in the second segment, +1.7% across the third segment, and up 4.1% during the last segment. With regard to inflation's impact on DIY sales, we saw higher average DIY ticket growth at 3.9% versus like-for-like same SKU inflation up approximately 2.8% for the quarter. We attribute the higher average ticket versus SKU inflation growth to an improved product mix this quarter. We continue to expect ticket inflation to be up at least 3% for the remainder of the calendar year.","https://www.marketbeat.com/earnings/reports/2025-9-23-autozone-inc-stock/"
