"symbol","report_date","speaker","title","msg","source_url"
"A","2025-05-28",NA,NA,"Good afternoon. My name is Regina, and I will be your conference operator today. At this time, I would like to welcome everyone to the Second Quarter 2025 Agilent Technologies Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. To withdraw your question, press star one again. Thank you. Parmeet Ahuja, you may begin the conference.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Parmeet Ahuja","VP of Investor Relations at Agilent Technologies","Thank you and welcome everyone to Agilent's conference call for the second quarter of fiscal year 2025. With me are Padraig McDonnell, Agilent President and CEO, and Bob McMahon, Agilent Senior Vice President and CFO. Joining the Q&A will be Simon May, President of the Life Sciences and Diagnostics Markets Group; Angelica Riemann, President of the Agilent CrossLab Group; and Mike Zhang, President of the Applied Markets Group. This presentation is being webcast live. The press release for our second quarter financial results, investor presentation, and information to supplement today's discussion, along with the recording of this webcast, are available on our website at www.investor.agilent.com. Today's comments will refer to non-GAAP financial measures. You'll find the most directly comparable GAAP financial metrics and reconciliations on our website.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Parmeet Ahuja","VP of Investor Relations at Agilent Technologies","Unless otherwise noted, all references to increases or decreases in financial metrics are year-over-year, and references to revenue growth are on a core basis. Core revenue growth is adjusted for the impact of currency exchange rates and any acquisitions and divestitures completed within the past 12 months. Guidance is based on forecasted exchange rates. As a reminder, beginning in the first quarter of fiscal 2025, we implemented certain changes to our reporting structure related to the reorganization of our three business segments. We have recast our historical segment information to reflect these changes and have provided the financial details on our website. These changes have no impact on our company's consolidated financial statements. During this call, we will also make forward-looking statements about the financial performance of the company. These statements are subject to risks and uncertainties and are only valid as of today.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Parmeet Ahuja","VP of Investor Relations at Agilent Technologies","The company assumes no obligation to update them. Please look at the company's recent SEC filings for a more complete picture of our risks and other factors. Now, I'd like to turn the call over to Padraig.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","Hello everyone, and thank you for joining today's call. Agilent delivered strong second quarter results in a highly dynamic market environment. Revenue of $1.67 billion for the second quarter represented growth of 6% reported and up 5.3% core compared with the second quarter of 2024. Operating margin was a solid 25.1% as we absorbed some incremental tariff costs. We also delivered EPS of $1.31, growing 7% compared with the second quarter of 2024. Both revenue and EPS exceeded our expectations, marking the fourth consecutive quarter of accelerating growth. Our performance was driven by growth across markets and regions, speaking to the diversity of our business. We also saw another quarter of billing momentum in instruments with our book-to-bill ratio again greater than one. Thank you to the Agilent team for delivering these results by tirelessly going above and beyond for our customers.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","No matter where I travel in the world, our customers consistently say the same thing. The Agilent team is second to none, and for that reason, they want to increase their partnership and collaboration with us even more, even during a challenging macro environment. These conditions have proved the efficacy of our three-year Ignite transformation, which is the execution of our strategy. We're already leveraging Ignite to create an enterprise operating model that has resulted in multiple early wins, including tariff mitigation. More on that in a moment. First, let me tell you why our Q2 was so strong. All regions grew in the quarter. Americas grew low single digits. EMEA grew mid-single digits, and China led the way at 10% growth, exceeding our expectation, while the rest of Asia grew high single digits. China saw stable demand conditions sequentially, while a favorable Lunar New Year comparison helped year-on-year growth.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","In Asia, India delivered high teens growth. India is a long-term, high-growth, innovation-driven market, which is why we've opened our first India Solution Center there this month. The center showcases Agilent's expertise across disciplines to deliver end-to-end solutions in sectors such as GLP-1 analysis, emerging Food and Environmental Contaminant Analysis, and PFAS detection. We also delivered mid to high single-digit growth in all end markets except academia and government, which declined modestly, with strong results in Asia moderating the expected softness in the U.S. Pharma grew 6% at the high end of expectations, led by small molecule growing low double digits. Biopharma continues to recover at a slower pace, growing low single digits as we continue to see funding challenges in small and mid-sized biotech, primarily in the U.S.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","Within Biopharma, NASD was a standout, growing high single digits in Q2, and we're looking forward to double-digit growth from NASD in the second half of the year. In addition, while not yet part of core growth, our BIOVECTRA business performed well, exceeding guidance. BIOVECTRA's capabilities are in the sweet spot of tremendous markets, for example, GLP-1s and complex chemistries, with terrific medium and long-term growth potential. We are very excited about the combined offerings of NASD and BIOVECTRA. Diagnostics and Clinical grew 8% ahead of expectations on strong performance of our pathology business in the Americas and Europe. Environmental and Forensics grew 6% on strong PFAS testing demand globally. PFAS testing remains strong for Agilent globally, and we see it continuing to expand into other end markets such as Food and Chemical and Advanced Materials.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","In Q2, PFAS grew more than 70% year-over-year globally, with Europe and China more than doubling their business. PFAS provided an incremental 80 basis points to our growth in the quarter and is now annualizing to well over $100 million. We continue to be very optimistic about the long-term growth prospects globally in PFAS as regulations and standards continue to be put in place. For PFAS testing, our Infinity III and our 6495 Triple Quadrupole LC/MS system is the most sensitive and robust solution. The Agilent team has a deep understanding of customer challenges and how we can help them with their testing needs through delivering integrated workflow solutions, productivity, and new modality application development. We are tracking over 350 regulations globally and are very confident in the continued momentum in this emerging $1 billion addressable market by 2030.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","In Chemicals and Advanced Materials, revenue grew 4% with high single-digit growth in Advanced Materials, while Chemical and Energy was up low single digits globally. Overall, we saw growth ex-China offset by low single-digit decline in China. Lower oil prices are net positive to the CAM business, given it drives lower input prices to our Chemical business, which is four times bigger than Energy. Food grew 8%, benefiting from strength in Asia through government-funded technology refresh. Our smallest end market, academia and government, declined only 2% in the quarter, better than expected performance in the U.S. and globally. Given we were ahead of others talking about potential U.S. funding impacts in our first quarter earnings call and did better than expected in Q2, we feel we already have adequately captured any variability looking forward.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","When looking holistically across Agilent, we continue to make investments in our digital ecosystem, such as our next-generation e-commerce platform, so that we can offer an outstanding customer experience. Those investments are paying off as we grew digital orders by 12% year-over-year to $295 million. I also want to highlight ACG's 9% growth this quarter, which exceeded expectations. ACG's performance was led by strong growth in automation, services, and consumables. For the first time in several quarters, we saw both on-demand and installation services return to growth. These results keep us on track with the long-term commitments we outlined at our Analyst and Investor Day in December, including 5%-7% core revenue growth, expanding margins 50-100 plus basis points annually, and driving double-digit EPS growth. We have momentum at Agilent. Over the past 12 months, my first year as CEO, the Agilent team has accomplished a lot.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","We built a formidable senior leadership team that is working in lockstep to maximize Agilent's resources to drive shareholder value. We've evolved our enterprise strategy to be market-first and realigned our businesses to our markets. We acquired BioVectra for roughly $1 billion to expand our CDMO capabilities, and we have moved from planning to execution on Ignite. Before providing further details on Ignite, I want to pause here and thank our Agilent team members for how quickly they have adapted to change and the company's higher ambition. It is no small feat to transform a company, and I've been impressed by our colleagues' passion for our mission and vision and their increased zeal to delight customers so that Agilent continues to win in the market. These team members are leading Ignite, an initiative that is already yielding incredible results.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","Those incredible results include strengthening our strategic pricing capabilities and implementing enterprise-wide pricing initiatives. In six months, we already have exceeded the full-year price contribution from last year and are expecting at least 100 basis points of price realization in 2025, with expectations for an even greater impact in 2026 and beyond. Improving organization agility and efficiency by flattening management layers and increasing spans of control by 30% to improve our organization health and become a nimbler company. Additionally, we expect this to deliver annualized savings of about $80 million starting in the second half of the fiscal year. Centralizing our procurement under a Chief Procurement Officer and adopting an integrated enterprise-wide approach to vendor management, we already see strong momentum exceeding our internal savings targets, ramping in the second half of this year while being essential in mitigating tariff expense with our suppliers.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","This is with projected procurement annualized savings exceeding $50 million by the end of 2025 and establishing a strong foundation for additional gains in 2026. Ignite has become the backbone of our operating system, enabling faster decision-making, more scalable growth, and over $130 million of profit for fiscal year 2025. It is our institutional engine for long-term value creation. Centered to value creation is our continued commitment to innovation. I'm proud to share three impactful new products that demonstrate that commitment. In our cell analysis portfolio, we just launched the Seahorse XF Flex Analyzer. With its world-class leading sensitivity, versatility, intuitive design, and compatibility with 3D models, the XF Flex empowers more researchers than ever before to explore cellular metabolism with confidence. At the 73rd ASMS conference next week, we will launch our latest innovation in liquid chromatography mass detection.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","Our new InfinityLab Pro iQ Series offers unparalleled sensitivity, speed, and efficiency, making it the ideal choice for customers analyzing complex biomolecules in settings where performance and lab productivity are key. At ASMS, we will also showcase our enhanced 8850 GC, now coupled with the power of our market-leading GCMS that enables our customers to do more with less. We've reduced the 8850's footprint by 50% and increased throughput up to five times by lowering its energy usage by 45% compared with a conventional benchtop GC. We also continue to have success with our Infinity III LC in orders, funnel, and our attached rates of service and consumables. We're seeing this success both geographically, with robust growth in India, a particular highlight, and across all end markets, with our top customers calling out the Infinity III's superior performance, intelligence, and task automation capabilities.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","To help further drive Agilent's internal and external innovation engine, I'm delighted to announce August Spect is joining Agilent next month as our Chief Technology Officer. August has spent over 25 years in senior R&D roles in the life sciences industry. Welcome, August. Ignite also gave us a significant head start on tariff mitigation, enabling the immediate creation of our Tariff Task Force that has allowed us to make changes that will maintain our market strength regardless of tariff rates. We are proactively managing tariff exposure by taking several targeted actions, including focusing on specific product lines and production sites rather than adopting a one-size-fits-all approach, further diversifying our supply chain by leveraging our extensive global sourcing capabilities and manufacturing network, ensuring we're geographically even closer to customers, implementing strategic pricing initiatives around the globe that protect our market competitiveness.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
"A","2025-05-28","Padraig McDonnell","President and CEO at Agilent Technologies","While we remain vigilant amid geopolitical developments, our localized manufacturing, proactive tariff mitigation, and a diversified customer base gives us greater resilience and agility globally than many of our peers. Through our Tariff Task Force enabled by our Ignite operating model, we feel that we are able to mitigate most of the impact in 2025 and fully mitigate in 2026, even when considering recent developments on the US-EU tariffs. With the Task Force, we can create targeted analytics in a matter of hours, not days, that identify key supply chain and commercial opportunities that will allow us to maximize our tariff mitigation efforts. Our top priority is ensuring we minimize tariff impacts on our customers and that our customers have the trusted Agilent products, solutions, and services they need. Looking ahead, we are confident that the long-term fundamentals and secular growth drivers of our markets remain strong.","https://www.marketbeat.com/earnings/reports/2025-5-28-agilent-technologies-inc-stock/"
