"symbol","report_date","speaker","title","msg","source_url"
"BALL","2025-05-06",NA,NA,"As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Brandon Potthoff, Head of Investor Relations. Thank you, sir. You may begin.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Brandon Potthoff","Head of Investor Relations at Ball Corporation","Thank you, Christine. Good morning, everyone. This is Ball Corporation's conference call regarding the company's first quarter 2025 results. The information provided during this call will contain forward-looking statements. Actual results or outcomes may differ materially from those that may be expressed or implied. We assume no obligation to update any forward-looking statements made today. Some factors that could cause the results or outcomes to differ are described in the company's latest Form 10-K, our most recent earnings release, and Form 8-K and other company SEC filings, as well as company news releases. If you do not already have our earnings release, it is available on our website at ball.com. Information regarding the use of non-GAAP financial measures may also be found in the notes section of today's earnings release.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Brandon Potthoff","Head of Investor Relations at Ball Corporation","In addition, the release includes a summary of non-comparable items, as well as a reconciliation of comparable net earnings and diluted earnings per share calculations. References to net sales and comparable operating earnings in today's release and call do not include the company's former aerospace business. Prior year-to-date net earnings attributable to the corporation and comparable net earnings do include the performance of the company's aerospace business through the sale date of February 16th, 2024. I would now like to turn the call over to our CEO, Dan Fisher.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Dan Fisher","CEO at Ball Corporation","Thank you, Brandon. Today, I'm joined on our call by Howard Yu, EVP and CFO. I will provide some brief introductory remarks. Howard will discuss first quarter financial performance and key metrics for 2025, and then we will finish up with closing comments and Q&A. I want to take a minute and highlight the amazing work our employees and teams have done to give back to their communities. April was our Global Volunteer Month at Ball, and our employees volunteered more than 640 hours of their time across 11 countries, working to create a positive impact in the communities where we live and work. I want to thank all of our employees who devoted time in April to uplifting our communities. You truly represent our values of we care, we work, and we win.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Dan Fisher","CEO at Ball Corporation","Turning to business performance, we delivered strong first quarter results and returned $708 million to shareholders via share repurchases and dividends through today's call. This performance reemphasizes our opportunity to deliver record-adjusted free cash flow and comparable diluted earnings per share in 2025. Aluminum packaging continues to outperform other substrates across the globe, demonstrating the resilient and defensive nature of our global business. While we remain mindful of ongoing uncertainties related to tariffs and consumer pressures, particularly in the U.S., we are confident in our ability to proactively manage these challenges and sustain our positive momentum throughout the year to deliver 11%-14% comparable diluted EPS growth. In EMEA, first quarter volume remained strong as our customers continued to move their package mix to aluminum cans. In South America, volume growth came in slightly ahead of our expectations, driven by positive performance across each geography in which we operate.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Dan Fisher","CEO at Ball Corporation","In North America, volume returned to growth despite a tough comp and economic pressure on the end consumer. Our regional performance culminated in Ball's global shipments being up 2.6% year-over-year in the first quarter of 2025. Looking to the rest of the year, our teams are focused on managing uncertainty while leveraging the inherent resilience and defensiveness of our global portfolio. We remain laser-focused on achieving our stated goal of 11%-14% comparable diluted earnings per share growth in 2025 and are confident in our proven ability to execute through complexity and deliver value back to shareholders. We continue to anticipate global volume growth in the 2%-3% range and expect all of our businesses to perform in line with or ahead of the targets outlined at our 2024 Investor Day.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Dan Fisher","CEO at Ball Corporation","This reflects the strength of underlying global demand, the durability of our customer relationships, and the operational consistency of our teams across markets. In EMEA, we continue to expect mid-single-digit volume growth in 2025, as the competitive advantage of aluminum packaging and low can penetration rates continue to drive share gains across the region. In South America, recovery in Argentina and Chile, coupled with anticipated growth in Brazil, is expected to drive volume growth above our 4%-6% long-term range in 2025. In our North American business, higher-than-expected volume growth across non-alcoholic categories more than offsets ongoing pressures in mass beer. We remain confident in our ability to deliver volume growth in line with or slightly above the market in 2025.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Dan Fisher","CEO at Ball Corporation","While we are closely monitoring end consumer health, we believe the defensive nature of our portfolio, combined with our strong customer alignment, positions us well to navigate a potential economic slowdown. Lastly, on cups, during the first quarter, we announced the formation of Oasis Venture Holdings, a strategic partnership which consists of the aluminum cup business, including its commercial, supply chain, and manufacturing teams in the plant in Rome, Georgia. We are the minority partner and are excited about the long-term potential for the business under this new structure. With that, I'll turn it over to Howard to talk about first quarter 2025 results, as well as key metrics for 2025.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Howard Yu","EVP and CFO at Ball Corporation","Thank you, Dan. Starting with our results, 2025 first quarter comparable diluted earnings per share was $0.76 versus $0.68 in the first quarter of 2024, an increase of 12%. First quarter comparable net earnings of $216 million were driven by higher volumes, lower interest expense, and cost management initiatives, which were able to nearly offset the earnings headwind from the sale of our aerospace business and lower interest income. In North and Central America, stronger-than-expected volume performance drove a 2% increase in comparable operating earnings on a challenging comp. Our team executed exceptionally well, successfully improving operational efficiencies, effectively managing the impact of the 232 tariffs, and mitigating risk despite a volatile environment. Volume growth was largely driven by strength in energy drinks and non-alcoholic beverages. While we believe there may have been some modest pull forward of orders ahead of anticipated tariffs, we assess this impact as minimal.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Howard Yu","EVP and CFO at Ball Corporation","We remain attentive to the ongoing geopolitical landscape and tariff developments and are actively managing these dynamics. In EMEA, first quarter segment volume remained robust, and segment comparable operating earnings increased 13%. Demand trends continue to be favorable, reinforcing our confidence in achieving significant year-over-year comparable operating earnings growth in 2025, driven by ongoing operational efficiency improvements and sustained volume growth. In South America, segment comparable operating earnings increased 25%, supported by strong volume performance across all markets. We are encouraged by consumer conditions in Argentina, which continue to exhibit signs of recovery, and the Brazilian market performed in line with our initial expectations, reflecting a stable operating environment. Our personal and home care business, previously referred to as Aerosol, delivered mid-single-digit volume growth in the first quarter. We remain confident in the strength of this business and continue to expect volume growth to exceed our long-term range in 2025.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Howard Yu","EVP and CFO at Ball Corporation","Moving on to additional key financial metrics and goals for 2025, we anticipate year-end 2025 net debt to comparable EBITDA to be 2.75 times. We will repurchase at least $1.3 billion worth of shares in 2025 and will remain aggressive in repurchasing our stock at what we believe is very attractive pricing. Through today's call, we have repurchased $651 million worth of shares year-to-date. 2025 CapEx is expected to be slightly below D&A in the range of $600 million. We anticipate being able to deliver on our target of comparable net earnings equal to adjusted free cash flow in 2025. Relative to the estimated tax payment due to aerospace sale, we expect the remaining portion to be paid in 2025. Our 2025 full-year effective tax rate on comparable earnings is expected to be slightly above 22%, largely driven by lower year-over-year tax credits.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Howard Yu","EVP and CFO at Ball Corporation","Full-year 2025 interest expense is expected to be in the range of $280 million. Full-year 2025 reported adjusted corporate undistributed costs, recorded in other non-reportable, are expected to be in the range of $150 million. Last week, Ball's Board declared our quarterly cash dividend. Looking forward, we remain highly focused on operational excellence and disciplined cost management and driving efficiency and productivity across the organization. At the same time, we are closely monitoring volatility in emerging markets and broader geopolitical developments. Thanks to the resilient and defensive nature of our business, combined with our proactive steps we have taken to strengthen our balance sheet, we are well-positioned to navigate external uncertainty. With a clear financial runway and strong operational foundation, we are activating initiatives that we believe will enable consistent, high-quality results and compounding shareholder returns over the long term. With that, I'll turn it back to Dan.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
"BALL","2025-05-06","Dan Fisher","CEO at Ball Corporation","Thanks, Howard. Our business is performing well, and we have taken meaningful steps to future-proof our operations through long-term contract renewals, strategic deleveraging, and footprint optimization. Backed by the strength of our portfolio and the dedication of our teams, we are confident in our ability to achieve our financial goals of delivering 11%-14% comparable EPS growth, generating adjusted free cash flow in line with comparable net earnings, and returning substantial value to shareholders through large-scale share repurchases and dividends in 2025. As we focus on execution in 2025, we have the opportunity to deliver record adjusted free cash flow and comparable diluted earnings per share. While external volatility has increased since we last spoke in February, particularly around tariffs and geopolitical dynamics, the resilience of our global footprint and our defensive business model give us confidence in our ability to navigate a wide range of outcomes.","https://www.marketbeat.com/earnings/reports/2025-5-6-ball-corp-stock/"
