"symbol","report_date","speaker","title","msg","source_url"
"BDX","2026-05-07",NA,NA,"Welcome to BD's second fiscal quarter 2026 earnings call. At the request of BD, today's call is being recorded and will be available for replay on BD's investor relations website, investors.bd.com, or by phone at 800-688-9445 for domestic calls and 1-402-220-1371 for international calls. For today's call, all parties have been placed in a listen-only mode until the question and answer session. I will now turn the call over to Shawn Bevec, Senior Vice President, Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Shawn Bevec","SVP of Investor Relations at BD","Good morning, and welcome to BD's earnings call. I'm Shawn Bevec, Senior Vice President of Investor Relations. Thank you for joining us. This call is being made available via audio webcast at bd.com. Earlier this morning, BD released its results for the second quarter of fiscal 2026. The press release and presentation can be accessed on the IR website at investors.bd.com. Leading today's call are Tom Polen, BD's Chairman, Chief Executive Officer, and President, and Vitor Roque, Executive Vice President and Chief Financial Officer. Before we get started, I want to remind you that we will be making forward-looking statements. You can read the disclaimer in our earnings release and the disclosures in our SEC filings on our investor relations website. Unless otherwise specified, all comparisons will be made on a year-on-year basis versus the relevant fiscal period.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Shawn Bevec","SVP of Investor Relations at BD","Revenue percentage changes are on an FX neutral basis unless otherwise noted. Also, references to adjusted EPS refer to adjusted diluted EPS. The financials discussed here and included in the earnings release and 10-Q are presented on a continuing operations basis. Prior periods have been recast to reflect the spin-off of our life sciences business in combination with Waters, which is now accounted for as discontinued operations. Reconciliations between GAAP and non-GAAP measures are included in the appendices of the earnings release and presentation. With that, I will turn it over to Tom.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","Thank you, Shawn. Good morning, everyone. Before turning to Q2 results, I wanted to take a moment to highlight this morning our announcement of Vitor Roque as CFO. As you know, Vitor has been interim CFO since last fall and has done a fantastic job serving as a partner to me and the leadership team. Since he stepped into the role, we've delivered two solid quarters of performance and closed our transaction with Waters ahead of schedule, enabling us to fully initiate our new BD strategy while also enhancing our capital allocation strategy. In partnership with a leading executive search firm, management and the board ran a comprehensive process that evaluated a broad range of external candidates in addition to Vitor. Our goal is to identify the best candidate to lead BD's finance function.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","We were focused on identifying a CFO with a demonstrated ability to lead sophisticated finance organizations in complex operating environments, deep understanding of our markets and value creation model, and a strong track record of driving strategic, operational, and financial performance. As we worked through the process, it became clear that our best talent was already within the organization with Vitor. With 25 years at BD across our businesses, regions, and segments, he brings the experience and perspective to translate strategy into results, drive consistent execution, and create long-term shareholder value. I look forward to working closely with Vitor as we continue to execute on our strategy. Turning now to our Q2 results. We delivered a solid second quarter with revenue, adjusted margins, and adjusted EPS all ahead of our expectations.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","More importantly, performance reflected broad-based execution, with more than 90% of the portfolio delivering mid-single-digit growth and tangible progress in operational innovation and commercial performance through BD Excellence. Reflecting our first half performance and improved visibility into the remainder of the year, we are raising our full-year adjusted EPS guidance. This gives us confidence that the new BD strategy is delivering through a dynamic environment. Revenue was $4.7 billion, up 2.6%. As I've discussed, we've been focused on building multiple scaled growth platforms that sit at the center of secular trends that are driving the future of healthcare. It is in these areas where we're focusing on enhancing our commercial execution and driving product innovation. During the second quarter, we delivered double-digit growth across these key growth platforms, including biologic drug delivery, advanced patient monitoring, PureWick, and advanced tissue regeneration.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","We also delivered mid to high single-digit growth in oncology, peripheral arterial disease, and Rowa pharmacy automation. As you can see, these platforms are scaling. They're outpacing the broader portfolio and are becoming a more meaningful driver of our long-term growth profile. As expected, results were partially offset by focused pressure in Alaris, vaccines in China. We've been clear about these factors, which represent less than 10% of revenue, and we're managing them with discipline. We delivered adjusted operating margin of 24.2% and adjusted EPS of $2.90, reflecting strong operational execution through BD Excellence and the high quality of our revenue performance. Taken together, the quarter demonstrates the increasing quality, breadth, and resilience of New BD. We're executing against three priorities that define how we're building New BD: compete, innovate, and deliver.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","By expanding BD Excellence into commercial and R&D, we're building a stronger operating system, one that strengthens our competitive position, accelerates innovation in attractive markets, and improves the earnings and cash-generating power of the company over time. Starting with compete, we're raising the bar on commercial execution with greater rigor, faster decision-making, and more disciplined use of data. In Q2, those actions translated into measurable share gains and customer conversions across several key platforms. A few to highlight. Within connected care, APM continued to grow above market, driven by strong HemoSphere Alta adoption and a nearly 20% increase in Smart Recovery consumables demand. With incremental sales force hiring largely complete, we're well-positioned in the back half of the year. In Alaris, we drove share gains of approximately 50 basis points in the quarter and roughly 150 basis points year to date, with momentum continuing into Q3.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","In Biopharma Systems, we secured several significant long-term customer wins, including two next-generation GLP-1 programs with leading global pharmaceutical companies. Biologics are now expected to represent about 55% of segment revenue, reinforcing our confidence in the long-term growth outlook for this business. In interventional, we continued to build competitive momentum across surgery with strength globally from our synthetic hernia and advanced tissue regeneration portfolio and early contributions from recent launches, including Surgiphor Pulse and Avitene Flowable. In UCC, we drove continued adoption across the PureWick portfolio, including expanding our PureWick at Home initiative and adoption in the VA. This is a good example of how we're combining innovation and commercial execution to expand both our penetration and our addressable market. What's important here is that these are not isolated wins. They reflect improving commercial discipline and our ability to convert strategy into tangible outcomes. Our second priority is innovate.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","We're strengthening our pipeline and increasing the pace of launches in high growth areas that advance BD's leadership in connected care and enabling the shift to lower cost settings and in advancing the treatment of specific chronic diseases. While we're still in the early innings of applying BD Excellence to R&D, we're already seeing momentum. Year to date, we've applied BD Excellence to five development programs and on average, have reduced the time to launch by over 10 months. This is increasing the cadence of high impact launches that expand our addressable markets and support sustainable long-term growth. In peripheral intervention, we launched the EnCor EnCompass biopsy system in the U.S., strengthening our position in the $450 million global breast biopsy market. The system simplifies workflow and works across all imaging modalities, enhancing both efficiency and clinical flexibility.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","We also advanced our peripheral vascular portfolio with the early launch of the Revello Vascular Covered Stent in Europe. This expands us into new procedural segments within PVD and addresses more complex lesions. The U.S. launch is planned for next fiscal year. In APM, we expanded the launch of the HemoSphere Stream module in the U.S. and Europe. Stream enables continuous non-invasive blood pressure monitoring with real-time data and extends beyond traditional care settings, significantly expanding our addressable market. Collectively, these launches in the quarter show that innovation at BD is becoming more focused, more disciplined, and more impactful in the categories that matter most to our long-term growth. Our third priority, deliver, reflects our focus on quality, operational excellence, margin expansion, and cash flow generation.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","Our BD Excellence system and operational performance is a significant differentiator for BD and a key source of confidence in our ability to continue investing in growth while expanding earnings power. We're building a simpler, more efficient manufacturing network, reducing our footprint by roughly half to around 50 sites globally today, with actions underway to reduce it further. BD Excellence drove approximately 8% productivity in the quarter and service levels of over 90%. These actions are supporting growth, expanding margins, increasing cash flow, and strengthening the resilience of our operating model. We also made strong progress on our $200 million cost out program, with a run rate of $150 million already completed and clear visibility to fully deliver by the end of next year.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
"BDX","2026-05-07","Tom Polen","Chairman, CEO, and President at BD","Product quality is core to BD. I want to provide an update on the FDA warning letter we received last Thursday related to our El Paso, Texas facility that manufactures ChloraPrep and PurPrep infection prevention products. In response, we voluntarily placed these products on ship hold in the U.S. while we complete additional final release testing. This additional testing is already performed for products sold in Europe. We expect this testing to take approximately three weeks, pending satisfactory results, we would resume shipments at that time. We are continuing to manufacture product during this period. Importantly, there's been no patient safety signals, and we stand behind the safety of these products. Moving to capital allocation. We remain committed to a disciplined framework which prioritizes returning capital to shareholders, investing in high growth opportunities through disciplined tuck-in M&A, driving consistent improvement in return on invested capital.","https://www.marketbeat.com/earnings/reports/2026-5-7-becton-dickinson-and-company-stock/"
