"symbol","report_date","speaker","title","msg","source_url"
"BEN","2024-07-26",NA,NA,"Welcome to Franklin Resources Earnings Conference Call for the quarter ended June 30th, 2024. Hello, my name is Sylvie, and I will be your call operator today. As a reminder, this conference is being recorded, and at this time, all participants are in listen-only mode. I would like to turn the conference over to your host, Selene Oh, Chief Communications Officer and Head of Investor Relations for Franklin Resources. You may begin.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Selene Oh","Chief Communications Officer and Head of Investor Relations at Franklin Resources","Good morning, and thank you for joining us today to discuss your quarterly results. Statements made on this conference call regarding Franklin Resources, Inc., which are not historical facts or forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These forward-looking statements involve a number of known and unknown risks, uncertainties, and other important factors that could cause actual results to differ materially from any future results expressed or implied by such forward-looking statements. These and other risks, uncertainties and other important factors are just described in more detail in Franklin's recent filings with the Securities and Exchange Commission, including in the Risk Factors and the MD&A sections of Franklin's most recent Form 10-K and 10-Q filings. Now, I'd like to turn the call over to Jenny Johnson, our President and Chief Executive Officer.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","Thank you, Selene. Hello, everyone, and thank you for joining us today to discuss Franklin Templeton's results for the third fiscal quarter of 2024. I'm joined by Matt Nicholls, our CFO and COO, and Adam Spector, our Head of Global Distribution. We'll answer your questions in a few minutes, but first, I'd like to review some highlights from the quarter. During our third quarter, investors continued to be faced with a complex investment landscape due to dynamic financial markets amidst macroeconomic, geopolitical, and election uncertainty. Starting with public equity markets, the S&P 500 reached an historic milestone earlier this month, closing above 5,500 for the first time and continuing its streak of strong performance in 2024. Likewise, the Nasdaq-100 also hit record levels, surpassing the 20,000 mark.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","However, we've seen a pullback in late July as big tech earnings have disappointed and value has outperformed growth stocks month-to-date. The two big themes of artificial intelligence and inflation drove growth stocks to outperform value stocks in the first half of the calendar year. AI is impacting companies well beyond mega cap tech companies. Everyday companies and governments are examining how AI will improve or disrupt their respective operations and business models. Inflationary trends continued to moderate, which is supportive of markets. But because stock market returns have been so highly concentrated, equity allocations are poised to broaden, as we've seen in the last few weeks, which could provide a sustained boost to sectors and regions that have been overlooked. This trend will likely create investment opportunities favoring active managers.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","Meanwhile, on interest rates, consensus estimates currently expect two rate cuts by the Federal Reserve in the remainder of the year, which looks broadly appropriate to us. Recent Fed speak signals greater comfort with the latest progress on disinflation and acknowledges some signs of weakening growth momentum. As we get closer to the Fed's rate-cutting cycle, we expect traditional fixed income sectors to regain their place as a primary source for yield as cash begins to look less attractive. While spreads are tight at their current levels, we are not anticipating a sharp deceleration in activity, and our fixed income managers continue to find opportunities at attractive yields. Private markets continue to thrive, and our specialist investment managers are seeing very attractive yields in the private credit space, and secondary private equity is seeing near unprecedented levels of pricing power.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","As investors weigh the impacts of these trends, we're seeing a pickup in money in motion and investors becoming more active with alternatives, fixed income, and select equity sectors as top priorities. We also continue to see the trend of clients wanting to work with fewer managers, given the dynamic, complex nature of current markets. In addition, we continue to have success engaging more and more in a consultative way with large clients, leveraging the full strength of our firm. One of the benefits of partnering with Franklin Templeton is the breadth of capabilities we offer through a single global platform, making us a true partner for clients around the world. We offer access to specialist investment managers across public and private markets and asset classes, and continue to broaden our investment capabilities to help clients achieve better outcomes. Now, turning to the highlights from the quarter.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","Ending AUM was $1.65 trillion, flat from the prior quarter, and an increase of 15% from the prior year quarter, primarily due to the addition of Putnam as well as positive markets. Average AUM increased by 3% from the prior quarter to $1.63 trillion and increased by 15% from the prior year quarter. In terms of investment performance, our investment teams have remained true to their distinct disciplines and time-tested approaches. Investor performance remained consistent across the one-, three-, five-, and 10-year periods. This quarter, 53%, 49%, 52%, and 70% of our strategy composite AUM outperformed their respective benchmarks on a  one-, three-, five-, and 10-year basis. Turning to flows, long-term net outflows were $3.2 billion.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","Reinvested distributions were $3.6 billion compared to $3.1 billion in the prior quarter and $3.5 billion in the prior year quarter. $5.9 billion was funded out of the previously announced $25 billion allocation from Great-West Lifeco, bringing the total funded to $20.2 billion. We continue to make progress executing on our long-term plan of diversification across asset classes, investment vehicles, and geographies. Client demand led to positive net flows in multi-asset and alternative strategies during the quarter. Multi-asset net inflows were $1.8 billion and driven by positive net flows into Canvas, Franklin Income Fund, Fiduciary Trust International, and Franklin Templeton Investment Solutions. The Investment Solutions team takes Franklin Templeton's best thinking and leverages our firm-wide capabilities across public and private asset classes to help provide solutions tailored to our clients' needs.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","Investment Solutions ended the quarter with AUM of nearly $80 billion across the firm. Alternative net inflows were $1.4 billion, driven by growth into private market strategies. Our three largest alternative managers, Benefit Street Partners, Clarion Partners, and Lexington Partners, generated a combined total of $1.1 billion of net inflows, and Franklin Venture Partners generated net inflows of over $300 million. Benefit Street Partners continued to raise funds in alternative credit. In May, we announced the final close of its BSP Special Situations Fund II, with $850 million of total capital commitments exceeding its target. Interest from clients to diversify private debt portfolios beyond direct lending into areas like real estate debt has attracted significant, high-quality engagement with investors.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","Turning to secondary private equity, Lexington Partners announced a dedicated strategy and highly experienced team focused on leading single-asset continuation vehicle transactions in response to increased investor demand. Lexington has invested approximately $6 billion in CV transactions to date, and the new team will be focused on increasing its participation in CV transactions with a differentiated approach. In secondary private equity, the largest, most established managers continue to see the most interest in flows, reflecting a clear bias toward them in the market. Lexington has been a beneficiary of this trend. Clarion Partners has three open-end funds that perpetually fundraise in the U.S., and this year launched a fourth open-end fund in Europe, focusing on the logistics sector. Clarion continues to be well-positioned with over half of AUM in the industrial and logistics sectors and less than 8% of AUM in the office sector.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
"BEN","2024-07-26","Jenny Johnson","President and CEO at Franklin Resources","With regard to the wealth management channel, we continued to make strides and open new opportunities for investors, given our strength in global retail distribution and dedicated specialist sales team with a focus on investor education. This quarter, we announced the expansion of our retail alternatives initiatives with a dedicated team in the EMEA region. Looking ahead, we remain focused on product development, including new products in secondary private equity and real estate private debt. Just as a reminder, at the start of our fiscal year, we anticipated raising $10 billion-$15 billion in fundraising and alternatives, and as of this quarter, we are well on our way to reaching the top end of that range, having raised over $12 billion fiscal year to date.","https://www.marketbeat.com/earnings/reports/2024-7-26-franklin-resources-inc-stock/"
