"symbol","report_date","speaker","title","msg","source_url"
"BKR","2024-07-25",NA,NA,"Good day, ladies and gentlemen, and welcome to the Baker Hughes Company Q2 2024 earnings call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session, and instructions will follow at that time. As a reminder, this conference is being recorded. I would now like to introduce your host for today's conference, Mr. Chase Mulvehill, Vice President of Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Chase Mulvehill","VP of Investor Relations at Baker Hughes","Thank you. Good morning, everyone, and welcome to Baker Hughes' Q2 earnings conference call. Here with me are our Chairman and CEO, Lorenzo Simonelli, and our CFO, Nancy Buese. The earnings release we issued yesterday evening can be found on our website at bakerhughes.com. We will also be using a presentation with our prepared remarks during this webcast, which can be found on our investor website. As a reminder, during the course of this conference call, we will provide forward-looking statements. These statements are not guarantees of future performance and involve a number of risks and assumptions. Please review our SEC filings and website for factors that could cause actual results to differ materially. Reconciliations of operating income and other GAAP to non-GAAP measures can be found in our earnings release. With that, I will turn the call over to Lorenzo.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","Thank you, Chase. Good morning, everyone, and thanks for joining us. We delivered outstanding Q2 results, highlighted by strong operational performance across the company. Our IET performance benefited from excellent execution of its robust backlog. In OFSE, results were supported by a solid seasonal recovery in the Eastern Hemisphere, portfolio resilience in North America, and added success in driving enhanced cost efficiencies across the business. We continue to improve our operational consistency, as this marks the sixth consecutive quarter of meeting or exceeding the midpoint of our quarterly EBITDA guidance. As highlighted on Slide 4, we had another strong quarter for orders. This is particularly evident in IET, where we booked $3.5 billion during the quarter, including a large Sonatrach award for gas boosting in Algeria's Hassi R'Mel gas field.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","This marks the highest level of non-LNG equipment quarterly bookings in the company's history and, again, underscores the breadth and versatility of our IET portfolio. We also secured two major offshore topside contracts to provide power generation systems for innovative all-electric FPSO units, which will be installed offshore in Latin America. These awards further build on IET's positive momentum in the offshore market. On the digital front, Baker Hughes secured a multimillion-dollar global frame agreement with BP, covering all of their upstream and downstream assets. This provides an enterprise subscription for Cordant Asset Health, enabling BP to deliver reliable, efficient condition monitoring and supporting its digital optimization strategy. We also saw continued traction in our Gas Tech Services business, booking to backlog three multi-year service awards that totaled $500 million. This included a 25-year service agreement to support a customer's offshore operations in Latin America.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","Our services backlog uniquely differentiates Baker Hughes' adding recurring long-term and profitable revenue streams. In the new energy, we continue to see solid order momentum. We booked record new energy orders of $445 million during the quarter, taking year-to-date orders to $684 million and already approaching the $750 million we booked in 2023. Considering this strong first half performance, we are trending toward the high end of this year's new energy guidance range of $800 million-$1 billion. This is another reflection of our technology differentiation and the versatility of our portfolio to provide new energy customers with innovative solutions. In Asia Pacific, we secured a major Gas Tech and Climate Tech Solutions contract to supply electric-driven compression and power generation to a global energy operator.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","This will enhance gas operations and power CO2 capture to reduce the carbon intensity at the customer's LNG facility. We also continue to build on our strategic collaboration with Air Products. In the Q2, CTS was awarded a contract for CO2 and hydrogen compressors, as well as pumps for one of Air Products' hydrogen projects in North America. In Germany, CTS also secured an award to provide Gasunie Deutschland with zero-emission integrated compressors, providing increased compression capacity to handle the large volumes of gas entering the network from new LNG regasification terminals. In July, we signed a long-term agreement to be a preferred equipment and service supplier for Wabash Valley Resources' ammonia and carbon sequestration plant in Indiana. The project will capture and sequester 1.6 MTPA of CO2, making it one of the largest carbon sequestration projects in the U.S.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","Importantly, the EPA issued Wabash Class VI permits in January of this year. Once this project is FID'd, we have the potential to book a wide range of orders that could span across both OFSE and IET. These include compression, pumps, valves, digital hardware and software, and NovaLT turbines in IET, and sequestration analysis, CO2 flexible pipe, well construction, and surface and subsurface monitoring in OFSE. This is one example of how we realize synergies between IET and OFSE, a theme we believe will become a common thread for new energy projects at Baker Hughes. In OFSE, we received another significant Petrobras award for workover and plug and abandonment services in pre-salt and post-salt fields offshore Brazil. The multi-year project will leverage Baker Hughes' integrated solutions portfolio to optimize performance for Petrobras.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","Turning to our operational performance, we delivered strong Q2 results, highlighted by 46% year-over-year EPS growth and 25% increase in EBITDA. Importantly, we again exceeded our EBITDA margin guidance, driven by outstanding execution and continued cost productivity improvements across the company. Our efforts to structurally change the way we operate are evident in our margin performance. Overall, EBITDA margins increased almost 150 basis points year-over-year to 15.8%. In OFSE, margins came in above our guidance, driven by strong performance in SSPS and the acceleration of our cost optimization initiatives announced earlier this year. Notably, OFSE's year-over-year incremental margins were approximately 60%, highlighting the team's persistent focus on cost productivity. In IET, margins also exceeded our guidance. GasTech equipment posted another strong quarter, with margins significantly increasing from the same period last year as we convert higher-margin backlog.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","In addition, industrial products and solutions benefited from higher volumes and improved supply chain efficiency, with both contributing to IET's better margin performance. Turning to the macro view on Slide 5. On the back of softer global demand and continued economic uncertainty, oil prices experienced some volatility during the Q2. Yet, Brent prices still averaged $85 per barrel, with support from the extension of OPEC+ production cuts, rising geopolitical risks, and firming oil demand in June. The trajectory of global economic activity, the persistence of inflation, and geopolitical risks will be key factors in determining the oil price path for the remainder of this year. Next year, the pace of OPEC+ barrels returning to the market will likely be the major determinant of oil prices. Our global upstream spending outlook for the year is revised slightly lower due to North American softness.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
"BKR","2024-07-25","Lorenzo Simonelli","Chairman and CEO at Baker Hughes","In North America, we previously expected the market to decline in the low to mid-single digit range compared to last year. Due to lower-than-expected first half rig activity and tempered second half expectations, we now expect year-over-year declines in North America spending to be down in the mid-single digits. With our Gulf of Mexico exposure, which is expected to demonstrate another year of solid growth, and our portfolio mix that is more tied to production, we believe that our North American revenues will outperform the market. Across international markets, we maintain our expectations for high single-digit growth compared to last year. The market outlook already contemplated the extension of OPEC+ cuts through the end of the year, as well as any potential timing differences between the transitioning of rigs from oil to gas in Saudi Arabia.","https://www.marketbeat.com/earnings/reports/2024-7-25-baker-hughes-stock/"
