"symbol","report_date","speaker","title","msg","source_url"
"BLDR","2026-04-30",NA,NA,"Good day, welcome to the Builders FirstSource first quarter 2026 earnings conference call. Today's call is scheduled to last about one hour, including remarks by management and the question and answer session. In order to ask a question, please press the star key followed by the number one on your phone at any time during the call. I'd now like to turn the call over to Heather Kos, Senior Vice President, Investor Relations for Builders FirstSource. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Heather Kos","SVP of Investor Relations at Builders FirstSource","Good morning, welcome to our first quarter 2026 earnings call. With me on the call are Peter Jackson, our CEO, and Pete Beckmann, our CFO. The earnings press release and presentation are available on our website at investors.bldr.com. We will refer to the presentation during our call. The results discussed today include GAAP and non-GAAP results adjusted for certain items. We provide these non-GAAP results for informational purposes, they should not be considered in isolation from the most directly comparable GAAP measures.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Heather Kos","SVP of Investor Relations at Builders FirstSource","You can find the reconciliation of these non-GAAP measures to the corresponding GAAP measures where applicable, a discussion of why we believe they can be useful to investors in our earnings press release, SEC filings, and presentation. Our remarks in the press release presentation and on this call contain forward-looking and cautionary statements within the meaning of the Private Securities Litigation Reform Act and projections of future results.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Heather Kos","SVP of Investor Relations at Builders FirstSource","Please review the forward-looking statements section in today's press release and in our SEC filings for various factors that could cause our actual results to differ from our forward-looking statements and projections. With that, I'll turn the call over to Peter.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","Thank you, Heather, and good morning, everyone. Our first quarter results reflect the adaptability of our operating model as we delivered strong strategic share growth in a weak housing market. Across the organization, we remain focused on the factors within our control, including serving our customers, expanding our differentiated portfolio of value-added solutions, and leveraging technology to accelerate growth and drive operational excellence. This disciplined approach continues to strengthen our leading position as a trusted full-service partner to home builders.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","By continuing to invest in innovation and the capabilities that matter most to our customers, we are reinforcing our role as the leading building materials provider and extending our competitive advantages. Our strategy enables us to outperform as the market normalizes and to deliver sustainable long-term value for our shareholders. Let's turn now to slide four. Our first quarter results highlighted our agility despite the challenging housing market and seasonally lower time of the year for the industry.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","We landed at the upper end of the expected Q1 range for sales in EBITDA, even as the macro was worse than we expected. We continued to lean on our exceptional team, leading value-added solutions, and robust operating model to drive performance. Let me take a moment to share some perspective on the market. The housing market remains weak as affordability challenges and muted consumer confidence continue to weigh on demand. In recent months, geopolitical tensions have added to market volatility by contributing to higher interest rates and additional inflationary pressure.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","The surprise of the Middle East conflict and the uncertainty around implications for both affordability and consumer confidence have undermined the spring selling season. While we are managing what's in our control, these conditions have created sales and cost headwinds that we don't expect to fully offset this year. Sales improved the first quarter in line with expectations, and daily sales have continued to build in April. However, sentiment is clearly weaker. As Pete will discuss, our revised full year guidance reflects these dynamics.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","Despite ongoing macro challenges, we remain committed to advancing our strategy, including a sustained focus on share growth, continuous improvement, and capital allocation. We cannot control the market, but advancing our initiatives will enable us to realize share gains, improve the way we operate, and position us to accelerate growth with any level of recovery. We expect to capture single-family share growth by delivering outstanding customer service, bundling our broad product portfolio to drive affordability, and leveraging cutting-edge technology.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","In multifamily, quoting activity remains active, but the uptick in interest rates has deferred certain projects. Given the current project pipeline, we don't anticipate a meaningful improvement in our multifamily results until next year. In response to the current market weakness, we are prudently managing spending and maximizing operational flexibility, as outlined on slide five. We remain operationally disciplined and have taken actions to reduce costs in line with demand while preserving our ability to partner with our customers and invest in innovation and technology.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","So far in 2026, we have consolidated 21 facilities following the consolidation of 55 total facilities over the prior two years, all while maintaining an on-time and in-full rate greater than 90%. Supported by our industry-leading scale, experienced leadership team, and proven ability to operate proactively through the cycle, we are confident in our ability to make the necessary adjustments and continue to deliver exceptional customer service. On slide six, we highlight some of the key initiatives under our strategic pillars.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","Our capital deployment is strengthening our competitive position and driving long-term value creation. Since the inception of the buyback program in August of 2021, we have repurchased nearly 50% of our total shares outstanding. Operational excellence is crucial to how we run the business as we develop talent, improve agility, and increasingly embed technology into our operations. We generated $6 million in productivity savings in Q1, primarily through targeted supply chain and logistics initiatives.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","Moving to slide seven, our prudent capital allocation strategy focuses on maximizing shareholder returns. In Q1, we deployed $360 million towards return-enhancing opportunities aligned with our priorities. Our consistent, strong free cash flow through the cycle gives us the flexibility to invest in organic growth, pursue strategic M&A, and return capital to shareholders. Drilling down into M&A on Slide 8, we remain focused on pursuing acquisitions that expand our value-added product offerings and advance our leadership position in desirable geographies.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","We have developed substantial and proven muscle memory to grow through M&A and have a track record of successful integration and synergy capture. As a reminder, we acquired Premium Building Components in January, marking our company's first truss and wall panel operations in New York. Since the BMC merger in 2021, we have made 41 acquisitions representing over $2.3 billion in annual sales, the equivalent of a top 6 LBM player, demonstrating our ability to execute and integrate seamlessly.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","With the industry still fragmented, we see significant opportunities ahead and are confident that inorganic investments will remain an important driver of long-term growth. Turning to slide nine, we continue to differentiate by digitally enabling our team members, strengthening customer relationships, and advancing value-added product development to support long-term growth. Our investments in automation, AI, and digital integrations are focused on simplifying and accelerating the building process for our customers.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","In Q1, our digital platform processed nearly $800 million of quotes as we continue to automate key steps of the process. Later this year, we will roll out the next generation of digital solutions, deploying emerging technologies to support builders across key stages of the home building journey. The platform will include four integrated hubs: community, plan, selections, and construction, all accessible through myBLDR.com, with embedded AI capabilities providing actionable insights through a single unified platform.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","Builders will have access to connected tools and real-time data to coordinate the build, reduce waste, and sell homes faster. Digital is central to how we operate today, particularly with our sales organization, where these tools create opportunities to capture share, expand product adoption, and deepen customer relationships. Recognizing one of our outstanding team members each quarter is one of my favorite parts of our earnings call.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","Today, I'm proud to highlight members of our Middletown, New York, Millwork team, Sam Lane, Dan Livingston, Anthony Legnee, and Eddie Walsh, who were recognized by the New York State Police for their compassion and willingness to help a community member in need during dangerously cold winter weather. Earlier this year, first responders contacted Sam and his team after identifying a local resident whose front door was severely damaged and no longer provided adequate protection from the cold. The officers were seeking to purchase a replacement door to help ensure the individual's safety.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Peter Jackson","CEO at Builders FirstSource","When our team learned of the situation and the resident's need, they stepped in immediately, producing a brand-new pre-hung door at no cost and assisting with the installation. I'm truly grateful to our Middletown Millwork team for living our BFS purpose every day: to build a better future for those we serve. I'll now turn the call over to Pete to discuss our financial results in greater detail.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Pete Beckmann","CFO at Builders FirstSource","Thank you, Peter, good morning, everyone. Our first quarter performance reflects disciplined execution in a weak housing market. We remain focused on managing our operations and working capital while advancing key growth initiatives to drive long-term success. Turning to our first quarter results on slides 10 through 12, net sales decreased 10% to $3.3 billion, driven by lower core organic sales and commodity deflation, partially offset by growth from acquisitions.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Pete Beckmann","CFO at Builders FirstSource","The core organic sales decrease was driven by an 11% decline in single family, reflecting lower starts activity and reduced value per start, and a 1% decline in both multifamily and repair and remodel, consistent with our expectations given muted activity levels and consumer uncertainty. As we've noted on recent calls, several factors reconcile single-family starts to our core organic sales. First, there is an approximate three-month lag between a start and our first sale. Second, average home value has declined as homes have become smaller and less complex, creating a sales headwind.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Pete Beckmann","CFO at Builders FirstSource","We believe a comparable start has declined in value by 10% on average since 2019. Third, housing affordability constraints continue to pressure margins across the supply chain. Against this backdrop, we believe we grew share in the first quarter, reflecting our market-leading offerings and continued role as a trusted partner. For the first quarter, gross profit was $0.9 billion, a decrease of 17% compared to the prior year period. Gross margin was 28.3%, down 220 basis points, primarily driven by a declining starts environment.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Pete Beckmann","CFO at Builders FirstSource","Adjusted SG&A of $740 million decreased $31 million, primarily due to lower variable compensation amid lower sales and lower headcount, partially offset by acquired operations. As we touched on in February, we leaned further into our downturn playbook with $100 million of cost actions, which includes $75 million in year-over-year cost reductions and $25 million in cost avoidance.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Pete Beckmann","CFO at Builders FirstSource","These actions include deeper cuts to overtime and temporary labor, adjustments to incentive compensation plans, reduced merit and overhead spend, additional facility consolidations, and tighter controls on discretionary spending. To date, all actions are complete or meaningfully underway. We realized $13 million in the first quarter and are on track to achieve our cost reductions this year. This positions us to leverage our costs as the market improves.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Pete Beckmann","CFO at Builders FirstSource","Adjusted EBITDA was $214 million, down 42%, primarily driven by lower gross profit. Adjusted EBITDA margin was 6.5%, down 360 basis points from the prior year, primarily due to lower gross profit margins and reduced operating leverage. Adjusted EPS was $0.27, a decrease of 82% compared to the prior year. Let's turn to the cash flow balance sheet and liquidity on slide 13. Our first quarter operating cash flow was $87 million, down $45 million, primarily due to lower net income. For the quarter, we delivered $43 million of free cash flow, underscoring the strength and consistency of our cash generation profile.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
"BLDR","2026-04-30","Pete Beckmann","CFO at Builders FirstSource","Our trailing 12 months free cash flow yield was approximately 10%. Operating cash flow return on invested capital was 13%. Our net debt to Adjusted EBITDA ratio was approximately 3.2x. While higher than our long-term target, we are confident in the strength of our balance sheet with strong liquidity of $1.5 billion. We remain comfortable with our net debt levels and will continue to execute our capital allocation priorities with discipline to maximize long-term value creation. Moving to the first quarter capital deployment.","https://www.marketbeat.com/earnings/reports/2026-4-30-builders-firstsource-inc-stock/"
