"symbol","report_date","speaker","title","msg","source_url"
"BR","2026-02-03",NA,NA,"Good morning and welcome to the Broadridge Fiscal Second Quarter 2026 Earnings Conference Call. All participants will be in listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star then one on a touch-tone phone. To withdraw your question, press star then two. Please note this event is being recorded. I would now like to turn the conference over to Edings Thibault, Head of Investor Relations and Corporate Communications. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Edings Thibault","Head of Investor Relations at Broadridge","Thank you, Drew. Good morning, everybody. Welcome to Broadridge's Second Quarter Fiscal Year 2026 Earnings Conference Call. Our earnings release and the slides that accompany this call may be found on the Investor Relations section of broadridge.com. Joining me on the call this morning are Tim Gokey, our Chief Executive Officer, and our Chief Financial Officer, Ashima Ghei. Before I turn the call over to Tim, I want to make a few standard reminders. One, we will be making forward-looking statements on today's call regarding Broadridge that involve risks. A summary of these risks can be found on the second page of the slides and a more complete description on our annual report, Form 10-K. Two, we'll also be referring to several non-GAAP measures which we believe provide investors with a more complete understanding of Broadridge's underlying operating results.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Edings Thibault","Head of Investor Relations at Broadridge","An explanation of these non-GAAP measures and reconciliations to the comparable GAAP measures can be found in the earnings release and the presentation. Let me now turn the call over to our CEO. Tim?","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Tim Gokey","CEO at Broadridge","Thank you, Edings. Good morning. I'm delighted to be here this morning to discuss our strong second quarter results and provide an update on some of our strategic initiatives. Entering the second half of our fiscal year, the market backdrop remains positive. U.S. equity markets rose 16% in calendar 2025, and they largely remained strong in January. Our clients are clearly benefiting from strong Capital Markets activity, and so are we. I'm especially excited to be here today because the accelerating pace of technology and a pro-innovation Regulatory agenda are together creating exciting change, and Broadridge is uniquely positioned to help our industry drive innovation at scale. A few examples: tokenization continues to gain steam across Capital Markets, Wealth, and asset management. In shareholder engagement, a quiet revolution is transforming how funds and public companies engage shareholders and manage proxy.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Tim Gokey","CEO at Broadridge","Digital communications are driving down the cost of interacting with shareholders and increasing investor engagement. And of course, AI is enabling all this at a faster pace. These are the kinds of transformational changes we have built Broadridge to address, and our ability to drive innovation at scale is creating opportunity for the future, even as it translates into results today. So let's dig into those results, starting with the headlines on page three. First, Broadridge delivered a strong second quarter, including 8% recurring revenue growth constant currency and adjusted EPS of $1.59. Second, we continue to execute on our strategy to democratize and digitize investing, to simplify and innovate trading, and to modernize wealth management.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Tim Gokey","CEO at Broadridge","We're beginning to see positive incremental impacts from delivering new forms of shareholder engagement, extending our omnichannel digital capabilities, and driving tokenization across governance, Capital Markets, and Wealth, all enhanced by our platform and AI capabilities. Third, we remain committed to balanced capital allocation to drive shareholder value. We're on track to deliver another year of 100% plus free cash flow conversion, which gives us ongoing flexibility to pursue additional compelling M&A opportunities while returning capital to shareholders. Fourth and last, we remain on track to deliver strong results in fiscal 2026 and beyond. We are reaffirming our 2026 guidance for recurring revenue growth, margins, and closed sales, and we are raising our outlook for adjusted EPS growth to 9%-12%. That outlook keeps us on track to deliver on our three-year top and bottom line objectives.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Tim Gokey","CEO at Broadridge","Let's move to the drivers of those results on Slide four, starting with our governance business, where we continue to drive the democratization and digitization of investing. Governance recurring revenues rose 9% constant currency, driven by revenues from sales and continued position growth. Investor participation trends remain healthy across both equities and funds. Total equity position growth remained strong at 17%, with revenue position growth at 11%, driven by growth in managed accounts. Looking ahead, we're seeing low teens position growth for the second half, which should drive high single-digit growth in revenue positions. Fund position growth, which was hurt by timing in Q1, strengthened as expected from 2% in Q1 to 15% in Q2. Looking through the timing noise, fund position growth was 8% for the first half.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Tim Gokey","CEO at Broadridge","Looking ahead, we continue to see fund position growth for the year trending in the mid to high single digits, in line with H1. We've also seen higher-than-expected event-driven activity across both fund elections and corporate events, which gives us the opportunity to accelerate our innovation roadmap for the benefit of our clients and our shareholders. Beyond position growth, our business is benefiting from our investments in innovation, starting with what we are calling a quiet revolution in shareholder engagement. This coming proxy season, we expect more than 600 funds covering $4 trillion of assets to use our Voting Choice solution, up from 400 funds and $2 trillion last year and fewer than 100 funds two years ago.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Tim Gokey","CEO at Broadridge","We are also rolling out our AI-native custom policy engine and vote implementation capabilities for institutional investors like J.P. Morgan and Wells Fargo, who are seeking to reduce their reliance on proxy advisors. This is a powerful example of how our AI capabilities are enabling new revenue. We continue to build on our pilot program, first launched with ExxonMobil, to enable retail shareholders to provide standing voting instructions for annual meetings. We also continue to make progress in driving the digitization of communications, closing a significant sale to expand our flagship Wealth InFocus platform to cover 1 million additional accounts. I'm also excited to note the rapid progress we are making in addressing the tokenization opportunity in equities. I said on our last call that we see tokenized equities as an opportunity for Broadridge, and recent client and institute conversations have only reinforced that conviction.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
"BR","2026-02-03","Tim Gokey","CEO at Broadridge","The last several weeks have seen announcements by the majors of changes in the DTCC on their plans to build tokenized trading capabilities for equities, as well as announcements by issuers themselves of tokenized equity offerings. As tokenized equities scale, providers will need to ensure they meet the same governance and disclosure requirements as traditional equities. For real liquidity, the market will need to access broker-dealers who are our core clients, even as we increasingly serve new intermediaries as well. For both, the challenge is to gather communications from every issuer and fund, distribute them accurately according to clients' preferences, take back and reconcile votes, and ensure regulatory requirements are met and that proxy voting is accurate, transparent, and documented, and that's our core competency. For issuers, while tokenized equities enable real benefits, they also represent new complexity.","https://www.marketbeat.com/earnings/reports/2026-2-3-broadridge-financial-solutions-inc-stock/"
