"symbol","report_date","speaker","title","msg","source_url"
"BWA","2025-02-06",NA,NA,"Good morning. My name is Nick, and I will be your conference specialist. At this time, I would like to welcome everyone to the BorgWarner 2024 Fourth Quarter and Full Year Results conference call. All participants will be in a listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by a zero. After today's presentation, there will be an opportunity to ask questions. If you would like to ask a question during this time, simply press star one on your telephone. If you would like to withdraw your question, press star two. If you are using a speakerphone, please pick up your handset before asking your question. I would now like to turn the conference over to Patrick Nolan, Vice President of Investor Relations. Mr. Nolan, you may begin your conference.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Patrick Nolan","VP of Investor Relations at BorgWarner","Thank you, Nick, and good morning, everyone. Thank you all for joining us today. We shared our earnings release earlier this morning. It's posted on our website, borgwarner.com, both on the home page and on our Investor Relations home page. With regard to our Investor Relations calendar, we will be attending multiple conferences between now and our next earnings release. Please see the events section of our IR page for a full list. Before we begin, I need to inform you that during this call, we may make forward-looking statements which involve risk and uncertainties as detailed in our 10-K. Our actual results may differ significantly from the matters discussed today. During today's presentation, we will highlight certain non-GAAP measures in order to provide a clearer picture of how the core business performs and for comparison purposes with prior periods.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Patrick Nolan","VP of Investor Relations at BorgWarner","When you hear us say on a comparable basis, that means excluding the impact of FX, net M&A, and other non-comparable items. When you hear us say adjusted, that means excluding non-comparable items. When you hear us say organic, that means excluding the impact of FX and net M&A. We will also refer to our incremental margin performance. Our incremental margin is defined as the organic change in our adjusted operating income divided by the organic change in our sales. Our all-in incremental margin includes our implied investment in R&D, any impact from inflationary impacts, and other cost items. Lastly, we will refer to our growth compared to our market. When you hear us say market, that means the change in light and commercial vehicle production weighted for our geographic exposure. Please note that we've posted today's earnings call presentation to the IR page of our website.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Patrick Nolan","VP of Investor Relations at BorgWarner","We encourage you to follow along with these slides during our discussion. With that, I'm happy to turn the call over to Fred.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Fr̩d̩ric Lissalde","CEO at BorgWarner","Thank you, Pat, and good day, everyone. We're pleased to share our results for 2024 and provide a company update starting on slide five. We delivered approximately $14 billion in sales, which was relatively flat versus 2023. Our industry production for the full year was down approximately 3%. We saw a solid 2024 outgrowth of about 280 basis points. I'm pleased that the outgrowth is both on the foundational and on the eProduct side of our portfolio. This demonstrates to me the resiliency of this portfolio and our ability to drive outgrowth in particularly challenging and volatile end markets. As Joe will detail, we finished the year by securing multiple new product awards for both foundational and eProducts, which we believe further supports our long-term profitable growth. Our adjusted operating margin performance was strong, coming in above 10% and above the high end of our guide.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Fr̩d̩ric Lissalde","CEO at BorgWarner","This strong underlying operational performance was once again driven by our focus on cost control across the businesses. As a result, our full-year adjusted earnings per share grew by 15% year-over-year. We delivered $729 million of free cash flow, which was up 29% year-over-year and also exceeded our full-year guidance. As Craig will detail, we remain well-positioned to continue to generate strong free cash flow in 2025. We will do this while also investing in our business to support our focus on long-term profitable growth in efficient powertrains. Today is my final earnings call with BorgWarner. Before I turn it over to Joe, I would like to share a few thoughts with you. I believe that BorgWarner is positioned to grow profitably regardless of the pace of the powertrain mix change.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Fr̩d̩ric Lissalde","CEO at BorgWarner","I also firmly believe that BorgWarner is well-equipped, thanks to its decentralized operating model, to excel in a more regionalized powertrain outlook. I have spent 26 years at BorgWarner. I'm proud of the work that was done. I'm proud of our very special combustion portfolio and of the portfolio enhancements that we have executed over the past 10 years. We created what I believe is one of the most powerful propulsion portfolios in the world, while still keeping at the same time our strong culture, maintaining a double-digit margin and a free cash flow generation that is quite unique in our Tier 1 auto supplier world. I want to thank our board of directors, who have been a key sounding board for me, with unwavering support to the implementation of our strategies. I want to thank my team members and their stewardship to BorgWarner, their resiliency, and their leadership.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Fr̩d̩ric Lissalde","CEO at BorgWarner","I, of course, want to thank all the BorgWarner employees around the world who are making a key difference each and every day. I have been working with Joe on the CEO transition over the past few months, and I've collaborated with Joe over the past 15 years. I have full confidence that Joe is the leader that BorgWarner needs. I also want to thank the analyst community. It has been a pleasure to interact with you over the past few years, interactions that have made me stronger and with which I have always learned. And finally, of course, I would like to thank the shareholders for their trust. With that, I'm excited to turn the call over to you, Joe.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Joseph Fadool","President and CEO at BorgWarner","Thank you, Fred. On behalf of the management team and all of our employees, I would just like to thank you for your leadership over the last 26 years, and especially the last seven as CEO. I also want to personally thank you for your mentorship and friendship over the years. You've been an inspirational leader to me, and I believe you've clearly positioned the company well for our next phase of profitable growth. We wish you nothing but success as you move on to the next chapter and hope you enjoy your well-deserved retirement. Now, let's turn to slide six for what I view as the drivers of BorgWarner's value proposition. First and foremost, we have what I view as a strong product portfolio that is resilient to the varied pace of propulsion mix changes that we see across the world.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
"BWA","2025-02-06","Joseph Fadool","President and CEO at BorgWarner","Second, we have strong market share positions across our foundational portfolio, with several of our eProducts also improving their market share positions. Third, I view BorgWarner's financial strength as a key driver of our success. It allows us to continue to invest in our business regardless of near-term fluctuations in market volumes or mix. Our financial strength is also a differentiator when our customers award us new business. And our financial strength is a direct end result of the financial discipline ingrained into the company's culture. Fourth, the long-term relationships that we've established with our light vehicle and commercial vehicle customers around the world is also a very important driver of our success. These relationships allow us to partner with our consumers to meet their efficiency and value needs beyond just pursuing individual program awards. Lastly, I firmly believe that our decentralized operating model creates speed, accountability, and agility.","https://www.marketbeat.com/earnings/reports/2025-2-6-borgwarner-inc-stock/"
