"symbol","report_date","speaker","title","msg","source_url"
"BXP","2024-07-30",NA,NA,"Good day and thank you for standing by. Welcome to BXP's second quarter 2024 earnings conference call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a Q&A session. To ask a question during the session, you will need to press star one one on your telephone. You will then hear an automated message advising your hand is raised. To withdraw your question, please press star one one again. Please be advised that today's conference call is being recorded. I would now like to hand the conference call over to your first speaker, Helen Han, Vice President of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Helen Han","VP of Investor Relations at BXP Inc","Good morning, and welcome to BXP's second quarter 2024 earnings conference call. The press release and supplemental package were distributed last night and furnished on Form 8-K. In the supplemental package, BXP has reconciled all non-GAAP financial measures to the most directly comparable GAAP measure in accordance with Reg G. If you did not receive a copy, these documents are available in the Investors section of our website at investors.bxp.com. A webcast of this call will be available for 12 months. At this time, we would like to inform you that certain statements made during this conference call, which are not historical, may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act. Although BXP believes the expectations reflected in any forward-looking statements are based on reasonable assumptions, it can give no assurance that its expectations will be attained.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Helen Han","VP of Investor Relations at BXP Inc","Factors and risks that could cause actual results to differ materially from those expressed or implied by forward-looking statements were detailed in yesterday's press release and from time to time in BXP's filings with the SEC. BXP does not undertake a duty to update any forward-looking statements. I'd like to welcome Owen Thomas, Chairman and Chief Executive Officer; Doug Linde, President; and Mike LaBelle, Chief Financial Officer. During the Q&A portion of our call, Ray Ritchey, Senior Executive Vice President, and our regional management teams will be available to address any questions. We ask that those of you participating in the Q&A portion of the call to please limit yourself to only one question. If you have an additional query or follow-up, please feel free to rejoin the queue. I would now like to turn the call over to Owen Thomas for his formal remarks.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","Thank you, Helen, and good morning, everyone. BXP's performance in the second quarter once again demonstrated the relative market strength of the premier workplace segment of the commercial office industry, as well as BXP's strength and execution. Our FFO per share was $0.06 above our forecast and $0.05 above market consensus for the second quarter. Further, we raised the midpoint of our FFO per share guidance for 2024 by $0.08. We completed over 1.3 million sq ft of leasing, which is 41% greater than the second quarter of 2023 and close to our 10-year average leasing volume for the second quarter. As our leasing volume continues to escalate, exceeding current lease expirations, we expect our occupancy will increase over time. Weighted average lease term on leases signed this past quarter remained long at nine years.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","On sustainability this past quarter, we released our 2023 Sustainability and Impact Report, hosted our third annual Sustainability and Impact Investor Update, and were recognized by Time Magazine as one of the world's most sustainable companies, ranking number one in the U.S. among property owners. Delivering sustainable real estate solutions is increasingly important to our clients, as well as the communities where we operate, and decreases our cost of capital, given the growing number of ESG investors interested in our debt and equity securities. Moving to macro market conditions, we continue to experience market tailwinds for the two most important external forces impacting BXP's performance: interest rates and corporate earnings growth.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","The U.S. inflation report, released on July 11th, reflected a 3% inflation rate for June, lower than expectations, sparking new forecasts of accelerated interest rate cuts by the Fed, as well as lower market yields for the 10-year U.S. Treasury. Lower interest rates are obviously favorable for real estate and BXP's valuation and for broader corporate earnings growth, the second important external factor driving BXP's performance. After remaining flat for all of 2023, S&P 500 earnings growth was 6.6% in the first quarter of this year and is expected to be around 9% for the second quarter. As mentioned repeatedly, companies with earnings growth are much more likely to invest, to hire, and to lease additional space, as demonstrated in our growing leasing volumes this year.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","Premier Workplaces, defined as the highest quality 6.5% of buildings, representing 13.1% of total space in our five CBD markets, continue to materially outperform the broader market. Direct vacancy for premier workplaces is 13% versus 18.5% for the broader market. Likewise, net absorption for premier workplaces has been a positive 6.9 million sq ft over the last three years versus a negative 22.8 million sq ft for the broader market. Asking rents for premier workplaces are 51% higher than the broader market, a consistent gap from prior quarters. This outperformance is evident in BXP's portfolio, where just under 90% of our NOI comes from assets located in CBDs that are predominantly premier workplaces.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","These CBD assets are 90.4% occupied and 92.2% leased as of the end of the second quarter. We are also experiencing moderate but steady increases in workers returning to the office based on the turnstile data we capture for roughly half of our 54 million sq ft portfolio. Corporations continue to push for increased office attendance, including Salesforce, who recently announced their new policy shift from primarily flexible work to mandatory office attendance for most employees of 3-5 days per week, depending on job function.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","Regarding the real estate private equity capital markets, office sales volume in the second quarter continued to be muted at $6.9 billion and has ranged from $6.2 billion-$9.1 billion for the last 6 quarters, well below volumes achieved before the Fed started raising interest rates in 2022. Completed transaction activity for premier workplaces has been very limited, though increasingly, owners are testing the market to understand pricing. Moving to BXP's capital allocation activities, we remain active in pursuing acquisitions from owners and lenders, but as mentioned, have seen limited opportunities in the premier workplaces segment. We are in active negotiations for the disposition of 4 land positions, which, if successful, would generate approximately $150 million of proceeds, half of which could be realized this year.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","For our development pipeline, we delivered into service the 118,000 sq ft DICK'S House of Sport on Boylston Street at the Prudential Center in Boston, fully leased at a strong yield. On July 12, we opened Skymark, our 508-unit luxury residential tower development at Reston Town Center. We've already leased 21% of the units ahead of schedule, and rents are also modestly above projections. We continue to push forward with several residential projects, primarily on land we control, that are being entitled and designed, for which we intend to raise JV equity capital. BXP continues to execute a significant development pipeline with 10 office, lab, retail, and residential projects underway as of the end of the second quarter.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","These projects aggregate approximately 3.1 million sq ft and $2.3 billion of BXP investment, with $1.2 billion remaining to be funded, and will contribute to BXP's external FFO per share growth over time. The market segment for the broad office asset class remains challenging. BXP continues to leverage its key strengths, which are: our commitment to premier workplaces and our clients, as many competitors disinvest in the office sector, a strong balance sheet with ready access to capital in the secured and unsecured debt and private equity markets, and one of the highest quality portfolios of premier workplaces in the U.S., assembled over several decades of intentional development, acquisitions, and dispositions.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Owen Thomas","Chairman and CEO at BXP Inc","So in conclusion, BXP continues to display resilience with a growing leasing pipeline, as well as stability and FFO per share and dividend level, and is well positioned to continue to gain market share in both assets and clients during this time of market dislocation for the office sector. Expectations for lower interest rates and stronger corporate earnings growth will also provide tailwinds for our renewed growth over time. So now, Doug, I'd like to wish you a happy birthday, and I'll turn the call over, and you can talk about our strong leasing activities.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","Thanks, Owen. I really enjoy celebrating my birthday with all of you on the call, you know, every two years. One of the highlights. So as we described during our NAREIT June meetings and the webcast that we did, the trend line of BXP's leasing activity in the second quarter of 2024 picked up materially relative to what we executed in the first quarter and what we discussed on our last call. All really good stuff. As of June 30, we've completed 2.2 million sq ft of leasing for 2024. When we spoke to you during our May call, we stated our pipeline of leases under negotiation at that time, May 1, was 875,000 sq ft. And as Owen highlighted, we signed leases for 1.32 million sq ft between April 1 and June 30, a lot more.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","Our active pipeline of leases under documentation today has grown to 1.39 million sq ft. If we complete this pool of transactions, we will have leased 3.59 million sq ft of space. Exclusive of our leases and documentation, we have an additional set of transactions under discussion, totaling about 850,000 sq ft. If we execute 50% of those transactions, we will more than achieve our leasing guidance of 4 million sq ft for the year. This quarter, we completed 73 transactions, 37 lease renewals for 830,000 sq ft, 36 new leases encompassing 500,000 sq ft. 12 clients expanded into 228,000 sq ft of additional square footage, while we had 4 contractions totaling 63,000 sq ft.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","45% of our absorption was growth from our existing client pool. As a point of comparison, last quarter, we completed 61 transactions with 29 renewals, encompassing about 400,000 sq ft and 32 leases for 194,000 sq ft. We had only 3 expansions for 18,000 sq ft, and we had 4 contractions totaling 44,000 sq ft. So again, really big improvements. Q2 activity was concentrated in our East Coast markets, with 445,000 sq ft in New York, 343,000 sq ft in Boston, and 351,000 sq ft in Northern Virginia. These three markets made up 1.14 million sq ft, or 86% of the activity. Our West Coast activity was almost exclusively in San Francisco, with 146,000 sq ft.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","The majority of our client expansions came from Manhattan this quarter. The only significant contraction in the portfolio came from a tech company downsizing in Reston. We had three transactions over 100,000 sq ft, one each in Boston, New York, and Reston. Expansions or new clients made up 42% of the activity in New York, 40% in Boston, 37% on the West Coast, and 16% in DC. As reported in our supplemental, the mark to market of leases that commenced this quarter, which is about a 375,000 sq ft base, was up 6%, and transaction costs averaged $11 per sq ft per year.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","The overall mark to market of the starting cash rent on leases executed this quarter, which was a 1.15 million sq ft pool, relative to the previous in place, in place cash rent, was about flat. The starting rents on leases we signed during the second quarter were up about 8% in Boston, really flat in New York, down 6% in DC, and down 7% on the West Coast. Now, I want to spend a minute on our occupancy change during the quarter, which seems to have been a focus of many of the analyst reports that we saw this morning and last night.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","As we stated in February and May, we have two large known expirations, one in April, 200,000 sq ft at 680 Folsom Street, which is in the second quarter figures, and one in July, 200,000 sq ft at Times Square Tower. That's a JV asset, so our percentage share is 110, but we report the 200. This quarter, we also vacated 148,000 sq ft of occupied but non-revenue producing spaces. What do I mean? Well, we had some tenants in default where we had stopped recognizing revenue, yet they were still in possession, and we were in legal proceedings to vacate the space. In addition, we took back 60,000 sq ft from WeWork at Dock 72, but there, the absolute rent that we were receiving remains the same, it's just on a lower square footage.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","Finally, we terminated a 33,000 sq ft lease in Waltham that was simultaneously re-leased but won't be delivered until next quarter. Those movements account for 92% of the reduction in our occupancy in the second quarter from the first quarter. As of June 30, we have approximately 1 million sq ft of signed leases that have not commenced, hence the 200 basis points difference between occupied space and leased space. In the first quarter, our leasing included 383,000 sq ft of vacant space leasing. This quarter, that same vacant space leasing was 362,000 sq ft. These leases are all part of our leased square footage percentage.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","Our pipeline of leases in negotiation includes an additional 635,000 sq ft of currently vacant space, which, if signed, will contribute another 130 basis points to our leased square footage. In addition to the known 200,000 sq ft expiration at Times Square Tower in Q3, our two Waltham life science developments will be added into our in-service portfolio in the third and fourth quarters, 180 CityPoint and 103 Fourth Avenue, respectively. They are a combined 32% occupied, which will reduce our in-service occupancy. These additions will result in about a 50 basis point reduction at the year-end.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","For those of you that are focused on the next, expect us to be lower by about 40 basis points, with a recovery in the fourth quarter, where most of the leases that have been signed start to commence, where we project occupied space to be between 87% and 87.5%, inclusive of the additions to the in-service portfolio. In previous quarters, we have not been including the additions to in-service portfolio, but we're doing that now because it's a quarter away. Our leased space will continue to be above 89%. BXP continues to lease space. In Manhattan, almost all of our demand continues to originate from financial institutions, alternative asset managers, professional service organizations, and law firms. In many circumstances, these clients are expanding. Concessions are flat, and taking market rents have risen double digits in 2024.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","The sub-8% availability in the Park Avenue submarket is a direct reflection of these users growing and competing for limited blocks of space. In one of our assets, we have three tenants that would like more space, and we have no immediate availability. We had more than 130,000 sq ft of expansions at the General Motors Building and at 601 Lexington Avenue this quarter. Our strongest tour activity in New York City continues to be in the submarket. At the same time, technology demand across the city continues to be light. We completed a single full-floor lease at 360 Park Avenue South with a digital media firm this quarter, but Midtown South is a tech-oriented submarket in the city, where transactions over 20,000 sq ft have been very limited in 2024.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","In Princeton, we completed 10 transactions totaling 150,000 sq ft during the quarter, including an extension and expansion with a foreign pharma company. In the Back Bay and the financial district of Boston, we completed 195,000 sq ft of leasing this quarter. The majority of this activity was in our Back Bay portfolio, and the clients were alternative asset managers and professional services firms. The Back Bay continues to outperform the financial district, which continues to have to digest the new construction pipeline. Our remaining activity was in our Waltham Urban Edge portfolio, where we completed just over 110,000 sq ft, and 90% of those transactions were on either existing or near-term vacancy, not renewals. Here, the demand came from a consumer products company, a home builder, and a few pharma life science companies with office requirements.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
"BXP","2024-07-30","Doug Linde","President and Director at BXP Inc","We did execute one 25,000 sq ft life science lab lease. The life science lab demand in Greater Boston continues to be lackluster, with tenants displaying little urgency around any potential new requirements or relocations. To date this year, there have been eight non-renewal lab deals in Waltham, Lexington, Watertown, and West Cambridge that didn't involve a sublet. Only one was greater than 25,000 sq ft. Our Reston portfolio was responsible, as I said, for virtually all of our executed leases this quarter in the DC region. Leasing activity and tenant demand growth is coming primarily from two industries: cybersecurity and defense contracting. We had just over 30,000 sq ft expansions from existing tenants, but we also experienced, as I said, a 50,000 sq ft contraction from a traditional tech company.","https://www.marketbeat.com/earnings/reports/2024-7-30-boston-properties-inc-stock/"
