"symbol","report_date","speaker","title","msg","source_url"
"CAH","2025-05-01",NA,NA,"Hello, and welcome to the third quarter of fiscal year 2025, Cardinal Health earnings conference call. My name is George. I'll be your coordinator for today's event. Please note this conference is being recorded, and for the duration of the call, your lines will be in a listen-only mode. However, you will have the opportunity to ask questions towards the end of the presentation, and this can be done by pressing star one on your telephone keypad to ask your question. Can you also please limit yourselves to one question each to allow the maximum people to ask a question? If you require assistance at any point, please press star zero, and you will be connected to an operator. I'd like to now turn the call over to your host today, Mr. Matt Sims, Vice President of Investor Relations, to begin today's conference. Thank you.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Matt Sims","VP of Investor Relations at Cardinal Health","Welcome to this morning's Cardinal Health Third Quarter Fiscal 2025 Earnings Conference Call, and thank you for joining us. With me today are Cardinal Health CEO, Jason Hollar, and our CFO, Aaron Alt. You can find this morning's earnings press release and investor presentation on the investor relations section of our website at ir.cardinalhealth.com. Since we will be making forward-looking statements today, let me remind you that the matters addressed in these statements are subject to risks and uncertainties that could cause our actual results to differ materially from those projected or implied. Please refer to our SEC filings and the forward-looking statement slide at the beginning of our presentation for a description of these risks and uncertainties. Please note that during our discussion today, the comments will be on a non-GAAP basis unless specifically called out as GAAP.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Matt Sims","VP of Investor Relations at Cardinal Health","GAAP to non-GAAP reconciliations for all relevant periods can be found in the supporting schedules attached to our press release. For the Q&A portion of today's call, we kindly ask that you limit questions to one per participant so that we can try and give everyone an opportunity. With that, I will now turn the call over to Jason.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Jason Hollar","CEO at Cardinal Health","Thank you, and good morning, everyone. Today, we reported strong third quarter results, which demonstrate the continued acceleration of the momentum we have established in recent years, the underlying strength of our business, and the effectiveness of our strategy. In today's increasingly complex macro environment, our role as healthcare's crucial link is more important than ever. We bridge the clinical and operational aspects of healthcare, delivering end-to-end solutions that touch every part of the care continuum. Customers and manufacturer partners confidently rely on us to safely, securely, and efficiently deliver essential products and services to the right place and time. Our team continuously navigates evolving market conditions and regulatory complexities within the healthcare industry, allowing us to act with urgency and flexibility to best serve customers and patients. We create tremendous value for our partners through the breadth and scale of our offerings.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Jason Hollar","CEO at Cardinal Health","With our strong competitive positioning and the positive trends underpinning our results, our business has proven to be incredibly resilient. It should also be noted that while our industry relies upon an efficient and effective global supply chain, Cardinal Health has a strong U.S. footprint, with over 99% of our enterprise revenue generated here. Roughly 95% of our segment profit is generated from four of our five businesses, which are, as yet, largely unimpacted by tariffs or other regulatory actions. We have invested approximately $7 billion in the last two years in the United States, including recent acquisitions, expanded domestic manufacturing, new distribution nodes, technology, and automation, which has directly supported the delivery of our country's healthcare. As always, we proactively monitor proposed legislation and regulation, and as I've said before, we continue to support the overarching goals of increasing patient access, affordability, and innovation in healthcare.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Jason Hollar","CEO at Cardinal Health","Moving on to our results, our performance this quarter was driven by strong utilization trends and execution across our most significant business, pharmaceutical and specialty solutions, and our three growth businesses reported another, which are becoming an increasingly important part of our overall mix. Most notably, the broad-based performance reflected profit growth from all five of our operating segments, an indication that our relentless focus on advancing our strategic priorities is delivering real, measurable impact. It's also worth mentioning, when looking at the strong pharma results, we are seeing the first positive benefits from the acquisitions of GI Alliance and Integrated Oncology Network, both of which, in early days, are performing consistent with our expectations. Within our higher-margin other businesses, at-Home Solutions, Nuclear, and OptiFreight, we see continued potential to expand our capabilities and create additional value.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Jason Hollar","CEO at Cardinal Health","We are pleased to complete the acquisition of Advanced Diabetes Supply Group at the beginning of April and would like to extend a warm welcome to the ADSG team. As a result, we are pleased to again raise our fiscal 2025 EPS guidance and have great confidence in our ability to generate sustainable, long-term growth for the future. In summary, we are encouraged by the performance this quarter, which validates the strength of our strategy, the discipline of our teams, and our conviction in our trajectory heading into the fourth quarter. With that, I will turn it over to Aaron.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Aaron Alt","CFO at Cardinal Health","Thanks, Jason, and good morning. Q3 was a strong financial quarter for us as we continued to do what we said we were going to do: invest in the business, drive growth in pharma and the three other growth businesses, and continue the turnaround of GMPD. Overall, we grew operating earnings by 21% and EPS by 13%, even while comparing against a prior period to the customer contract expiration and while executing and iterating our recent acquisitions. The outstanding performance of pharma, up 14%, anchored our earnings results, with further momentum provided by all three of the other growth businesses, together up 22%, and continued profit growth in GMPD. In total, our results led to earnings per share in the quarter of $2.35. As a result, we are raising and narrowing our full-year EPS guidance to a range of $8.05-$8.15. Let's review the results, starting with slide four.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Aaron Alt","CFO at Cardinal Health","Total company revenue was flat at nearly $55 billion on a reported basis. Adjusting for the contract expiration, revenue increased 19% versus the prior year, with strong demand across pharma and all three of the growth businesses and other. We drove strong operating leverage in the quarter. Total company gross profit dollars increased 10%, while SG&A increased a more modest 4%, notwithstanding our investments across the business and recent acquisitions. Digging deeper, SG&A actually decreased slightly year-over-year when normalizing out the additions of GI Alliance and ION, reflecting the strong cost control efforts and efficiencies pursued by the team. This led to operating earnings growth of 21% versus the prior year. Moving below the line, interest and other increased by $38 million-$65 million in the quarter, primarily due to previously anticipated acquisition-related financing costs.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
"CAH","2025-05-01","Aaron Alt","CFO at Cardinal Health","Our third quarter effective tax rate was 22.4%, a 2.5 point increase from prior year due to the non-repetition of some positive discrete items in the prior year. Q3 average diluted shares outstanding were 240 million shares, 2% lower than a year ago due to our share repurchase efforts. The net result for Q3 was EPS of $2.35, growth of 13%. Now, turning to the segments, beginning with pharma on slide five. Third quarter revenue was relatively flat at $50.4 billion. Excluding the customer contract expiration, revenue increased 20%, driven by brand and specialty pharmaceutical sales growth from existing and new customers. This included approximately 7 percentage points of revenue growth from GLP-1 sales. In Q3, we saw a continuation of strong pharmaceutical demand across the business, within brand, specialty, generics, and consumer health, and from our largest customers.","https://www.marketbeat.com/earnings/reports/2025-5-1-cardinal-health-inc-stock/"
