"symbol","report_date","speaker","title","msg","source_url"
"CARR","2024-07-25",NA,NA,"Good morning and welcome to Carrier second quarter 2024 earnings conference call. I would like to introduce your host for today's conference, Sam Pearlstein, Vice President of Investor Relations and CFO of the Fire & Security segment. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Sam Pearlstein","VP of Investor Relations at Carrier","Thank you and good morning and welcome to Carrier second quarter 2024 earnings conference call. With me here today are David Gitlin, Chairman and Chief Executive Officer, and Patrick Goris, Chief Financial Officer. We will be discussing certain non-GAAP measures on this call, which management believes are relevant in assessing the financial performance of the business. These non-GAAP measures are reconciled to GAAP figures in our earnings presentation, which is available to download from Carrier's website at ir.carrier.com. The company reminds listeners that the sales, earnings, and cash flow expectations, and any other forward-looking statements provided during the call are subject to risks and uncertainties. Carrier's SEC filings, including Forms 10-K, 10-Q, and 8-K, provide details on important factors that could cause actual results to differ materially from those anticipated in the forward-looking statements.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Sam Pearlstein","VP of Investor Relations at Carrier","Once the call is open for questions, we ask that you limit yourself to one question and one follow-up to give everyone the opportunity to participate. With that, I'd like to turn the call over to our Chairman and CEO, Dave Gitlin.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Thank you, Sam, and good morning, everyone. Let me first welcome Ed Dryden to Carrier, who comes to us from RTX's Collins Aerospace to lead our refrigeration business, bringing extensive experience driving business growth and delivering results. Ed succeeds Tim White, who has moved into a new Chief Product Officer role responsible for program execution and our increased focus on global platforms, both reporting to me. Welcome, Ed, and thank you, Tim. Pivoting to Q2, another strong quarter. Q2 organic sales, excuse me, Q2 organic orders were up roughly 30% year-over-year, and HVAC organic orders were up over 40% with very strong order intake in data centers. Better than expected, and continued strong sales growth in our global commercial and light commercial HVAC businesses helped offset weakness in our RLC businesses in Europe and China.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Importantly, our Resi business in North America returned to year-over-year volume growth, and given strong orders and low inventory channel levels, we are now poised for a strong second half. Also, we continue to execute well, as reflected by another quarter of significant margin expansion. Q2 adjusted operating margins expanded by 200 basis points to 18.1%, and Adjusted EPS was again up double digits, fueled by strong productivity driven by our Carrier Excellence business operating system. While we perform, we continue to transform. We closed on the sales of our Access Solutions and Industrial Fire businesses. KFI closed on its sale, and we expect to close the Commercial Refrigeration transaction around the end of Q3. We are also making great progress on the sale of our Residential and Commercial Fire business.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Strong free cash flow in the quarter of about $550 million and our progress on the business exits have contributed to our significant net debt reduction in the quarter and have positioned us to initiate a multi-billion dollar share buyback, $1 billion targeted for the second half of this year. As you can see on slide four, we continue to stay laser-focused on and make great progress towards our North Star of being the global leader in intelligent climate and energy solutions. Each word of our vision has meaning, and we are purposeful in our investments to prioritize the key elements of our strategy. As a global leader, we have gained share across all major segments. Connectivity is a key enabler to provide scalable intelligence solutions. We now have almost 40,000 connected chillers, on track to 50,000 by year-end.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Our Abound intelligent building platform now monitors over 1.1 billion sq ft, and we currently have over 150,000 paid subscriptions for our Lynx Cold Chain platform. We have also established an AI Center of Excellence. Internally, we are targeting increased productivity for everything from contract reviews, where we have seen improved productivity of up to 90%, to call centers. Externally, we now provide services to customers combining classic and generative AI, analyzing data alongside service and maintenance records to deliver more real-time and proactive chiller maintenance. We continue to innovate and launch differentiated sustainable solutions. In Q2, we introduced a low GWP variant of our award-winning AquaEdge water-cooled chiller. Likewise, we are the first to offer 3-10-ton entry-tier rooftop units using our highly differentiated EcoBlue fan technology with low GWP refrigerants. All these offerings provide our customers with energy savings while reducing their greenhouse gas emissions.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","We play a key role in enhancing grid resilience. For example, Viessmann Climate Solutions recently launched a battery energy storage system with expanded capacity from 15 kWh to now 75 kWh, importantly expanding our addressable market. The solutions concept relates to the unique value propositions that we provide to our customers and greater recurring revenues they provide to us. You see examples of our continued traction on aftermarket on slide five. Aftermarket growth in Q2 was 9%, and we are confident that this year we will deliver another year of double-digit growth. We have further refined our playbook with new digital tools that we have cascaded globally, driving both better execution and new solutions for our customers. We are confident that our proven formula works as we continue to target double-digit aftermarket growth forever. Moving to slide six.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","About a year ago, we announced that we would be transforming Carrier into a more focused, pure-play, higher-growth company with significantly higher exposure to the secular tailwinds around sustainability, electrification, and energy resilience. I am proud to report that our team continues to do what we say we're going to do. We are successfully integrating with Viessmann Climate Solutions, a truly world-class organization. Our divestitures remain very much on track, and we are deploying the proceeds as committed. Our first three exits will yield over $7 billion in gross proceeds. Our Commercial and Residential Fire exit is also progressing well, supported by excellent business performance. We plan to announce a signed agreement before the end of Q3 with a transaction close around year-end.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Given our progress, we have reduced net debt by over $5 billion in the second quarter and plan to initiate our multi-billion-dollar buyback that I mentioned earlier. With the portfolio transformation tracking to plan, we are heads down focused on working with Viessmann Climate Solutions to realize the full potential of this tremendous combination, and you can see our progress on slide seven. This is truly a world-class team and business. Our heat pumps are unquestionably differentiated, providing superior electricity savings for our customers. Noise attenuation, energy efficiency, ease of installation, reliability, and aesthetics are all best in class. We have added 1,500 direct-to-installer relationships this year and continue to expand our network. The successful launch of our new, larger-capacity heat pumps will give us a point of growth this year, and we expect more than that next year.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Viessmann Climate Solutions has gained share in heat pumps across all primary countries where it sells, with particular strength in Germany. We have also realized positive price year-to-date. We have identified hundreds of millions of dollars of run-rate synergy savings. The most immediate opportunity is leveraging our respective channels. For example, in Europe, we have already delivered our first Carrier-branded air conditioning units and our Beretta-branded boilers through the Viessmann channel. Given that only 20% of homes in Europe have air conditioning, roughly 12% in Germany, we see a unique opportunity for us to grow in the cooling-only space. We are also leveraging our combined technology strengths. Examples include deploying Viessmann's One Base digital platform across all residential applications and, at a systems level, working to provide unique home energy management solutions for North America using Viessmann's battery and systems integration capabilities.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","We remain on track to achieve $75 million of cost synergies this year and over $200 million by year three, with particular progress on supply chain, logistics, and value engineering. The team is also taking tough but necessary additional cost control actions. All of this sets us up for higher conversion rates. We are also clear-eyed that the residential market in Europe has been weaker than we expected. VCS Q2 sales were down about 30% year-over-year, roughly one-third of which was driven by lower Solar PV sales, and our revised outlook for 2024 assumes about a 15% drop in year-over-year sales with a typical seasonal pickup in the second half. Importantly, we still have deep conviction in the long-term strategy and growth profile of the business.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","The EU remains steadfast in its target for 55% reduction in greenhouse gas emissions by 2030, and the shift to heat pumps must play a critical role. Over 25% of greenhouse gas emissions in Europe come from boilers in homes. Heat pumps are clearly the best alternative to fossil fuel home heating, so we remain confident in this continued long-term transition. The reality in our industry is that the macro surrounding certain geographies and verticals will not be strong every year, and the great thing is that we have been very purposeful about constructing our portfolio to provide focus, resiliency, balance, growth, and increased exposure to key secular trends, all of which you see on slide 8. We love our positions globally. We are number one or two in most segments, with prospects to achieve the same ranking in other targeted segments.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Not only do we believe that we have the right presence in the right markets, we have the global scale in engineering operations, aftermarket, and other functions to benefit the entire portfolio. The combination of our portfolio and our performance culture gives us confidence that we will continue to consistently deliver on our commitments. As we look ahead to 2025, we are poised for strong growth across a significant percentage of our portfolio. With that, I will turn it over to Patrick. Patrick.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Thank you, Dave, and good morning, everyone. Please turn to slide nine. We had a good second quarter. Earnings were in line with our expectations and ahead of our implied adjusted EPS guide provided in April. Reported sales of $6.7 billion were up 12%, with organic sales up 2%. Acquisitions and divestitures had a net contribution to sales of 11%, substantially all driven by Viessmann Climate Solutions, partially offset by the absence of one month for Access Solutions. Q2 adjusted operating profit of over $1.2 billion was up 26% compared to last year, mostly driven by the contribution of Viessmann Climate Solutions, price, and productivity. Continued strong productivity also led to a 200 basis points adjusted operating margin expansion. Core earnings conversion, that is excluding the impact of acquisitions, divestitures, and currency, was over 200% in the quarter. Adjusted EPS of $0.87 was up 10% year-over-year.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Compared to last year, organic growth, price, and productivity more than offset the dilutive impact of the Viessmann Climate Solutions acquisition. We have included a year-over-year adjusted EPS bridge in the appendix on slide 22. Compared to our Q2 expectations, headwinds from lower earnings at Viessmann Climate Solutions and the earlier timing of the Access Solutions exit were offset by stronger sales in commercial HVAC and North America light commercial HVAC, productivity, and a few cents from the timing of taxes. free cash flow of about $550 million was better than expected, mainly driven by working capital performance, and on a year-to-date basis, free cash flow is up 35% compared to last year. Moving on to the segments, starting on slide 10. HVAC reported sales growth of 18% reflects the contribution of Viessmann Climate Solutions and organic sales growth of 2%.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Organic sales in the Americas were up mid-single digits, driven by double-digit growth in commercial and light commercial. North American Resi was up about mid-single digits, and we expect volume to be up year-over-year in each of the remaining quarters. Organic sales in EMEA were up low single digits, driven by about a 15% increase in commercial HVAC, partially offset by weaker residential and light commercial sales. Sales in Asia-Pacific were down around 8%, driven by weakness in our residential and light commercial markets in China, partially offset by double-digit growth in South Asia. The HVAC segment expanded adjusted operating margins by 110 basis points due to net price and strong productivity. Overall, another strong quarter for HVAC. Transitioning to refrigeration on slide 11. Organic sales were up 1%, and reported sales were flat.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Within transport refrigeration, container was up around 35% year-over-year, while global truck and trailer was down mid-single digits, driven by about a 15% decline in North America. European truck and trailer was up mid-single digits, and Asia truck and trailer was up over 25%. Our Sensitech business, which provides solutions for tracking and monitoring temperature, was up mid-single digits. Commercial Refrigeration was down mid-single digits year-over-year. Adjusted operating margin was flattish compared to last year. This was driven by favorable net price and productivity, offset by business mix. Moving on to Fire & Security on slide 12. Reported sales were down 7%, with 3% organic sales growth, partially offset by a 10% headwind from the absence of 1 month of Access Solutions and a deconsolidation of KFI in last year's second quarter. The Residential and Commercial Fire business was up mid-single digits and is performing well.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Adjusted operating margins were up a significant 310 basis points year-over-year, as organic volume growth and strong productivity more than offset headwinds of the business exits. Overall, a very strong quarter for this segment. Turning to slide 13. Total company orders were up about 30% in the quarter. Overall, HVAC orders were up over 40%, with strength across key verticals. Within the Americas, orders were up over 70%, with commercial orders up over 40% and light commercial orders about 5%. North America Resi orders were up over 100%, or around 60%, when excluding pre-ordering for late Q3 and Q4 deliveries this year. EMEA organic orders were up over 10%, with commercial orders up over 15%. Organic Resi and light commercial order intake in EMEA was down low single digits. Within Asia, weak orders in China were only partially offset by other countries.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Globally, commercial HVAC orders were up over 20%, and the backlog for that business continues to grow. We booked large data center orders in all regions, positioning us for continued strong commercial HVAC growth. Refrigeration orders were down over 5% in the quarter, with strength in container offsetting some weakness in North America truck trailer. As a reminder, our North America truck trailer orders were up almost 90% in last year's second quarter. Truck trailer orders in Europe and Asia continue to be strong. Orders in our Resi and Commercial Fire business were up over 10%. Turning to slide 14, guidance.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Before I get into the details, I will share that you will see in the 10-Q later today that we expect, consistent with accounting rules, that as we get closer to announcing a sale of the Resi and Commercial Fire business, the Fire & Security segment in aggregate will likely be presented in discontinued operations in future quarters. This could happen as early as Q3 but would not apply to Commercial Refrigeration. We do not yet know the full impact on reported earnings from continuing operations this year, which is why our July guide is consistent with how we have been disclosing our results. In addition, we plan to continue to disclose actual and projected 2024 results of our core business, that is all the businesses we are keeping, including Viessmann Climate Solutions, which we continue to see as the best base to project 2025 financial performance.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","With that, let me provide our outlook for 2024. With respect to exits, our updated guide now includes Commercial Refrigeration for nine months compared to six months in our previous guide. We now expect reported full-year sales of roughly $25.5 billion compared to a little under $26 billion in our April guide, with underlying organic growth of mid-single digits remaining unchanged versus prior guide. The expected upside from our commercial and light commercial HVAC businesses essentially offsets lower revenue at Viessmann Climate Solutions. Lower residential and light commercial sales in China and a stronger foreign currency translation headwind are only partially offset by having Commercial Refrigeration for another quarter. We are maintaining our adjusted operating margin guide of roughly 15.5%, maybe a little more, and continue to expect full-year core earnings conversion to be north of 40%.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Interest expense is expected to be about $510 million based on the timing of the exits and redeployment of the net proceeds. The end result is that we are maintaining our Adjusted EPS guide range of $2.80-$2.90. Our free cash flow outlook remains $400 million, reflecting about $2 billion of tax payment on gains from the business exit and transaction and restructuring-related cash costs. Our underlying free cash flow outlook remains $2.4 billion. Moving on to slide 15, full-year Adjusted EPS year-over-year guidance bridge. Adjusted EPS increases from $2.73 last year to $2.85 at the midpoint. The darker blue represents the businesses we are retaining, including Viessmann Climate Solutions, whereas the lighter blue represents the Adjusted EPS contribution from the businesses we're exiting. You can see that the Adjusted EPS from our core business is projected to be up 17% compared to last year.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","The operational contribution of $0.55 now reflects stronger business performance within our commercial and light commercial HVAC businesses, as well as stronger productivity. Increased dilution from Viessmann Climate Solutions reflects lower expected sales. We updated the impact of the exits to include the net effect of losing seven months of earnings from Access Solutions, six months of earnings from Industrial Fire, and only three months of earnings from Commercial Refrigeration, all offset by net interest savings from the proceeds. There is a modest benefit from our planned $1 billion in share repurchase in the second half and the headwind from a higher year-over-year adjusted effective tax rate. In the appendix on slide 23, you will find a full-year adjusted EPS guide-to-guide bridge. On slide 24, there is a summary of additional items which were also updated as part of the new guide.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","With respect to the third quarter, we expect sales of about $6.6 billion and Adjusted EPS of about $0.80, including a few pennies from businesses yet to be divested, and we expect the adjusted effective tax rate to be up 500 basis points compared to last year, a $0.06 headwind. In summary, a good second quarter overall and on track for another strong year. With that, we'll open it up for questions.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25",NA,NA,"Thank you. To ask a question, please press star one one on your telephone and wait for your name to be announced. To withdraw your question, please press star one one again. Please stand by while we compile the Q&A roster. The first question comes from Andy Kaplowitz with Citigroup. Your line is open.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Andy Kaplowitz","Managing Director at Citigroup","Good morning, everyone.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Patrick Goris","CFO at Carrier","Morning.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","Morning, Andy.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","Andy Kaplowitz","Managing Director at Citigroup","David, I think you've been saying that as you own Viessmann for longer, that you get more visibility into the expected orders and sales ramp. Obviously, you lowered your guidance for the business, but how would you characterize the new guidance? I think you're still talking about a typical seasonal pickup. Is that 20% growth off a lower base, or do you see expectations now as more de-risked for the second-half ramp?","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
"CARR","2024-07-25","David Gitlin","Chairman and CEO at Carrier","I would call it more de-risked, but it's also about 15%-20% growth in the second half over the first half. So we had said that previously, but now we're coming off of a lower base. I think in terms of the typical seasonality, as we start getting into the heating months, we went back a number of years, and that number of 15%-20% is true almost over 90% of the time. So we do think we've de-risked the forecast for the rest of the year. We do need to see this, as we start thinking about 2025, what we're really looking at is this inflection point.","https://www.marketbeat.com/earnings/reports/2024-7-25-carrier-global-co-stock/"
