"symbol","report_date","speaker","title","msg","source_url"
"CBOE","2026-05-01",NA,NA,"Good morning, ladies and gentlemen, and thank you for standing by. My name is Kelvin, and I will be your conference operator today. At this time, I would like to welcome everyone to the Cboe Global Markets 1st quarter earnings call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question, please press star one again. Thank you. I would now like to turn the call over to Ken Hill, Head of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Ken Hill","SVP, Treasurer and Head of Investor Relations and Business Intelligence at Cboe Global Markets","Good morning and thank you for joining us for our first quarter earnings conference call. On the call today, Craig Donohue, our CEO, will discuss our performance for the quarter and provide an update on our strategic initiatives. Scott Johnston, our Chief Operating Officer, will provide an update on the additional strategic realignment actions announced today. Jill Griebenow, our Chief Financial Officer, will provide an overview of our financial results for the quarter, as well as discuss our 2026 financial outlook. Following their comments, we will open the call to Q&A. Also joining us for Q&A will be Prashant Bhatia, our Head of Enterprise Strategy and Corporate Development, and Rob Hocking, our Global Head of Derivatives. I would like to point out that this presentation will include the use of slides. We will be showing the slides and providing commentary on each.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Ken Hill","SVP, Treasurer and Head of Investor Relations and Business Intelligence at Cboe Global Markets","A downloadable copy of the slide presentation is available on the investor relations portion of our website. During our remarks, we'll make some forward-looking statements which represent current judgment on what the future may hold. While we believe these judgments are reasonable, these forward-looking statements are not guarantees of future performance and involve certain assumptions, risks, and uncertainties. Actual outcomes and results may differ materially from what is expressed or implied in any forward-looking statements. Please refer to our filings with the SEC for a full discussion of the factors that may affect any forward-looking statements. We undertake no obligation to publicly update any forward-looking statements, whether as a result of new information, future events, or otherwise after this conference call. During the call this morning, we'll be referring to non-GAAP measures as identified and reconciled in our earnings materials.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Ken Hill","SVP, Treasurer and Head of Investor Relations and Business Intelligence at Cboe Global Markets","Now, I'd like to turn the call over to Craig.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Craig Donohue","CEO at Cboe Global Markets","Good morning. Thank you for joining us to review our first quarter results. Cboe delivered another quarter of record net revenue and adjusted earnings powered by continued strength across all of our core businesses. The results underscore the strong foundation we have in place as we take the next steps in advancing our strategy. I will provide some high-level comments before turning the call over to Scott Johnston to talk through the additional strategic realignment changes announced this morning, and then to Jill for a financial update. During the first quarter, Cboe grew net revenue 29% year-over-year to a record $729 million, and adjusted diluted EPS increased an exceptional 48% to a record $3.70.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Craig Donohue","CEO at Cboe Global Markets","The robust results in the first quarter were again broad-based, driven by record net revenue in every major category at Cboe and double-digit net revenue growth in four of our five company segments. Taking a closer look at the first quarter trends in our derivatives business, we delivered another record quarter with net revenue increasing 32% year-over-year. Index options net transaction and clearing fees revenue drove the upside, increasing a robust 35% as our proprietary SPX options set another quarterly record with average daily volume increasing 34% year-over-year to 4.9 million contracts. Interestingly, the drivers of that growth evolved as market conditions changed throughout the quarter. When things were steady, as they were in January and February, the 0DTE options continued to power the growth of the overall SPX franchise on the back of deeper retail and institutional engagement.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Craig Donohue","CEO at Cboe Global Markets","In March, as the macro-outlook shifted abruptly with the Iran war, investors turned to non-0DTE options to help manage their portfolios as longer-term risks over inflation and growth increased. Zero DTE options still grew, but at a more steady 6% rate month-over-month in March, while non-0DTE options jumped over 26%, helping to drive a new monthly ADV record of 5.4 million SPX options contracts. Outside of SPX, we saw multiple quarterly ADV records across our Mini-SPX options, Russell 2000 index options, as well as our VIX options complex, speaking to the utility of Cboe's volatility toolkit across market environments. Overall, we see a supportive macro environment for our derivatives business while we continue to expand global access and retail engagement.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Craig Donohue","CEO at Cboe Global Markets","Last quarter, global trading hours volumes rose more than 32% to a record high, driven by strong growth during Asian hours as we continue onboarding local brokers. We are also investing at home. Our trading floor helps traders to efficiently manage complex multi-leg risk capabilities that can't be replicated electronically and supports broader market liquidity through both direct execution and related hedging activity. On April 6, we were pleased to be joined by our long-term partner, S&P Dow Jones Indices, for the inaugural televised bell ringing on the Cboe floor as part of our new multi-year collaboration with CNBC. Through our new partnership with CNBC, we are bringing the power and expertise of Cboe's iconic trading floor to a global audience, leveraging a differentiated asset within our market ecosystem to deliver live market insight and investor education, elevate the Cboe brand, and reinforce our leadership in global markets.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Craig Donohue","CEO at Cboe Global Markets","Turning to event contracts, subject to regulatory approval, we plan to bring our securities-based event contracts to market. Based on our Mini-SPX contract and leveraging our existing options infrastructure, the product is designed to mirror the risk-reward profile of a widely used options strategy, the vertical call spread, allowing investors to take a simple yes or no view on an outcome with defined downside risk and a capped payout range. By incorporating a broader payout zone, the structure enables customers to benefit from being directionally right without requiring a binary all or nothing result. This unique spread element is also being well received by the retail brokerage community as we educate in an easy-to-understand way one of the primary risks defined strategies in options trading. This launch is just the first step in our broader event contract strategy.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
"CBOE","2026-05-01","Craig Donohue","CEO at Cboe Global Markets","We see significant growth ahead as these products become increasingly integrated into the financial markets, and we intend to expand beyond index-based outcomes by leveraging our capabilities across both securities and futures. Longer term, we see a compelling opportunity to introduce additional contracts around economic and financial indicators. This is a rapidly growing and compelling area of the market, and we believe Cboe is uniquely positioned to succeed as a trusted partner to customers and regulators with deep experience that spans securities, futures and clearing. We have consistently designed products that meet the needs of both institutional and retail participants while creating thoughtful education on ramps that support broader adoption. Leveraging our market infrastructure expertise, our product design capabilities and regulatory integrity, we believe Cboe is best positioned to bring differentiated event contract solutions to market across both securities and futures.","https://www.marketbeat.com/earnings/reports/2026-5-1-cboe-global-markets-inc-stock-3/"
