"symbol","report_date","speaker","title","msg","source_url"
"CE","2024-08-01",NA,NA,"Greetings and welcome to Celanese's second quarter 2024 earnings call and webcast. At this time, all participants are in a listen-only mode. A brief question-and-answer session will follow the formal presentation. If anyone should require operator assistance during the conference, please press star zero on your telephone keypad. As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Bill Cunningham, Vice President of Investor Relations. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Bill Cunningham","Head of Investor Relations at Celanese Corporation","Thanks, Diego. Welcome to the Celanese Corporation second quarter 2024 earnings conference call. My name is Bill Cunningham, Vice President of Investor Relations. With me on the call are Lori Ryerkerk, Chairman of the Board and Chief Executive Officer; Scott Richardson, Chief Operating Officer; and Chuck Kyrish, Chief Financial Officer. Celanese distributed its second quarter earnings release via Business Wire and posted prepared comments on our Investor Relations website yesterday afternoon. As a reminder, we'll discuss non-GAAP financial measures today. You can find definitions of these measures, as well as reconciliations to the comparable GAAP measures, on our website. Today's presentation will also include forward-looking statements. Please review the cautionary language regarding forward-looking statements, which can be found at the end of both the press release and prepared comments. Form 8-K reports containing all of these materials have also been submitted to the SEC.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Bill Cunningham","Head of Investor Relations at Celanese Corporation","With that, Diego, let's please go ahead and open it up for questions.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01",NA,NA,"Thank you. We'll now conduct our question-and-answer session. If you would like to ask a question, please press star one on your telephone keypad. A confirmation tone will indicate that your line is in the question queue. You may press star two if you would like to remove your question from the queue. For participants using speaker equipment, it may be necessary to pick up your handset before pressing the star key. Our first question comes from Josh Spector with UBS. Please state your question.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Sison","Analyst at Wells Fargo","Yeah, hi, good morning. So I wanted to ask on some of the moving pieces within Engineered Materials. I mean, obviously, nice to see a good step up here in the second quarter, but I think there's been a constant debate around, you know, where the market is and what's stable and in your control versus what needs to have a market improvement. So I guess when you look at your expectations about the improvement into 2Q, or sorry, into 3Q, and maybe a stable second half, what are you assuming behind the markets to get there versus cost savings in your control? And given all the cuts we've made to expectations, is this kind of the point where you feel like you're now conservative enough, or are there other things that you would have us watch out for? Thanks.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","Good morning, Josh. Thanks for the question. If we look at our Q3 guidance, I would say we're generally expecting things to be unchanged in terms of overall market conditions. We do expect a little bit of growth in auto builds in the second half, particularly in China, which I think is consistent with what others in the industry are seeing. But generally, everything else is pretty stable. We're not expecting a lot of downturns. That said, we do continue to expect some moderate growth in our volumes based on the strengths of our product pipeline. We also expect some continued growth in margin based on synergy pull-through and also pull-through of lower-cost raw materials in inventory.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","So I would say, you know, we don't need market improvement, I guess maybe other than that little bit in auto in order to achieve our second half outlook from an engineered material standpoint.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Josh Spector","Analyst at UBS","I guess just within the auto side specifically, considering that's been an area of kind of weakening demand, is it specific new platforms on certain cars that has driven it? Is it regional with Asia? I guess what gives you the confidence there specifically?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","I think a lot of it is the work around the integration. You know, we now have access to customers with Celanese materials that we previously didn't have because of the contacts that our Heritage DuPont had, particularly in non-China parts of Asia. And similarly, we have some outlets for some of the Heritage M&M materials that we didn't have before. And I think it's really, again, the project pipeline. I mean, we've been working now for, well, for a long time, but with the entire portfolio for 18 months to really identify those new customers, those new orders, those new areas within existing customers, and make sure that we're strong across all the platforms in auto, ICE, Engineered Materials, and hybrids. You know, we called out last quarter earnings.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","In fact, some of the applications we're getting on EVs with nylon, which is, which is an area where DuPont didn't necessarily play.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Sison","Analyst at Wells Fargo","Understood. Thanks, Lori.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01",NA,NA,"Our next question comes from Mike Sison with Wells Fargo. Please state your question.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Sison","Analyst at Wells Fargo","Hey, good morning. In terms of the fourth quarter versus the third, it does look like you'll need some improvements sequentially. Is at the midpoint a lot of that within your control, some of the factors that you've talked about in the past?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","Yeah, you know, if you do the math, you would expect that we need some additional lifts in the fourth quarter. I would put it down to a few things. We, you know, it should be our largest quarter of synergy capture. For the engineered materials, we should start seeing more of a full-year run rate on Clear Lake as we'll have gotten through all the effects of the supplier outages and a little bit from Hurricane Beryl in the third quarter. So that will be an uplift there. I would also say, you know, our mix has changed. So, you know, with the acquisition of M&M, we now have a higher presence in China. And so we wouldn't expect as much seasonality now in the fourth quarter as we've typically seen with the Heritage Celanese portfolio. So all of those things come together.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","You know, we're again, we're not other than this little bit of uptick that's being predicted in auto. We're not really expecting material conditions to change. So it really will be the result of kind of the self-help, the, the activities that we've undertaken over the last 18 months.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Scott A. Richardson","President and CEO at Celanese Corporation","Yeah. The one thing I'd add to that, Mike, is, is the work we're doing in the commercial organization, in the engineered materials business. You know, we, we integrated the commercial teams, in the early part of Q2 last year. And, you know, the average length of time that projects sit in our pipeline is about 18-24 months. So we're really coming up on that kind of first 18-month plateau here at the end of this year in the fourth quarter and going into next year. And, and, you know, given kind of the trajectory we've seen on, the success of the volume lift from Q1 to Q2, we're really starting to see the benefit of that model play out, with bringing M&M into that EM business.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Scott A. Richardson","President and CEO at Celanese Corporation","And so, you know, you do have a little bit of an element of that as well from how we see the pipeline developing at the end of the year.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Sison","Analyst at Wells Fargo","Right. And a quick follow-up. You know, the macro hasn't been very helpful for you and chems in general. So if things get worse sequentially into the second half, you know, what changes can you make to sort of hit this range? And then, you know, how do you sort of help us think about, you know, 2025 and the ramp-up potential of earnings the earnings profit Celanese longer term?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","Yeah. Look, it's things can always get worse, right? And we've seen that. But I would also say, you know, things, things have been certainly very challenging this year. And the results that we're delivering this year are really based on, you know, the remarkable efforts of our teams and their ability to innovate, the resilience that they've shown, and really, you know, looking under every rock for sources of value. So if it gets worse, that will continue. I would say, you know, Europe for all practical measures has been in a near recessionary kind of condition. So, you know, we think it's going to be stable based on what we can see in our order books right now, certainly for Q3. As we go into 2025, you know, we will continue to have self-help, which will help lift us in 2025.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","I think if you look at 2025, we can think about, you know, the run rate that we'll see in the second half of the year continuing through 2025. Then we'll have another tranche of M&M synergies on top of that, as well as full productivity from Clear Lake next year and probably some additional interest rate benefits as well. So I think, you know, the things that we've seen this year will continue to compound into next year and raise the 2025 results. But it's, you know, frankly, it's just too early to tell what the fundamental economic conditions are going to be in 2025 yet.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Sison","Analyst at Wells Fargo","Thank you.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","Thank you.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01",NA,NA,"Our next question comes from Michael Leithead with Barclays. Please state your question.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Sison","Analyst at Wells Fargo","Great. Thanks. Good morning, team. A few questions on the Acetyls force majeure. I guess first, are we still in force majeure, and when do you expect to fully resolve these disruptions? Two, should we think about any insurance proceeds or any sort of restitution for you guys from these disruptions? And then finally, apologies if I missed this, but what is the all-in expected cost impact from this outage?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","Thanks for the question, Mike. We are still in Force Majeure. The units, obviously are restarted, running well. But it is a longish supply chain in the Western Hemisphere. So we're in Force Majeure till we can reestablish those supply chains into Europe, which is the work going on currently. But we fully expect that we'll lift the Force Majeure sometime in this quarter. In terms of restitution, you know, we're really just focused right now and have been focused in the second quarter on, you know, working with our suppliers to understand, you know, what the issues were, how we could get through them more quickly, how to address reliability issues going forward, how to make sure that we maintain really good relationships. You know, that's really been our focus now. And, you know, we'll have discussions about any form of restitution later.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Leithead","Analyst at Barclays","Okay. I'm sorry. And then just in terms of all-in cost impact?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","Oh, I'm sorry. I just missed it. Yeah. So we, you know, this, this quarter, second quarter, I would say was about $35 million. And then next quarter, we'll see another $5 million-$10 million.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Leithead","Analyst at Barclays","Okay. Great. And then I just wanted to follow up on some of the competitive dynamics in your product. I think in the remarks, you noted commodity nylon is below the cost curve. There's been some opportunistic pricing, if you will, in some other areas. I guess what is your best kind of judgment about where we stand today? Are we still atrophying in price in some of these areas? Are we stabilizing, or have we started to recover here?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","As you called out, Mike, I mean, we definitely saw price pressure on nylon raw nylon polymer this last quarter. It has definitely gone down, and it's affected some of the margin uplift we expected from pull-through. That said, I think this really points out the benefit of the strategy we took, though, to shut down standard grade polymerization at Uentrop, and really be able to give ourselves flexibility in terms of where we choose to source raw nylon polymer and, you know, compound it for our customers. So, you know, that's really paid off. We would have seen more of a hit this past quarter if we hadn't done that.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","I would say on the other products, not as much pricing pressure as margin pressure as we've seen some increase in raw materials, especially think about, POM, where we've seen some increase in ethylene. So I, you know, those being the two biggest, I would say, again, nylon, it's price, but mitigated by the steps that we've taken. POM, we've seen pressure on ethylene pricing.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Michael Sison","Analyst at Wells Fargo","Great. Thank you.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01",NA,NA,"Our next question comes from Jeffrey Zekauskas with JPMorgan. Please state your question.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Jeffrey Zekauskas","Analyst at JPMorgan","Thanks very much. Were the outages at Clear Lake caused by anything else other than carbon monoxide difficulties? Was there some other source of inefficiency in the quarter?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Bill Cunningham","Head of Investor Relations at Celanese Corporation","Yeah. Thanks for the question, Jeff. Yeah. With the suppliers that we have, and we've talked about multiple suppliers, you know, was really around several different raw materials that we source.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Jeffrey Zekauskas","Analyst at JPMorgan","Several. So it's a wider issue than CO?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Bill Cunningham","Head of Investor Relations at Celanese Corporation","Yeah. We're not talking about the specific materials, Jeff. I mean, at the end of the day, we talked about acetic acid, and we buy several different raw materials for that.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Jeffrey Zekauskas","Analyst at JPMorgan","And then secondly, can you talk about your preference as to whether you would sell acetic acid or you would sell VAM in the current environment? How can you compare the profitability of those two chemical outputs?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Bill Cunningham","Head of Investor Relations at Celanese Corporation","Yeah. Honestly, Jeff, it, it really does fluctuate week to week, region to region. You know, we are looking at kind of where the different, you know, markets are at and kind of where they're trending, based upon kind of where the, the fundamental supply-demand dynamics are. You know, that is, is going to be kind of one way in, in one geography, for the first part of the quarter and, and maybe a little different. I, I would say in general, we tend to be pivoting more, as we talked about last quarter, in Asia more further downstream. We've seen more opportunities, in our emulsions as well as our redispersible powders business, to be able to grow in some of those areas.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Bill Cunningham","Head of Investor Relations at Celanese Corporation","We talked in the prepared comments about some kind of substitution that we've been successful driving there with the expanded capacities that we have. In addition, with those expanded capacities, we've been able to really work with our customers in India specifically to kind of help develop that market and really start to drive there. That has been a nice growth area for us, more on the Asia side. I would say it's a little more balanced than where we're selling in the Western Hemisphere.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01",NA,NA,"Great. Thank you. Our next question comes from Ghansham Panjabi with Baird. Please state your question.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Ghansham Panjabi","Analyst at Baird","Hey, guys. Good morning. Lori, I just want to go back to my usual question on the sort of the macro pulse. You know, obviously, your volumes have been weak for several quarters. But just based on your sense as we spin around the world, do you feel like the macro is relatively stable on a consolidated basis, or is it just your own initiatives that are masking, you know, what is otherwise a sequential deceleration? And I'm just asking because obviously the data in China is very poor. Commodity prices have pulled back, including oil, etc., more recently. So on a real-time basis, what are you seeing?","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
"CE","2024-08-01","Lori J. Ryerkerk","Retired at Celanese Corporation","On a real-time basis, Ghansham, I would say stable is the right word. You know, again, I'll go back to auto. Auto actually has been a little stronger in the U.S. and Asia. Europe has weakened year-over-year. But globally, auto has been pretty stable. And, you know, we do see, especially in China, some further strengthening, in the second half. You know, consumer and electronics, again, pretty stable globally. But in our own, own portfolio, because of what we've been able to do through the project pipeline and, you know, the good work by our teams on the ground, you know, we are starting to see some growth in consumer and electronics. We've had strong Q-over-Q growth in medical implants, which is a little bit, you know, unique to us, and, and as expected.","https://www.marketbeat.com/earnings/reports/2024-8-1-celanese-co-stock/"
