"symbol","report_date","speaker","title","msg","source_url"
"CF","2025-08-06",NA,NA,"Good day, ladies and gentlemen, and welcome to the CF Industries' first half and second quarter of 2025 earnings conference call. Today, all participants will be in a listen-only mode. Should you need assistance during today's call, please signal a conference specialist by pressing the star key followed by zero. We will facilitate a question-and-answer session towards the end of today's presentation. To pose a question at any time, please press star then one on your touch-tone phone. I would now like to turn the presentation over to the host for today, Mr. Martin Jarosick with CF Industries Investor Relations. Please proceed, sir.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Martin Jarosick","Investor Relations at CF Industries","Good morning and thanks for joining the CF Industries earnings conference call. With me today are Tony Will, President and CEO, Chris Bohn, Executive Vice President and Chief Operating Officer, Bert Frost, Executive Vice President of Sales, Market Development, and Supply Chain, and Greg Cameron, Executive Vice President and Chief Financial Officer. CF Industries reported its results for the first half and second quarter of 2025 yesterday afternoon. On this call, we'll review the results, discuss our outlook, and then host a question-and-answer session. Statements made on this call and in the presentation on our website that are not historical facts are forward-looking statements. These statements are not guarantees of future performance and involve risks, uncertainties, and assumptions that are difficult to predict.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Martin Jarosick","Investor Relations at CF Industries","Therefore, actual outcomes and results may differ materially from what is expressed or implied in any statement. More detailed information about factors that may affect your performance may be found in our filings with the SEC, which are available on our website. Also, you'll find reconciliations between GAAP and non-GAAP measures in the press release and presentation posted on our website. Now, let me introduce Tony Will.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Tony Will","President and CEO at CF Industries","Thanks, Martin, and good morning, everyone. Yesterday afternoon, we posted results for the first half of 2025, in which we generated adjusted EBITDA of $1.4 billion. These results reflect outstanding operational performance by the CF Industries team against the backdrop of a tight global nitrogen supply-demand balance. We are also executing well on our strategic initiatives. The Donaldsonville Carbon Capture and Sequestration Project began operating in early July and is running at designed rates, and progress on the new Blue Point joint venture is well underway. We continue to return substantial capital to shareholders. Over the last 12 months, we have returned approximately $2 billion. This includes repurchasing more than 10% of our outstanding shares since last July. Given our world-class operating performance, the favorable global nitrogen industry dynamics, the financial benefits we generate from our strategic initiatives, and our ongoing capital return programs, we are well positioned to create value for shareholders over both the near and longer-terms. With that, I'll turn it over to Chris to provide more details on our operating results. Chris?","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Christopher Bohn","EVP and COO at CF Industries","Thanks, Tony. For the first half of 2025, we continued to differentiate CF Industries from peers through safety and operational excellence. We had three recordable incidents in the first six months of 2025 and zero lost time days. This is particularly impressive given our scale and level of activity in the first half. Through the end of June, we produced 5.2 million tons of gross ammonia, representing a 99% utilization rate. For the full year, we expect to produce approximately 10 million tons of gross ammonia. The third quarter, as is typical for CF Industries, will have lower production volumes than the first two quarters due to planned maintenance activity. Turning to our strategic initiatives, we started up our Donaldsonville Carbon Capture and Sequestration Project in July. The carbon dioxide dehydration and compression unit has ramped up very well, and we achieved full nameplate capacity within the first week.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Christopher Bohn","EVP and COO at CF Industries","In addition to reducing carbon dioxide emissions by up to 2 million metric tons per year, we'll earn a significant return from this project. We are generating 45Q tax credits and selling low-carbon ammonia for a premium. For the Blue Point joint venture, we, along with Linde, have been building out the project team and have begun ordering long lead time items. We also continue to evaluate opportunities to further de-risk the project by leveraging best-in-class capabilities. For example, the joint venture signed an agreement with industry leader Linde to build and operate the air separation unit, which will supply nitrogen and oxygen for the ammonia production process. We remain excited about the compelling growth opportunity at Blue Point, given the tightening of the global nitrogen supply-demand balance and the interest that has been generated in the ultra-low carbon ammonia that will be produced there. With that, let me turn it over to Bert to discuss the global nitrogen market. Bert?","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Bert Frost","EVP of Sales, Market Development and Supply Chain at CF Industries","Thanks, Chris. Throughout the first half of 2025, the global nitrogen supply-demand balance continued to tighten. Strong global nitrogen demand, led by North America and India, had to contend with low global nitrogen inventories and production disruptions in key supply regions. This included geopolitical events late in the second quarter that temporarily halted production in Egypt and Iran, as well as two facilities in Russia. The CF Industries team navigated these dynamics exceptionally well, especially as the North American spring application season lasted longer than normal. Backed by strong production, we leveraged our leading logistics and distribution capabilities to capture incremental opportunities well into July. For example, last month, we continued to make spot UAN sales at in-season prices, as supply from other sources was largely unavailable after the strong spring application season.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Bert Frost","EVP of Sales, Market Development and Supply Chain at CF Industries","As a result, our UAN inventory at the end of June was the lowest we have seen entering the third quarter in the last decade. This led us to delay our UAN fill program until next week, which is the latest we have ever launched. The delay has given us time to better understand customer requirements and communicate that fill prices will be significantly higher in 2024, given the tight global supply-demand balance. Farmer economics in North America have been an industry concern, as the price of corn has not kept up with the price of inputs. However, we expect nitrogen demand in the region to remain robust. The corn-to-soybean ratio favors corn, and farmers will be incentivized to optimize yield, supporting resilient demand for this non-discretionary nutrient.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Bert Frost","EVP of Sales, Market Development and Supply Chain at CF Industries","In fact, our ammonia fill and fall prepaid programs, which were closed at the beginning of July, saw a strong uptake from customers. In the near- and medium-term, we believe the global nitrogen supply-demand balance will remain tight. Global nitrogen inventory is low, and the global demand is expected to be strong. Brazil and India alone are likely to acquire more than 8 million metric tons of urea imports through the end of the year, while the Northern Hemisphere, which will begin purchasing for 2026 applications, the global industry, even with the needed urea exports from China, does not have excess capacity to easily meet this demand. In fact, India closed its most recent tender at a price much higher than expected.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
"CF","2025-08-06","Bert Frost","EVP of Sales, Market Development and Supply Chain at CF Industries","Additionally, natural gas availability in Egypt, Iran, and Trinidad has become chronic problems for their nitrogen industries, and the high natural gas prices in Europe and Asia continue to challenge nitrogen producer margins in those regions. These structural challenges are further exacerbated by the uncertainty created by geopolitical events. Longer-term, we expect the global nitrogen supply-demand balance to tighten further through the end of the decade, as projected new capacity growth is not keeping pace with demand growth for traditional fertilizer and industrial applications. We also believe demand for low-carbon ammonia for new applications, such as power generation, will only further tighten the global supply-demand balance. We are seeing this transition now. With the Donaldsonville CCS Project operational, we will ship our first cargo of low-carbon ammonia in the coming weeks and at a premium. We have steady demand today and growing interest in Donaldsonville low-carbon ammonia volumes for new applications, in addition to the longer-term demand for ultra-low carbon volumes from Blue Point. With that, Greg will cover our financial performance.","https://www.marketbeat.com/earnings/reports/2025-8-6-cf-industries-holdings-inc-stock/"
