"symbol","report_date","speaker","title","msg","source_url"
"CHRW","2025-10-29",NA,NA,"Good afternoon, ladies and gentlemen, and welcome to the C.H. Robinson Worldwide third quarter 2025 conference call. At this time, all participants are in a listen-only mode. Following the company's prepared remarks, we will open the line for a live question and answer session. To ask a question, please press Star one on your telephone. If anyone needs assistance at any time during the conference, please press Star zero. As a reminder, this conference is being recorded Wednesday, October 29, 2025. I would now like to turn the conference over to Chuck Ives, Senior Director of Investor Relations.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Chuck Ives","Senior Director of Investor Relations at C.H. Robinson Worldwide","Thank you, and good afternoon, everyone. On the call with me today is Dave Bozeman, our President and Chief Executive Officer; Michael Castagnetto, our President of North American Surface Transportation; Arun Rajan, our Chief Strategy and Innovation Officer; and Damon Lee, our Chief Financial Officer. I'd like to remind you that our remarks today contain forward-looking statements. Slide 2 in today's presentation lists factors that could cause our actual results to differ from management's expectations. Our earnings presentation slides are supplemental to our earnings release and can be found in the Investor section of our website at investor.chrobinson.com. Today's remarks also contain certain non-GAAP measures, and reconciliations of those measures to GAAP measures are included in the presentation. With that, I'll turn the call over to Dave.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","Thank you, Chuck. Good afternoon, everyone, and thank you for joining us today. I've met with many investors over the past year, and as you know, we don't normally start our discussions or spend a lot of time on the macro environment due to the exciting Lean AI transformation that is occurring at C.H. Robinson Worldwide. After a really strong third quarter performance that I and the team are really pleased with, I do want to start off, however, by sharing a little bit of context around the macro conditions that we're not immune to and that I'm proud of our employees for navigating with discipline and ingenuity. The third quarter of 2025 was marked by a continued soft freight environment with the Cass Freight Shipment Index declining year-over-year.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","For the 12th consecutive quarter, the Cass index reading was the lowest Q3 reading since the financial crisis of 2009, and despite a fairly steady exit of trucking capacity over the past three years, truckload spot rates continue to bounce along the bottom due to low demand. International freight has been impacted by global trade policies, which caused previous front loading and a dislocation of shipments and a softer than normal peak season combined with excess vessel capacity. This caused ocean rates to decline substantially versus a year ago, consistent with the expectations that we laid out at our investor day in December. Ocean rates also declined substantially during Q3, causing our adjusted gross profit per ocean shipment to decline 27% from June to September. The setup for global transportation companies was certainly unfavorable in Q3.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","We are not immune to the market, and the volume and rate dynamics in global forwarding are certainly headwinds we are facing. This is a new C.H. Robinson Worldwide, and we don't use the macro environment as an excuse. We are a fundamentally different company than we were two years ago, illustrated by the company's consistent outperformance versus the market. Make no mistake, this consistent outperformance does not just happen, and it's not easy for others to replicate. We're changing the culture of the company, which is really hard work. We've shifted to a culture of solving problems with speed, and the implementation of a lean operating model has contributed greatly to this change. A lean operating model is about building the habit of getting better every day through innovation, failing fast, and discovery. We certainly encounter challenges along the way, but how we solve them now is different.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","With the discipline and tools that we've armed our people with, we solve those challenges with a lean mindset, with experimentation, and with urgency. The Robinson operating model helps us focus on what matters most to eliminate waste and deliver more value to our customers faster. Our people have embraced our lean operating model and the discipline needed to generate higher highs and higher lows across market cycles. While we've made considerable progress, we are still in the early innings of our lean transformation, and significant runway exists as we continue to deepen the lean mindset and methods across the organization. Shifting to our Q3 results, that provides another proof point of the disciplined execution of our strategy. In NAST, we grew our combined truckload and less-than-truckload volume by approximately 3% year-over-year and demonstrably grew market share versus a 7.2% decline in the Cass Freight Shipment Index.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","This was accomplished while expanding gross margins for the eighth consecutive quarter and further increasing productivity and operating leverage while growing volume. This resulted in a 39% adjusted operating margin in NAST and further progress toward our 40% mid-cycle adjusted operating margin target for NAST. In Global Forwarding, we expanded gross margins by 380 basis points year-over-year through improved revenue management discipline. We also continued to improve our productivity, which has now increased by more than 55% in Global Forwarding since the end of 2022. This improvement in our operating leverage enabled us to achieve our 30% mid-cycle adjusted operating margin target in Q3 despite the difficult market conditions.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","With seven consecutive quarters of consistent outperformance through the disciplined execution of the strategy that we shared at our 2024 Investor Day, there is no doubt in our minds that we are on the right path to deliver sustainable outperformance. We are not waiting for a market recovery to improve our financial results, and the strategies that our team is executing are built to be effective in any market environment. With our strong balance sheet and cash flow generation, we are comfortable operating in an environment that is lower for longer. In today's environment, there is a flight to quality, and that is Robinson. We're also highly confident in our ability to continue delivering exceptional value for our customers and to continue executing on all of our strategic initiatives, including further increasing our operating leverage where the market eventually inflects.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","Our model, with an industry-leading cost to serve, is highly scalable, and we expect it will improve further as we harness the evolving power of AI to drive automation across the quote-to-cash life cycle of a load. We're still in the early innings of our Lean AI journey. Call it third inning in NAST and first inning in Global Forwarding. Lean AI is our unique, disciplined approach to AI innovation that transforms supply chains by combining the principles of Lean methodology in our Robinson operating model with the power of AI. Lean AI is designed to maximize value and minimize waste for better outcomes. It is uniquely enabled by our leading AI technology, our expert logisticians, and our Lean operating model that drives continuous improvement.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
"CHRW","2025-10-29","Dave Bozeman","CEO at C.H. Robinson Worldwide","Our fleet of AI agents are not only improving our productivity and operational performance by automating tasks that free up our industry-leading talent to focus on more strategic, higher-value work, but they are also enhancing the service and value we deliver to our customers and contributing to our market share gains. We are pioneering new ways to eliminate tasks, augment our capabilities, and supercharge our talented people with industry-leading technology that materially elevates the customer and carrier experience, and our Lean operating model enables us to do this in a disciplined and cost-effective way that delivers the most value to all our stakeholders. Our AgentIQ supply chain solutions are enabling a new era of logistics, and we're leading the way for customers and carriers overall. The progress on our strategic initiatives remains on track.","https://www.marketbeat.com/earnings/reports/2025-10-29-ch-robinson-worldwide-inc-stock/"
