"symbol","report_date","speaker","title","msg","source_url"
"CLX","2025-11-03",NA,NA,"Good day, ladies and gentlemen, and welcome to The Clorox Company First Quarter Fiscal Year 2026 earnings release conference call. At this time, all participants are in a listen-only mode. At the conclusion of our prepared remarks, we will conduct a question-and-answer session. If you would like to ask a question, you may press star one on your touchstone pad at any time. If anyone should require assistance during the conference, please press star zero on your touchstone pad at any time. As a reminder, this call is being recorded. I would now like to introduce your host for today's conference call, Ms. Lisah Burhan, Vice President of Investor Relations for The Clorox Company. Ms. Burhan, you may begin your conference.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Lisah Burhan","VP of Investor Relations at The Clorox Company","Thank you, Jen. Good afternoon, and thank you for joining us. On the call with me today are Linda Rendle, our Chair and CEO, and Luc Bellet, our CFO. Please note that our earnings release and prepared remarks are available on our website at thecloroxcompany.com. In just a moment, Linda will share a few opening comments and then will take your questions. During this call, we may make forward-looking statements, including about our fiscal year 2026 outlook. These statements are based on management's current expectations but may differ from actual results or outcomes. In addition, we may refer to certain non-GAAP financial measures. Please refer to the forward-looking statement section, which identifies various factors that could affect such forward-looking statements, which have been filed with the SEC.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Lisah Burhan","VP of Investor Relations at The Clorox Company","In addition, please refer to the non-GAAP financial information section in our earnings release and the supplemental financial schedule in the investor relations section of our website for reconciliation of non-GAAP financial measures to the most directly comparable GAAP measures. Now, I'll turn it over to Linda.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Linda Rendle","CEO at The Clorox Company","Thank you for joining us today. In Q1, we reached a major milestone in our transformation journey with the successful launch of our new ERP system in the U.S. This foundational step has strengthened our digital backbone and unlocked new value streams for our company. Launching the ERP was a significant undertaking, and while the transition presented some challenges, our team's resilience and adaptability allowed us to navigate them effectively, and we're already seeing the benefits ramp up across our operations. As we move forward, we've incorporated the realities of the implementation into our latest outlook and made the necessary adjustments to strengthen our plan for the remainder of the year. Importantly, as we move past these temporary challenges, we are fully focused on our demand creation plan to deliver superior value to our consumers and reinvigorate category growth. With that, Luc and I are happy to take your questions.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03",NA,NA,"Thank you, Ms. Rendle. Ladies and gentlemen, if you have a question, please press star one on your touchstone telephone. Our first question today will come from Peter Grom with UBS.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Peter Grom","Equity Research Analyst at UBS","Great. Thank you. Good afternoon, everyone. I just wanted to touch on the organic sales cadence, and I get there are a lot of moving pieces, but I was hoping to get some perspective on the second quarter as well as the balance of the year. First, can you just help us understand what you're including or embedding from a category growth perspective? Second, you touched on returning to kind of sales growth or consumption growth in the back half as a result of the strong demand creation plan. Can you maybe just unpack that a bit more and what drives the confidence that trends will inflect versus what we're seeing today?","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Luc Bellet","CFO at The Clorox Company","Thanks, Peter. This is Luc, and I can take that. I think when we look at the phasing for the full year outlook, it might be easier to just exclude the impact of the ERP in both Q1 and Q4. If you do so, organic sales growth in the front half would be negative, low single digits, and organic sales growth in the back half would be positive, low single digits. The assumptions around the category remain the same. We assume that our U.S. retail category remains muted, kind of on average growing 0%-1%, still below historical average. The improvement in the back half is really driven by improvement in consumption, driven by improvement in market share. There are two main levers here. The first one is that we're launching a few major innovations in some key businesses.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Luc Bellet","CFO at The Clorox Company","In some cases, we're actually launching a new platform, in others, expanding existing platforms. I think we talked about it last quarter. We're excited about innovation plans in the back half, and we have strong demand plans in place. The second thing is we are lapping some pretty negative trends that started in the back half of last fiscal year. That's for U.S. retail and outside U.S. retail. We feel really good about the momentum of both the international and the professional business in the back half. Q2, you asked a question about Q2. Front half would be low single digits, and we expect Q2 to be in the low single digits. Mostly, slightly expect a continuation of the U.S. retail consumption trends that we've seen in the first quarter. That, as well as about a point of headwinds from the timing of early shipments in the first quarter.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Peter Grom","Equity Research Analyst at UBS","Okay. That's super helpful. Just maybe more specifically on 2Q, just on that consumption point, the decline you're expecting, can you maybe just be more specific on what you've seen through October and how you see kind of consumption trending from here? Is it more or less what we've seen through the majority of 1Q, or do you see anyâ€”or are you embedding any sort of improvement from here?","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
"CLX","2025-11-03","Linda Rendle","CEO at The Clorox Company","Yeah, Peter, there's some dynamics in October that would be helpful to cover. Because there's definitely a difference if you're looking at the data between the first half of October and the second half. The first half is marked by a lap of what we saw last year with some storms, hurricanes, as well as port issues. Although they weren't very material to the quarter last year, they do create a year-over-year comparison issue. You could see we were down fairly significantly in consumption in the first two weeks, which we expected. Now you've seen in the third and fourth week of October, that's rebounded significantly back to what we expected, and you can see consumption down low single digits in MULO. That would be the dynamic I would expect is that current rate that we've seen over the last two weeks to continue for the remainder of the quarter.","https://www.marketbeat.com/earnings/reports/2025-11-3-the-clorox-company-stock/"
