"symbol","report_date","speaker","title","msg","source_url"
"CL","2024-07-26",NA,NA,"Good morning. Welcome to today's Colgate-Palmolive second quarter 2024 earnings conference call. This call is being recorded and is being simulcast live at www.colgatepalmolive.com. Now, for opening remarks, I'd like to turn this call over to Chief Investor Relations Officer and Executive Vice President, M&A, John Faucher.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","John Faucher","EVP and Chief Investor Relations Officer at Colgate-Palmolive","Thanks, Drew. Good morning, and welcome to our second quarter 2024 earnings release conference call. This is John Faucher. Today's conference call will include forward-looking statements. Actual results could differ materially from these statements. Please refer to the second quarter 2024 earnings press release and related prepared materials and our most recent filings with the SEC, including our 2023 annual report on Form 10-K and subsequent SEC filings, all available on Colgate's website, for a discussion of the factors that could cause actual results to differ materially from these statements. This conference call will also include a discussion of non-GAAP financial measures, including those identified in tables four, six, seven, eight, and nine of the earnings press release. A full reconciliation to the corresponding GAAP financial measures is included in the second quarter 2024 earnings press release and is available on Colgate's website.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","John Faucher","EVP and Chief Investor Relations Officer at Colgate-Palmolive","Joining me on the call this morning are Noel Wallace, Chairman, President, and Chief Executive Officer, and Stan Sutula, Chief Financial Officer. Noel will provide you with some thoughts on our Q2 results and our 2024 outlook. We will then open it up for Q&A. Noel?","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","Thanks, John, and thanks for joining us this morning, and I look forward to taking your questions in regards to our strong Q2 results. As part of our ambition to deliver consistent compounded earnings growth, we have talked about the importance of driving balanced organic sales growth, all six divisions, all four categories, and with a combination of volume and pricing growth. We have revamped our innovation model, leveraged our global strength across price tiers, invested in marketing spend, and scaled new, exciting capabilities across the organization, all of which is driving brand health and household penetration. This is particularly important given the pricing we have taken over the past few years. Our return to mid-single-digit volume growth this quarter, including growth at both Hill's and Hawley & Hazel, highlights some early success from this strategy, and this is well-timed.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","We are returning to strong volume growth as gross margins are expanding, which will drive the incremental gross profit that funds the investment in brands and capabilities while still delivering compelling bottom-line growth. We're also using data and analytics tools, including AI, to track the effectiveness of these activities as we look to further optimize the return on our increased spending. This is a topic we'll be discussing more over time. With this combination of increased penetration and the continued success of our revenue growth management strategy, we have the plans in place to drive consistent, balanced top-line growth. We combine that with the benefits of operating leverage, productivity, and cost discipline to turn that into consistent compounded earnings per share growth. Along with strong cash flow to fund investment, dividends, and share repurchases, we believe this leaves us well positioned to drive top-tier TSR.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","Our recent results show the strength and effectiveness as we continue to execute against this strategy. With that, I'll open it up to questions.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26",NA,NA,"We will now begin the question and answer session. To ask a question, you may press star, then one on your touchtone phone. To withdraw your question, please press star, then two. Please limit yourself to one question. If you have further questions, you may reenter the question queue. Once again, if you would like to ask a question, please press star, then one. The first question comes from Peter Grom with UBS. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Peter K. Grom","Equity Research Analyst at UBS Investment Bank","Thank you, operator, and good morning, everyone. Noel, I was hoping you could give us a deeper understanding of the levels of investment and what drives the confidence that the changes you've made over the past several years can sustain this improvement we've seen. You know, obviously, from an outsider's perspective, it seems to be working, given the market shares and the mid-single digit volume growth today. But just as you look ahead, how do you sustain this momentum and continue to build household penetration from here? Thanks.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","Yeah, thanks, Peter, and, first of all, happy birthday.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","John Faucher","EVP and Chief Investor Relations Officer at Colgate-Palmolive","Happy birthday, Peter!","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26",NA,NA,"Happy birthday, Peter.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","So let's-","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26",NA,NA,"Thanks, guys.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","Let's get into the, you know, the heart of the strategy, which I think we've been pretty consistently communicating over the past few years, and that's really getting the middle of that P&L in a place where we could have a lot more flexibility to invest behind the brands. And that investment certainly is helping to drive the strong volume performance and, more importantly, household penetration, which also drives category growth and market share. So it's keeping that flexibility in the middle of the P&L, allowing us to pinpoint the advertising in areas where we see real growth. The international exposure of our business obviously is giving us opportunities to allocate money in regions and areas where we see great growth opportunities, and that was delivered in the quarter with category growth across all of our categories and all of our divisions.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","So, keeping that investment levels where they are, continuing to find ways to drive the effectiveness of that investment, likewise, is very important. As I've mentioned before, and as you saw down at CAGNY, we're using AI and other tools to really drive improved ROI. We're getting much better at our innovation. That's certainly helping drive that consistent growth around the world. And the execution of the strategy, we think, is far better than it had been in previous years. So overall, keeping the flex in the middle of the P&L, strong gross margins, and allocating that in areas around the world where we're seeing real opportunities for growth, we think will drive sustained, consistent, compounded growth moving forward.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26",NA,NA,"The next question comes from Dara Mohsenian with Morgan Stanley. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Dara Warren Mohsenian","MD and Senior Equity Analyst at Morgan Stanley","Hey, guys.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
"CL","2024-07-26","Noel Wallace","CEO at Colgate-Palmolive","Hey, Dara.","https://www.marketbeat.com/earnings/reports/2024-7-26-colgate-palmolive-stock/"
