"symbol","report_date","speaker","title","msg","source_url"
"CMI","2024-08-01",NA,NA,"Greetings and welcome to the Cummins Inc. second quarter 2024 earnings call. On our call today is Jen Rumsey, Chair and CEO, Mark Smith, Vice President and CFO, and Chris Clulow, Vice President of Investor Relations. At this time, all participants are in a listen-only mode. A brief question-and-answer session will follow the formal presentation. If you would like to ask a question, please press star one. If anyone should require operator assistance during the conference, please press star zero on your telephone keypad. As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Chris Clulow. Thank you. You may begin.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Chris Clulow","VP of Investor Relations at Cummins Inc.","Thanks very much. Good morning, everyone, and welcome to our teleconference today to discuss Cummins' results for the second quarter of 2024. Participating with me today are Jennifer Rumsey, our Chair and Chief Executive Officer, and Mark Smith, our Chief Financial Officer. We'll all be available to answer questions at the end of the teleconference. Before we start, please note that some of the information that you will hear or be given today will consist of forward-looking statements within the meaning of the Securities and Exchange Act of 1934. Such statements express our forecasts, expectations, hopes, and beliefs, and intentions on strategies regarding the future. Our actual future results could differ materially from those projected in such forward-looking statements because of a number of risks and uncertainties.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Chris Clulow","VP of Investor Relations at Cummins Inc.","More information regarding such risks and uncertainties is available in the forward-looking disclosure statement in the slide deck in our filings with the Securities and Exchange Commission, particularly the risk factors section of the most recently filed annual report on Form 10-K and any subsequently filed quarterly reports on Form 10-Q. During the course of this call, we will be discussing certain non-GAAP financial measures and will refer you to our website for the reconciliation of those measures to GAAP financial measures. Our press release with a copy of the financial statements and a copy of today's webcast presentation are available on our website within the Investor Relations section at cummins.com. I will now turn you over to our Chair and CEO, Jennifer Rumsey, to kick us off.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Jennifer Rumsey","Chair and CEO at Cummins Inc.","Thank you, Chris, and good morning. I'm excited to be with all of you today as I celebrate my two-year anniversary of becoming CEO of Cummins. I'll start with a summary of our second quarter financial results. Then I will discuss our sales and end market trends by region. I will finish with a discussion of our outlook for 2024. Mark will then take you through more details of both our second quarter financial performance and our forecast for the year. Before getting into the details on our performance, I want to take a moment to highlight a few major accomplishments from the second quarter. At our recent Analyst Day, I shared that we are raising our long-term financial targets as a result of our strengthening portfolio and continued execution of our Destination Zero strategy.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Jennifer Rumsey","Chair and CEO at Cummins Inc.","The strong partnerships that we have with our customers and stakeholders are key to driving our strategy and growth profile forward. In this quarter, we strengthen those partnerships even further. In May, we announced with Isuzu Motors Limited the launch of a new 6.7-liter engine designed for use in Isuzu's medium-duty truck lineup. This engine will power on-highway truck applications for the Japan market and will be available for Asia-Pacific markets and other global markets later this year. We also announced plans to launch a battery-electric powertrain for Isuzu's F-Series in North America. Availability of the medium-duty truck is expected in 2026 and will include Accelera's next-generation lithium iron phosphate, or LFP, battery technology. These advancements mark an important milestone for both Cummins and Isuzu as Cummins enters the Japan on-highway market for the first time in our history.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Jennifer Rumsey","Chair and CEO at Cummins Inc.","We are proud of the partnership our two companies have built, and I'm excited to leverage our collective strength and scale to deliver profitable growth for both partners. Also, this quarter, we further progressed our partnership with Daimler Truck and PACCAR as we completed the formation of our joint venture now known as Amplify Cell Technologies to localize battery cell production in the battery supply chain in the United States. This included naming the Chief Executive Officer of the joint venture and breaking ground at a new manufacturing plant in Marshall County, Mississippi. Amplify Cell Technologies will enable Accelera by Cummins and our partners to advance battery cells focused on commercial and industrial applications in North America and serve our customers' evolving needs. This is a significant step forward as we continue leading our industry into the next era of smarter, cleaner power.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Jennifer Rumsey","Chair and CEO at Cummins Inc.","In July, Accelera was awarded $75 million from the Department of Energy to convert approximately 360,000 sq ft of existing manufacturing space at our Columbus, Indiana, engine plant for zero-emissions components, including battery packs and electric powertrain systems. The $75 million grant is the largest federal grant ever awarded solely to Cummins and is part of the appropriations related to the Inflation Reduction Act. The Columbus Engine Plant is also where we manufacture blocks and heads for our current and next-generation engine-based solutions, further showcasing our Destination Zero strategy in action. Now, I will comment on the overall company performance for the second quarter of 2024 and cover some of our key markets, starting with North America before moving on to our largest international markets. Demand for our products remained strong across many of our key markets and regions, resulting in record revenues in the second quarter of 2024.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Jennifer Rumsey","Chair and CEO at Cummins Inc.","Sales for the quarter were $8.8 billion, an increase of 2% compared to the second quarter of 2023, driven by continued high demand and improved pricing. EBITDA was $1.35 billion, or 15.3%, compared to $1.3 billion, or 15.1% a year ago. Second quarter 2023 results included $23 million of costs related to the separation of Atmus. EBITDA and gross margin dollars improved compared to the second quarter of 2023, as the benefits of higher volume and pricing exceeded supply chain cost increases and offset the impact of the Atmus separation. Our second quarter revenues in North America grew 4% to $5.5 billion, driven by the strong demand in our core markets, more than offsetting the impact of the separation of Atmus.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Jennifer Rumsey","Chair and CEO at Cummins Inc.","Industry production of heavy-duty trucks in the second quarter was 75,000 units, up 1% from 2023 levels, while our heavy-duty unit sales were 31,000, up 7% from a year ago. The second quarter marked record production volume for our heavy-duty engines at the Jamestown Engine Plant. Industry production of medium-duty trucks was 41,000 units in the second quarter of 2024, an increase of 4% from 2023 levels, while our unit sales were 38,000, up 13%, and also outpacing the market growth. We shipped 41,000 engines to Stellantis for use in the Ram pickups in the second quarter of 2024, up 8% from 2023. Revenues in North America power generation increased by 23%, driven by continued strong data center and mission-critical power demand. The impressive power generation performance in North America and across the globe helped us achieve record sales and profitability in the Power Systems segment.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
"CMI","2024-08-01","Jennifer Rumsey","Chair and CEO at Cummins Inc.","Our second quarter international revenues decreased 2% compared to last year. Second quarter revenues in China, including joint venture, were $1.6 billion, a decrease of 2% as weaker domestic volumes were partially offset with higher data center demand. Industry demand for medium and heavy-duty trucks in China was 270,000 units, a decrease of 3% from last year. Demand in the China truck market continues to run at low levels, with higher orders for natural gas engines and strong exports offsetting weak domestic diesel demand. In light-duty markets in China, we were up 4% from 2023 levels at 480,000 units, while our units sold, including joint ventures, were 33,000, an increase of 18%. Industry demand for excavators in China in the second quarter was 53,000 units, an increase of 4% from 2023 levels.","https://www.marketbeat.com/earnings/reports/2024-8-1-cummins-inc-stock/"
