"symbol","report_date","speaker","title","msg","source_url"
"CNC","2024-10-25",NA,NA,"Good day, and welcome to the Centene Corporation third quarter results conference call. All participants will be in listen-only mode. Should you need assistance, please signal a conference specialist by pressing the star key followed by zero. After today's presentation, there will be an opportunity to ask questions. To ask a question, you may press star then one on your telephone keypad. To withdraw your question, please press star then two. Please note, today's event is being recorded. I would now like to turn the conference over to Jennifer Gilligan, Head of Investor Relations. Please go ahead, ma'am.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Jennifer Gilligan","Head of Investor Relations at Centene Corporation","Thank you, Rocco, and good morning, everyone. Thank you for joining us on our third quarter 2024 earnings results conference call. Sarah London, Chief Executive Officer, and Drew Asher, Executive Vice President and Chief Financial Officer of Centene, will host this morning's call, which also can be accessed through our website at centene.com. Ken Fasola, Centene's President, will also be available as a participant during Q&A. Any remarks that Centene may make about future expectations, plans, and prospects constitute forward-looking statements for the purpose of the Safe Harbor Provision under the Private Securities Litigation Reform Act of 1995. Actual results may differ materially from those indicated by those forward-looking statements as a result of various important factors, including those discussed in our third quarter 2024 press release, which is available on the company's website under the Investors section.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Jennifer Gilligan","Head of Investor Relations at Centene Corporation","Centene anticipates that subsequent events and developments may cause its estimates to change. While the company may elect to update these forward-looking statements at some point in the future, we specifically disclaim any obligation to do so. While we'll also refer to certain non-GAAP measures, a reconciliation of these measures with the most directly comparable GAAP measures can be found in our third quarter 2024 press release. Please mark your calendars for our upcoming Investor Day being held on December the twelfth in New York City. With that, I would like to turn the call over to our CEO, Sarah London. Sarah?","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Sarah London","CEO at Centene Corporation","Thank you, Jen, and thanks everyone for joining us as we review our third quarter 2024 financial results. Given the recent market volatility impacting managed care, let's start with the bottom line up front. The overall outlook for our business remains consistent with our updates in the quarter. We remain confident in our full year 2024 adjusted diluted EPS guidance of greater than $6.80, and our view of headwinds and tailwinds as we look to 2025 are largely unchanged from what we have previously shared. We still believe that we will grow adjusted EPS next year, and we still believe that we have a unique and powerful platform from which to drive long-term EPS growth of 12%-15% in a normalized environment.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Sarah London","CEO at Centene Corporation","Specific to the quarter, we are reporting third quarter adjusted diluted EPS of $1.62, a stronger result than our most recent expectation for the period, with the upside driven in part by anticipated tax items shifting forward into the third quarter. Within our core business lines, Medicare and Marketplace performance was consistent with expectations in the quarter, and Medicaid performance ended up a little better than our mid-quarter commentary, aided by movement in rates we saw as a result of refreshed data and effective advocacy. In general, we are encouraged by progress we saw throughout the quarter relative to our ongoing dialogue with state partners to align Medicaid rates with the acuity of our post redeterminations book of business. We have spent the better part of 2024 offering a significant level of transparency into our business during a year of unprecedented change.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Sarah London","CEO at Centene Corporation","We are pleased that this transparency positions us today with a stable outlook for 2024. With that, let's get into the details, starting with Medicaid. As you know, our largest business has undergone significant transformation over the last eighteen months as a result of the nationwide return of eligibility determinations. Since the start of this process, millions of Americans have been transitioned out of managed Medicaid across the country, materially shifting the Medicaid risk pool in a way that requires action by our state partners to right-size program rates to reflect the post-redeterminations member base. During the third quarter, our state partners continued to work through the tail of their respective redeterminations processes, and as we sit here today, the vast majority of the 30 states in which we operate are now through their respective backlogs.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Sarah London","CEO at Centene Corporation","We closed the period with roughly thirteen million members and are seeing evidence of membership leveling as we move into the fourth quarter. Since this process began, you have heard a consistent message from us in terms of our boots-on-the-ground support for our members and equally, our proactive, data-driven dialogue with our state partners to ensure rate discussions throughout this period are fully informed and benefit from the most current data. As we sit here today, all of our states have acknowledged the need to match rates with acuity, and all of our states have now taken action with respect to acuity adjustments in some form. While there is still work to do with respect to the sufficiency of rate adjustments, our conversations continue to be productive, and we are encouraged by the engagement and the incremental movement we saw as the quarter unfolded.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Sarah London","CEO at Centene Corporation","We now expect our back half composite adjustment rate to be in the 4.5%-5% range. As state-by-state experience matures, we are still seeing just over 30% of members who were initially dropped from Medicaid eligibility ultimately return to us. Less than half these rejoiners are reinstated with retroactive coverage. The majority experience a coverage gap, which means we experience a corresponding premium gap. As we've discussed previously, this creates temporary pressure on the Medicaid MLR. However, a close look at the rejoiner trend suggests it is starting to slow. This incremental lessening of pressure as we move through Q4 and evidence of a return to a more normal churn rate across the Medicaid book offers a natural tailwind as we move into 2025. We continue to track the data closely and provide regular and detailed updates to our state counterparts.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Sarah London","CEO at Centene Corporation","We believe the solid foundation of data-driven advocacy we have built over the last six quarters has served us well and will continue to do so as we advocate for appropriate 2025 rates and mid-cycle acuity adjustments. Overall, the movement we have seen in rates over the course of 2024 reinforces our view that what we are experiencing is a temporary dynamic and that state Medicaid programs will ultimately return to actuarially sound rates that match acuity. While redeterminations have captured much of the attention over the last few quarters, it should not go unnoticed that Centene has been equally busy delivering strong RFP results and positioning our Medicaid business for long-term growth. In August, the team at Pennsylvania Health & Wellness reprocured our long-term services and supports business in that state, reinforcing the strength of this organization in serving low-income members with complex support needs.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
"CNC","2024-10-25","Sarah London","CEO at Centene Corporation","In September, we successfully reprocured our statewide presence in Iowa in a highly competitive process, and then earlier this month, Centene's Meridian Health Plan in Michigan won yet another 2024 RFP, this time providing integrated Medicare and Medicaid services for dual eligible members as Michigan transitions their statewide program to a HIDE SNP. In short, we are making progress against rate and acuity alignment, and our best-in-class business development team continues to effectively articulate our value proposition. Throughout it all, our teams have worked tirelessly to advance our Medicaid quality results, deliver operational and compliance improvements, and innovate through local partnerships as we serve the most underserved communities across the country. And so, while the redeterminations process has been challenging, it has nonetheless mobilized us toward an operating discipline that is creating a stronger, healthier platform from which to grow.","https://www.marketbeat.com/earnings/reports/2024-10-25-centene-co-stock/"
