"symbol","report_date","speaker","title","msg","source_url"
"CNP","2025-02-20",NA,NA,"Good morning and welcome to CenterPoint Energy's fourth quarter and full year 2024 earnings conference call with senior management. During the company's prepared remarks, all participants will be in a listen-only mode. There'll be a question-and-answer session after management's remarks. To ask a question, press star one one on your touchtone keypad. I will now turn the call over to Jackie Richert, Senior Vice President of Corporate Planning, Investor Relations, and Treasurer. Ms. Richert?","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jackie Richert","SVP of Corporate Planning, Investor Relations, and Treasurer at CenterPoint Energy","Good morning and welcome to CenterPoint's fourth quarter 2024 earnings conference call. Jason Wells, our CEO, and Chris Foster, our CFO, will discuss the company's fourth quarter and full year 2024 results. Management will discuss certain topics that will contain projections and other forward-looking information and statements that are currently based on management's beliefs, assumptions, and information currently available to management. These forward-looking statements are subject to risks and uncertainties. Actual results could differ materially based on various factors, as noted in our Form 10-K, other SEC filings, and our earnings materials. We undertake no obligation to revise or update publicly any forward-looking statements. We reported $1.58 and $0.38 for the full year and fourth quarter of 2024, respectively, on a GAAP basis. Management will be discussing certain non-GAAP measures on today's call.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jackie Richert","SVP of Corporate Planning, Investor Relations, and Treasurer at CenterPoint Energy","When providing guidance, we use the non-GAAP EPS measure of diluted adjusted earnings per share on a consolidated basis referred to as non-GAAP EPS. For information on our guidance methodology and reconciliation of the non-GAAP measures used in providing guidance, please refer to our earnings news release and presentation on our website. We use our website to announce material information. This call is being recorded. Information on how to access the replay can be found on our website. Now, I'd like to turn the call over to Jason.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jason Wells","CEO at CenterPoint Energy","Thank you, Jackie, and good morning, everyone. I would like to begin by extending my sincere appreciation to all of our frontline personnel that worked through the unprecedented winter weather we experienced across our various service territories. We experienced sub-zero temperatures in Minnesota, freezing rain in Indiana, and record-breaking snowfall in the Houston area. Through it all, our team worked to keep the lights on and the gas flowing for our customers. On today's call, I'd like to address four key areas of focus. First, I'll touch on the fourth quarter and full year 2024 financial results. Second, I'll provide a broader regulatory update, including highlights of our recently filed System Resiliency Plan for Houston Electric, and touch on the significant progress we've made in our various rate cases. Third, I'll share an overview of the transaction we have proposed to ERCOT that we believe benefits all stakeholders.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jason Wells","CEO at CenterPoint Energy","And lastly, I want to highlight the impressive growth drivers across the Houston area and how that growth informed the substantiated load filing we recently submitted to ERCOT. Now, starting with our fourth quarter and full year financial results. This morning, we announced non-GAAP EPS of $0.40 for the fourth quarter and $1.62 for the full year. Chris will provide additional details of these strong results in his section. The $1.62 per share translates to 8% growth over our 2023 actual results. This is now the fourth consecutive year of meeting or exceeding our annual non-GAAP EPS guidance. It is also important to note that we have rebased our long-term growth targets off these higher earnings levels each year as we seek to deliver value for our investors each and every year.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jason Wells","CEO at CenterPoint Energy","Consistent with this approach, we are reaffirming our 2025 non-GAAP EPS guidance range of $1.74-$1.76, which equates to 8% growth at the midpoint from our delivered 2024 non-GAAP EPS of $1.62. Over the long term, we continue to expect to grow non-GAAP EPS at the mid to high end of the 6%-8% range annually through 2030. We also expect to grow dividends per share in line with earnings growth over the same period of time. Now, turning to my second key area, an update on our broader regulatory efforts, starting with our recently refiled System Resiliency Plan at Houston Electric. In line with our commitments, we refiled our System Resiliency Plan at the end of January. This filing proposes a total spend of $5.75 billion from 2026 through 2028 to improve system resiliency. $5.5 billion of this spend is related to capital expenditures.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jason Wells","CEO at CenterPoint Energy","Chris will discuss the associated capital expenditure increase from our previous plan in his section, but I want to briefly touch on the system improvements we are focused on in this filing. Our plan outlines 39 specific resiliency measures that are designed to strengthen tens of thousands of miles of our transmission and distribution system. The investments included in our filing represent the largest single investment in grid resiliency in our company's history as we work to improve the customer experience for those that live and work in higher risk areas. As a result of our planned work through 2028, we expect that our transmission system will be fully hardened with no remaining wood structures and that nearly all substations will be elevated above the 500-year floodplain.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jason Wells","CEO at CenterPoint Energy","I am proud to say that with our accelerated pace, in less than a year since Hurricane Beryl, we will have more than doubled the number of circuits that have automation on our system, and we won't stop there. With our System Resiliency Plan in another three years, we will triple the number of automated devices since Hurricane Beryl. We estimate that our actions over the next several years will save customers more than a billion outage minutes in extreme weather events. In addition to contributing to an improved customer experience, beginning in 2029, these investments are anticipated to result in an estimated $50 million of reduced storm-related costs per year, which naturally support lower electric delivery charges over the long term.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jason Wells","CEO at CenterPoint Energy","As I've mentioned before, this is not the beginning of our journey to a more resilient system, but an acceleration of what we started a few years ago when we targeted hardening and modernizing the electric transmission backbone, as well as some of our substations prone to flood risk. We believe that these investments, combined with the other actions outlined in our Greater Houston Resiliency Initiative, set us on a clear path to become the most resilient coastal grid in the country. Next, I want to focus on the continued regulatory progress at Houston Electric. As many of you recently saw, we reached a settlement in our 2024 rate case. We believe that the proposed settlement is constructive for both our customers and our investors.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
"CNP","2025-02-20","Jason Wells","CEO at CenterPoint Energy","The proposed settlement, if approved, includes an annual revenue requirement decrease of $47 million, which translates to a reduction of approximately $1 per month in the average electric delivery charge for our residential customers. It also includes an increase to both our return on equity and equity ratio. These improvements strengthen our competitiveness in the capital markets that we regularly access to efficiently fund capital investments for the benefit of our customers. This unique outcome of lower customer bills with improvements of both the cost of capital and capital structure comes despite the fact that we've increased our vegetation management spend by 45% over the last few years. It also exemplifies our ability to improve customer outcomes while also efficiently executing O&M reductions throughout the business.","https://www.marketbeat.com/earnings/reports/2025-2-20-centerpoint-energy-inc-stock/"
