"symbol","report_date","speaker","title","msg","source_url"
"COF","2025-10-21",NA,NA,"Good day, and thank you for standing by. Welcome to the Capital One Q3 2025 Earnings Call. Please be advised that today's conference is being recorded. After the speaker's presentation, there will be a question and answer session. To ask a question, please press *11 on your telephone and wait for your name to be announced. To withdraw your question, please press *11 again. I would now like to hand the conference over to your speaker today, Jeff Norris, Senior Vice President of Finance. Please go ahead.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Jeff Norris","SVP of Finance at Capital One Financial","Thanks very much, Josh, and welcome, everybody, to tonight's earnings call. To access the live webcast of this call, please go to the Investors section of Capital One's website, capitalone.com. A copy of the earnings presentation, press release, and financial supplement can also be found in the Investors section of the Capital One website, capitalone.com, by selecting Financials and then Quarterly Earnings Release. With me this evening are Mr. Richard Fairbank, Capital One's Chairman and Chief Executive Officer, and Mr. Andrew Young, Capital One's Chief Financial Officer. Rich and Andrew are going to walk you through this presentation that summarizes our third quarter results for 2025. Please note that this presentation may contain forward-looking statements. Information regarding Capital One's financial performance and any forward-looking statements contained in today's discussion and the materials speak only as of the particular date or dates indicated in the materials.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Jeff Norris","SVP of Finance at Capital One Financial","Capital One does not undertake any obligation to update or revise any of this information, whether as a result of new information, future events, or otherwise. Numerous factors could cause our actual results to differ materially from those described in forward-looking statements. For more information on these factors, please see the section titled Forward-Looking Information in the Earnings Release Presentation and the Risk Factors section of our annual and quarterly reports, accessible at our website and filed with the SEC. Now I'll turn the call over to Mr. Young. Andrew?","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Andrew Young","CFO at Capital One Financial","Thanks, Jeff, and good afternoon, everyone. I will start on slide three of tonight's presentation. In the third quarter, Capital One earned $3.2 billion, or $4.83 per diluted common share. There were multiple adjusting items related to the Discover acquisition in the quarter, including integration costs, intangible amortization expense, and loan and deposit fair value mark amortization. Net of these adjusting items, third quarter earnings per share were $5.95. As expected, we continue to refine our purchase accounting assumptions while we are in the measurement period. In the quarter, our adjustments included a modest increase to goodwill, along with other refinements. You can find the revised purchase consideration walk and amortization schedules in the appendix of tonight's presentation. The results in the third quarter were impacted by the full quarter effect of the Discover acquisition.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Andrew Young","CFO at Capital One Financial","On a GAAP and adjusted basis, revenue in the third quarter increased $2.9 billion, or 23%, compared to the second quarter. Non-interest expense increased 18%, or 16% net of adjustments. Pre-provision earnings were up 29%, or 30% net of adjustments. Our provision for credit losses was $2.7 billion in the quarter. Excluding the $8.8 billion initial allowance build for Discover that we recognized last quarter, provision for credit losses increased about $50 million. Higher net charge-offs from the full quarter impact of Discover were roughly offset by a larger allowance release. Turning to slide four, I'll now cover the allowance in greater detail. The $760 million of allowance release in the quarter brought the allowance balance to $23.1 billion. Our total portfolio coverage ratio decreased 22 basis points and now stands at 5.21%. I'll cover the drivers of the changes in allowance and coverage ratio by segment on slide five.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Andrew Young","CFO at Capital One Financial","In our domestic card segment, we released $753 million of allowance in the quarter. The primary drivers of this quarter's release were continued observed credit favorability in both losses and recoveries, as well as a slight improvement in the forecasted unemployment rate. These factors were partially offset by greater consideration of potential economic downside. The domestic card coverage ratio now stands at 7.28%. The allowance balance in our consumer banking segment was largely flat at $1.9 billion. Growth in the auto business was largely offset by observed credit favorability and continued strong vehicle prices. The ending coverage ratio of 2.26% was down three basis points from the prior quarter. Finally, in our commercial banking segment, we released $37 million of allowance in the quarter. The allowance release was largely driven by recent favorable credit performance. The commercial banking coverage ratio declined five basis points and now stands at 1.69%.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Andrew Young","CFO at Capital One Financial","Turning to page six, I'll now discuss liquidity. Total liquidity reserves ended the quarter at $143 billion, down roughly $1 billion from last quarter. Our cash position ended the quarter at $55.3 billion, $3.8 billion lower than the second quarter. Our preliminary average liquidity coverage ratio increased slightly during the third quarter to 161%. Turning to page seven, I'll cover our net interest margin. Our third quarter net interest margin was 8.36%, 74 basis points higher than the prior quarter. Recall that in the second quarter, the partial quarter benefit from the acquisition of Discover Financial Services was roughly 40 basis points. The full quarter of Discover Financial Services in the third quarter drove approximately 45 basis points of incremental net interest margin.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Andrew Young","CFO at Capital One Financial","The remaining increase in NIM in the quarter was largely driven by higher yield on legacy Capital One domestic card loans and one additional day in the quarter. Turning to slide eight, I will end by discussing our capital position. Our common equity tier one capital ratio ended the quarter at 14.4%, approximately 40 basis points higher than the prior quarter. Income in the quarter was partially offset by $1 billion in share repurchases, dividends, and an increase in risk-weighted assets. In the third quarter, we completed our bottoms-up capital assessment for the combined franchise. Based on the results of that analysis, we believe the long-term capital need of the combined company is 11%. Now that we've completed this work, our board of directors has approved a new repurchase authorization of up to $16 billion of the company's common stock.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Andrew Young","CFO at Capital One Financial","This new authorization becomes effective today and supersedes our previous repurchase authorization. In addition, we expect to increase our quarterly common stock dividend from $0.60 per share-$0.80 per share beginning in the fourth quarter, subject to board approval. With that, I will turn the call over to Rich. Rich?","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Richard Fairbank","CEO and Chairman at Capital One Financial","Thanks, Andrew, and good evening, everyone. Slide 10 shows third quarter results in our credit card business. Credit card segment results are largely a function of our domestic card results and trends, which are shown on slide 11. Similar to the second quarter, the Discover acquisition was the dominant driver of third quarter domestic card results, including the impacts of a full quarter of combined operations, a combined quarter-end balance sheet, and purchase accounting effects. Looking through the Discover impact, the combined domestic card business delivered another quarter of top-line growth, strong margins, and improving credit. Year-over-year purchase volume growth for the quarter was 39%, driven primarily by the addition of a full quarter of Discover purchase volume. Excluding Discover, year-over-year purchase volume growth was about 6.5%. Ending loan balances increased 70% year-over-year, also largely as a result of adding Discover card loans.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
"COF","2025-10-21","Richard Fairbank","CEO and Chairman at Capital One Financial","Excluding Discover, ending loans grew about 3.5% year-over-year. While competitive intensity remains high, we continue to see good traction across our legacy card business, including strong growth with heavy spenders at the top of the market. The legacy Discover card loans continued to contract slightly and will likely continue to face a growth headwind due to Discover's prior credit policy cutbacks and some trimming around the edges that we will implement going forward. That will create a short-term loan growth brownout. We continue to see good opportunities to grow the Discover card business on the other side of our tech integration, where we can implement growth expansions powered by our unique technology and underwriting. Revenue was up 59% from the third quarter of 2024, with a full quarter of Discover revenue. Excluding Discover, year-over-year revenue growth was about 6.5%, driven by underlying growth in purchase volume and loans.","https://www.marketbeat.com/earnings/reports/2025-10-21-capital-one-financial-co-stock/"
