"symbol","report_date","speaker","title","msg","source_url"
"CPRT","2024-11-21",NA,NA,"Good day, everyone, and welcome to the Copart Incorporated Q1 fiscal 2025 earnings call. Just a reminder, today's conference is being recorded. Before turning the call over to management, I will share Copart's Safe Harbor Statement. The company's comments today include forward-looking statements within the meaning of federal securities laws, including management's current views with respect to trends, opportunities, and uncertainties in the company's markets. These forward-looking statements involve substantial risks and uncertainties. For more detail on the risks associated with the company's business, we refer you to the section titled Risk Factors and the company's annual report on Form 10-K for the year ended July 31st, 2024, and each of the company's subsequent quarterly reports on Form 10-Q.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21",NA,NA,"Any forward-looking statements are made as of today, and the company has no obligation to update or revise any forward-looking statements. I'll now turn the call over to the company's CEO, Jeff Liaw.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","Thank you, everyone, for joining the earnings call for our Q1 for fiscal 2025. On our recent calls, we've been talking about some important themes about our business, including our recent growth with bank, rental, and fleet sellers. We talked about Title Express, a new offering we're offering the insurance industry. We've talked about sustainability, and we've talked about growth in our international businesses as well as in the heavy equipment space as well. Today, with the Q1 past us for this next fiscal year, we thought it would be a good opportunity to reflect specifically about our insurance business specifically. There are two themes I wanted to draw upon today. First is our response to the recent hurricane activity in the southeastern United States, and the second is the longer-term trends that we observe in the insurance industry more broadly.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","First, regarding the recent flurry of hurricane activity. In late September of this year, Category 4 Hurricane Helene made landfall in Florida. Severe flooding, of course, struck the Tampa-St. Petersburg area and eventually caused significant damage elsewhere in Florida, Georgia, and northern South Carolina, including areas not accustomed to dealing with storms of this magnitude. Then, less than two weeks later, Category 3 Hurricane Milton struck Florida again. The back-to-back nature of the storms added a level of complexity to our storm response that we hadn't previously experienced, including a brief evacuation of our own people in certain most dangerous areas.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","In comparison to Hurricane Ian, a similarly scaled and located storm from just two years ago, our advanced preparation and our team's execution this time around yielded still better results, with approximately twice as many vehicles picked up in the first 10 days of these 2024 storms in comparison to Ian in 2022. As always, our emphasis is on retrieving, processing, and selling vehicles as quickly as we can to help restore the communities in which we do business back to their prior state and to assist our clients, the major insurance companies, in resolving their claims with policyholders as quickly as they can. To that end, by the end of October, just three weeks after landfall for Milton, we had sold approximately a quarter of all of the assigned vehicles we would ultimately receive from both Helene and Milton.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","In fact, according to one third-party source, three out of every four catastrophic units sold in Florida during the month of October were sold on Copart's auction platform, a reflection both of our presence as well as the speed of our execution. This go around, our proactive storm preparation was marked by three pillars. First, the dedicated owned storage capacity that we hold in reserve for storms of this nature, representing nearly 2,000 acres nationwide and approximately 1,000 acres specifically for the Helene and Milton areas alone. Second, our technology and logistics teams have deployed real-time tools that serve both our own people as well as our third-party towing network, as well as our own employed drivers in optimizing routing and optimizing dispatch for the rapid retrieval and movement of vehicles through our network.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","Finally, our industry-leading contracted and full-time towing and transport network, which we have steadily built up over the years, was able to respond with unprecedented speed in this instance. I've already had an opportunity to do so face-to-face with many of the Copart employees, but we again wanted to extend our heartfelt gratitude to the more than 1,200 folks and their families who sacrificed for days, in some cases weeks and months at a time, to work in challenging conditions, to work long hours to assist, again, our clients, our people, and our communities. Turning our attention to our insurance business more broadly, our insurance business grew approximately 13% for the quarter in unit volume. When excluding the effect of catastrophic events, we grew 9% year over year for the quarter.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","Total loss frequency was certainly one of the major catalysts we experienced, with total loss frequency for the calendar quarter ending September 30th, reported by CCC, of 21.7%, an increase of almost 2% year over year. More broadly, though, we wanted to pause for a moment to reflect on longer-term industry trends. There, as you know, has been a steady drumbeat in the news media and in various company announcements on accident avoidance technologies and autonomous driving rollouts over the past decade plus. And in addition, we've encountered a number of inquiries in recent days from investors and other interested parties on this subject as well. Our answer here will be especially U.S.-centric, but the takeaways, I think, are broadly applicable to the markets in which we do business. We all, of course, draw inferences from our own empirical experience.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","The cars we drive, we now experience more of the safety technologies in the form of lane departure warning systems that buzz our steering wheels, rear cameras that we probably all use when we back up our cars nowadays, and many of us have also taken rides in autonomous taxis within the geofenced areas in which they're operating today. We think there's also insight to be derived, however, from multiple decade trends that we can absorb, that we can observe in actual data. There are four factors I wanted to draw out today, and then a secondary consideration I wanted to offer that inform our perspective on the long-term organic growth trends in our business. The first is simply population growth.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
"CPRT","2024-11-21","Jeff Liaw","CEO at Copart","Since 1960, population in the United States has grown at 1% compounded, which sounds like a fairly modest growth rate, but over a time horizon of that scale, our population has almost doubled in the United States. The second consideration is vehicle miles traveled, which over that same horizon, plus or minus, has grown at 2%. As a result, vehicle miles traveled over that horizon has quadrupled from 1960 to today, which is to say that ultimately vehicle miles traveled, as a country grows more populous and more prosperous, as the United States has done, generally outpaces population growth alone. We're all aware, of course, of the anomalous, very well-documented steep decline in vehicle miles traveled in 2020, courtesy of COVID-19. We are now above pre-pandemic peaks on this specific metric.","https://www.marketbeat.com/earnings/reports/2024-11-21-copart-inc-stock/"
