"symbol","report_date","speaker","title","msg","source_url"
"CSX","2025-07-23",NA,NA,"Hello, and thank you for standing by. My name is Tiffany, and I will be your conference operator today. At this time, I would like to welcome everyone to the Q2 2025 CSX Corporation Earnings Call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during that time, simply press star, then the number one on your telephone keypad. I would now like to turn the call over to Head of Investor Relations and Strategy, Matthew Korn. Mr. Korn, please go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Matthew Korn","Head of Investor Relations and Strategy at CSX Corporation","Thank you, Tiffany. Good afternoon, everyone. We're very pleased to welcome you to our second quarter conference call. Joining me from the leadership team are Joe Hinrichs, President and Chief Executive Officer, Mike Cory, EVP and Chief Operating Officer, Kevin Boone, EVP and Chief Commercial Officer, and Sean Pelkey, EVP and Chief Financial Officer. In the presentation accompanying this call, which is available on our website, you will find slides with our forward-looking disclosures and our non-GAAP disclosures for your review. With that, it is my pleasure to introduce Mr. Joe Hinrichs.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Joe Hinrichs","President and CEO at CSX Corporation","All right. Thank you, Matthew, and hello, everyone. Thank you for joining us for our second quarter call. When we last spoke, we acknowledged the challenges we were facing on our network, and we made a commitment to act decisively to turn it around. What you'll see in the numbers and the momentum behind them is the result of deliberate and effective actions taken to return our network back to the efficient, well-run operation needed to provide superior service to our customers. This quarter shows what is possible when you pair clear priorities with decisive action, and the results are a testament to the one CSX culture we've been instilling across the business. Now, turning to slide one, as we think about what we accomplished in the quarter and what we see out in front of us, four things come to mind.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Joe Hinrichs","President and CEO at CSX Corporation","First, as I've already highlighted, we are proud of how our network performance has bounced back from the challenges of the first quarter. As Mike will cover later on, our velocity, dwell, trip plan compliance, and other metrics have steadily trended upward. In some areas, we are approaching or surpassing some of the best levels we've seen in recent history. This recovery reflects the strength of our operations and the team's ability to overcome challenges. We have to keep pushing, but this has been a great result. Second, the entire CSX team's commitment to working efficiently helped us deliver improved cost performance that supported meaningful sequential margin expansion. We will continue this focus throughout the year. Third, we are very pleased with the progress being made at our Howard Street Tunnel and Blue Ridge rebuild projects.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Joe Hinrichs","President and CEO at CSX Corporation","We expect completion in the fourth quarter, which will remove two key constraints from our network. Finishing these two projects will open back up two of our four north-south routes. As you know, we're excited about removing the last impediment to double-stack intermodal on the N95 corridor. Finally, as Kevin will discuss, we know that our customers are facing mixed markets, with activity holding strong in certain areas and slowing in others. That said, at CSX, we will continue to drive forward across all of our initiatives. We will not sit back and wait for the markets to turn. Now, let's turn to slide two, where we feature some of the most important results from our second quarter. Total volume was flat compared to last year, and we saw a 4% sequential increase in the quarter, driven by merchandise and improvement in total coal shipments.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Joe Hinrichs","President and CEO at CSX Corporation","Total revenue was $3.6 billion for the quarter, down 3% from the same period last year, largely due to lower coal and fuel prices. Quarter over quarter, total revenue improved 4%, in line with the increase in volume. Our reported operating margin, which includes our trucking business, declined by 320 basis points compared to the second quarter of 2024, but increased by 550 basis points sequentially, supported by the solid cost performance that accompanied our operational improvement. Earnings per share decreased by 10% year over year, but grew by 29% quarter over quarter. Now, after a difficult start to the year, I am proud of all that we have accomplished, but we also cannot let our foot off the gas. We are committed to maintaining this momentum. Now that our network has stabilized, we are positioned to pursue more opportunities to grow the business.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Joe Hinrichs","President and CEO at CSX Corporation","To do that, we will run safer, faster, and more consistently. We will provide attractive, profitable solutions for our customers, even when economic conditions are uncertain. As we move forward, we will make sure that our execution remains effective and efficient. As an example, as part of our normal business review process, we recently reorganized management resources across several areas to improve alignment with the businesses and accelerate decision-making. These are positive steps toward our goal of sustainable, profitable growth. With that, let me turn the call over to Mike to discuss our operational performance.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Mike Cory","EVP and COO at CSX Corporation","Thank you, Joe, and thanks to all of you for participating today. After a difficult first quarter, the team has effectively responded to our recovery plan that we presented on our last call. While we still have many opportunities for improvement, I'm really proud of the work the team has accomplished so far and truly appreciate their efforts. Let's go over to the next slide. Through our challenges of late winter and into the spring, we remained committed to safely running our operations. Leading with our safe CSX values, our focus on eliminating significant injuries has resulted in a reduction of both life-changing injuries and missed workdays. Also, improved alignment and engagement in safety leadership is occurring throughout the operations organization.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Mike Cory","EVP and COO at CSX Corporation","Our managers and craft employees are learning how to have meaningful conversations about exposure reduction, leading to a culture that is eager to identify and mitigate hazards before they become exposures. However, improvements in our train accidents have not followed suit. Most of our incidents occur in the slow-speed environment of our yards and result in little damage to infrastructure or equipment. However, they still are disruptive to the operations of our network. We continue to further implement yard inspection drones that will assist in identifying conditions that lead to track-caused derailments in our yards, and we continue to work on improvements to our wayside car health monitoring systems to prevent impact from equipment failures. An important area we have seen great improvement on is our human factor derailments, which continue to decrease. Over to the next slide.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Mike Cory","EVP and COO at CSX Corporation","Train velocity continues to improve while being affected by the rerouting of traffic off our two corridors. Our cars online and dwell continue to improve and are back at levels experienced prior to our disruptions. Reducing cars online was a key focus during our recovery period, but we did so in a way that minimized customer supply chain impacts by avoiding the use of disruptive embargoes. We accomplished all of this while experiencing weekly volumes in line with our prior years. Our recovery is a real true testament to the hard work and dedication of every railroader at CSX. As we move into the third quarter, our efforts are concentrated on operating efficiently across our network. Over to the next slide. Our efforts over the last quarter have improved our service measures.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Mike Cory","EVP and COO at CSX Corporation","While we're not yet at the TPC performance we strive for, our view is these measures will continue to improve as we improve our dwell and train velocity. With the completion of our network projects, we expect these numbers to improve. With respect to our local service delivery, we continue to work very closely with our customers to make sure our service to them is everything they need for success. Now, to the last slide. At this time, both our major projects are tracking on schedule. The Howard Street Tunnel portion of our I-95 project will be done in time for the fourth quarter, and the Blue Ridge subdivision, used primarily for access to and from the Carolinas, will also be ready for the fourth quarter.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Mike Cory","EVP and COO at CSX Corporation","While these projects unlock significant capacity for the entire network, we're also upgrading our capacity and throughput at our yard in Indianapolis with the extension of the hump pullback. While this project is small in nature relative to the other two, it will give us the ability to hump more cars with less handlings at a very critical yard in our network. The entire team has accomplished much more over the last three months, but we're not done with converting opportunities that we have to make this railroad run better. With that, I'll turn it over to Kevin.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
"CSX","2025-07-23","Kevin Boone","EVP and Chief Commercial Officer at CSX Corporation","All right. Thank you, Mike. First, I want to thank the entire operations team for their hard work. Our service levels are approaching record levels, and our ability to communicate across our teams and react to any disruptions has never been better. Many of the industrial markets we serve continue to face challenges with uncertainty around tariffs, trade, interest rates, and the overall direction of the economy. Our focus remains on the customer and driving strategic discussions that deliver value to our customers and new growth opportunities to the CSX network. Now, let's review our end markets. Turning to slide nine, merchandise in the second quarter saw both revenue and volume decline of 2%. RPU was flat as lower fuel surcharges and negative mix were offset by core pricing gains. Our metals market and equipment volume was up 3%, while revenue was down 3%.","https://www.marketbeat.com/earnings/reports/2025-7-23-csx-co-stock/"
