"symbol","report_date","speaker","title","msg","source_url"
"CTAS","2024-12-19",NA,NA,"Good day, everyone, and welcome to the Cintas Corporation announces fiscal 2025 second quarter results conference call. Today's call is being recorded. At this time, I would like to turn the call over to Mr. Jared Mattingley, Vice President, Treasurer and Investor Relations. Please go ahead, sir.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Jared Mattingley","VP, Treasurer, and Investor Relations at Cintas Corporation","Thank you for joining us. With me are Todd Schneider, President and Chief Executive Officer, and Mike Hansen, Executive Vice President and Chief Financial Officer. We will discuss our fiscal 2025 second quarter results. After our commentary, we will open the call to questions from analysts. The Private Securities Litigation Reform Act of 1995 provides a safe harbor from civil litigation for forward-looking statements. This conference call contains forward-looking statements that reflect the company's current views as to future events and financial performance. These forward-looking statements are subject to risks and uncertainties, which could cause actual results to differ materially from those we may discuss. I refer you to the discussion on these points contained in our most recent filings with the Securities and Exchange Commission. I'll now turn the call over to Todd.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Todd Schneider","President and CEO at Cintas Corporation","Thank you, Jared. We are pleased with our strong second quarter results, which reflect great execution by our employee partners and the comprehensive value proposition we provide to our customers in supporting their image, safety, cleanliness, and compliance needs. Second quarter total revenue grew 7.8% to $2.56 billion, an all-time high for revenue in a quarter. The organic growth rate, which adjusts for the impacts of acquisitions and foreign currency exchange rate fluctuations, was 7.1%. In the second quarter, we continue to experience strong demand for our services, reflecting the complementary nature of our platform and our unmatched product and service offerings for businesses of all types and sizes. Virtually every business has a need Cintas is ready to meet, whether it's a front door that needs a mat, a bathroom to service, exit lighting, fire extinguishers and sprinkler systems, first aid and safety needs, or an apparel solution.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Todd Schneider","President and CEO at Cintas Corporation","Cintas is continually deepening our value propositions, particularly within our four focused verticals of healthcare, hospitality, education, and state and local government, which continue to perform well. Gross margin for the second quarter grew 11.8% over the prior year to 49.8%, just below our all-time high we set in the first quarter. Operating income of 23.1% as a percent of revenue was an all-time record, an increase of 18.4% over the prior year. Diluted EPS grew a robust 21.1% to $1.09. Our strong earnings growth reflects our operational excellence via sourcing and supply chain initiatives, route and energy optimization, and technology-enabled efficiency in our facilities. Cash flow this year continues to be very strong, with free cash flow for the first six months increasing 34.9% over the prior year. We continue to deploy capital across each of our capital allocation priorities, starting with investing back into our businesses.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Todd Schneider","President and CEO at Cintas Corporation","This strong cash flow generation allows us to focus on making strategic investments in our customers and our employee partners, which positions us to deliver long-term value for our shareholders. Our technology investments remain a significant area of reinvestment. We continue to leverage our SAP system to standardize our processes across our operations. Combined with our focus on operational excellence, we are improving the way our employees work and getting the right products to our customers faster, all of which improves the customer experience and positively impacts our margin profile. At the same time of investing in our customers and employee partners and making strategic acquisitions, returning capital to Cintas's shareholders remains a key priority. Cintas paid a quarterly cash dividend of $0.39 per share last week, and looking ahead, we will continue our opportunistic approach with share buybacks.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Todd Schneider","President and CEO at Cintas Corporation","Before turning the call over to Mike to provide details of our second quarter results, I'll provide our updated financial expectations for our fiscal year, which reflect our strong momentum and confidence in our outlook. We are updating our annual revenue expectations from a range of $10.22 billion-$10.32 billion to a range of $10.255 billion-$10.32 billion, a total growth rate of 6.9%-7.5%. We expect our organic growth rate to be in the range of 7.0%-7.7%. We are also updating our annual diluted EPS expectations from a range of $4.17-$4.25 to a range of $4.28-$4.34, a growth rate of 12.9%-14.5%. Cintas's differentiated culture, superior products and services, and industry-best talent position us to deliver meaningful value creation in fiscal 2025 and beyond.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Todd Schneider","President and CEO at Cintas Corporation","We remain focused on delivering outstanding customer experiences and making appropriate investments in the business to sustain our growth. I thank all Cintas's employee partners whose outstanding work and dedication to our customers remains the key to our success. With that, I'll turn it over to Mike to discuss the details of our second quarter results.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Mike Hansen","EVP and CFO at Cintas Corporation","Thanks, Todd, and good morning. Our fiscal 2025 second quarter revenue was $2.56 billion compared to $2.38 billion last year. The organic revenue growth rate, adjusted for acquisitions and foreign currency exchange rate fluctuations, was 7.1%. Organic growth by business was 6.9% for Uniform Rental and Facility Services, 12.3% for First Aid and Safety Services, 10% for Fire Protection Services, and Uniform Direct Sale was down 9.2%. Gross margin for the second quarter of fiscal 2025 was $1.28 billion compared to $1.14 billion last year, an increase of 11.8%. As Todd mentioned, gross margin as a percent of revenue was 49.8% for the second quarter compared to 48% last year, an increase of 180 basis points. Robust volume growth, operating leverage, and continued operational efficiencies helped generate this strong gross margin.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Mike Hansen","EVP and CFO at Cintas Corporation","Gross margin percentage by business was 49.1% for Uniform Rental and Facility Services, 57.3% for First Aid and Safety Services, 49.9% for Fire Protection Services, and 41.2% for Uniform Direct Sale. Gross margin for the Uniform Rental and Facility Services segment increased 170 basis points from last year. Our progress year over year reflects our focus on operational excellence initiatives combined with leverage from strong revenue growth. We continue to realize benefits from our technology investments and extracting inefficiencies from the business through our Six Sigma and engineering teams. Gross margin for the First Aid and Safety Services segment increased 280 basis points from last year, with strong revenue growth continuing to create leverage. Our sales mix remains favorable, with more profitable first aid products and increases in our recurring revenue products like AED rentals, eyewash stations, and WaterBreak.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Mike Hansen","EVP and CFO at Cintas Corporation","Our technology investment in SmartTruck provides route optimization and improved efficiencies, and we continue to see sourcing benefits from our first aid dedicated distribution center that have allowed us to lower product costs. All of these contribute to improved margins. Selling and administrative expenses as a percent of revenue was 26.8%, which was relatively consistent with last year. Second quarter operating income was $591.4 million compared to $499.7 million last year. Operating income as a percent of revenue was 23.1% in the second quarter of fiscal 2025 compared to 21% in last year's second quarter, an increase of 210 basis points. Our effective tax rate for the second quarter was 20.7% compared to 20.9% last year. The tax rates in both quarters were impacted by certain discrete items, primarily the tax accounting impact for stock-based compensation.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Mike Hansen","EVP and CFO at Cintas Corporation","Net income for the second quarter was $448.5 million compared to $374.6 million last year. This year's second quarter diluted EPS of $1.09 compared to $0.90 last year, an increase of 21.1%. As Todd mentioned earlier, we continue to generate strong cash flow. Through the first six months, our free cash flow increased 34.9% over the prior year. This great cash flow over the first six months has allowed us to deploy a total of $1.3 billion of capital across each of our capital allocation priorities of capital expenditures, M&A, dividends, and share buybacks. Todd provided our annual financial guidance. Related to the guidance, please note the following: fiscal 2025 net interest expense is expected to be approximately $101 million compared to $95 million in fiscal 2024, predominantly as a result of higher variable rate debt.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Mike Hansen","EVP and CFO at Cintas Corporation","Our fiscal 2025 effective tax rate is expected to be 20.2%, and guidance does not include any future share buybacks or significant economic disruptions or downturns. I'll now turn it back over to Jared.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Jared Mattingley","VP, Treasurer, and Investor Relations at Cintas Corporation","Thanks, Mike. That concludes our prepared remarks. Now we are happy to answer questions from the analysts. Please ask just one question and a single follow-up if needed. Thank you.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19",NA,NA,"If you would like to ask a question, please press star one on your telephone keypad now. Please be prepared to ask your question when prompted. You will be allowed to ask one follow-up question. Once again, if you would like to ask a question, please press star one on your phone now. And our first question comes from Tim Mulrooney from William Blair. Please go ahead, Tim.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Tim Mulrooney","Analyst at William Blair","Yeah. Hi. Thanks for taking my questions. I wanted to ask about your guide on organic growth. It looks like it came down slightly at the high end from 8.1% to 7.7%. Just curious what the reason for that was, if second quarter sales came in below your expectations or if it's the outlook for the second half of the fiscal year shifted slightly. I know it's a small number, but just curious if you had any comment there?","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Todd Schneider","President and CEO at Cintas Corporation","Good morning, Tim. Thanks for the question. First, we're pleased with our organic growth rate at 7.1%. It's very good, and it's right where we'd like to be, and our second half guide implies a continuation of that good growth, mid-to-high single digits. The rental division is right in line where we like it to be, and the first aid and fire divisions both grew double digits, so they continue to perform well, and the value proposition continues to resonate, so we like where we are, and we think that our guide reflects attractive growth for the year and the back half of the year as well.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Mike Hansen","EVP and CFO at Cintas Corporation","And Tim, I might offer a couple of things on the guide as well. The workday adjusted revenue for the year is now 7.7%-8.4%. So a really nice range for us. And as you said, the organic revenue growth of 7%-7.7% is a really good year for us and not much of a change. But maybe I'll give you a bit of thoughts on the implied growth as well. So if you think about that guide that we just gave, it implies an organic growth rate range of 6.6%-7.9% for the back half of the year. And that's the same implied growth rate that we had in the guide last quarter for the final three quarters. So in other words, that implied guide hasn't really changed.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
"CTAS","2024-12-19","Mike Hansen","EVP and CFO at Cintas Corporation","And so again, as Todd said, we had a nice quarter, and the outlook for the second half of the year really hasn't changed all that much. Still a really good year, both in total growth and in organic growth.","https://www.marketbeat.com/earnings/reports/2024-12-19-cintas-co-stock/"
