"symbol","report_date","speaker","title","msg","source_url"
"DD","2024-07-31",NA,NA,"Thank you for standing by. My name is Pam, and I will be your operator today. At this time, I would like to welcome everyone to the DuPont second quarter 2024 earnings call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question, press star one again. Thank you. I would now like to turn the conference over to Chris Mecray. You may begin.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Chris Mecray","VP of Investor Relations at DuPont","Good morning, and thank you for joining us for DuPont second quarter 2024 financial results conference call. Joining me today are Ed Breen, Executive Chairman; Lori Koch, Chief Executive Officer; and Antonella Franzen, Chief Financial Officer. We've prepared slides to supplement our remarks, which are posted on DuPont's website under the investor relations tab and through the webcast link. Please read the forward-looking statement disclaimer contained in the slides. During this call, we'll make forward-looking statements regarding our expectations or predictions about the future. Because these statements are based on current assumptions and factors that involve risks and uncertainties, our actual performance and results may differ materially from our forward-looking statements. Our Form 10-K, as updated by our current and periodic reports, includes detailed discussion of principal risks and uncertainties which may cause such differences.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Chris Mecray","VP of Investor Relations at DuPont","Unless otherwise specified, all historical financial measures presented today are on a continuing operations basis and exclude significant items. We'll also refer to other non-GAAP measures. A reconciliation to the most directly comparable GAAP financial measure is included in our press release and presentation materials and has been posted to DuPont's Investor Relations website. I'll now turn the call over to Lori.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Lori Koch","CEO at DuPont","Good morning, and thank you for joining. I'm excited to be here today for my first quarterly call as CEO and to be joined by Antonella, our newly appointed CFO. We both look forward to partnering with Ed and our global teams to continue to drive value creation for all stakeholders. We remain focused on driving results and demonstrating the performance potential of our combined portfolio while furthering the plans to unlock value through our previously announced separations. This morning, we reported second quarter financial results ahead of our previous guidance, reflecting continued positive momentum led by broad-based electronics recovery as well as sequential improvement from all W&P lines of business. We were very pleased with this outcome and by the continued focus and strong execution of our global team. On a consolidated basis for the quarter, we saw improvement across all key financial metrics.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Lori Koch","CEO at DuPont","Net sales and operating EBITDA were both up year-over-year and sequentially, including a 17% pickup in operating EBITDA versus the first quarter. We saw strength in the semi-business driven by growth in advanced technology applications, including AI. We also realized continued recovery and wins within consumer electronics markets to drive both year-over-year and sequential growth for interconnect solutions. We did see some favorable timing benefits within each of these businesses during second quarter relative to our expectations. In the W&P segment, we were pleased to see a better-than-anticipated sequential step-up in our water business in China, as well as improvement in Tyvek medical packaging within Safety Solutions, which was in line with our expectations.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Lori Koch","CEO at DuPont","Our year-over-year growth in operating EBITDA reflects solid margin expansion with operating EBITDA margin improvement of 130 basis points driven by favorable business mix, stronger production rates in our electronics businesses, and realization of restructuring-related cost savings, partially offset by higher variable compensation expense. Second quarter adjusted earnings per share increased 14% year-over-year. Strong cash generation and related conversion of over 100% was another bright spot for the quarter, highlighting disciplined working capital management amid a sequential sales ramp. For the full year 2024, we are raising our guidance for net sales, operating EBITDA, and adjusted EPS, which Antonella will detail shortly. I also wanted to highlight that earlier this week, we closed our acquisition of Donatelle, a manufacturer of sophisticated medical devices.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Lori Koch","CEO at DuPont","We are delighted to welcome the Donatelle team to DuPont and are excited about this transaction, which will deepen and complement our expertise in medical device markets alongside Spectrum, which we acquired last year. Donatelle will be managed within our E&I Industrial Solutions line of business alongside the Spectrum team. Together, these offerings are expected to enhance our position as a partner of choice for customers in the high-growth medical device field. I'll now turn the call over to Ed, who will provide a progress update on our planned separations.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Ed Breen","Executive Chairman at DuPont","Thanks, and good morning, everyone. As seen in our second quarter results, we are well into the recovery phase from last year's inventory corrections in most key-end markets, and electronics may be setting up for a prolonged positive cycle. Turning to the separations, we've received very encouraging feedback since our May announcement of our intent to separate the electronics and water businesses and the formation of three independent companies. We believe our investors broadly appreciate the value creation opportunity of having three industry-leading global companies with compelling growth opportunities and distinct investment propositions. As we shift gears to ramp up our separation activities, we have also worked to ensure our teams internally are highly motivated to remain focused on serving customers and driving business performance. That remains the top priority, and I'm confident our operating teams will continue to execute.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Ed Breen","Executive Chairman at DuPont","As you can see on slide four, we have already begun working on the rigorous project management processes necessary to ensure the separation work is executed smoothly. Our teams have plenty of experience to rely on to ensure we stay within the 18-24-month timeline from our May announcement, with all three companies well-positioned for day one. One key short-term milestone that has already been completed is the establishment of key workstream leaders as part of our integrated project management team under Lori and Antonella's leadership, along with myself. Key separation workstreams underway include legal entity stand-up, IT separation and stand-up, carve-out financials, and talent selection. A current priority, along with our board, is to complete executive leadership appointments for electronics and water, along with corporate governance aspects, including board appointments. We currently anticipate announcements in early 2025.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
"DD","2024-07-31","Ed Breen","Executive Chairman at DuPont","We are also making progress towards the future capital structures of the three intended companies. Specifically, during June, we redeemed $650 million of our 2038 bonds and entered into new interest rate swaps to hedge the rate risk on our longer-dated maturities. To the extent that it becomes necessary to repay these bonds, the new swaps hedge the risk of higher debt repayment costs that would occur in a lower interest rate environment. So while it is still early in the process, you can see that the separation work is progressing along, and we look forward to updating you as we move forward. Before I turn it over to Antonella, I'd like to mention one of the updates detailed in our 10-Q, which will be filed later today, specifically around the South Carolina MDL.","https://www.marketbeat.com/earnings/reports/2024-7-31-dupont-de-nemours-inc-stock/"
