"symbol","report_date","speaker","title","msg","source_url"
"DELL","2024-11-26",NA,NA,"Ladies and gentlemen, thank you for standing by. You're currently on hold for the Fiscal Year 2025 Third Quarter Financial Results Conference Call for Dell Technologies Inc. At this time, we are assembling today's audience and plan to be underway shortly. We appreciate your patience and ask that you please remain on the line. Ladies and gentlemen, good afternoon and welcome to the Fiscal Year 2025 Third Quarter Financial Results Conference Call for Dell Technologies Inc. I'd like to inform all participants this call is being recorded at the request of Dell Technologies. This broadcast is copyrighted property of Dell Technologies Inc. Any rebroadcast of this information in whole or part without the prior written permission of Dell Technologies is prohibited. Following prepared remarks, we will conduct a question and answer session.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26",NA,NA,"If you have a question, simply press star then one on your telephone keypad at any time during the presentation. I'd like to turn the call over to Paul Frantz, head of investor relations. Mr. Frantz, you may begin.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Paul Frantz","Head of Investor Relations at Dell Technologies","Thanks, everyone, for joining us. With me today are Jeff Clarke, Yvonne McGill, and Tyler Johnson. Our earnings materials are available on our IR website, and I encourage you to review these materials. Also, please take some time to view the presentation, which includes additional content to complement our discussion this afternoon. Guidance will be covered on today's call. During this call, unless otherwise indicated, all references to financial measures refer to non-GAAP financial measures, including non-GAAP gross margin, operating expenses, operating income, net income, diluted earnings per share, free cash flow, and adjusted free cash flow. A reconciliation of these measures to their most directly comparable GAAP measures can be found in our web deck and our press release. Growth percentages refer to year-over-year change unless otherwise specified. Statements made during this call that relate to future results and events are forward-looking statements based on current expectations.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Paul Frantz","Head of Investor Relations at Dell Technologies","Actual results and events could differ materially from those projected due to a number of risks and uncertainties, which are discussed in our web deck and our SEC filings. We assume no obligation to update our forward-looking statements. Now, I'll turn it over to Jeff.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Jeff Clarke","Vice Chairman and COO at Dell Technologies","Thanks, Paul, and thanks, everyone, for joining us. We continued to execute well and delivered strong performance in Q3. Revenue was $24.4 billion, up 10% on strong ISG revenue growth. Diluted EPS was $2.15, up 14%, and cash flow from operations was $1.6 billion. Our focus on balanced profitability paid off with improved operating income, earnings per share, and cash flow. We're proud of the fact that year to date, our team has delivered 10% revenue growth in ISG and CSG combined, and overall EPS of $5.31. In ISG, our AI server momentum continued, and we saw substantial expansion in our five-quarter pipeline. Orders demand was a record $3.6 billion, up 11% sequentially, primarily driven by Tier 2 cloud service providers with continued growth in enterprise customers. We have seen sequential orders demand growth every quarter since the launch of the XE9680.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Jeff Clarke","Vice Chairman and COO at Dell Technologies","We shipped $2.9 billion of AI servers in Q3, resulting in AI server backlog of $4.5 billion. Our five-quarter pipeline grew more than 50% sequentially, with growth across all customer types. We continue to gain traction with enterprise customers large and small, with over 2,000 unique enterprise customers since launch. Increasingly, enterprises see the disruptive nature and the innovation opportunities with GenAI, resulting in growing GenAI experimentation and proof of concepts. Underpinning our success is broad enterprise coverage, professional services, engineering leadership, and large-scale system design, all done with incredible speed and time to market. These highly specialized workloads and deployments require high-value engineering and a solutions mindset where custom designs and fast deployments are the norm. Beyond the AI servers, we like the profit pools that surround them, like power management and distribution, cooling solutions, network switches, network cables, optics, storage, deployment maintenance, professional services, and financial services.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Jeff Clarke","Vice Chairman and COO at Dell Technologies","We have accelerated the speed of innovation to respond to our customers' GenAI needs over the past year. A few highlights from the past two months: we launched our 21-inch ORv3 Integrated Rack 7000 in both a 44 and 50 OU rack design, with integrated cooling, power, and networking that is multi-generational and future-proof up to 480 kW per rack. This rack falls in our Integrated Rack Scalable Solutions, which are focused on at-scale deployment, ensuring Dell's AI factories can meet the demands of foundational training at the data center scale. We are shipping the industry's first enterprise-ready GB200 NVL72 server racks with our new XE9712, with direct liquid cooling that holds up to 72 GPUs per rack. We also announced at SC24 a new AI server supporting NVL4, also with liquid cooling, supporting up to 144 GPUs per rack, one of the industry's most dense designs.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Jeff Clarke","Vice Chairman and COO at Dell Technologies","We have the M7725, a dense compute design which supports up to 27,000 CPU cores per rack to meet high-performance computing demands. Our IR5000 can achieve up to 96 GPUs per rack and with a more traditional 19-inch rack design. Within the IR5000, which includes the XE9680L, we introduced the XE7740 and XE7745, designed for enterprise customers focused on inferencing. We've increased the density and performance of our PowerScale products, updating the PowerScale F710 with 61 terabytes of QLC SSDs and capacity density of 614 terabytes per rack unit. With a new software release that, when combined with 200 Gb Ethernet support, increases our streaming write performance by 163% and streaming read performance by over 2x versus the previous generation.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Jeff Clarke","Vice Chairman and COO at Dell Technologies","An application of this technology that I'm excited about is a biomedical research center using the PowerScale F710 and the XE9680 to take their own unstructured data and train AI models that will advance personalized treatment plans, resulting in better prevention, diagnosis, and treatment of various types of cancers. The opportunity in AI is enormous, and we are pushing the boundaries with our engineering, and all of this innovation is making its way into the enterprise. In traditional servers, demand improved double digits in Q3, making four consecutive quarters of year-over-year growth, driven by growing units and ASPs with denser core counts, memory, and storage per server. Customers are focusing on consolidation and power efficiency by modernizing their data centers with more efficient and dense 16G servers, freeing up valuable floor space and power that will support their AI infrastructure. In storage, the demand environment continued to trail traditional servers.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
"DELL","2024-11-26","Jeff Clarke","Vice Chairman and COO at Dell Technologies","PowerStore and PowerFlex demand grew double digits in the quarter, indicating that our focus on the midrange market with product and software enhancements will drive future growth and margin over time. The PowerScale F910 and F710 continue to ramp nicely, driving double-digit growth in the unstructured all-flash portfolio. In CSG, we saw continued stability with demand growth in commercial PCs for the third quarter in a row. More enterprise customers are beginning to refresh, albeit modest, and in a more price-competitive environment. We are seeing an indication that customers are lining up their upgrade cycles with new AI PCs in the first half of next year, a clear signal that enterprises are balancing their need to refresh and their desire to future-proof their purchases. Consumer demand and profitability continue to be challenged.","https://www.marketbeat.com/earnings/reports/2024-11-26-dell-technologies-inc-stock/"
