"symbol","report_date","speaker","title","msg","source_url"
"DHI","2024-10-29",NA,NA,"Good morning, and welcome to the fourth quarter 2024 earnings conference call for D.R. Horton, America's Builder, the largest builder in the United States. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. If you wish to enter the Q&A queue, please press star one on your phone at any time. I will now turn the call over to Jessica Hansen, Senior Vice President of Communications for D.R. Horton.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Jessica Hansen","SVP of Communications & People and Head of Investor Relations at D.R. Horton","Thank you, Tom, and good morning. Welcome to our call to discuss our fourth quarter and fiscal 2024 financial results. Before we get started, today's call includes forward-looking statements as defined by the Private Securities Litigation Reform Act of 1995. Although D.R. Horton believes any such statements are based on reasonable assumptions, there is no assurance that actual outcomes will not be materially different. All forward-looking statements are based upon information available to D.R. Horton on the date of this conference call, and D.R. Horton does not undertake any obligation to publicly update or revise any forward-looking statements. Additional information about factors that could lead to material changes in performance is contained in D.R. Horton's annual report on Form 10-K and our most recent quarterly report on Form 10-Q, both of which are filed with the Securities and Exchange Commission.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Jessica Hansen","SVP of Communications & People and Head of Investor Relations at D.R. Horton","This morning's earnings release can be found on our website at investor.drhorton.com, and we plan to file our 10-K in about three weeks. After this call, we will post updated investor and supplementary data presentations to our investor relations site on the presentation section under News and Events for your reference. Now, I will turn the call over to Paul Romanowski, our President and CEO.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Paul Romanowski","President and CEO at D.R. Horton","Thank you, Jessica, and good morning. I'm pleased to also be joined on this call by Mike Murray, our Executive Vice President and Chief Operating Officer, and Bill Wheat, our Executive Vice President and Chief Financial Officer. The D.R. Horton team produced solid results to finish the year, highlighted by consolidated pre-tax income of $1.7 billion on revenues of $10 billion, with a pre-tax profit margin of 17.1%. Earnings per diluted share for the fourth quarter were $3.92. For the year, earnings per diluted share increased 4% to $14.34, and our consolidated pre-tax income was $6.3 billion on revenues of $36.8 billion, with a pre-tax profit margin of 17.1%. Our home-building pre-tax return on inventory for the year was 27.8%. Return on equity was 19.9%, and return on assets was 13.9%.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Paul Romanowski","President and CEO at D.R. Horton","Our return on assets ranks in the top 25% of all S&P 500 companies for the past three, five, and ten-year periods. Our consolidated cash flow from operations for 2024 was $2.2 billion, and we returned all of the cash we generated this year to shareholders through repurchases and dividends. Our fiscal 2024 share distributions increased by approximately $700 million, or 44% from the prior year. Over the past five years, we have generated $9 billion of cash flow from operations, and we have reduced our outstanding share count by 12%. For the quarter, despite continued affordability challenges and competitive market conditions, our net sales orders increased slightly from the prior year. Our sales pace was in line with normal seasonality from the third to fourth quarter, but below our expectations.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Paul Romanowski","President and CEO at D.R. Horton","While mortgage rates have decreased from their highs earlier this year, many potential home buyers expect rates to be lower in 2025. We believe that the volatility of rates, combined with general uncertainty during the election season, is causing some buyers to stay on the sidelines in the near term. To help spur demand and address affordability, we are continuing to use incentives such as mortgage rate buy-downs, and we have continued to start and sell more of our smaller floor plans. With 46% of fourth-quarter closings also sold in the same quarter, our sales, incentive levels, and gross margin are generally representative of current market conditions. We typically experience seasonally slower demand during the fall, and our tenured local operators seek to find the right balance of sales pace, pricing, and incentives in each community that will best position our returns and inventory levels before we enter the spring.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Paul Romanowski","President and CEO at D.R. Horton","For the full year of fiscal 2025, our home-building volume and profit margins will largely be dependent on the strength of the upcoming spring selling season. Overall, the demographics supporting housing demand are favorable, and we continue to see a generally limited supply of both new and existing homes at affordable price points, in addition to a limited supply of finished lots available for new home construction. With our focus on affordable product offerings, 37,400 homes in inventory, continued improvement in our construction cycle times, and adequate finished lots available in our pipeline, we are well positioned for fiscal 2025. We remain focused on enhancing the capital efficiency of all of our operations to produce consistent, sustainable returns and cash flows so that we can return more capital to shareholders through both share repurchases and dividends. Mike.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Mike Murray","EVP and COO at D.R. Horton","Earnings for the fourth quarter of fiscal 2024 decreased 12% to $3.92 per diluted share compared to $4.45 per share in the prior year quarter. Earnings for the full year increased 4% to $14.34 per diluted share compared to $13.82 in fiscal 2023. Net income for the quarter decreased 15% to $1.3 billion on consolidated revenues of $10 billion, and for the year, net income increased slightly to $4.8 billion on revenues of $36.8 billion. Our fourth-quarter home sales revenues were $8.9 billion on 23,647 homes closed compared to $8.8 billion on 22,928 homes closed in the prior year. Our average closing price for the quarter was $377,600, down 1% both sequentially and from the prior year quarter. Bill.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Bill Wheat","EVP and CFO at D.R. Horton","Our net sales orders in the fourth quarter increased slightly from the prior year quarter to 19,035 homes, and order value decreased 2% to $7.1 billion. The sequential decline in our net sales orders was consistent with the prior year and in line with normal seasonality from the third to the fourth quarter, but both our home sales and closings this quarter were below our expectations. Our cancellation rate for the quarter was 21%, up from 18% sequentially and unchanged from the prior year quarter. Our average number of active selling communities was flat sequentially and up 10% from the prior year. The average price of net sales orders in the fourth quarter was $375,400, down 1% sequentially and 2% from the prior year quarter. Jessica.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Jessica Hansen","SVP of Communications & People and Head of Investor Relations at D.R. Horton","Our gross profit margin on home sales revenues in the fourth quarter was 23.6%, down 40 basis points sequentially from the June quarter. The decrease in our gross margin from June to September was primarily due to higher incentive costs on homes closed during the quarter. On a per square foot basis, home sales revenues were down roughly 0.5% sequentially, while stick-and-brick costs per square foot decreased 1% and lot costs increased 1.5%. We anticipate our incentive levels to increase further on homes closed over the next few months, so we expect our home sales gross margin to be lower in the first quarter compared to the fourth quarter.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Jessica Hansen","SVP of Communications & People and Head of Investor Relations at D.R. Horton","Our incentive levels and home sales gross margin for the full year of fiscal 2025 will be dependent on the strength of demand during the spring selling season, in addition to changes in mortgage interest rates and other market conditions. Bill.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Bill Wheat","EVP and CFO at D.R. Horton","In the fourth quarter, our home-building SG&A expenses increased by 17% from last year, and home-building SG&A expense as a percentage of revenues was 7.6%, up 100 basis points from the same quarter in the prior year. For the year, home-building SG&A was 7.5% of revenues, up 40 basis points from fiscal 2023. Our increased SG&A costs in both periods are primarily due to the expansion of our operating platform. Our employee and average community count are both up 10% from a year ago, while our market count increased to 125 markets in 36 states from 118 markets in 33 states. Paul.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
"DHI","2024-10-29","Paul Romanowski","President and CEO at D.R. Horton","We started 18,400 homes in the September quarter and ended the year with 37,400 homes in inventory, down 11% from a year ago and approximately 5,000 homes lower than at the end of June. 25,700 of our total homes at September 30 were unsold. 10,300 of our unsold homes at year-end were completed, of which 1,100 had been completed for greater than six months. The increase in unsold completed homes this quarter resulted from a combination of a seasonally slowing sales pace and further improvement in our construction cycle times. For homes we closed in the fourth quarter, our cycle time decreased by almost a week from the third quarter and a month from a year ago. Our improved cycle times position us to turn our housing inventory faster in 2025, and we will continue to manage our homes in inventory and starts pace based on market conditions. Mike.","https://www.marketbeat.com/earnings/reports/2024-10-29-dr-horton-inc-stock/"
