"symbol","report_date","speaker","title","msg","source_url"
"DPZ","2026-02-23",NA,NA,"Welcome to the Q4 Full Year 2025 Domino's Pizza Earnings Conference Call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during the session, you will need to press star one one on your telephone. You will then hear an automated message advising your hand is raised. To withdraw your question, please press star one one again. Please be advised that today's conference is being recorded. I would now like to hand the conference over to your speaker today, Greg Lemenchick, Vice President of Investor Relations and Sustainability. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Greg Lemenchick","VP of Investor Relations and Sustainability at Domino's Pizza","Good morning, everyone. Thank you for joining us today for our fourth quarter and year-end conference call. Today's call will begin with our Chief Executive Officer, Russell Weiner, followed by our Chief Financial Officer, Sandeep Reddy. The call will conclude with a Q&A session. The forward-looking statements in this morning's earnings release and 10-K, both of which are available on our IR website, also apply to our comments on the call today. Actual results or trends could differ materially from our forecasts. For more information, please refer to the risk factors discussed in our filings with the SEC. In addition, please refer to the 8-K earnings release to find disclosures and reconciliations of non-GAAP financial measures that may be referenced on today's call. This morning's conference call is being webcast and is also being recorded for replay via our website.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Greg Lemenchick","VP of Investor Relations and Sustainability at Domino's Pizza","We want to do our best this morning to accommodate as many of your questions as time permits. As such, we encourage you to ask one question only. With that, I'd like to turn the call over to Russell.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Russell Weiner","CEO at Domino's Pizza","Well, thank you, Greg. Good morning, everybody. I'd like to start by saying how incredibly proud I am of our team and franchisees as we continue to bring our Hungry for MORE strategy to life and deliver some of the best results within all of QSR. Before I highlight our great 2025 and look ahead to 2026, I want to provide my perspective on the QSR pizza category in the U.S. There seems to be a narrative out there that pizza is a challenged and declining category. That is just not true. Looking back to 2019, you'll find a category that has generally grown approximately 1%-2% per year, including last year, 2025. I am confident QSR pizza will continue to grow at this historical rate in 2026 and beyond.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Russell Weiner","CEO at Domino's Pizza","The pizza category is certainly mature, do not let the challenges that some of our higher profile competitors drive a false narrative. Our competitors' results are not a reflection of the category's health or its future potential. Their results are a direct reflection of our strength. Domino's has dominated the QSR pizza category for over a decade, and we expect our momentum will continue. To be clear, our growth prospects have never been greater because our brand has never been stronger. Our Hungry for MORE strategy is working, and we're leveraging the scale and advantages of being the number one pizza company in the world. I want to share what I think is the ultimate opportunity for Domino's in the U.S.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Russell Weiner","CEO at Domino's Pizza","When I look at our current market share in comparison to other leaders within QSR, who own 40%-50% of their categories, I believe that Domino's can double our retail sales from where they are today. Double. We've already achieved this higher market share in some of our international markets and in some U.S. markets today. I believe there is meaningful growth in front of us for many years to come. I'd now like to review 2025, another successful year for Domino's. Despite a challenging macro environment that impacted the entire restaurant industry, we proved that when we execute against our Hungry for MORE strategy, we deliver more sales, more stores, more market share, and more profits. Let's start with sales.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Russell Weiner","CEO at Domino's Pizza","We grew both our carryout and delivery businesses again this year in the U.S., proving that our strategy and tactics are effective in producing best-in-class results. We also drove positive order counts in both our U.S. and international businesses. As you know, order count growth is key to long-term success in the restaurant industry. Next, stores. We drove global net store growth in line with our expectations. In the U.S., we opened 172 net stores, which is impressive in absolute and relative terms. When we benchmark versus all traditional public QSR brands of more than 3,000 units from 2019 through the third quarter of 2025, Domino's is number one in net store growth, number one in pizza, and number one in non-pizza.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Russell Weiner","CEO at Domino's Pizza","We grew over 1,200 net stores, while half the remaining top 10 public QSR brands were negative over this period. In our international business, China and India continued to perform extremely well and opened almost 600 net stores combined last year. Market share. In the U.S., our same-store sales growth of 3% and success in net store openings led to another point of market share gain in 2025. Domino's has gained approximately 11 points of market share over the last 11 years. Finally, more profits. All of this growth culminated in a year where we grew company operating profits by more than 8%, and our estimated U.S. franchisee per store profitability grew to approximately $166,000. Our strong results can be linked to our strategy directly.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Russell Weiner","CEO at Domino's Pizza","Our initiatives were effective across all four of our Hungry for MORE strategic pillars in 2025. I'm going to focus, though, on two of them. One, from our most delicious food pillar, Parmesan Stuffed Crust, and the other from our renowned value pillar, Best Deal Ever. Each of these initiatives had a strong 2025 and will continue to positively impact 2026 and beyond. We are really happy with the Parmesan Stuffed Crust launch and the way it performed throughout the year. It met our high expectations on every level: mix, incremental new customers, and franchisee profitability. Most important, our in-store teams continue to effectively execute this complex product while also handling the challenges associated with our record-setting order volume in 2025. In a year when customers continued to seek value, we innovated with our Best Deal Ever promotion.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
"DPZ","2026-02-23","Russell Weiner","CEO at Domino's Pizza","This price point screamed renowned value, and the taste of a pizza that can be customized and loaded with toppings drove our most delicious food perceptions with customers. This promotion also demonstrated our system's operational excellence, as we did a great job of handling these customized pizza. Finally, and most importantly, Best Deal Ever drove franchisee profitability. The scale of our media and purchasing power enables us to drive the volume it takes to make a promotion like this profitable for our franchisees. You know, I've been asked whether or not QSR brands have pricing power anymore, given the value consumers are seeking. As you can see from our 2025 results and our franchisees' increased profits, Domino's has something even more important than pricing power. We have profit power. We can offer value to consumers and still create profit gains for our franchisees.","https://www.marketbeat.com/earnings/reports/2026-2-23-dominos-pizza-inc-stock/"
