"symbol","report_date","speaker","title","msg","source_url"
"DRI","2024-09-19",NA,NA,"Hello, and welcome to the Darden Fiscal Year twenty twenty-five Q1 earnings call. Your lines have been placed on a listen-only mode until the question and answer session. To ask a question, you may press star one on your touchtone phone at any time. We ask you to please limit yourselves to one question and one follow-up, then return to the queue. The conference is being recorded. If you have any objections, please disconnect at this time. I'll now turn the call over to Ms. Courtney Aquila. Thank you, Courtney, you may begin.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Courtney Aquila","Head of Investor Relations at Darden Restaurants","Thank you, Kevin. Good morning, everyone, and thank you for participating on today's call. Joining me are Rick Cardenas, Darden's President and CEO, and Raj Vennam, CFO. As a reminder, comments made during this call will include forward-looking statements as defined in the Private Securities Litigation Reform Act of 1995. These statements are subject to risks and uncertainties that can cause the actual results to differ materially from our expectations and projections. Those risks are described in the company's press release, which was distributed this morning and is in its filings with the Securities and Exchange Commission. We are simultaneously broadcasting a presentation during this call, which is posted in the Investor Relations section of our website at darden.com. Today's discussion and presentation includes certain non-GAAP measurements, and reconciliations of these measurements are included in the presentation.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Courtney Aquila","Head of Investor Relations at Darden Restaurants","Looking ahead, we plan to release Fiscal 2025 Q2 earnings on Thursday, December 19th, before the market opens, followed by a conference call. During today's call, all references to industry results refer to the Black Box Intelligence Casual Dining Benchmark, excluding Darden. During our fiscal Q1, industry same-restaurant sales decreased 2.5%, and industry same-restaurant guest counts decreased 5.4%. This morning, Rick will share some brief remarks on the quarter and discuss some of the actions our brands are taking in response to the current environment. And Raj will provide details on our Q1 results and an update on the Chuy's acquisition. Now, I will turn the call over to Rick.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Rick Cardenas","President and CEO at Darden Restaurants","Thank you, Courtney. Good morning, everyone. We operate in a very dynamic, competitive industry, and we have proven we can successfully navigate challenging environments due to our strategy, rooted in our four competitive advantages and our back to basics operating philosophy. While we fell short of our expectations for the Q1, I believe in the strength of our business, and I am confident that the strategy we developed nearly ten years ago remains the right one for our company. We have talked a lot about Darden's competitive advantages and how they provide a platform for our brands that enables them to deliver their ultimate potential.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Rick Cardenas","President and CEO at Darden Restaurants","However, driving strong operational execution is how we bring our brands to life, and we do that through our back to basics operating philosophy, anchored in culinary innovation and execution, attentive service, and an engaging atmosphere, supported by smart and relevant integrated marketing programs that resonate with our guests. This morning, I want to spend my time focusing on the work our brand teams are doing in each of these areas. Our brand culinary teams have continued to innovate to be ready when needed, but we have a high bar when it comes to introducing any new item to ensure it drives value for our guests and is simple to execute. While all of our brands are innovating the menu, here are some examples from our four largest revenue brands.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Rick Cardenas","President and CEO at Darden Restaurants","The Olive Garden team has been working on new dishes to give their guests another reason to visit in the back half of this fiscal year. This includes the return of two guest favorites, Steak Gorgonzola Alfredo and Stuffed Chicken Marsala, which were removed from the menu during COVID. Both have been recast with higher quality ingredients and easier execution for their restaurant teams, and both fill a gap on Olive Garden's menu for center-of-the-plate, protein-forward dishes. This announcement received tremendous applause from their general managers at their GM conference in August. The LongHorn Steakhouse team closed their biggest menu gap with the addition of a healthier chicken dish. Their new Lemon Garlic Chicken has scored extremely well in guest satisfaction ratings.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Rick Cardenas","President and CEO at Darden Restaurants","LongHorn also introduced a new Dragon Fruit Margarita during the quarter, made with an exclusive PatrÃ³n Reposado Tequila that was specially blended for LongHorn, and it has already become their top-selling margarita. The Yard House team introduced a new pizza platform that has resulted in higher quality pizzas that are cooked in half the time, and they have seen a significant increase in preference and guest satisfaction as a result. This follows the introduction of other successful new menu items, such as their cheesesteak sandwiches and half-pound prime burgers. Finally, at Cheddar's Scratch Kitchen, you get a lot for not a lot. They create value by leveraging existing product across multiple menu items through purchasing opportunity buys and limited time offers.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Rick Cardenas","President and CEO at Darden Restaurants","As an example, for a limited time, they are offering two grilled pork chops topped with caramelized onions and bourbon glaze, with two sides starting at $12.99. Our supply chain team and the Cheddar's culinary team continue to actively search for potential opportunity buys to drive exceptional value for guests, and you will see more examples of their efforts in the back half of this fiscal year. Additionally, the Cheddar's team introduced a new lunch specials platform earlier this calendar year that continues to win on price and build guest loyalty. This was thoroughly tested prior to launch and features eight great lunch items, starting at $8.59. During the quarter, they also reintroduced a guest favorite to the menu that was removed during COVID. The team worked extremely hard to simplify the process and succeeded. Onion rings are back, and guests are loving them.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Rick Cardenas","President and CEO at Darden Restaurants","The Facebook post announcing the return of onion rings was the best engaged and most viewed post in Cheddar's history. From a service perspective, guests who visit our restaurants continue to have great experiences, which we see reflected in our guest satisfaction scores, but we know the full service category lost focus on pace of meal over the years. In a world that has gotten faster, full-service restaurants haven't kept up. We know we can do a better job of evaluating our guest time, and that was a central theme of our general manager conferences last month. We believe we have an opportunity to drive incremental sales over time by capturing the quicker meal occasions. The opportunities vary by brand, and it is something each brand team will continue to focus on over the long term.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
"DRI","2024-09-19","Rick Cardenas","President and CEO at Darden Restaurants","Providing an engaging atmosphere at each one of our restaurants, where guests enjoy themselves and the occasion, is fundamental to creating exceptional guest experiences. Our facilities and remodel teams partner with each brand's operations team to ensure we are delivering on this promise. Each year, we spend, on average, approximately $200,000 per restaurant for maintenance and remodels to keep our buildings fresh and inviting. But atmosphere is more than just the physical restaurant. It also involves the people who bring our brands to life. For example, at the center of every Yard House is their bar, with more than 100 beers on tap, which is the cornerstone for their energized vibe. To strengthen this advantage, the Yard House team held their annual Best on Tap competition during the Q1.","https://www.marketbeat.com/earnings/reports/2024-9-19-darden-restaurants-inc-stock/"
