"symbol","report_date","speaker","title","msg","source_url"
"ECL","2024-10-29",NA,NA,"As a reminder, this conference is being recorded. It is now my pleasure at this time to introduce your host, Andy Hedberg, Vice President, Investor Relations. Mr. Hedberg, you may now begin.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Andy Hedberg","VP of Investor Relations at Ecolab","Thank you, and hello everyone, and welcome to Ecolab's third quarter conference call. With me today are Christophe Beck, Ecolab's Chairman and CEO, and Scott Kirkland, our CFO. A discussion of our results, along with our earnings release and the slides referencing the quarter results, are available on Ecolab's website at ecolab.com/investor. Please take a moment to read the cautionary statements in these materials, which state that this teleconference and the associated supplemental materials include estimates of future performance. These are forward-looking statements, and actual results could differ materially from those projected. Factors that could cause actual results to differ are described under the risk factor section in our most recent Form 10-K and in our posted materials. We also refer you to the supplemental diluted earnings per share information in the release. With that, I'd like to turn the call over to Christophe Beck for his comments.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Christophe Beck","Chairman and CEO at Ecolab","Thank you so much, Andy, and welcome to everyone on the call. And let me start by thanking our incredible team for their hard work and seamless execution this quarter again. It's because of our team's endless dedication to our customers and commitment to our goals that I have the pleasure of sharing another excellent quarter. Delivering broad-based performance across our businesses, markets, and geographies. Our company has never been as healthy as it is today, and I'm proud to lead such a talented team with such a great future. Moving to the specifics of our performance, our third quarter was highlighted by strengthening volume growth, continued strong value pricing, and robust operating income margin expansion. These all combined to deliver 19% growth in adjusted earnings. With this strong momentum, we are increasing once again the midpoint of our full-year earnings guidance range.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Christophe Beck","Chairman and CEO at Ecolab","As expected, organic sales grew 4%, with very healthy growth across our businesses. Importantly, volume growth improved to 2%, driven by strong business wins and breakthrough innovation. The Ecolab team also delivered solid value pricing at the same time in our targeted 2%-3% range in a quarter where carryover pricing is at zero, and new pricing for 2025 is not in yet. In a world that remains hard to predict, our solutions are more essential than ever to our customers. Backed by our reliable supply and global expertise, our unique technologies are recognized to dramatically enhance productivity while significantly reducing water and energy usage. This solid top-line growth helped to further increase our gross margin 220 basis points to 43.5%. Our SG&E productivity also improved, consistent with our long-term trends. In 2017, our SG&E ratio was over 29%, and today it's around 27%.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Christophe Beck","Chairman and CEO at Ecolab","This year, we expect it will further improve from 28% in the first half to 26% in the second half, even after gross investments in frontline firepower, digital technologies, and service capabilities, and on a side note, third quarter SG&E also benefited from FX, which we expect will reverse next quarter. With this, we anticipate fourth quarter's SG&E ratio to be flattish versus last year's fourth quarter, while long-term trends will keep improving 20-30 basis points per year. Overall, our operating income grew 22%, and OI margin expanded by 260 basis points to 17.9%, which is very close to our record third quarter margin for Ecolab. For the full year 2024, we expect an OI margin of around 16.5%, 50 basis points better than our early commitment and 260 basis points better than last year.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Christophe Beck","Chairman and CEO at Ecolab","With our strong margin expansion momentum, my confidence in consistently delivering 12%-15% long-term EPS growth has only strengthened. This will position Ecolab to reach our 20% operating income margin target over the next three years. Now, I'd like to transition our attention from Q3 to what our teams are focused on to fuel long-term growth and margin expansion. Our growth engines in Clean Tech, High Tech, and Biotech are showing strength and momentum, even if each are at a different stage of development. In the clean Institutional & Specialty, as well as Pest Elimination, are both delivering strong performance, growing 7% and 8% respectively, with operating income margins north of 20%. Global High Tech, which includes data center cooling and water for microelectronics, is growing at strong double digits.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Christophe Beck","Chairman and CEO at Ecolab","And in Biotech, our Life Sciences business remains ahead of the curve in what we believe will be a huge long-term growth opportunity. Our innovation pipeline also continues to build as we shift our focus from renovation to breakthrough innovation. With nearly $1.5 billion, our 2024 pipeline is at record levels and laser-focused on the biggest opportunities across our Clean Tech, High Tech, and Biotech platforms. Finally, our One Ecolab Growth Initiative, which seeks to leverage our digital technologies to deliver best-in-class business outcomes, operational performance, and environmental impact at every customer location around the world, is progressing very well. Over the next few years, One Ecolab looks to more quickly unlock our current $55 billion penetration opportunity. Our early focus on our largest and fastest-growing 35 customers is showing promising results with significant total value delivered for our customers and a great growth opportunity for Ecolab.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Christophe Beck","Chairman and CEO at Ecolab","With strong long-term business momentum, record-free cash flow, and the proceeds from the sale of the surgical drapes business, our balance sheet is in a very healthy position. This provides us with many options to allocate capital to organic and inorganic growth opportunities. On organic growth, we are well-positioned to scale unique customer solutions like our AI dish machine program for QSR and circular water systems for data centers and microelectronic manufacturers. On the acquisition front, we are now in a unique position to enhance our focus on the core fields of water, digital, and Life Sciences to generate strong returns for shareholders. In closing, I say this every quarter, and I'll say it again today: Ecolab's future has never looked brighter.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Christophe Beck","Chairman and CEO at Ecolab","Our leading customer value proposition, where our technologies help customers improve their operating performance while reducing their water and energy usage, is increasingly relevant, especially in unpredictable times, and continues to fuel our growth and margin expansion. Simply put, we remain very well-positioned to consistently drive 12%-15% growth in adjusted diluted earnings per share in 2025 and in the years to come. So thanks again for your continued support and, naturally, your investment in our company. I look forward to your questions.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Andy Hedberg","VP of Investor Relations at Ecolab","Thanks, Christophe. That concludes our formal remarks. Operator, would you please begin the question-and-answer period?","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29",NA,NA,"Thank you. We'll now be conducting a question-and-answer session. If you'd like to ask, we ask that you please limit yourself to one question so others will have a chance to participate. To ask a question at this time, you may press star one on your telephone keypad, and a confirmation tone will indicate your line is in the question queue. You may press star two if you'd like to withdraw your question from the queue. For participants that are using speaker equipment, it may be necessary to pick up your handset before pressing the star keys. One moment, please, while we poll for questions. Thank you. And our first question is from the line of Tim Mulrooney with William Blair. Please proceed with your question.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
"ECL","2024-10-29","Tim Mulrooney","Partner and Group Head of the Global Services Sector at William Blair","Hi, Christophe. Good afternoon.","https://www.marketbeat.com/earnings/reports/2024-10-29-ecolab-inc-stock/"
