"symbol","report_date","speaker","title","msg","source_url"
"EG","2026-04-29",NA,NA,"Good day, everyone, and welcome to the Everest Group, Ltd. First Quarter 2026 Earnings Conference Call. All participants will be in a listen-only mode. Should you need assistance please signal our conference specialist by pressing star key followed by zero. After today's presentation there will be an opportunity to ask questions. To ask a question you may press star and then one on your telephone keypad. To withdraw your question star and two.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29",NA,NA,"Please also note that today's event is being recorded. At this time, I'd like to turn the floor over to Mr. Matt Rohrmann, Senior Vice President, Head of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Matt Rohrmann","SVP and Head of Investor Relations at Everest Group","Thank you, Jamie. Good morning, everyone, and welcome to the Everest Group, Ltd. First Quarter of 2026 Earnings Conference Call. The Everest executives leading today's call are Jim Williamson, President and CEO, and Mark Kociancic, Executive Vice President and CFO. We are also joined by other members of the Everest management team. Before we begin, I will preface the comments by noting that today's call will include forward-looking statements.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Matt Rohrmann","SVP and Head of Investor Relations at Everest Group","Actual results may differ materially, and we undertake no obligation to publicly update forward-looking statements. Management comments regarding estimates, projections, and future results are subject to the risks, uncertainties, and assumptions as noted in Everest SEC filings. Management will also be referring to certain non-GAAP financial measures. Available explanations and reconciliations to GAAP can be found in the earnings release, investor presentation, and financial supplement on our investor relations website. With that, I'll turn the call over to Jim.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Jim Williamson","President and CEO at Everest Group","Thanks, Matt, and good morning, everyone. This is the first quarter reporting under the new segment structure we previously announced, and the early read is consistent with what we committed to, a more focused, more profitable, more capital-efficient Everest. Both core businesses contributed meaningful underwriting income. Investment income remained a durable earnings engine, and we accelerated capital return to shareholders. There is more work to do.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Jim Williamson","President and CEO at Everest Group","The quarter offers clear evidence of the strength in our lead market reinsurance treaty franchise and that the strategic reset within our new Global Wholesale and Specialty segment is beginning to take hold in the numbers. Group operating income for the quarter was $648 million, producing a net operating return on equity of 16.7% and an annualized total shareholder return of 16.1%. This performance was delivered despite a more challenging market environment.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Jim Williamson","President and CEO at Everest Group","The combined ratio was 91.2% with $130 million of pre-tax catastrophe losses, net of recoveries and reinstatement premium, including a $58 million provision for the conflict in Iran. Excluding the Legacy Segment, the combined ratio for the quarter was 89.3%. Net investment income was $567 million, supported by fixed income portfolio growth and strong limited partnership returns. Gross written premium was $3.6 billion, down year-over-year 18%, largely due to the completed exit of our commercial retail insurance business and continued runoff of Legacy U.S. casualty exposures.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Jim Williamson","President and CEO at Everest Group","Excluding the impact of divestitures and deliberate runoff, underlying premium declined 6.4%. Consistent with the strategy we laid out in October, we will continue to prioritize profitability and shareholder return over top-line volume, and Q1 is a clear example of that philosophy at work. Treaty reinsurance delivered an excellent quarter, generating $315 million of underwriting income on an 87.2 combined ratio.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Jim Williamson","President and CEO at Everest Group","Gross written premium was $2.7 billion, down 8.9% year-over-year, driven primarily by continued casualty discipline and selective reductions where pricing or structure did not meet our return thresholds. Since January 2024, we have reduced casualty premium by more than $1.2 billion. Over that same window, the portfolio has re-rotated meaningfully towards short tail and specialty lines, where we continue to see opportunities for attractive risk-adjusted returns. The April 1 renewal reflected the market conditions we anticipated on the last call.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Jim Williamson","President and CEO at Everest Group","Property catastrophe pricing continued to soften, with rate down 13% on our book globally. Terms and conditions held, attachment points held, and structural discipline remained intact. Our lead market position and preferred counterparty status allowed us to shape signings towards the most attractive deals. Bound premium at 4/1 decreased 14.6% versus expiring, expected returns on the written portfolio remain above our thresholds.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
"EG","2026-04-29","Jim Williamson","President and CEO at Everest Group","Looking to the mid-year renewals, we see continued competitive conditions. Florida will be an interesting dynamic with strong demand by cedents and meaningful tort reform benefits that we are clearly seeing in our data. We will continue to deploy capacity where the math works and pull back where it does not. Mount Logan continues to build momentum, with assets under management now exceeding $2.6 billion.","https://www.marketbeat.com/earnings/reports/2026-4-29-eg-stock/"
