"symbol","report_date","speaker","title","msg","source_url"
"ESS","2025-10-29",NA,NA,"Good day and welcome to Essex Property Trust's third quarter 2025 earnings call. As a reminder, today's conference call is being recorded. Statements made on this conference call regarding expected operating results and other future events are forward-looking statements that involve risks and uncertainties. Forward-looking statements are made based on current expectations, assumptions, and beliefs, as well as information available to the company at this time. A number of factors could cause actual results to differ materially from those anticipated. Further information about these risks can be found on the company's filings with the SEC. It is now my pleasure to introduce your host, Ms. Angela Kleiman President and Chief Executive Officer for Essex Property Trust. Thank you, Ms. Kleiman. You may begin.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","Welcome to Essex third quarter earnings call. Barb Pak will follow with prepared remarks, and Rylan Burns is here for Q&A. We are pleased to report solid results for the third quarter, highlighted by a $0.03 FFO outperformance and an increase to our core FFO full-year guidance. Today, I will cover key takeaways from the quarter, a high-level outlook for 2026, and provide an update on the transaction markets. Starting with operations, our portfolio performed well amid a backdrop of muted job growth across the U.S. and heightened policy uncertainty. Year-to-date through the third quarter, we generated a blended lease rate growth of 3% at all leases and 2.7% on like-term leases. This is a proven example of the competitive advantage of our low-supply markets.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","As expected, Northern California is our best-performing region, and the fundamental backdrop remains favorable, with forward-looking supply continuing to decline, comparable to a level in the years following the great financial crisis. Within the Bay Area, San Francisco and Santa Clara counties are generating the highest rent growth year-to-date, reflecting attractive rent-to-income ratios, demand benefiting from AI-related startups, and above-historical-average migration trends. Our Seattle region remains healthy but is trending at the low end of our full-year expectations, driven by a combination of challenging year-over-year comparison, soft demand, and pockets of supply temporarily limiting pricing power in certain submarkets. Finally, on Southern California, this region is generally performing in line with our expectations. As we have discussed, Los Angeles has lagged, primarily attributed to delinquency recovering, muted job conditions similar to the U.S., and pockets of supply on the Westside and downtown L.A.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","With supply expected to drop in 2026, the infrastructure spending earmarked for Los Angeles, and market occupancy improving, we see a path to pricing power. Given the soft economic environment and policy uncertainty, we are not surprised that hiring and investment decisions have been delayed across the U.S., but we are pleased to see the West Coast once again outperforming the U.S. average, a trend we anticipate continuing. Looking to 2026, our portfolio is well-positioned relative to other U.S. markets, supported by low levels of housing supply, attractive affordability, and demand catalysts from the technology sector. Directionally, we assume Northern California to continue outperforming and rank among the top U.S. markets, as job growth in Northern California gradually gains momentum, which is supported by announcements of significant office expansions. Next in the ranking would be the Seattle region.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","With total housing supply deliveries declining by almost 40% next year, we are optimistic about the market's outlook. For Southern California, we expect stable economic conditions, with Los Angeles fundamentals to improve. Moving on to early building blocks, we forecast our blended lease rates for the second half of the year to land at a similar level to last year. As such, we anticipate another year of stable growth, with 2026 earning between 80-100 basis points. Lastly, on our investment activity and the transaction market. Page S16.1 of the supplemental demonstrates the value created from our capital allocation strategy since 2024. We have focused our investments on the highest growth submarkets in Northern California, acquiring almost $1 billion of assets in this region, while achieving accretion relative to dispositions and improving overall age of the portfolio.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","As for the transaction market, year-to-date volume on the West Coast is slightly above 2024 but remains below average historical levels. We continue to see a competitive bidding environment for high-quality properties in our markets, and cap rates are generally in the mid-4% range, with most of the Bay Area transactions in the low 4%. Although cap rates have compressed in Northern California, we will continue to enhance value from our operating platform and drive FFO and NAV per share growth for our shareholders. With that, I'll turn the call over to Barb.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Barb Pak","EVP and CFO at Essex Property Trust","Thanks, Angela. I'll begin with a recap of our third quarter results, followed by comments on investments and the balance sheet. Beginning with our third quarter results, we achieved a solid quarter with core FFO per share exceeding the midpoint of our guidance range by $0.03, attributed to lower G&A and interest expense. As a result of the third quarter beat, we are pleased to raise the midpoint for core FFO per share to $15.94. As for operations, we remain on plan and are reaffirming the full-year midpoint for same property revenue, expense, and NOI growth. Turning to the structured finance portfolio, year-to-date, we have received $118 million in redemptions and anticipate $200 million in total proceeds for the full year.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Barb Pak","EVP and CFO at Essex Property Trust","As you may recall, over the past two years, we have made the strategic decision to redeploy the redemption proceeds into acquisitions at better-than-market rate yields and in markets with the highest near-term rent growth potential. This strategy has resulted in better NAV growth, improved cash flow for reinvestment, and higher quality of FFO earnings. Looking ahead to 2026, we are pleased that we are in the final year of the redemption-related headwinds, and the realignment of this business will be behind us. Overall, we expect roughly $175 million in additional redemptions next year. Given heavy redemptions in 2025 and expected in 2026, we anticipate this will reduce our 2026 core FFO growth, net of reinvestment, by approximately 150 basis points, depending on timing of redemptions.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Barb Pak","EVP and CFO at Essex Property Trust","As we look further out to 2027 and beyond, we expect that FFO volatility from this business will abate, as the size of our structured finance book will have decreased from the peak of $700 million in 2021 to around $250 million in total investments. Lastly, a few comments on capital markets and the balance sheet. Throughout 2025, we executed several financings to further strengthen our balance sheet, increase our liquidity, diversify our capital sources, and proactively address near-term maturities at attractive rates in the current market environment. With manageable maturities over the next 12 months, healthy net debt to EBITDA of 5.5x, and over $1.5 billion in available liquidity, our balance sheet is strong heading into 2026. I will now turn the call back to the operator for questions.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29",NA,NA,"Thank you. We will now be conducting a question-and-answer session. If you would like to ask a question, please press star one on your telephone keypad. A confirmation tone will indicate your line is in the question queue. You may press tar two to remove yourself from the queue. For participants using speaker equipment, it may be necessary to pick up the handset before pressing the star keys. To allow everyone in the queue to be able to ask their question, we ask that everyone limit themselves to one question and one follow-up only. Our first question comes from the line of Nick Yulico with Scotiabank. Please proceed with your question.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Nick Yulico","Managing Director of U.S. REIT Research at Scotiabank","Thanks. I wanted to see if there was any way you could break out the blended rate growth a bit in the third quarter, just for some perspective on how much L.A. and Orange County might have been a drag on those numbers.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","Hey, Nick. It's Angela here. Good morning, and thanks for your question. As expected, you called it, L.A. has been a drag, but that's not a surprise to anybody. In terms of our blended for the third quarter, Southern California came in at around 1.2%, and Northern California close to 4%, and Seattle right in the middle at about 2%. To call out L.A. specifically, L.A. is below the 1.2% average for Southern California. L.A. is really 1%. That gives you the range and the magnitude. On the high end, when we're looking at Northern California, San Francisco and San Mateo, they're in kind of that 6.5% range in terms of the blended. Hopefully, that kind of gives you the bookends of our portfolio. It's a pretty wide range.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Nick Yulico","Managing Director of U.S. REIT Research at Scotiabank","Okay, great. Thanks, Angela. My follow-up question is just in terms of Northern California, whether you've seen any real pickup in demand. If we see again from some of the job announcements of new company formations or some of the activity on the office side in San Francisco or the broader Bay Area, is there anything you can share on how that's actually translating into demand on the ground? Thanks.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","Yeah, that's a good question. We certainly are seeing a steady strength in the Northern region. When we look at the top 20 tech postings, the postings have remained steady with September's slight uptick in California, mostly benefiting from the Northern region, the San Francisco, San Mateo, and of course, the Santa Clara counties. It's tough to get exact numbers because they don't show up. The BLS numbers, as we talked about, have been challenging. What we are seeing is that we're seeing more startups than we ever seen in the past. Anecdotally, what we're seeing is that office space, less than 10,000 sq ft, are in hot demand. That is a new phenomenon that we've not seen in the past.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Nick Yulico","Managing Director of U.S. REIT Research at Scotiabank","Okay, thank you.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29",NA,NA,"Thank you. Our next question comes from the line of Eric Wolfe with Citi. Please proceed with your question.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Nick Joseph","Head of U.S. Real Estate and Lodging Research at Citi","Thanks. It's Nick Joseph here with Eric. You mentioned the 2026 earning of estimated to be 80-100 basis points. I was hoping you could break that down between Northern California, Southern California, and Seattle.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","Hey, Nick. I don't have the exact breakdown in front of me. I will just point to that we, of course, we're assuming that Northern California will lead and Southern California will rank third in terms of the major three regions, with Seattle in the middle. I think a helpful data point could be that if you look at our blended lease rates in the third quarter, it's comparable to what we achieved last year, a little bit lower than what we achieved last year. However, what we're seeing in the fourth quarter is we're on track for fourth quarter to do better than last year. Year-over-year, for the second half, we're assuming that we're going to land in the same zone, somewhere in the low 2%. That gives us the 80-100 basis points earning.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Nick Joseph","Head of U.S. Real Estate and Lodging Research at Citi","Thanks. Appreciate that. On the preferred book, I think you said 150 basis points headwind. What's the sensitivity around the timing of the potential redemptions for next year?","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Barb Pak","EVP and CFO at Essex Property Trust","Hi, Nick. It's Barb. There are a couple that are maturing in the first quarter, and if they may need an extension for a month or two, that's really the sensitivity that I'm talking about. The maturities are very much in the first half of the year. What we've guided to and what I provided was assuming that they're fully redeemed at maturity. If they get extended, it might be a little bit lower.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Nick Joseph","Head of U.S. Real Estate and Lodging Research at Citi","Got it. Thank you.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29",NA,NA,"Thank you. Our next question comes from the line of Jeff Spector with Bank of America. Please proceed with your question.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Jeff Spector","Managing Director and Head of U.S. REITs at Bank of America","Great. Thank you. Just to follow up on the first question Nick had asked, I think his follow-up question on jobs. It does seem like we're seeing mixed signals between AI hiring and tech layoffs. How are you thinking about this into next year, maybe even medium term? What are you hearing from, let's say, any peers or any executives that you talk to in terms of the job outlook in your region? Thank you.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","Yeah. Hey, Jeff, that is a great question because it really goes to the heart of where is AI taking us, right, in more of a broad conversation from that perspective. A lot of things are happening right now, which is noisy. We are seeing recent layoff announcements. Keep in mind that large tech companies get most of the headlines. Broadly across the U.S., layoffs are occurring. For example, UPS in Atlanta is cutting 48,000 jobs. From what we're seeing on the ground here, this is a normal part of the business cycle. In an environment where the macro environment is soft, business R&D should be focusing on efficiency. I don't think, from what we're seeing, that they are AI-driven job losses.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","In terms of what we think is going to happen with the conversation about AI displacing jobs and becoming, or is viewed to be, a disruptor, we do think that's going to happen at some point. AI capabilities, it's growing rapidly, and we're seeing research suggesting that most companies are experimenting with AI. That experimentation level is very high, but the adoption level is low because the return on investment is still unclear. For example, Essex, where we see AI benefiting data analytics and certain repetitive tasks, but it is still in early developmental stages, and we need additional technology to interface with AI applications for utilization. Essex has not had significant workforce reduction using AI. What we do expect is that the pace of disruption or job displacement will be more gradual.","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Angela Kleiman","President and CEO at Essex Property Trust","On the flip side, what we're seeing is, as I mentioned earlier, an unprecedented number of startups, small companies that, because of AI, can form businesses. That is not being picked up by BLS, but certainly it's being picked up by the demand that we're seeing in Northern California. Does that make sense?","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
"ESS","2025-10-29","Jeff Spector","Managing Director and Head of U.S. REITs at Bank of America","Thank you. That's helpful. Maybe can you talk a little bit more about San Francisco specifically, let's say, downtown. We're seeing all these great articles on downtown, the city, first-year suburbs. How is your portfolio benefiting from all of this?","https://www.marketbeat.com/earnings/reports/2025-10-29-essex-property-trust-inc-stock/"
