"symbol","report_date","speaker","title","msg","source_url"
"ETR","2025-10-29",NA,NA,"Hello, everyone. My name is Greg, and I will be your conference operator today. At this time, I would like to welcome everyone to today's Entergy Corporation third quarter earnings call and teleconference. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question and answer session. If you'd like to ask a question during this time, simply press star followed by the number one on your telephone keypad. Once again, star one. If you'd like to withdraw your question, simply press star one again. Thank you. I will now turn the call over to Liz Hunter, Vice President of Investor Relations for Entergy Corporation. Liz?","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Liz Hunter","VP of Investor Relations at Entergy Corporation","Good morning. Thank you, Greg, and thanks to everyone for joining this morning. We will begin today with comments from Entergy's Chair and CEO, Drew Marsh, and then Kimberly Fontan, our CFO, will review results. In today's call, management will make certain forward-looking statements. Actual results could differ materially from these forward-looking statements due to a number of factors which are set forth in our earnings release, our slide presentation, and our SEC filings. Entergy does not assume any obligation to update these forward-looking statements. Management will also discuss non-GAAP financial information. Reconciliations to the applicable GAAP measures are included in today's press release and slide presentation, both of which can be found on the Investor Relations section of our website. I will turn the call over to Drew.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","Thank you, Liz, and good morning, everyone. Today we are reporting strong financial results as well as continued progress on business and regulatory matters. Starting with our quarterly financial results, our adjusted earnings per share was $1.53. With our results to date and our biggest quarter behind us, we are narrowing our guidance, raising the bottom by $0.10. We also remain well-positioned to achieve our long-term growth outlooks. Kimberly will review the financial details in a moment. Turning to the business, last quarter, we achieved the first quartile net promoter score for utility residential service for the first time since we began tracking this metric. We're pleased to report that we've maintained our first quartile position. We are keenly focused on meeting the needs of our 3 million customers, and we believe our strategy will carry this momentum forward.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","Our focus on the customer starts with keeping our rates as low as possible. To begin, we aim to maintain our average rates well below the national average through the remarkable commitment and creativity of our employees and a culture of continuous improvement. Today's share of wallet is roughly the lowest our customers have seen over the last 20 years. We expect it to stay in that range over the outlook period. Of course, there's more to it than that. We proactively manage the effect of fuel volatility on customers' bills through fuel hedging programs and mechanisms to defer fuel costs during peak prices. For individual customers, we have developed tools to help them manage their bills, such as approved bill discounts for low-income seniors, payment options like average billing and payment timing, energy efficiency services, and customer assistance programs like Power to Care and LIHEAP Advocacy.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","I'm proud to highlight that our digital LIHEAP platform recently received a Silver Best Practices Award from Chartwell for excellence in serving vulnerable customers. This tool streamlines access to energy assistance and provides real-time app updates for customers in need. As we've worked to attract new hyperscale data center customers, we ensure that they pay their fair share of energy infrastructure investments while bringing other significant benefits to our communities, such as jobs, property tax payments, direct municipal infrastructure investment, and workforce development. This is consistent with their stated intent to be good neighbors. For example, at the recent groundbreaking announcement, Google said that they will protect energy affordability for existing customers by covering the full cost of powering the data center in West Memphis. They're also committed to making a significant community impact, including a $25 million fund to accelerate local energy efficiency efforts and workforce development.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","In September, Entergy Mississippi announced a new customer-focused initiative known as Superpower Mississippi. The initiative includes a $300 million investment to harden the grid and improve reliability with the goal of reducing outages for customers by half within five years. We're able to add this investment for grid improvements at no additional cost to Entergy Mississippi customers because of new revenues from Amazon and other large industrial customers' investments in the state. Haley Fisackerly, our CEO at Entergy Mississippi, recently noted that customer rates would be 16% lower than they otherwise would have been due to these large customers. That includes the incremental Superpower Mississippi investment. In customer growth news, in late September, Simper reached its final investment decision for phase two of its Port Arthur LNG project. In addition, a colocation data center, AVAIO, announced an investment in Entergy Mississippi's service area.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","While these were included in our probability-weighted sales forecast, these developments continue to build confidence in our long-term outlook. As a reminder, we probability weight potential industrial customers in our plans except for very large businesses like hyperscale data centers, which we don't add to our plans until there is a signed electric service agreement. Because of our vertical integration, natural Gulf Coast advantages, thoughtful regulation, a long history of successfully working with large industrial projects, and now MISO's expedited connection mechanisms, we continue to see strong demand from businesses looking to locate in our service areas. This includes data centers, but also customers from traditional industrial segments. Our data center pipeline has continued to grow and now is sitting from 7-12 GW. This is based on active conversations with customers for whom we reasonably could expect to sign agreements within the next year or two.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","With line of sight on incremental opportunities, we've added 4.5 GW to our agreement for the purchase of power island equipment, including steam turbines, combustion turbines, and heat recovery steam generators. This addition represents six units that will be delivered in time to support commercial operations in 2031 to 2032. In total, we now have secured more than 19 GW of capacity, 11 GW of which is accounted for due to growth or other supply needs. That leaves 8 GW for additional growth. We secured other critical equipment, including transformers and breakers, and we secured 90% of materials required for our planned transmission projects through 2030. We also have agreements with EPCs for the generation projects through mid-2029, and we have line of sight for additional projects. We're also well-positioned for solar projects.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","For our owned projects, we've secured approximately 75% of our critical equipment, including generator step-up transformers, high-voltage breakers, and solar modules. We also have clear line of sight for the remaining 25% through our existing supplier relationships. In July, FERC approved MISO's expedited resource addition study, or ERAS, process. We have since submitted nine interconnection requests for 12 plants into the new process. Eight of these plants in our ERAS submission are in our plan, and four are available for incremental growth. ERAS has worked well to support speed to market for customers trying to come online as quickly as possible, as well as help us respond to the national security priority for rapid energy deployment to win the AI race. We expect to start receiving our first project approvals by the end of this year.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
"ETR","2025-10-29","Drew Marsh","Chair and CEO at Entergy Corporation","With standardized designs for our generation projects and our transmission lines and our history of successful execution on large projects, we remain confident in our ability to manage our operations and execute on our capital plan. We're also well-positioned to serve potential new customers above our current plan. For the customer base that continues to grow, perhaps it is no surprise that our system, as well as Entergy Arkansas and Entergy Texas, hit new peak loads in July. Our system performed well during these high load periods. Responding to that customer growth, Entergy Texas remains on track for the completion of the Orange County Advanced Power Station next spring. The plant's decommissioningâ€”I shouldn'tâ€”not decommissioning. The plant's commissioning is underway, and first fire is expected in December. Our other large generation and transmission projects are also on track. Last week, Entergy Mississippi broke ground on the Vicksburg Advanced Power Station.","https://www.marketbeat.com/earnings/reports/2025-10-29-entergy-co-stock/"
