"symbol","report_date","speaker","title","msg","source_url"
"EVRG","2024-11-07",NA,NA,"Good day and thank you for standing by. Welcome to the third quarter 2024 Evergy Inc. earnings conference call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during the session, you will need to press star one one on your telephone. You will then hear an automated message advising that your hand is raised. To withdraw your question, please press star one one again. Please be advised that today's conference is being recorded. I would now like to hand the conference over to your first speaker today, Peter Flynn, Director of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","Peter Flynn","Director of Investor Relations at Evergy","Thank you, Jill, and good morning, everyone. Welcome to Evergy's third quarter 2024 earnings conference call. Our webcast slides and supplemental financial information are available on our Investor Relations website at investors.evergy.com. Today's discussion will include forward-looking information. Slide two and the disclosures in our SEC filings contain a list of some of the factors that could cause future results to differ materially from our expectations. They also include additional information on our non-GAAP financial measures. Joining us on today's call are David Campbell, Chairman and Chief Executive Officer, and Bryan Buckler, Executive Vice President and Chief Financial Officer. David will cover third-quarter highlights, provide updates on our generation plans and our regulatory and legislative agendas, and discuss updates to our financial outlook. Bryan will cover our third-quarter results, retail sales trends, and our long-term guidance.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","Peter Flynn","Director of Investor Relations at Evergy","Other members of management are with us and will be available during the Q&A portion of the call. I'll now turn the call over to David.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","David Campbell","Chairman and CEO at Evergy","Thanks, Pete, and good morning, everyone. I'll begin on slide five. This morning, we reported third quarter adjusted earnings of $2.02 per share compared to $1.88 per share a year ago. The increase over last year was driven primarily by demand growth, new retail sales, and FERC investments, partially offset by cooler summer weather and higher depreciation and amortization expense. Our year-to-date adjusted earnings are $3.46 per share compared to $3.27 per share a year ago. With these solid results year-to-date, we are reaffirming our 2024 adjusted EPS guidance range of $3.73 per share to $3.93 per share. Bryan will discuss these earnings drivers in more detail in his portion of the remarks. Speaking of Bryan, as many of you know, he joined Evergy on October 1st as our Chief Financial Officer.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","David Campbell","Chairman and CEO at Evergy","Bryan brings a strong track record of experience to our company, and he'll be a tremendous addition to our leadership team. I would also like to thank Geoff Ley for his very able service in the interim role. We all look forward to working with Bryan, and I know he will be a great mentor and leader for our finance organization. As part of today's announcement, we are establishing our 2025 adjusted EPS guidance range of $3.92-$4.12 per share, with a midpoint of $4.02 per share. We're also establishing a long-term growth target of 4%-6% through 2029, based on the 2025 midpoint of $4.02 per share. From 2026 to 2029, we anticipate being in the top half of this guidance range relative to the 2025 baseline. I'll provide more details in the upcoming slides.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","David Campbell","Chairman and CEO at Evergy","I'm also happy to announce a 4% increase in our quarterly dividend, or $2.67 per share on an annualized basis. This increase is consistent with our updated growth outlook and working toward the midpoint of our 60%-70% target payout ratio. Let's move on to slide six, where I'll highlight our recently announced new generation investments that will help enable the historic economic development opportunities in Kansas and Missouri. As we outlined in our 2024 Integrated Resource Plans, our overarching goal is to identify the most cost-effective and resilient plan that reliably serves our customers across uncertain future scenarios.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","David Campbell","Chairman and CEO at Evergy","We expect to achieve that goal through a balanced approach to new resource additions, including the use of the latest, most efficient new technologies for dispatchable generation, complemented by emissions-free renewable resources that support economic development in the communities we serve, all while maintaining affordable rates and ensuring that we provide reliable electric service. On October 21st, we announced plans to invest in two new combined-cycle natural gas plants in Sumner County and Reno County, Kansas. These high-efficiency plants will provide flexible baseload generation that meets stringent emission standards and pairs well with the abundant renewable resources in our region. Over 1,000 jobs will be required for the construction phase of these plants, which will create new skilled craft jobs and generate substantial property tax revenues.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","David Campbell","Chairman and CEO at Evergy","We launched the predetermination process with the Kansas Corporation Commission yesterday, and we look forward to working with KCC staff, CURB, and other parties toward a constructive outcome. Later this month, we will file CCN applications for the Missouri share of the new gas plants, including a simple-cycle plant to be located in Missouri. Construction of these plants is scheduled to begin in 2026 and 2027, respectively, and if approved, these investments will be eligible for CWIP treatment in Kansas or construction work-in-progress treatment in Kansas, as provided for under House Bill 2527. We've also announced investments in three solar farms totaling 325 MW. These will be our company's first utility-scale solar projects at Kansas Central and Missouri West, adding an important element to our portfolio and reflecting in all of the above generation mix. We anticipate all three projects to start commercial operations in 2027.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","David Campbell","Chairman and CEO at Evergy","We filed a request for certificates of convenience and necessity with the Missouri Public Service Commission on October 25th for two projects totaling 165 MW, both of which will be eligible for PISA treatment in Missouri. In addition, we filed for predetermination for a 159 MW solar project in Kansas in tandem with the filing for the new natural gas plants. We are very excited to advance our responsible energy transition as Evergy prepares to meet the growing demands of our customers, ensuring that their needs are met both today and in the future. Slide seven lays out our updated capital expenditure forecast, which has been extended through 2029. Our latest rolling five-year investment plan totals approximately $16.2 billion from 2025 to 2029, which represents a $3.7 billion increase relative to our prior five-year forecast through 2028.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
"EVRG","2024-11-07","David Campbell","Chairman and CEO at Evergy","The forecast includes $2.4 billion of incremental generation investment and $1.3 billion of incremental distribution investment to support growth and improve reliability and resiliency. The program is expected to result in 8% annualized rate base growth through 2029. We'll take a prudent approach to financing the tremendous growth opportunity this investment plan represents, utilizing a balanced mix of debt, equity, and equity-like securities, and internally generated cash flow to support our balance sheet and strong investment-grade credit rating. We'll take a flexible approach to equity financing with optionality around timing and execution options. Bryan will provide more details on our financing strategy in his remarks. Our revised capital forecast incorporates a significant portion of the Integrated Resource Plans filed in April and May of this year. These IRPs prioritize a cost-effective approach to reliably serve customers and result in a balanced mix that enables fuel diversification and responsible portfolio transition.","https://www.marketbeat.com/earnings/reports/2024-11-7-evergy-inc-stock/"
