"symbol","report_date","speaker","title","msg","source_url"
"EW","2025-02-11","Mark Wilterding","Head of IR at Edwards Lifesciences","During today's call, management will discuss the results included in the press release and accompanying financial schedules, and then use the remaining time for Q&A. Please note that management will be making forward-looking statements that are based on estimates, assumptions, and projections. These statements speak only as of the date on which they were made, and Edwards does not undertake any obligation to update them after today. Additionally, the statements involve risks and uncertainties that could cause actual results to differ materially. Information concerning factors that could cause these differences can be found in today's press release and on Edwards' other SEC filings, all of which are available on the company's website at edwards.com. Unless otherwise noted, our commentary on sales growth refers to constant currency sales growth, which is defined in the quarterly results press release issued earlier today.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Mark Wilterding","Head of IR at Edwards Lifesciences","Reconciliations between GAAP and non-GAAP numbers mentioned during the call are also included in today's press release. Quarterly and full-year growth rates refer to continuing operations and do not include contributions from Critical Care, which was sold in Q3 of 2024, and a small non-core product group that reduces the sales of Surgical. With that, I'd like to turn the call over to Bernard for his comments. Bernard?","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","Thank you, Mark. Welcome, everyone, and thank you for joining us. We have a lot to cover today, including our Q4 and full-year 2024 results, as well as our vision for 2025 and beyond. You will recall at the December Investor Conference, we talked about Edwards' focus strategy and our vision to solve a large, complex, and growing unmet patient needs in structural heart. We have a very unique strategy to create, define, and build new categories, and this will position us for extended leadership and sustainable long-term growth. Now, I want to reflect on the full-year 2024. It was a year of strong growth and meaningful progress for Edwards as our 16,000 employees advanced lifesaving structural heart technologies for patients around the world.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","We are pleased with our solid 2024 full-year financial performance, where sales grew 9% to $5.4 billion, in line with our original total company sales growth guidance. While we got there in a different way than we originally anticipated, with TAVR growth lower than expected, we were pleased that TMTT overachieved expectations. We continue to focus on the substantial long-term prospects for TAVR, and we expect TMTT to become an even more important contributor to Edwards' growth as our unique and broadening portfolio of technologies addresses the unmet needs of more patients. We made a number of strategic decisions to strengthen our company. In Q3, we completed the sale of Critical Care, and we took action to optimize Edwards in order to increase agility and accelerate innovation. We also invested significantly in internal research and development to augment our portfolio with new breakthrough technologies.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","In addition, we completed the strategic acquisitions of JC Medical, Innovalve, and Endotronix. These acquisitions provide an expanded opportunity in new therapeutic areas to address the unmet needs of aortic regurgitation, mitral disease, and heart failure patients. Together, these strategic decisions and investments reinforce our confidence in Edwards' sustainable long-term growth. Turning to the fourth quarter, our first full quarter focused solely on structural heart. Total company sales grew 9%. We were pleased with our sales performance that was ahead of expectations and drove higher-than-expected earnings per share. We exited the year in a strong position with three important growth drivers: TAVR, Mitral, and Tricuspid, and two emerging opportunities: structural heart failure and AR. Our foundation, fortified by our patient-focused culture, is more solid than ever, and the strategic decision we made in 2024 positions us well for 2025 and beyond.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","Looking ahead to 2025, the results of an EARLY TAVR trial represent a catalyst for improved patient care that will begin to materialize after FDA approval in mid-2025 and set the stage for guideline and policy changes in the U.S. and globally, which present a multi-year growth opportunity. In TMTT, we are transforming care for the millions of patients suffering from mitral and Tricuspid valve diseases. We are pleased with the impressive trajectory of the business, which is now a meaningful contributor to Edwards' growth. TMTT is on track to deliver over $500 million in sales in 2025. In Surgical, our category-leading business is positioned to grow consistently and expand globally, driven by increasing adoption of our premium RESILIA-based technology in INSPIRIS, MITRIS, and KONECT.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","As you can see, 2025 is set to be another meaningful year for Edwards, with multiple catalysts across our businesses that will contribute to our 8%-10% total company sales growth guidance this year, and beyond 2025, Edwards will be in an even better position to transform care and to have a positive impact on more lives with our pioneering innovations and expanded global leadership in structural heart. Our plan is to grow total company sales 10% annually, on average, with some variability based on the timing of key catalysts, while strengthening profit margins to drive long-term value for shareholders. We expect that the actions our employees around the world have taken to advance our strategy will deliver significant value to patients and the healthcare ecosystem. Now, I'll provide some additional detail by product group for Q4 and 2024.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","In TAVR, our full-year 2024 global sales of $4.1 billion increased 6% year over year. Our US and ex-US sales growth rates were similar. In the fourth quarter, our global sales of $1.04 billion increased 5.3% over the prior year. Growth was driven by the US and Europe. Edwards' strong competitive position and pricing remain stable globally, although we experienced a few instances of regional pressure. We remain confident in our differentiated technology, high-quality evidence, and the value we demonstrate to patients, clinicians, and healthcare systems. Our commitment to advancing clinical evidence and expanding education for patients was highlighted by results from the EARLY TAVR trial, which were presented at the annual TCT conference in October. EARLY TAVR is the first and largest randomized controlled trial to date studying asymptomatic severe AS patients and the impact of early intervention with SAPIEN.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","The trial results demonstrated superior outcomes for asymptomatic severe AS patients receiving the SAPIEN platform compared with guideline-recommended clinical surveillance, or simply watchful waiting. Even patients without symptoms of severe aortic stenosis have a deadly disease that can progress rapidly and in an unpredictable way and require urgent treatment. This data is compelling and should drive changes to the standard of care to streamline patient flow, improve outcomes, and reduce costs to the system. In the U.S., we continue to be pleased with the performance of our market-leading SAPIEN 3 Ultra RESILIA platform. Capacity remains the focus as we continue to see rapid growth in structural heart procedures. In the near term, new technologies and education put pressure on the system, but in the longer term, it provides hospitals the clarity and incentive to make investments to expand their ability to treat structural heart patients.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
"EW","2025-02-11","Bernard Zovighian","CEO at Edwards Lifesciences","Outside of the U.S., in the fourth quarter, sales growth was supported by the continued launch of SAPIEN 3 Ultra RESILIA in Europe. We are pleased with the exceptional patient outcomes delivered with this best-in-class platform, and we expect this momentum to continue as more centers adopt the technology. Sales in Japan grew at a slower pace than in other major regions but still increased sequentially year over year. We remain dedicated to expanding this therapy to address significant under-treatment of aortic stenosis among the substantial elderly population in Japan. Long-term, outside of the U.S., we foresee excellent opportunities for growth as international adoption of TAVR therapy remains quite low in many regions. Turning to TMTT, our unique portfolio of repair and replacement technologies for both mitral and Tricuspid valves continues to deliver strong growth with an increasing contribution to overall company performance.","https://www.marketbeat.com/earnings/reports/2025-2-11-edwards-lifesciences-co-stock/"
