"symbol","report_date","speaker","title","msg","source_url"
"EXC","2026-05-06",NA,NA,"Hello, welcome to Exelon's first quarter earnings call. My name is Michelle; I'll be your event specialist today. All lines have been placed on mute to prevent any background noise. Please note that today's webcast is being recorded. During the presentation, we'll have a question-and-answer session. You can ask questions by pressing star one one on your telephone keypad. If you would like to view the presentation in full screen view, click the full screen button by hovering your computer mouse cursor over the PowerPoint screen. Press the escape key on your keyboard to return to the original view. Finally, should you need technical assistance, as a best practice, we suggest you first refresh your browser. If that does not resolve the issue, please click on the help option in the upper right-hand corner of your screen for online troubleshooting.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06",NA,NA,"It is now my pleasure to turn today's program over to Ryan Brown, Vice President of Investor Relations. The floor is yours.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Ryan Brown","VP of Investor Relations at Exelon Corporation","Great. Thank you, Michelle. Good morning, everyone. Thank you for joining us for the 2026 1st quarter earnings call. Leading the call today are Calvin Butler, Exelon's President and Chief Executive Officer, and Jeanne Jones, Exelon's Chief Financial Officer. Other members of Exelon's senior management team are also with us today and will be available to answer your questions following our prepared remarks. Today's presentation, along with our earnings release and other financial information, can be found on the investor relations section of Exelon's website. We would also like to remind you that today's presentation and the associated earnings release materials contain forward-looking statements which are subject to risks and uncertainties. You can find the cautionary statements on these risks on Slide 2 of today's presentation or in our SEC filings. In addition, today's presentation includes references to Adjusted operating earnings and other non-GAAP measures.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Ryan Brown","VP of Investor Relations at Exelon Corporation","Reconciliations between these measures and the nearest equivalent GAAP measures can be found in the appendix of our presentation and in our earnings release. It's now my pleasure to turn the call over to Calvin Butler, Exelon's President and CEO.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Calvin Butler","President and CEO at Exelon Corporation","Thank you, Ryan, good morning, everyone. We appreciate you joining us for our first quarter earnings call. Our message today is straightforward. 2026 performance remains on track both financially and operationally. With a disciplined, adaptable platform, you can continue to depend on Exelon to navigate change and deliver on our commitments. This morning, we reported adjusted operating earnings of $0.91 per share, exceeding expectations with outperformance driven primarily by net favorable weather and timing-related items. We are also affirming our 2026 operating earnings guidance of $2.81-$2.91 per share. Reliability and operational performance continue to set the standard for the industry. Even as our system faced several high wind storm and storm events this spring, all utilities sustained top quartile in reliability performance with ComEd in top decile.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Calvin Butler","President and CEO at Exelon Corporation","Our men and women on the ground continue to deliver, responding safely, restoring service quickly, and keeping customers connected. This quarter also included several important regulatory and legislative developments, most notably in Pennsylvania and Maryland. At PECO, we made the decision to withdraw the recently filed electric and gas rate cases. This was a deliberate, timing-based decision grounded in customer affordability considerations and informed by stakeholder feedback. Importantly, this decision does not change our commitment to safety, reliability, or long-term infrastructure investment. It demonstrates our ability to adjust timing and reallocate capital while maintaining the balance between near-term affordability and long-term system needs. Maintaining that balance requires difficult prioritization decisions and the strong ongoing stakeholder partnerships you've come to expect from Exelon. Looking ahead, we welcome continued close collaboration with all stakeholders across Pennsylvania as we reprioritize certain investments without compromising safety or reliability in the near term.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Calvin Butler","President and CEO at Exelon Corporation","Before I move on, I also want to highlight a recent leadership update at PECO. David Velazquez, previously CEO of PECO, has transitioned into an advisory role reporting to me. Michael Innocenzo has stepped in as an interim President and CEO while continuing to serve as Exelon's Chief Operating Officer. Michael previously served as President and CEO of PECO from 2018 to 2024 and brings deep operational experience, long-standing relationships across Pennsylvania, and a strong understanding of PECO's system, workforce, and stakeholders. This transition ensures continuity and stability at PECO as we remain focused on operational excellence, affordability, and reliable service for our customers. Turning to Maryland, the Utility RELIEF Act has passed the legislature and is awaiting Governor Moore's signature. We know the governor and state leaders share our focus on affordability.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Calvin Butler","President and CEO at Exelon Corporation","However, the legislation does not address the growing imbalance between energy demand and supply. Residential supply costs in the Mid-Atlantic have increased by up to 80% or more over the past five years. Without addressing supply constraints, affordability challenges will persist. Addressing this challenge requires a combination of incremental transmission investment, continued reforms at PJM, and critically, the addition of new generation. We're leaning into areas where we have a clear mandate today, like transmission, while also advancing solutions in areas where we currently cannot participate, including utility-owned generation. For example, HB 1561 in Maryland was designed to establish a clear path for utility-owned backstop generation, particularly storage and renewable resources.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Calvin Butler","President and CEO at Exelon Corporation","Given the structural imbalance between supply and demand in the state and Maryland's heavy reliance on imports from neighboring markets, this approach would have meaningfully enhanced energy security and resilience and ultimately avoid the risk of blackouts, which in 2024 PJM suggested could happen as soon as 2028 due to lack of supply. In short, affordability and reliability must go hand in hand. We remain committed to working constructively with stakeholders to deliver near-term customer relief while supporting the long-term investments required to keep energy safe, reliable, and affordable. As such, we have taken a hard look at our plan and made deliberate adjustments. Let me be clear. This is a different plan for a different moment.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
"EXC","2026-05-06","Calvin Butler","President and CEO at Exelon Corporation","We are pulling back on certain projects, reprioritizing capital across our portfolio, and delivering $350 million of incremental O&M savings in 2027 tied to work we will no longer pursue. We are actively reshaping the business to best meet the needs of our customers while delivering on the Exelon promise to keep energy bills as low as possible. This includes accelerating the use of new technologies, focusing investment on the highest impact opportunities, and maintaining disciplined cost control. Doing business as usual is not an option. The energy market has shifted dramatically, with significant load growth and a lack of supply to meet the evolving needs of our customers and communities at a reasonable price. While we remain confident in the value of our work and investments, this moment requires us to adapt, to be agile, and make changes thoughtfully and purposefully.","https://www.marketbeat.com/earnings/reports/2026-5-6-exelon-co-stock/"
