"symbol","report_date","speaker","title","msg","source_url"
"EXR","2024-10-29",NA,NA,"Please be advised that today's conference is being recorded. I would like now to turn the conference over to Jared Conley, Vice President of Investor Relations. Sir, please go ahead.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Jared Conley","VP of Investor Relations at Extra Space Storage","Thank you, Michelle. Welcome to Extra Space Storage's third quarter 2024 earnings call. In addition to our press release, we have furnished unaudited supplemental financial information on our website. Please remember that management's prepared remarks and answers to your questions may contain forward-looking statements as defined in the Private Securities Litigation Reform Act. Actual results could differ materially from those stated or implied by our forward-looking statements due to risks and uncertainties associated with the company's business. These forward-looking statements are qualified by the cautionary statements contained in the company's latest filings with the SEC, which we encourage our listeners to review. Forward-looking statements represent management's estimates as of today, October 30th, 2024. The company assumes no obligation to revise or update any forward-looking statements because of changing market conditions or other circumstances after the date of this conference call.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Jared Conley","VP of Investor Relations at Extra Space Storage","I would now like to turn the call over to Joe Margolis, Chief Executive Officer.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Joe Margolis","CEO at Extra Space Storage","Thanks, Jared, and thank you, everyone, for joining today's call. To begin the call today, I would first like to address the impact of Hurricane Milton on our people. I am happy to report that all our teammates are safe, although a small number of individuals and their families were displaced, and we have provided shelter assistance for them. Scott will address the financial impacts of the hurricane in his comments. Before we address the myriad of data points and moving pieces from the quarter, I want to make some overall big-picture comments on our performance. We had a good quarter, optimizing performance in the current market environment, and our efforts allow us to increase the midpoint of our full-year FFO guidance. Let me start with the biggest contributor to FFO growth, which is store performance.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Joe Margolis","CEO at Extra Space Storage","The Extra Space Same Store pool performed consistently with our expectations, with quarter-ending and October occupancy of 94.3%. This solid performance allows us to increase the bottom end of 2024 Same Store guidance. Revenue for the Life Storage Same Store pool came in slightly below our expectations, but this was generally offset by meaningful outperformance with respect to expenses. Having completed the move to a single brand in the latter part of the quarter, we are just starting to see the benefits of a single brand. We fully expect this group of stores to follow the same pattern of improvement into and during 2025, as the 143 Life Storage stores that we converted to the Extra Space brand at closing in 2023. Our non-Same Store properties are also outperforming our expectations and contributed to our FFO beat. Outside of store performance, our external growth initiatives are exceeding projections.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Joe Margolis","CEO at Extra Space Storage","In the third quarter, we added 63 third-party managed stores gross, netting 38 stores. Year to date, we have added 124 net stores to the platform, and we anticipate adding approximately 100 additional properties by year-end. This would make 2024 our best year for net additions to our management program outside of the Life Storage merger. Our Bridge Loan Program expanded with $158 million in new loans originated in this quarter, and we have increased our expected average hold of such loans to $925 million for the year. On the acquisition front, we have deployed $334 million in wholly owned and joint venture acquisitions year-to-date and are seeing an encouraging increase in accretive opportunities. Lastly, we continue to find efficiencies in the business and have again lowered our G&A guidance for the year. Overall, I am very pleased with our performance and trajectory this year.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Joe Margolis","CEO at Extra Space Storage","We continue to leverage our scale to find efficiencies in all areas of the business, optimize store performance, and grow our ancillary businesses to drive FFO growth. Our higher portfolio occupancy positions us well to capitalize on an improving new customer rate environment when fundamentals recover. I will now turn the time over to Scott.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Scott Stubbs","CFO at Extra Space Storage","Thanks, Joe, and hello, everyone. As Joe mentioned, we had a good quarter driven by occupancy gains, G&A savings, and external growth. October to date, Same Store occupancy is 94.3%, an 80 basis point improvement over last year. In the third quarter, the average new customer move-in rate was -9% year-over-year. Due to strong occupancy and performance to date, we are raising the bottom end of the Extra Space Same Store revenue guidance by 75 basis points, bringing the midpoint to a +0.125%. Despite meaningful savings in controllable expense categories, increases in property taxes have made it necessary for us to raise our expense guidance by 25 basis points. We have also raised the bottom end of our NOI guidance by 75 basis points, bringing the midpoint to -.375%.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Scott Stubbs","CFO at Extra Space Storage","The Life Storage Same Store revenue improved by 0.4% year over year, and we saw seasonal declines in occupancy for the Life Storage Same Store pool, finishing the quarter at 92.9%. This represents an increase of 200 basis points year-over-year. October occupancy has increased to 93.2%, 210 basis points over last year. For the Life Storage Same Store pool, the sequential change in average move-in rate from the second quarter to the third quarter was -1%, much better than normal seasonal declines. Lower than expected pricing power to new customers in the Life Storage Same Store pool has led to the reduction in our revenue expectations for the year. We have reduced our annual Same Store revenue guidance by 50 basis points at the midpoint. This is partially offset by lower controllable expenses for these properties.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
"EXR","2024-10-29","Scott Stubbs","CFO at Extra Space Storage","As a result, we are revising our expense guidance downward by 100 basis points at the midpoint, and consequently, we have adjusted Life Storage Same Store NOI guidance to a range of -1.5% to +0.5% for the year. Given the steady volume of bridge loans, we have raised the 2024 average outstanding loan guidance and increased our expected interest income. We have also lowered our estimates for G&A and increased our tenant reinsurance guidance. Interest expense has been updated to account for higher Bridge Loan volume and an increase in our acquisition guidance. As a result of these revisions, we've raised the lower end of our FFO guidance by $0.05 per share from $7.95 per share to $8 per share, a modest increase at the midpoint.","https://www.marketbeat.com/earnings/reports/2024-10-29-extra-space-storage-inc-stock/"
