"symbol","report_date","speaker","title","msg","source_url"
"FANG","2025-02-25",NA,NA,"Hello, and welcome to Diamondback Energy fourth quarter 2024 earnings call. At this time, all participants are on a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during the session, you will need to press star 11 on your telephone. You will then hear an automated message advising your hand is raised. To withdraw your question, please press star 11 again. I would now like to turn the conference over to Adam Lawlis, Vice President of Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Adam Lawlis","VP of Investor Relations at Diamondback Energy","Thank you, Tawanda. Good morning, and welcome to Diamondback Energy's fourth quarter 2024 conference call. During our call today, we will reference an updated investor presentation and letter to stockholders, which can be found on Diamondback's website. Representing Diamondback today are Travis Stice, Chairman and CEO; Kaes Van't Hof, President; Danny Wesson, COO; and Jere Thompson, CFO. During this conference call, the participants may make certain forward-looking statements relating to the company's financial condition, results of operations, plans, objectives, future performance of businesses.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Adam Lawlis","VP of Investor Relations at Diamondback Energy","We caution you that actual results could differ materially from those that are indicated in these forward-looking statements due to a variety of factors. Information concerning these factors can be found in the company's filings with the SEC. In addition, we will make reference to certain non-GAAP measures. The reconciliations with the appropriate GAAP measures can be found in our earnings release issued yesterday afternoon.I'll now turn the call over to Travis Stice.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Travis Stice","Chairman and CEO at Diamondback Energy","Thank you, Adam, and welcome everyone. I appreciate you joining this morning. I hope you find the shareholder letter a meaningful way to communicate. Also, as Adam pointed out, we've got an updated investor deck out there that we can reference during our questions this morning. Operator, if you'll please open the line for questions.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25",NA,NA,"Thank you. Ladies and gentlemen, as a reminder, to ask a question, please press star 11 on your telephone, then wait for your name to be announced. To withdraw your question, please press star 11 again. Please stand by while we compile the Q&A roster. Our first question comes from the line of Neil Dingmann with Truist Securities. Your line is open.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Neil Dingmann","Managing Director - Energy Research at Truist Securities","Morning, and Travis, congratulations on it to you, but obviously to Kaes and Jere, but especially for a fantastic career. I look forward to seeing you soon. My first question, maybe just around that. Again, another great quarter. My first question is really around the free cash flow sensitivity that you all show on Slide 13. Specifically, when looking at that, I'm just wondering. You put a comment that I noticed on the bottom of the slide suggesting now around $67 a barrel produces the same free cash flow as $76 last year. I'm just wondering, is this continued achieved through the larger scale? Is this a lot of the completion driver? I'm just wondering maybe if you could talk and discuss the drivers behind all this.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Travis Stice","Chairman and CEO at Diamondback Energy","Yeah, Neil, that's a new number that we're going to start to look at here. I kind of equate that number to the same thing as a dividend break even. It's basically what oil price gets you the same free cash flow per share as the prior year. And if that number is going down, capital efficiency is improving or you've done an accretive deal. And when we announced the Endeavor deal a little over a year ago, we said we'd have 10%+ free cash flow per share accretion.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Travis Stice","Chairman and CEO at Diamondback Energy","And here you are a year later showing that free cash flow per share is going down by $9 a barrel to equal the same number as last year. So it's going to be tough to keep moving that number down, $9 a barrel every year.But I think through a lower share count, lower cost structure, and quality inventory, that's certainly going to be the goal.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Neil Dingmann","Managing Director - Energy Research at Truist Securities","No, great direction. The thing just keeps dropping. And then my second question, maybe on your D&C plans, I was wondering, can you talk about maybe, I don't know, Kaes, do you look at it completions per simul-frac crew or maybe talk? I'm just noticing the amount of completed wells, and you all talk about sort of four to five of these simul-fracs. And then secondly, noticed you all continue to complete several more wells than you drill like you did last year. Maybe just discuss that.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Kaes Van't Hof","President at Diamondback Energy","Yeah, so on the DUC drawdown, we're drilling less wells and we're completing a combination of things. We were ahead of plan last year, so we drilled more wells than we expected, and then we also acquired a lot of DUCs with the Endeavor deal and a smaller amount with the TRP deal that closed earlier this year, so there's a pretty significant DUC drawdown planned in the CapEx budget. I would just say if we're ahead of schedule and CapEx is looking good for the year, we'll probably reduce that drawdown and drill a few more wells, particularly right now, given that putting pipe in the ground on the drilling side is almost as cheap as it's been in the last five or six years.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Kaes Van't Hof","President at Diamondback Energy","So, I think we have flexibility in the plan, but really seeing the efficiencies come through here, right, with drilling over 400 wells with 15 or 16 rigs this year versus last year. Going into the year, we thought we were going to drill 280 wells, Diamondback standalone with 15 or 16 rigs. And then on the frac side, basically the simul-frac fleets are getting about 100 wells per fleet per year.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Kaes Van't Hof","President at Diamondback Energy","That's kind of up from 80 a year ago, just continued efficiencies in the field. And that's partly due to the higher pump rate that we've implemented from some of the learnings from Endeavor. And I think we're still looking at ways to push that even higher. We're trying some things that might get us closer to 110 wells-120 wells per year.It's not in the plan today, but that's some upside that we could accrue to our shareholders.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Neil Dingmann","Managing Director - Energy Research at Truist Securities","Perfect. Thanks. Look forward to seeing y'all.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
"FANG","2025-02-25","Travis Stice","Chairman and CEO at Diamondback Energy","Thanks, Neil.","https://www.marketbeat.com/earnings/reports/2025-2-25-diamondback-energy-inc-stock/"
