"symbol","report_date","speaker","title","msg","source_url"
"FAST","2024-10-11",NA,NA,"Hello, and welcome to the Fastenal 2024 Q3 Earnings Results conference call. At this time, all participants are in listen-only mode. If anyone should require operator assistance, please press star zero on your telephone keypad. A question-and-answer session will follow the formal presentation. You may be placed in the question queue at any time by pressing star one on your telephone keypad. We ask that you please ask one question and one follow-up, then return to the queue. As a reminder, this conference is being recorded. It's now my pleasure to turn the call over to Taylor Ranta of the Fastenal Company. Please go ahead, Taylor.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Taylor Ranta","Director of Accounting at Fastenal Company","Welcome to the Fastenal Company 2024 third quarter earnings conference call. This call will be hosted by Dan Florness, our Chief Executive Officer, Jeff Watts, our President and Chief Sales Officer, and Holden Lewis, our Chief Financial Officer. The call will last for up to one hour, and we'll start with a general overview of our quarterly results and operations, with the remainder of the time being open for questions and answers. Today's conference call is a proprietary Fastenal presentation and is being recorded by Fastenal. No recording, reproduction, transmission, or distribution of today's call is permitted without Fastenal's consent. This call is being audio simulcast on the internet via the Fastenal Investor Relations homepage, investor.fastenal.com. A replay of the webcast will be available on the website until December 1st, 2024, at midnight Central Time.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Taylor Ranta","Director of Accounting at Fastenal Company","As a reminder, today's conference call may include statements regarding the company's future plans and prospects. These statements are based on our current expectations, and we undertake no duty to update them. It is important to note that the company's actual results may differ materially from those anticipated. Factors that could cause actual results to differ from anticipated results are contained in the company's latest earnings release and periodic filings with the Securities and Exchange Commission, and we encourage you to review those factors carefully. I would now like to turn the call over to Mr. Dan Florness.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Dan Florness","CEO at Fastenal Company","Thanks, Taylor, and good morning, everybody, and welcome to the Q3 2024 earnings call for Fastenal. Before I start, I just thought I'd share a couple things. First off, as everybody is painfully aware of, there's been several hurricanes that have hit the southeastern United States in recent weeks, and our hearts go out to all those affected. Each month, when we put out our sales release, either I send out a video to our organization or Jeff Watts, our president, sends one out. Oh, by the way, in addition to Holden and me being in the call today, Jeff Watts is sitting in and just to get a feel for what it feels like, the call on this end.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Dan Florness","CEO at Fastenal Company","I told him if we get a really tough question, I'll send it his way. But all kidding aside, when a hurricane is coming or any type of weather event or catastrophic situation occurs, we create a Teams page internally, and it's really meant to be a very agile way of communicating. We honed the skill incredibly during COVID, but it's a way of providing information to our team in the field, who can get a lot of requests from customers that need help, maybe employees that need help, but people that need help. And sometimes locating things when it's a little chaotic, it's nice to have one point to go to.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Dan Florness","CEO at Fastenal Company","There's two individuals that I mentioned on the video this month, Zach Wise and Danae Behrens, who have, in my mind, have gone above and beyond the call in keeping things updated on our system, and I recognize them on the video. And Bob Hopper, who leads our business down in Florida, lives in Orlando personally and has been spending the last few days making sure his family is okay, his Fastenal family is okay, and our customers are okay. He sent me an email this morning thanking me for mentioning those two and echoing the sentiment that they've been crucial in our ability to react in this event. So my thanks to them. I'd also like to announce that and there'll be an 8-K that gets filed or something that goes out on this.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Dan Florness","CEO at Fastenal Company","I'm not sure of the details, but yesterday, our board elected a new officer to Fastenal, Donnalee Papenfuss. She joined us back in July of 1999, so she just hit 25 years with Fastenal. In February of 2014, she became our VP of Contract Development. I've worked with her quite a bit over the years, and her role has been slowly expanding. As Jeff has stepped into the chief sales officer role, we really took a hard look at our strategy as an organization, defining who we are and where we think the business is going, and what does that mean for priorities in the future and getting everybody aligned to that.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Dan Florness","CEO at Fastenal Company","Donnalee's been an incredible asset in that, and one of her recent things she worked on was our sharing with the world our approach to ESG. My congratulations to Donnalee and to everybody that helped Donnalee develop her skill set over the last 25 years and to the team that she leads. Getting to the quarter. Third quarter net sales plus 3.5% produced EPS of $0.52, up about 1% over a year ago. If you take out the fact that we had an extra business day, our daily sales rate grew 1.9%. Some things that stand out on the quarter for me, and one of them is a welcome sign.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Dan Florness","CEO at Fastenal Company","The quarter finished stronger than it started, especially considering that the hurricane impacted the last few days of the month, and you know, I called out a couple individuals for communicating. I also want to call out our transportation and distribution groups. The amount of flexibility they exhibited in that Thursday, Friday, Saturday, Sunday, Monday period, the last four or five days of September, of changing truck routes, running truck routes on Friday evening, Saturday evening, to get the product moved for our customers' needs, was nothing but incredible to witness, and so my compliments to them, but the quarter... I thought September would weaken, and we were impacted by it, but we finished the quarter stronger than we started it....","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
"FAST","2024-10-11","Dan Florness","CEO at Fastenal Company","Our September, when I look at the daily sales rate for September, it really, I believe, points to some very good changes and alignment and some personnel moves that we've made in the last 12 months-18 months, and I credit Jeff Watts and his team for some really smart moves, and I believe it's starting to show through in our numbers. We continue to manage both current conditions and future growth. And you know, the way we thought about it in the July calls, we talked about, in a period like this, we manage expenses very tightly, but we still build for the future. Because we don't think our shareholders want us to be focused on managing sales growth in the low single digits and the expenses around it. They want us to be thoughtful about it.","https://www.marketbeat.com/earnings/reports/2024-10-11-fastenal-stock/"
