"symbol","report_date","speaker","title","msg","source_url"
"FE","2024-10-29",NA,NA,"Hello, and welcome to the FirstEnergy Corp third quarter 2024 earnings conference call. As a reminder, this conference is being recorded. It is now my pleasure to turn the call over to Gina Caskey, Director of Investor Relations and Corporate Responsibility. Please go ahead, Gina.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Gina Caskey","Director of Investor Relations and Corporate Responsibility at FirstEnergy Corp.","Thank you. Good morning, everyone, and welcome to FirstEnergy's third quarter 2024 earnings review. Our President and Chief Executive Officer, Brian Tierney, will lead our call today, and he will be joined by Jon Taylor, our Senior Vice President and Chief Financial Officer. Our earnings release, presentation slides, and related financial information are available on our website at firstenergycorp.com. Today's discussion will include the use of non-GAAP financial measures and forward-looking statements. Factors that could cause our results to differ materially from these forward-looking statements can be found in our SEC filings. The appendix of today's presentation includes supplemental information along with the reconciliation of non-GAAP financial measures. Now, it's my pleasure to turn the call over to Brian.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","Thank you, Gina. Good morning, everyone. Thank you for joining us today and for your interest in FirstEnergy. Today, I will review our financial performance for the third quarter and discuss key strategic updates. I will also provide updates on recent regulatory developments, address critical issues in our industry, and review the value proposition we offer shareholders. Looking at our third quarter results, GAAP earnings from continuing operations were $0.73 per share compared to $0.74 per share in the third quarter of 2023. Operating earnings for the quarter were $0.85 per share compared to $0.88 in 2023, which included state tax benefits that did not repeat this year. Earnings for the quarter benefited from higher distribution sales, primarily from more normal weather versus 2023, the implementation of new base rates in our integrated segment, and the impact of formula rate investments across all of our businesses.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","These items were primarily offset by higher storm-related expenses, dilution from the 30% sale of FirstEnergy transmission, and the absence of state tax benefits that were recognized in 2023 in our corporate segment. Our team continues to do a great job maintaining their focus on efficient operations and financial discipline while executing against our plan. We experienced headwinds in the quarter, including significant storm expenses, some of which were not deferred for recovery. Our team responded to the headwinds, demonstrating resilience and discipline to achieve third-quarter earnings within our guidance range. I'm proud of their work, and I'm confident that we are building the right team and culture focused on our core values and priorities to ensure that we deliver sustainable value for our customers, communities, and shareholders. Today, we are narrowing our operating earnings range to $2.61 per share, from our previous range of $2.61-$2.81 per share.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","During 2024, we were able to offset a number of financial headwinds through cost savings and focusing on capital work. In the quarter, we realized significant storm costs that did not meet the regulatory requirements for deferral. This development is leading us to make the guidance adjustment. We are reaffirming our five-year CapEx plan of $26 billion through 2028, as well as our 6%-8% long-term annual operating earnings growth rate, which is driven by average annual rate-based growth of 9%. We plan to provide a more comprehensive update, including a 2025-2029 financial plan early next year. We've put in the foundational work to support our goals. Now we're executing against our operational, financial, and regulatory plans to become a premier electric company. We'll continue to make meaningful investments that deliver value to our customers.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","Through the third quarter, our capital investments totaled $3.1 billion, an increase of 22% compared to the first nine months of 2023. We are increasing our 2024 investment plan from $4.3 billion-$4.6 billion, with over 70% in formula rate investments. The enhanced 2024 investment plan reflects increased reliability investments, primarily in our distribution and standalone transmission businesses. We're also participating in PJM's 2024 Regional Transmission Expansion Plan, which is incremental to our $26 billion Energize365 investment plan. We entered into a joint development agreement with Dominion Energy Virginia and American Electric Power to propose several new regional transmission projects across multiple states within the PJM footprint. These include several new 765, 500, and 345 kV transmission lines in our collective service territories.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","We believe this collaboration will facilitate joint analysis of constraints, development of long-range buildable solutions, and execution of those solutions in a cost-effective and timely manner. Leveraging each company's strengths, ranging from expertise in constructing and operating different transmission voltage systems to the use of existing corridors and community relationships, will allow for higher confidence in the execution of our proposals. In September, the joint development parties collectively submitted multiple portfolios of solutions to the competitive planning process. The most comprehensive of these options totals $3.8 billion in investment. FirstEnergy also submitted nearly $1 billion of individual projects to PJM for needs that are outside the joint development agreement. PJM staff is expected to select recommended projects by the end of the year, with final approval expected at the PJM board meeting in late February.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","From an operations standpoint, we're seeing great results from our new business unit structure, and yesterday we made another key addition to our leadership team. Karen McClendon has been named Senior Vice President and Chief Human Resources Officer effective November 11th. Karen brings to FirstEnergy more than three decades of human resources experience, most recently as the CHRO at Paychex. She will spearhead our efforts to integrate and advance our human capital strategy, ensuring alignment with our strategic vision. She will be responsible for functions including talent management, benefits and compensation, labor and employee relations, as well as our commitment to building an inclusive workforce and a workplace reflective of the communities we serve. I am pleased to welcome Karen to FirstEnergy. Our new business unit structure is driving strong performance.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","This summer, four of our new business unit executives, recruited from inside and outside the company, took the helm at our New Jersey, Ohio, Pennsylvania, and standalone transmission businesses. John Hawkins, President of our Pennsylvania business, led the team to craft the recent rate case settlement, demonstrating our commitment to building constructive regulatory relationships and driving results that support our customers. Torrence Hinton and Doug Mokoid led a tremendous response to challenging summer storms in Ohio and New Jersey. In New Jersey, Doug led JCP&L through 10 separate storm response events since he came on board at the beginning of the summer. These back-to-back events had our crews in storm rotation for six consecutive weeks as they restored service to our customers. In Ohio, a historic storm on August 6th in the Cleveland area disrupted power for more than 600,000 customers.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
"FE","2024-10-29","Brian Tierney","CEO at FirstEnergy Corp","This included five confirmed tornadoes, resulting in significant damage to the electric distribution system. It was the most impactful storm to hit the Cleveland area since 1993. Our response to this storm totaled more than $120 million and involved more than 7,500 workers, including thousands of FirstEnergy employees and contractors from 12 states. This massive restoration effort, with coordination and collaboration across state and local government agencies, was executed at a high level and allowed us to restore power ahead of our original targets. In Ohio, we received positive media coverage and community recognition for our storm response and our consistent, reliable communications. Coming together to help our communities is a hallmark of our industry. We're grateful for the assistance we receive from outside crews, and we're proud to step in when we're needed elsewhere.","https://www.marketbeat.com/earnings/reports/2024-10-29-firstenergy-corp-stock/"
