"symbol","report_date","speaker","title","msg","source_url"
"FIS","2025-05-06",NA,NA,"Thank you for standing by, and welcome to the FIS First Quarter 2025 earnings call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question, press star one again. Thank you. I would now like to turn the call over to George Mihalos, Head of Investor Relations. You may begin your conference.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","George Mihalos","SVP and Head of Investor Relations at FIS","Thank you, John. Good morning, everyone. Thank you for joining us today for the FIS First Quarter 2025 earnings conference call. The call is being webcast. Today's earnings release, corresponding presentation, and webcast are all available on our website, fisglobal.com. On the call with me this morning are Stephanie Ferris, our CEO and President, and James Kehoe, our CFO. Stephanie will lead the call with a strategic and operational update, and James will review our financial results. Turning to slide three, today's remarks will contain forward-looking statements. These statements are subject to risks and uncertainties, as described in the press release and other filings with the SEC. The company undertakes no obligation to update any forward-looking statements, whether as a result of new information, future events, or otherwise, except as required by law. Please refer to the safe harbor language.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","George Mihalos","SVP and Head of Investor Relations at FIS","Also, throughout today's call, we will be presenting non-GAAP information, including adjusted EBITDA, adjusted net earnings, adjusted net earnings per share, and adjusted free cash flow. These are important financial performance measures for the company but are not financial measures as defined by GAAP. Reconciliation of our non-GAAP information to the GAAP financial information is presented in our earnings release. With that, I'll turn the call over to Stephanie.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","Thank you, George, and thank you, everyone, for joining us. I'm pleased to report that 2025 is off to a strong start. Our laser focus on driving commercial excellence across the enterprise, while simplifying and strengthening our portfolio, is delivering results for our shareholders. Our durable business model is underpinned by high levels of recurring revenue, and this allows us to deliver consistent financial results across all economic cycles. The recently announced strategic acquisition of Global Payments Issuer Business and the sale of our minority Worldpay stake will strengthen our value proposition to clients while further strengthening our financial profile. In the first quarter, we delivered adjusted revenue growth of 4% ahead of expectations. Recurring revenue growth accelerated meaningfully from 2% last quarter to 4%. We expect to see continued strength over the course of the year as signed deals continue to be implemented on schedule.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","The three client-requested delays that we mentioned on our last quarter call are all live, and we have not seen any negative impacts from macro factors. First quarter adjusted EBITDA was at the high end of our outlook, while free cash flow conversion exceeded 70%, a very strong start, giving us confidence in delivering on our full-year outlook. Adjusted EPS grew 11% to $1.21 at the upper end of our outlook, and we returned $670 million to shareholders across share repurchases and dividends. Our solid start to the year and strong execution leaves us confident in reaffirming our full-year outlook. Now let's turn to slide six for a discussion on new wins and our leading position in the markets we serve. During the first quarter, we signed several new marquee engagements across the money lifecycle, and we are seeing momentum building in the second quarter, beginning with Money at Rest.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","On the heels of a record year for core wins in 2024, we continue to see strong demand for our core solutions and are expecting another year of solid sales. I'm pleased to announce that our IBS core was selected by a leading East Coast commercial bank with over $15 billion in assets as part of an evaluation following an acquisition. After a highly competitive process, the bank's management team selected FIS for their complex needs as a growing financial institution. This win demonstrates how well we are well-positioned to capitalize on consolidation, given our skew towards larger banks and stronger product sets. This is a positive proof point of our strong competitive positioning and much-improved retention rates. We anticipate momentum in core wins to continue in the second quarter, with an active pipeline of opportunities we expect to close. Our digital solutions continue to gain traction in the market.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","During the first quarter, a Midwest community bank with over $15 billion in assets selected our Digital One product to help the bank transform its branch teller technology. The win represents another competitive takeaway for our digital capabilities, which were also recognized by Cellent for market momentum and support in their recent reports. Moving to Money in Motion, where our Office of the CFO capabilities are resonating with a broad range of clients. During the quarter, we expanded our relationship with a leading multinational engineering and technology firm. The company selected FIS's award-winning treasury management solution to assist it with its cash and risk management needs. The company also selected several of our payment solutions, including our payments hub, a connectivity solution that helps corporates centralize, standardize, and process payments quickly and at scale.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","This is a prime example of how the Office of the CFO is expanding our addressable market beyond traditional financial institutions to corporates. We are encouraged by the market reception to our Office of the CFO offerings and are well on track to meet our sales goal for the year. Moving to Money at Work, we continue to expand our presence in adjacent growth vectors such as private equity and private capital. In the first quarter, Atlas SP, a global investment management firm specializing in private credit, selected our commercial lending solution to help manage its servicing needs on complex loans and investor reporting requirements. The win is a competitive takeaway and represents our first direct lender client for our commercial lending solution. Turning to more traditional capital markets activity, our derivatives processing solution was selected by a premier buy-side firm looking to expand its self-clearing capabilities.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","We continue to see a trend of buy-side firms adopting self-clearing capabilities and are encouraged for the prospects of our derivatives clearing solution. Now turning to slide seven for a quick review of our recent milestone transactions. On April 17, we announced two transactions that accelerate the strategic repositioning of our portfolio. First, we entered into an agreement to sell our 45% stake in Worldpay to Global Payments for $6.6 billion in pre-tax value. The sale price represents a premium to the valuation FIS received when it sold its majority stake in 2024 and accelerates the monetization of Worldpay versus pursuing an IPO. Second, we announced the acquisition of the Issuer Solutions business for a net enterprise value of $12 billion, including a $1.5 billion tax benefit. As a reminder, the transactions are expected to close simultaneously in the first half of 2026.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","The acquisition of the Issuer Solutions business and the sale of our Worldpay stake strengthens our strategic and financial position. Issuer Solutions complements our existing banking solutions product suite with best-in-class credit processing capabilities at scale and enhances our value proposition to large banks and corporates, unlocking greater cross-sell potential across existing clients. The acquisition is also financially attractive. The transaction is accretive in the first 12 months to adjusted EPS, EBITDA margins, and adjusted free cash flow, with greater benefits longer term as synergy targets are achieved. It strengthens our financial profile and provides us with greater recurring revenue. Lastly, the transaction allows us to monetize a non-strategic asset and replace it with a growing stream of durable revenue and strong free cash flow. We look forward to closing the transactions and are excited to be partnering with Global Payments going forward.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","Stephanie Ferris","CEO and President at FIS","We're confident the transactions will represent a significant win for all companies involved. With that, I'll turn it over to James for a review of our first quarter financials. James.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","James Kehoe","CFO at FIS","Thank you, Stephanie, and good morning. I'll begin on slide nine with an overview of our first quarter results, which we previewed on April 17th. We had a great start to the year with adjusted revenue growth of 4%, exceeding the high end of our outlook. We delivered upside from both operating segments, further increasing our confidence in meeting our full-year outlook. Adjusted EBITDA came in close to the high end of our outlook at $958 million, leading to an EBITDA margin of 37.8% in the quarter. Adjusted EPS was $1.21, and it was also near the high end of our outlook, with year-over-year growth of 11%. Cash conversion improved significantly as we rolled out working capital initiatives and lapped a weak prior year.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","James Kehoe","CFO at FIS","Free cash flow was $368 million in the quarter, compared to $95 million last year, with a cash conversion rate of 71%, compared to 18% in the prior year. As a reminder, the first quarter is historically a lower conversion quarter, so we are off to a strong start on our full-year target of 82%-85%. Capital expenditures were $233 million in the quarter, or 9% of revenue, consistent with our full-year expectation. We exited the quarter at our target leverage of 2.8 times. Lastly, we returned $670 million to shareholders, including $450 million of share repurchases, putting us well on track to meeting our $1.2 billion annual target for share repurchases. In summary, a great start to the year with strong execution across all key metrics. Turning now to our segment results on slide 10.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","James Kehoe","CFO at FIS","Adjusted and recurring revenue growth was 4%, with recurring revenue at 81% of total revenue. We continue to emphasize growth in this durable, high-margin revenue stream. Banking grew 2% in the quarter, coming in ahead of the high end of our outlook. Recurring revenue growth outpaced adjusted revenue growth at 3% in the quarter. Non-recurring revenue increased 3% as the anticipated 2 percentage point headwind from termination and license fees was offset by stronger performance from our card production business. Professional services declined 5% as we successfully concluded some large projects at year-end. As Stephanie discussed, client implementations are on track, and we expect accelerating professional services growth over the course of the year. Banking EBITDA margin contracted to 40.1%, reflecting high license and termination fees last year and the timing of operating expenses. Turning now to capital markets, where we had another strong quarter.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","James Kehoe","CFO at FIS","Adjusted revenue growth came in ahead of the high end of our outlook at 9%, with recurring revenue growth of 6%. Non-recurring revenue advanced 47% as the team delivered a strong license quarter, including outsized renewal timing. Professional services declined 5% year-over-year, reflecting the completion of some project work and is expected to return to growth in the second quarter. Adjusted EBITDA margin expanded 90 basis points, reflecting strong growth in high-margin license revenue and continued favorable operating leverage. Moving now to our outlook on slide 11. As messaged on our April 17th call, we are reaffirming our outlook for the full year, and we are not changing any of our key assumptions. Implementations are ramping on schedule, and we have good line of sight into the 150 basis points of incremental banking growth that is tied to commercial excellence.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
"FIS","2025-05-06","James Kehoe","CFO at FIS","For the second quarter, we anticipate adjusted revenue growth of 4.2%-5%. We are targeting banking revenue growth of 3.7%-4.4%, consistent with our commentary on the fourth quarter call and in line with our full-year outlook. This acceleration will be underpinned by strong and accelerating recurring revenue growth. For capital markets, we expect adjusted revenue growth of 6%-6.7%, and combined with a strong first quarter, this puts our first half growth modestly ahead of our full-year outlook. We are projecting sequential margin improvement of approximately 200 basis points to around 39.8%-40% in the second quarter. For the year, we anticipate continued sequential margin improvement over the remaining quarters as we progress to our full-year target of 41.3%. We are projecting adjusted EPS of $1.34-$1.38, with EPS growth ranging from 0%-3%.","https://www.marketbeat.com/earnings/reports/2025-5-6-fidelity-national-information-services-inc-stock/"
