"symbol","report_date","speaker","title","msg","source_url"
"FSLR","2024-10-29",NA,NA,"Good afternoon, everyone, and welcome to First Solar's third quarter 2024 earnings call. This call is being webcast live on the investor section of First Solar's website and investor.firstsolar.com. At this time, all participants are in a listen-only mode. As a reminder, today's call is being recorded. I would now like to turn the call over to First Solar Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Alain Mokbel","Manager of Investor Relations at First Solar","Good afternoon, and thank you for joining us. Today, the company issued a press release announcing its third quarter 2024 financial results. A copy of the press release and associated presentation are available on First Solar's website at investor.firstsolar.com. With us today are Mark Widmar, Chief Executive Officer, and Alex Bradley, Chief Financial Officer. Mark will provide a business and technology update. Alex will discuss our bookings, pipeline, quarterly financial results, and provide updated guidance. Following the remarks, we will open the call to questions. Please note this call will include forward-looking statements that involve risks and uncertainties that could cause actual results to differ materially from management's current expectations. We encourage you to review the safe harbor statements contained in today's press release and presentation for a more complete description. It is now my pleasure to introduce Mark Widmar, Chief Executive Officer.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","Good afternoon, and thank you for joining us today. As we approach the end of 2024, we remain pleased with the progress made across our business, navigating against the backdrop of industry volatility and political uncertainty, with a continuous focus on balancing growth, profitability, and liquidity. As noted at our analyst day in late 2023 and our previous earnings call, our story is about the value of long-term strategic decision-making, underpinned by differentiated technology and business model, which endeavors to drive value creation for our shareholders and partners. We expect that this disciplined long-term approach will allow us to work through the outcomes of the upcoming U.S. elections, as well as continued volatility across the solar manufacturing industry. Beginning on slide three, I will share some key highlights from the third quarter.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","From a commercial perspective, we continued our highly selective approach to contracting with a net 0.4 GW of new bookings since our last earnings call. This brings our year-to-date net bookings to 4 GW and our total contracted backlog to 73.3 GW, with orders stretching through 2030. From a manufacturing perspective, while we're pleased with record production of 3.8 GW in the quarter, our financial results were impacted by a product warranty charge of $50 million due to manufacturing issues, which we have identified and taken actions to address related to the initial production of our Series 6, Series 7, excuse me, product, primarily attributed to variability in the effectiveness of the glass cleaning process at the beginning of our production line and an error in our process of predicting the engineering performance margin.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","We inaugurated our new $1.1 billion Alabama facility, which, when fully scaled, adds 3.5 GW of vertically integrated nameplate solar manufacturing capacity. The start of commercial operation at the Alabama facility, along with our under-construction Louisiana facility, which remains on track to begin operations in the second half of 2025, keeps us on course to achieve our projection of over 14 GW of annual U.S. nameplate capacity and over 25 GW of global nameplate capacity by 2026. This growth is expected to support an estimated 30,000 direct, indirect, and induced jobs in the U.S. alone, representing $2.8 billion in annual labor income, demonstrating the significant contribution to our nation's economic growth that high-value solar manufacturing can provide. Turning to technology, as planned, we are launching Q4 production at our lead line in Ohio in Q4 of this year.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","We intend to launch this production in a phased approach, initially producing and selling approximately 0.4 GW of CuRe product through Q1 of 2025. Upon successful field performance validation following the deployment of this volume of sold CuRe product, we intend to permanently convert the Ohio lead line to CuRe in Q4 of 2025, as well as replicate CuRe across the fleet, beginning as scheduled with our Vietnam and third Ohio facilities, in time to start capturing upside from our contractual revenue adjusters. In addition, at our new perovskite development line in Perrysburg, this quarter will be the first time we'll be able to run technology samples through an automated process that simulates inline manufacturing conditions as we accelerate our efforts to develop the next breakthrough in thin film photovoltaic technology.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","With regard to intellectual property, we have recently sent notification letters to tier one solar manufacturers that we believe are infringing on First Solar's TOPCon patent portfolio, which I'll discuss in more detail later in the call. While Alex will provide a comprehensive overview of the third quarter 2024 financial results, I would like to highlight our third quarter earnings per share of $2.91, which includes the $50 million product warranty charge referenced earlier. Finally, our leadership in thin film technology and track record of investing in innovation led to First Solar being recognized by MIT Technology Review's annual list of climate tech companies to watch, the only solar technology and manufacturing company to be included in this year's list. Furthermore, we were also proud to make our debut as TIME's World's Best Companies in 2024 list.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","Moving to slide four, we recently published our annual sustainability report and would like to take this opportunity to share a few highlights. In our 25th year, we are doubling down on our commitment to the principles of responsible solar, which drives our company's environmental, social, and governance strategy, leadership, and differentiation. From the health and environmental benefits of achieving greater avoidance emissions through our ultra-low carbon solar technology to our long-standing leadership in PV recycling and commitment to human rights, transparency, and credible third-party validation, we continue to establish new standards while challenging the industry as a whole to do better. Over the past year, we continue to drive environmental, social, and governance progress as part of our culture of continuous improvement. We successfully reduced our water and waste intensity per watt produced and increased the percentage of women in our workforce in 2023 relative to the preceding year.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","We continue to build on our long-standing leadership position in PV recycling in 2023, achieving a global average material recovery rate of 95% across our recycling facilities. Today, we operate high-value recycling facilities in the U.S., Germany, Malaysia, Vietnam, and India. A shift to producing verifiable ultra-low carbon solar is needed to ensure that the global PV manufacturing industry does not undermine its role in its fight against climate change. Although the industry currently accounts for a small portion of global emissions today, that's changing. A report by Clean Energy Buyers Institute warns that a business-as-usual approach dominated by energy-intensive crystalline silicon would lead PV manufacturing to exceed aluminum manufacturing, currently the fourth most emission-intensive industrial commodity by 2040.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
"FSLR","2024-10-29","Mark Widmar","CEO at First Solar","We are proud to be leading the charge by having the world's first solar modules to achieve EPEAT Climate Plus designation and meet the industry's first ultra-low carbon solar thresholds for global use. Turning to slide five, I would like to address the numerous intellectual property challenges concerning crystalline silicon cell technology that are currently ongoing within the industry. Historically, PV industry intellectual property claims, particularly related to crystalline silicon technologies and especially among Chinese-headquartered producers, have been limited and seldom asserted. This has largely been due to the understanding that cell-related technology advancements were effectively open source, with patents and know-how freely shared within the Chinese manufacturing ecosystem. Today's intellectual property landscape within the solar manufacturing sector has clearly changed. As shown on slide five, a number of leading manufacturers are asserting patent-related claims against one another.","https://www.marketbeat.com/earnings/reports/2024-10-29-first-solar-inc-stock/"
