"symbol","report_date","speaker","title","msg","source_url"
"GD","2025-04-23",NA,NA,"Good morning and welcome to the General Dynamics first quarter 2025 earnings conference call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press the star key followed by the number one on your telephone keypad. If you would like to withdraw your question, press star one again. Please note this event is being recorded at this time. I'd like to turn the conference over to Nicole Shelton, Vice President of Investor Relations.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Nicole Shelton","VP of Investor Relations at General Dynamics","Thank you Operator and good morning everyone. Welcome to the General Dynamics first quarter 2025 conference call. Any forward looking statements made today represent our estimates regarding the company's outlook. These estimates are subject to some risks and uncertainties. Additional information regarding these factors is contained in the company's 10-K, 10-Q and 8-K filings. We will also refer to certain non-GAAP financial measures. For additional disclosures about these non-GAAP measures, including reconciliations to comparable GAAP measures, please see the slides that accompany this webcast, which are available on the Investor Relations page of our website, investorrelations.gd.com. On the call today are Phebe Novakovic, Chairman and Chief Executive Officer, Kim Kuryea, Chief Financial Officer, and Jason Aiken, Executive Vice President, Technologies. I will now turn the call over to Phebe.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Phebe Novakovic","Chairman and CEO at General Dynamics","Thank you, Nicole. Good morning everyone and thanks for being with us. As you can discern from our press release, we reported earnings of $3.66 per diluted share on revenue of $12.2 billion, operating earnings of $1.268 billion and net earnings of $994 million. These results compare quite favorably to the year ago quarter. Revenue is up 13.9%, operating earnings are up 22.4%, and net earnings are up 24.4%. As a result, earnings per diluted share are up $0.78 or 27.1% more than the year ago quarter. The operating margin for the entire company was 10.4%, a 70 basis point improvement over the year ago quarter, while Aerospace led the way with a 45.2% revenue increase. Each of the defense segments also enjoyed revenue increases. A similar pattern is true with respect to operating earnings.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Phebe Novakovic","Chairman and CEO at General Dynamics","Aerospace led the way with a stunning 69.4% increase, and each of the defense segments contributed nice improvements to operating earnings as well. We have obviously opened the year with a very strong quarter. It is important to note that the comparative quarter in 2024 also showed very good growth in all respects over first quarter 2023. We also beat consensus by $0.16 in the quarter. At this point, let me ask Kim Kuryea, our CFO, to provide detail on our order activity, solid backlog and cash activity before I come back with segment observations.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Kimberly Kuryea","Chairman and CFO at General Dynamics","Thank you Phebe and good morning. I'll start with orders and backlog. We had a solid quarter with over $10 billion of orders. Order activity was particularly strong in the Technologies group with a book-to-bill ratio of 1.1 to 1. Our overall book-to-bill ratio for the company was less than 1x, due in part to the 14% increase in revenue from last year. This resulted in total backlog being slightly down from year end to $89 billion at quarter end. Our total estimated contract value, which includes options and IDIQ contracts, ended the quarter at a little over $141 billion. Turning to our cash performance for the quarter, we expected a slow start to the year.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Kimberly Kuryea","Chairman and CFO at General Dynamics","In terms of timing, this year will look a lot like last year with cash building throughout. The buildup of inventory as we approach certification and entry into service of the G800 impacted aerospace and although Technologies had a solid quarter, the defense businesses as a whole were impacted by a working capital buildup due to growth in timing. As a result, our free cash flow for the quarter was a negative $290 million. This was better than expected as our business units worked to drive cash to the left. For the rest of the year, we expect modestly positive cash flow in the second quarter, followed by substantially improving free cash flow in each of the third and fourth quarters. Now, to discuss capital deployment activities. Capital expenditures were $142 million, or 1.2% of sales in the quarter.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Kimberly Kuryea","Chairman and CFO at General Dynamics","Similar to last year, you should expect capital expenditures to increase in subsequent quarters throughout the year as we anticipate spending around 2% of revenue on CapEx investments in our businesses this year. Also in the quarter, we returned in excess of $980 million to shareholders in the form of dividends and share repurchases. This included $383 million paid in dividends and repurchases of approximately 2.4 million shares of stock for $600 million at an average price of just over $252 per share. In addition, in late March, we repaid $750 million of notes that matured on April 1. As a reminder, we have an additional $750 million of notes maturing in May. Although we ultimately intend to refinance those notes, the timing of when we do that may be influenced by market conditions.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Kimberly Kuryea","Chairman and CFO at General Dynamics","When you add it all up, we ended the quarter with a cash balance of around $1.2 billion and a net debt position of billion. Our net interest expense in the quarter was $89 million compared to $82 million last year. The increase was due to utilization of commercial paper during the quarter. Finally, turning to income taxes, we had a 17.2% effective tax rate in the quarter, generally consistent with our full year guidance. Phebe, that concludes my remarks. I'll turn it back over to you.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Phebe Novakovic","Chairman and CEO at General Dynamics","Thanks, Kim. Now let me review the quarter in the context of the business segments and provide detailed color as appropriate. First, Aerospace. Aerospace did particularly well in the quarter. It had revenue of $3.03 billion and operating earnings of $432 million with a 14.3% operating margin. Revenue is $942 million more than last year's first quarter, a 45.2% increase. To give you a little color here, the increase was driven by a 50% increase in aircraft deliveries, including 13 new G700s and higher services revenue at both Gulfstream and Jet Aviation. The 36 deliveries in the quarter are about as planned. Recall, however, that there were no G700 deliveries in the first quarter of 2024. This quarter really shows the robust revenue increase driven by the introduction of the G700. In addition, we saw improved margins on our G700 deliveries.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
"GD","2025-04-23","Phebe Novakovic","Chairman and CEO at General Dynamics","In short, we expect revenue growth throughout the year, but at a slowing rate of growth because G700 deliveries began in the second quarter of last year. As I indicated last quarter, the supply chain continues to improve and is performing better to both schedule and quality. We are finding fewer faults and those we are finding are becoming easier to fix. In short, I am increasingly confident that we can meet this year's delivery plan. We are also pleased that the G800 was certified by both the FAA and EASA on April 16th. This is expected to be a smooth entry into service and we have some reason to believe that we can exceed our planned deliveries of G800. I would be remiss if I failed to mention that Jet Aviation made a significant contribution to the quarter's results.","https://www.marketbeat.com/earnings/reports/2025-4-23-general-dynamics-co-stock/"
