"symbol","report_date","speaker","title","msg","source_url"
"GLW","2024-10-29",NA,NA,"Good day, and thank you for standing by. Welcome to the Corning Incorporated Quarter 3, 2024 earnings conference call. At this time, all participants are in a listen-only mode. After the speaker's presentations, there will be a question-and-answer session. To ask a question during the session, you will need to press star one one on your telephone. You will then hear an automated message advising your hand is raised. To withdraw your question, please press star one one again. Please be advised that today's conference is being recorded. It is my pleasure to introduce you to Ann Nicholson, Vice President of Investor Relations. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ann Nicholson","VP of Investor Relations at Corning Incorporated","Thank you, Dilem, and good morning, everybody. Welcome to Corning's Third Quarter 2024 earnings call. With me today are Wendell Weeks, Chairman and Chief Executive Officer, and Ed Schlesinger, Executive Vice President and Chief Financial Officer. I'd like to remind you that today's remarks contain forward-looking statements that fall within the meaning of the Private Securities Litigation Reform Act of 1995. These statements involve risks, uncertainties, and other factors that could cause actual results to differ materially. These factors are detailed in the company's financial reports. You should also note that we'll be discussing our consolidated results using core performance measures unless we specifically indicate our comments relate to GAAP data. Our core performance measures are Non-GAAP measures used by management to analyze the business.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ann Nicholson","VP of Investor Relations at Corning Incorporated","For the third quarter, the difference between GAAP and core EPS primarily reflected non-cash mark-to-market adjustments associated with the company's translated earnings contracts and Japanese yen-denominated debt, constant currency adjustments, and non-cash asset write-offs and charges. As a reminder, the mark-to-market accounting has no impact on our cash flow. A reconciliation of core results to the comparable GAAP value can be found in the Investor Relations section of our website at corning.com. You may also access core results on our website with downloadable financials in the Interactive Analyst Center. Supporting slides are being shown live on our webcast, and we encourage you to follow along. Now, I'll turn the call over to Wendell.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","Thank you, Ann, and good morning, everyone. Today, we announced strong Third Quarter 2024 results. Year-over-year, sales grew 8% to $3.73 billion, and EPS grew 20% to $0.54. Our Quarter 3 outperformance was led by Optical Communications, where continued strong adoption of our new Optical connectivity products for Generative AI drove 55% year-over-year growth in the enterprise portion of the segment. Our momentum continues as we close out the year. In the fourth quarter, we expect year-over-year sales growth to accelerate and EPS to continue growing faster than sales, and Ed will elaborate more on that in a moment. Overall, our results and outlook show we're making strong progress on our Springboard plan to add more than $3 billion in annualized sales with powerful incremental profit and cash flow, and to achieve an operating margin of 20% by the end of 2026.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","So before Ed and I get into the details, let me just briefly recap the primary elements of Springboard. First, this chart reflects our internal non-risk-adjusted Springboard plan. This is what our business operators are focused on delivering. There's a lot to take away from this slide. We have a significant sales opportunity. We're looking at potential growth of $8 billion in annualized sales run rate by the end of 2028, with $5 billion by the end of 2026. Now, remember, this is our internal plan. When we say it's not risk-adjusted, what we mean is the projections are based on a number of assumptions, including markets recovering to historical trend lines with continued growth thereafter, successful adoption of new innovations across a number of markets and platforms, and successful execution of all our operational milestones for productivity and for price.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","But what we wanted to do was take our $8 billion opportunity and translate it into a high-confidence plan for our shareholders. To do that, first, we focused on a three-year time period. Second, we probabilistically adjusted for different potential outcomes in each of our Market-Access Platforms, including market dynamics, timing of secular trends, successful adoption of our innovations, as well as volume, pricing, and market share across all our businesses, as well as the potential that some of our markets may go through down cycles. And this is how we come to the high-confidence Springboard plan to add more than $3 billion in annualized sales and achieve operating margin of 20% by the end of 2026. It's also important to know that we purposely drew this as a wedge. We weren't trying to guide every quarter for the next 12 quarters.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","It obviously will not be a straight line. But we're also not dealing with a hockey stick. When we built the plan, we expected to see strong growth this year. And that's exactly what you're seeing in our results. So I'd like to take a moment to share two important observations about our performance. First, we're significantly improving our return profile. In the third quarter, we again drove sales growth while demonstrating our ability to deliver the powerful incrementals embedded in Springboard. In the third quarter, sales grew 8% year-over-year. EPS grew more than twice as fast as sales. Operating margin expanded 160 basis points year-over-year to 18.3%, and gross margin expanded 220 basis points to 39.2%. We also generated strong free cash flow of $553 million. And we continued buying back shares in the third quarter.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","Second, we're reaching key strategic milestones that underscore the significant progress we've made against our high-confidence plan. Let me just briefly summarize the recent milestones in Display and in Optical. In Display, our Springboard plan is centered on maintaining stable U.S. dollar net income. To achieve this, we are raising glass prices. Our price actions, in combination with the hedges we have in place through 2026, will deliver consistent profitability in the segment. We expect to deliver net income of $900 million-$950 million next year and to deliver net income margin of 25%, consistent with the last five years. Simply put, our price increases offset the weaker yen in our hedges, and we expect to maintain the same profitability. Most importantly, we will continue to be the low-cost technology and market leader in Display. Overall, we're providing a strong base in Display for our Springboard growth.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","In Optical Communications, our Springboard plan is about revenue growth as cyclical and secular trends converge to drive demand for our unique capabilities. When we introduced our GenAI products in June, we said we expected to grow our enterprise business at a 25% compound annual growth rate over the next four years. Looking back to the second quarter, strong demand for our new GenAI products drove outperformance, and our enterprise business grew by 42% year-over-year. As I noted, outperformance continues. Enterprise grew by 55% in the third quarter versus last year. That growth reflects the GenAI opportunity inside the data center. We've also introduced a set of innovations to help our customers build a new network to interconnect AI-enabled data centers.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","As part of an agreement with Lumen Technologies, which reserves 10% of our global fiber capacity for each of the next two years, we recently launched the first outside plant deployment of Corning's new GenAI fiber and cable system that enables Lumen to fit anywhere from two to four times the amount of fiber into their existing conduit. This is an exciting new space, and we expect to capture other large opportunities. Optical is also marking important developments with other important carrier customers, Verizon and AT&T. At their broadband strategy event last week, Verizon highlighted their partnership with Corning and said we're delivering technologies that make it easier for them to reach their deployment goals. They plan to significantly expand their fiber footprint from 25 million fiber passings to more than 30 million fiber passings by 2028.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","We also just announced a multi-year purchase agreement with AT&T to provide next-generation fiber, cable, and connectivity solutions to support the expansion of AT&T's fiber network and help bring high-speed internet to more Americans. The agreement, valued at more than $1 billion, builds on a decades-long collaboration between our companies. AT&T is expanding its network to bring world-class fiber to more people and places across the country. By using Corning's newest pre-connectorized solutions, AT&T can accelerate its network expansion and enhance network performance while minimizing deployment cost. They'll leverage our latest additions to our portfolio of connectivity solutions, which are fully compliant with the Build America, Buy America provisions of the Broadband Equity Access and Deployment Program. The program, known as BEAD, is part of the government's efforts to bring high-speed internet to rural communities. Stepping back.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","As you can see, we're three quarters into our three-year Springboard plan, and we're making significant progress. Our third quarter results demonstrate the sales growth and the powerful incremental profit and cash flow we expect to deliver as we improve our return profile and march steadily toward our 20% operating margin target by the end of 2026, and we're marking significant milestones along our Springboard journey, and we have plenty of milestones ahead. In Optical Communications, we expect carriers to return to buying at deployment rates and for their deployment rates to increase and drive growth in 2025, and we expect the BEAD Program to gather momentum starting in the second half of 2025. We have a triple-digit Automotive Glass business today, and we expect sales in that business to almost triple by 2026. We expect recently announced U.S.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Wendell Weeks","Chairman and CEO at Corning Incorporated","EPA regulations to force gas particulate filter adoption and drive hundreds of millions of dollars of growth for us in the U.S. alone, with sales starting in 2026. Finally, we plan to launch a new solar Market-Access Platform. Overall, we've positioned our businesses to benefit from a convergence of cyclical and secular trends to drive growth across the company through 2026 and beyond. We'll continue to update you as we hit significant milestones. Now, let me turn it over to Ed for some more detail and perspective on the quarter as well as Springboard.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ed Schlesinger","EVP and CFO at Corning Incorporated","Thank you, Wendell. Good morning, everyone. As you just heard, we had an outstanding quarter. Year-over-year, Q3 sales grew 8% to $3.73 billion, and EPS grew 20%, more than twice the rate of sales to $0.54, with operating margin expanding 160 basis points to 18.3%. We also generated free cash flow of $553 million.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ed Schlesinger","EVP and CFO at Corning Incorporated","Our outperformance was led by Optical Communications. Sales grew 36% year-over-year, and sales in the enterprise business grew 55%, driven by continued strong adoption of our new Optical connectivity products for Generative AI. We expect our momentum to continue. In the fourth quarter, we anticipate year-over-year sales growth to accelerate and EPS to again grow faster than sales, with sales up about 15% to approximately $3.75 billion and EPS up approximately 40% in the range of $0.53-$0.57. Today, I'll provide more detail on our Q3 results and Q4 outlook, as well as put them into the context of our overall Springboard plan. As a reminder, a key component of our plan is to deliver powerful incrementals. We have the capacity and technical capabilities in place to add more than $3 billion in annualized sales by the end of 2026 with minimal cash investment.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ed Schlesinger","EVP and CFO at Corning Incorporated","and the cost and capital are already reflected in our financials. This means that we expect to grow profit significantly faster than sales. And that's exactly what we're seeing in our third quarter results. so let's dive in. In Optical Communications, sales for the third quarter were $1.2 billion, up 36% year-over-year. And net income for the quarter was $175 million, up 92% year-over-year, as we delivered strong incremental profit on the higher volume. In our enterprise business, sales were up 55% year-over-year, driven by continued strong adoption of AI-related connectivity solutions. This marks another record quarter in this business and adds to our confidence in our plan to grow enterprise at a 25% compound annual growth rate from 2023 to 2027. We also grew year-over-year in our carrier business in the third quarter. We're encouraged by new customer agreements, including our recent announcements with AT&T and Lumen.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ed Schlesinger","EVP and CFO at Corning Incorporated","Overall, we expect both cyclical and secular drivers in Optical Communications to sustain growth in 2025 and beyond. Moving to Display Technologies, third quarter sales were $1 billion, consistent with the second quarter. Net income was $285 million, up 10% sequentially. Our third quarter volume was down sequentially as panel makers began to lower their utilization rates in the quarter. We expect panel makers to continue managing their operations to maintain healthy inventory levels. As a result, we expect the glass market and our volume to decline sequentially in the fourth quarter. Longer term, we expect the Display glass market to grow at a low single-digit rate, supported by stable TV unit sales and average screen size growing about one inch per year. As we shared with you at our September investor event, we are raising glass prices to ensure we can maintain stable U.S. dollar net income.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ed Schlesinger","EVP and CFO at Corning Incorporated","Specifically, we implemented currency-based price increases in Q3. Overall, our customers are experiencing a double-digit price increase in the second half of 2024. In total, our price increases offset the weaker yen in our hedges, and therefore, we expect to maintain the same profitability. As a result, when we move to our new yen core rate in 2025, we do not plan to recast our 2024 financials. As a reminder, we have the majority of our yen exposure hedged for 2025 and 2026, and we also have hedges in place beyond 2026. Our hedges are not at the 2024 core rate of 107, but they're much better than the current spot rate. We expect to deliver net income of $900 million-$950 million next year and net income margin of 25%, consistent with the last five years.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ed Schlesinger","EVP and CFO at Corning Incorporated","Turning to Specialty Materials, sales in the third quarter were $548 million, up 9% sequentially, primarily driven by premium glass for mobile devices. Net income was $72 million, up 14% sequentially, reflecting higher volume. In Environmental Technologies, third quarter sales were $382 million, down 11% sequentially, reflecting the continued impact of the Class 8 truck down cycle in North America, as anticipated. Net income of $75 million was down sequentially, reflecting lower volume. We expect the heavy-duty market weakness to continue and sales in Environmental Technologies to remain muted in the fourth quarter. In Life Sciences, sales in the quarter were $244 million, up 6% year-over-year. Net income was $15 million, up 15% year-over-year. Turning to Hemlock and Emerging Growth Businesses, sales in the third quarter were $298 million, consistent sequentially. Finally, I'd like to touch on operating expenses.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
"GLW","2024-10-29","Ed Schlesinger","EVP and CFO at Corning Incorporated","As we've told you in the past, our pay is tied directly to our financial performance. As our performance has accelerated this year, we have increased our variable compensation accruals accordingly. This leads to temporarily higher operating expenses in the back half of 2024. With that, I'd like to shift gears and put our third quarter results and Q4 guidance in context of Springboard and update you on how we are tracking against the plan. This chart shows both our non-risk-adjusted $5 billion sales plan and our $3 billion high confidence sales plan. So how are we doing? Let me first explain the $1.84 billion dot point you see on the chart. Our Q3 2024 sales were $3.73 billion. Our Q4 2023 sales, which is our Springboard starting point, were $3.27 billion. So our sales were $460 million higher in Q3 2024 than in Q4 of 2023.","https://www.marketbeat.com/earnings/reports/2024-10-29-corning-incorporated-stock/"
