"symbol","report_date","speaker","title","msg","source_url"
"GL","2025-02-05",NA,NA,"Welcome to the Globe Life Q4 2024 Earnings Release Conference Call. My name is Alan, and I'll be your coordinator for today's event. Please note this call is being recorded, and for the duration, your lines will be on listen only. However, you will have the opportunity to ask questions at the end. This can be done by pressing star one on your telephone keypad. If you require assistance at any time, please press star zero, and you'll be connected to an operator. I will now hand you over to your host, Stephen Mota, Senior Director of Investor Relations, to begin today's conference. Thank you.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","Stephen Mota","Head of Investor Relations at Globe Life Inc.","Thank you. Good morning, everyone. Joining the call today are Frank Svoboda and Matt Darden, our Co-Chief Executive Officers. Tom Kalmbach, our Chief Financial Officer, Mike Majors, our Chief Strategy Officer, and Brian Mitchell, our General Counsel. Some of our comments or answers to your questions may contain forward-looking statements they provided for general guidance purposes only. Accordingly, please refer to our Earnings Release, 2023 10-K and any subsequent Form 10-Q on file with the SEC. Some of our comments may also contain non-GAAP measures. Please see our Earnings Release and website for discussion of these terms and reconciliations to GAAP measures. I will now turn the call over to Frank.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","Frank M. Svoboda","Co-CEO at Globe Life Inc.","Thank you, Stephen, and good morning, everyone. In the fourth quarter, net income was $255 million, or $3.01 per share, compared to $275 million, or $2.88 per share, a year ago. Net operating income for the quarter was $266 million, or $3.14 per share, an increase of 12% from a year ago. On a GAAP-reported basis, return on equity through December 31 is 21.7%, and book value per share is $62.50. Excluding accumulated other comprehensive income, or AOCI, return on equity is 15.1%, and book value per share as of December 31 is $86.40, up 13% from a year ago.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","Frank M. Svoboda","Co-CEO at Globe Life Inc.","In our life insurance operations, premium revenue for the fourth quarter increased 4% from the year-ago quarter to $823 million. Life underwriting margin was $336 million, up 10% from a year ago, primarily driven by premium growth and lower overall policy obligations. In 2025, we expect life premium revenue to grow at the midpoint of our guidance in the range of 4.5%-5%, compared to 4% growth for 2024. As a percentage of premium, we anticipate life underwriting margin to be between 40% and 42%. In health insurance, premium revenue grew 7% to $358 million, while health underwriting margin declined 6% to $91 million, due primarily to higher claim costs at United American, resulting from higher utilization.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","Frank M. Svoboda","Co-CEO at Globe Life Inc.","In 2025, we expect health premium revenue to grow in the range of 7.5%-8.5%, compared to 6.5% growth for 2024. We also expect health underwriting margin as a percent of premium to be between 25% and 27%. We are pleased with the overall premium growth we saw in 2024, as the 4.7% growth in total premium income was well above the 3.4% growth rate in 2023. This is especially encouraging as we come out of a high inflationary period that has put a stress on the U.S. consumer, especially those in the demographic we serve, and demonstrates the resiliency of our business.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","Frank M. Svoboda","Co-CEO at Globe Life Inc.","Due to the continued efforts of our sales and conservation teams, we anticipate this growth rate to accelerate and be even higher in 2025. Administrative expenses were $91 million for the quarter. The increase is primarily due to higher information technology costs related to maintaining IT software and services, employee costs, and legal expenses. While our expenses in the fourth quarter were higher than prior quarters, they were largely in line with our expectations. In 2025, we expect administrative expenses to be approximately 7.4% of premium. I will now turn the call over to Matt for his comments on the fourth quarter marketing operations.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","J. Matthew Darden","Co-CEO at Globe Life Inc.","Thank you, Frank. At American Income Life, life premiums were up 7% over the year-ago quarter to $433 million, and life underwriting margin was up 9% to $199 million. In the fourth quarter of 2024, net life sales were $93 million, and this is up 22% from a year ago, and primarily due to increased productivity and agent count growth. The average producing agent count for the fourth quarter was 11,926, up 7% from a year ago. This growth is due to the continued focus on recruiting and improved new agent retention, and I continue to be very pleased by the momentum at American Income.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","J. Matthew Darden","Co-CEO at Globe Life Inc.","At Liberty National, our life premiums were up 5% over the year-ago quarter to $94 million, and the life underwriting margin was up 8% to $34 million. Net life sales increased 1% to $26 million, while net health sales were $9 million, down 5% from the year-ago quarter. The average producing agent count for the fourth quarter was 3,743, up 11% from a year ago, and I'm excited to see the continued agent count growth at Liberty National, which is primarily driven by our recruiting activity and agency middle management growth, and I am confident that this growth in agent count and agency middle management will drive strong sales growth in 2025.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","J. Matthew Darden","Co-CEO at Globe Life Inc.","At Family Heritage, the health premiums increased 8% over the year-ago quarter to $111 million, and health underwriting margin increased 12% to $40 million. Net health sales were up 6% to $27 million, due primarily to an increase in agent count. The average producing agent count for the fourth quarter was 1,512, and this is up 11% from a year ago, and I continue to be pleased to see the agent count growth, which is driven by this agency's efforts in recent quarters to emphasize recruiting and middle management development.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","J. Matthew Darden","Co-CEO at Globe Life Inc.","At our Direct to Consumer division at Globe Life, life premiums were down 1% over the year-ago quarter to $245 million, while life underwriting margin increased 20% to $71 million. Net life sales were $23 million, down 11% from the year-ago quarter. Now, as we've mentioned previously, the continued decline in sales is primarily due to lower customer inquiries, as we have reduced our marketing spend on certain campaigns that did not meet our profit objectives as a result of higher distribution cost.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","J. Matthew Darden","Co-CEO at Globe Life Inc.","Our focus in this area is having a positive impact on our overall margin, as we will continue to focus on maximizing the underwriting margin dollars on new sales by managing the rising advertising and distribution costs associated with acquiring new business. The value of our Direct to Consumer business is not only those sales directly attributable to this channel, but the significant support that is provided to our agency business through brand impressions and sales leads. As we mentioned last quarter, we expect this division to generate over 750,000 leads during 2025, which will be provided to our three exclusive agencies.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","J. Matthew Darden","Co-CEO at Globe Life Inc.","At United American General Agency, here, the health premiums increased 9% over the year-ago quarter to $151 million, driven by strong prior-year sales growth of 23%. Health underwriting margin was $5 million, down approximately $9 million from the year-ago quarter, due to higher claim costs resulting primarily from higher utilization. For the full year 2025, we anticipate mid-single-digit growth in our underwriting margin due to strong sales and premium pricing actions. Net health sales were $30 million, up 7% over the year-ago quarter. Now, I'd like to discuss our projections.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
"GL","2025-02-05","J. Matthew Darden","Co-CEO at Globe Life Inc.","Based on the recent trends and our experience with our business, we expect the average producing agent count trends for the full year 2025 to be as follows: at American Income, mid-single-digit growth; at Liberty National, low double-digit growth; and at Family Heritage, also low double-digit growth. We'd also like to reaffirm our life and health sales guidance we gave on our last earnings call. As a reminder, net life sales were $200 million. Net life sales for 2025 are expected to be as follows: American Income, high single-digit growth; Liberty National, low double-digit growth; and our Direct to Consumer division, low to mid-single-digit growth.","https://www.marketbeat.com/earnings/reports/2025-2-5-globe-life-inc-stock/"
