"symbol","report_date","speaker","title","msg","source_url"
"GRMN","2025-07-30",NA,NA,"Thank you for standing by and welcome to the Garmin Ltd Second Quarter 2025 Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question and answer session. If you'd like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question again, press star one. Thank you. I'd now like to turn the call over to Teri Seck, Director of Investor Relations. You may begin.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Teri Seck","Director of Investor Relations at Garmin Ltd","Good morning. We would like to welcome you to Garmin Ltd's Second Quarter 2025 Earnings Call. Please note that the earnings press release and related slides are available at Garmin's Investor Relations site on the Internet at www.garmin.com/stock. An archive of the webcast and related transcript will also be available on our website. This earnings call includes projections and other forward-looking statements regarding Garmin Ltd and its business. Any statements regarding our future financial position, revenues, segment growth rates, earnings, gross margins, operating margins, future dividends or share repurchases, market shares, product introductions, foreign currency, tariff impacts, future demand for our products and plans and objectives are forward-looking statements. The forward-looking events and circumstances discussed in this earnings call may not occur and actual results could differ materially as a result of risk factors affecting Garmin.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Teri Seck","Director of Investor Relations at Garmin Ltd","Information concerning these risk factors is contained in our Form 10-Q and in our Form 10-K filed with the Securities and Exchange Commission. Presenting on behalf of Garmin Ltd this morning are Cliff Pemble, President and Chief Executive Officer, and Doug Boessen, Chief Financial Officer and Treasurer. At this time I would like to turn the call over to Cliff Pemble.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","Thank you Teri and good morning everyone. As announced earlier today, Garmin delivered another quarter of outstanding financial results with strong growth in consolidated revenue, operating profit and earnings. Consolidated revenue increased 20% exceeding $1.8 billion which is a new 2nd quarter record and we experienced double-digit sales growth in every business segment. Gross and operating margins expanded to 58.8% and 26% respectively, resulting in record 2nd quarter operating income of $472 million, up 38% year-over-year, and pro forma EPS of $2.17, up 37% year-over-year. Yesterday we announced the acquisition of MYLAPS, a global market leader in timing and performance analysis for athletic, motorsports and equestrian competition. MYLAPS supports an impressive customer base including the Boston Marathon, Ironman and Formula One Racing to name just a few.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","We believe that the combination of Garmin devices with MYLAPS timing and race management technology will provide a comprehensive experience for our passionate customers from training to race day while also expanding our addressable market. We are very excited to welcome the MYLAPS team to Garmin and look forward to all that we can accomplish together.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","We are very pleased with our results.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","So far in 2025 which have exceeded our expectations. From our vantage point, consumers have been resilient and demand for our highly differentiated products has been robust. Given our strong performance, we are updating our full year guidance. We now anticipate revenue of approximately $7.1 billion and Proforma EPS of $8 per share. Doug will discuss our financial results and outlook in greater detail in a few minutes, but first I'll provide a few remarks on the performance of each business segment. Starting with Fitness, revenue increased 41% to $605 million with growth led by strong demand for advanced wearables. Gross and operating margins expanded to 60% and 33% respectively, resulting in operating income of $198 million. During the quarter we launched the Forerunner 570 and Forerunner 970 with new training features and personalized training plans from Garmin Coach for running and Triathlons.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","These new devices have been enthusiastically embraced by the market and helped drive the remarkable 2nd quarter financial performance of the segment. We also launched the new Venu X1 with an ultra thin case and class leading 2 in display resulting in a sleek lightweight design that is easy to read and packed with our most popular features. Also during the quarter we launched several new category defining products including the Index Sleep Monitor, the Tacx Alpine Gradient Simulator and the VariaVue Bike Headlight with an integrated 4K resolution camera. Given the 1st half performance of the fitness segment and the continued demand we are expecting for our advanced wearables, we are raising our revenue growth estimate to 25% for the year. Moving to outdoor, revenue increased 11% to $490 million with growth driven primarily by Adventure watches.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","Gross and operating margins expanded to 66% and 32% respectively, resulting in operating income of $158 million. During the quarter we launched the Instinct 3 Tactical Edition with a bright AMOLED display and metal reinforced bezel, a built in LED flashlight and support for popular new activities such as rucking. Also during the quarter we launched new Tread All-Terrain Navigators that offer larger touchscreens and additional mapping options to enrich off road adventures. We are pleased with the performance of the outdoor segment so far this year. Looking forward we expect growth to moderate as we pass the one year anniversary of the highly successful FÄ’NIX 8 launch. With this in mind, we are maintaining our revenue growth estimate of 10% for the year. Looking next at aviation, revenue increased 14% in the 2nd quarter to $249 million with growth contributions from both OEM and aftermarket product categories.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","Gross and operating margins expanded to 74% and 25% respectively, resulting in operating income.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","Of $63 million.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","During the quarter, Embraer recognized Garmin as the top supplier in the electrical and electronic systems category for the 10th consecutive year, validating the long term investments we have made creating innovative products and building strong relationships with our customers. We're also preparing for the future with game changing new products and features such as the recently announced G5000 PRIME INTEGRATED FLIGHT DECK for Part 25 aircraft and the addition of FAA Data comm to the GTN 750Xi Navigator, which expands the availability of modern digital communications to the aftermarket. We also launched SmartCharts, which has.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","The potential to be one of the.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","Most disruptive new products for aviation in quite some time. Using SmartCharts, pilots can see their position on context specific georeferenced charts, making instrument approaches much more intuitive and easier to fly. Also during the quarter we announced that Garmin Autoland was certified for the Cirrus SRG 7+ Series, becoming the 1st piston powered aircraft equipped with this award winning safety system. Given the 1st half performance of the aviation segment, we are raising our revenue growth estimate to 7% for the year. Turning to the marine segment, revenue increased 10% to $299 million with growth across multiple categories led primarily by chart plotters. Gross and operating margins were 55% and 21% respectively, resulting in operating income of $63 million.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","During the quarter we launched the GPSMAP 153x3 Chartplotters with an ultra wide display that offers as much display area as two separate 9 in chart plotters, making information easier to read while maximizing the use of space in the instrument panel. Also during the quarter we launched the quatix 8, our most advanced purpose built smartwatch for mariners. The marine market has easily surpassed our lowered expectations, demonstrating resilience and stability in an otherwise dynamic macroeconomic environment. Given our 1st half performance and the current trends in the market, we are raising our revenue growth estimate to 5%.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","For the year.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","Moving finally to the Auto OEM segment. Revenue increased 16% to $170 million with growth driven primarily by increased shipments of domain controllers to BMW. Gross margin was 17% and the operating loss narrowed from the prior year to $10 million. We recently shipped our 1 millionth BMW domain controller from our U.S. manufacturing facility, demonstrating our capability as a respected tier one supplier to the North American Automotive Market. We also continue to make progress on the launch of our next significant auto OEM program in the 2nd half of 2026. Given the 1st half performance of the Auto OEM segment, we are raising our revenue growth estimate to 10% for the year. That concludes my remarks. Next, Doug will walk you through additional details on our financial results.","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
"GRMN","2025-07-30","Cliff Pemble","President and CEO at Garmin Ltd","Doug","https://www.marketbeat.com/earnings/reports/2025-7-30-garmin-ltd-stock/"
