"symbol","report_date","speaker","title","msg","source_url"
"HAL","2025-07-22",NA,NA,"Good day, ladies and gentlemen, and thank you for standing by. Welcome to the Halliburton Second Quarter 2025 Company Earnings Conference Call. At this time, all participants are in a listen-only mode. After the speaker's presentation, there will be a question-and-answer session. To ask a question during the session, you will need to press Star 1 on your telephone. At this time, I would like to turn the conference over to Mr. David Coleman. Sir, please begin.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","David Coleman","Senior Director and Head of Investor Relations at Halliburton","Hello, and thank you for joining the Halliburton Second Quarter 2025 Conference Call. We will make the recording of today's webcast available for seven days on Halliburton's website after this call. Joining me today are Jeff Miller, Chairman, President, and CEO, and Eric Carre, Executive Vice President and CFO. Some of today's comments may include forward-looking statements that reflect Halliburton's views, about future events. These matters involve risks and uncertainties that could cause our actual results to materially differ from our forward-looking statements. These risks are discussed in Halliburton's Form 10-K, for the year ended December 31, 2024, Form 10-Q for the quarter ended March 31, 2025, recent current reports on Form 8-K, and other Securities and Exchange Commission filings. We undertake no obligation to revise or update publicly any forward-looking statements for any reason. Our comments today also include non-GAAP financial measures.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","David Coleman","Senior Director and Head of Investor Relations at Halliburton","Additional details and reconciliation to the most directly comparable GAAP financial measures, are included in our second quarter earnings release, and in the quarterly results and presentations section of our website. Now, I'll turn the call over to Jeff.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","Jeff Miller","Chairman, President, and CEO at Halliburton","Thank you, David, and good morning, everyone. I will open today's call with a discussion of the oilfield services market, which appears very different today than it did only 90 days ago. In the second quarter, commodity markets were volatile, driven by trade and tariff uncertainty, geopolitical unrest, and the accelerated return of OPEC, plus production cuts. Against this backdrop, here's what I observe in the market today, which directly influences my outlook. In North America, multiple operators, even large and established customers, are now planning meaningful schedule gaps in the second half of 2025. In international markets, particularly among some large NOCs, we continue to see reductions in activity and lower discretionary spend, typical of much lower commodity price environments. Finally, we've seen several well-publicized reorganizations and cost reduction efforts by large independent operators and IOCs.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","Jeff Miller","Chairman, President, and CEO at Halliburton","To put it plainly, what I see tells me the oilfield services market will be softer than I previously expected over the short to medium term. We will, of course, take action to address this near-term softness. That said, I believe the demand fundamentals remain strong for both oil and gas. I expect conditions will improve as additional OPEC, plus production is absorbed by the market, and operators around the world work to replace declining production and meet increasing demand. As I look ahead, I believe that Halliburton, is well aligned with the themes that I expect will define the next several years. First. Unconventionals will continue to be a critical component of the supply picture. I expect that advanced technology to maximize recovery and returns will expand both in the United States and around the world. Second.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","Jeff Miller","Chairman, President, and CEO at Halliburton","Production-related services like intervention and stimulation, along with artificial lift, will grow alongside increased global production of both oil and gas. Third, I expect demand will rise for complex drilling and well construction services to access available resources. This requires advanced tools and automation technologies for efficient development and delivery. I believe our strategic alignment with these themes positions Halliburton to deliver industry-leading returns. I fully expect that the strategic execution that delivered performance in recent markets will continue to deliver outperformance in the future. Now, let's move on to our geographic results. I'll start with the international markets, where Halliburton, delivered quarterly revenue of $3.3 billion. The second quarter demonstrated 2% sequential growth, with activity increases in Latin America and Europe, Africa, offset by activity reduction in Saudi Arabia.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","Jeff Miller","Chairman, President, and CEO at Halliburton","As we look at the full year 2025, I expect our international revenue will contract by mid-single digits year on year, primarily driven by activity reductions in Saudi Arabia and Mexico. Despite the ongoing softness in these large markets, I do expect Halliburton, to demonstrate growth in Brazil and Norway, as well as offshore frontier basins, where we secured key wins last quarter through our technology, operational excellence, and collaborative approach. Thinking broadly about our international business going forward, our growth enginesâ€”unconventionals, drilling, production services, and artificial liftâ€”remain key to our international strategy, and we believe Halliburton, has unique opportunities to grow in each of these areas, as evidenced by our recent progress. In unconventionals, we continue to see adoption of North America-style development, multi-well pads, long laterals, and large completions in several international unconventional basins, which reinforces our confidence in our unique ability to lead in unconventionals.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","Jeff Miller","Chairman, President, and CEO at Halliburton","In Argentina, we achieved a record quarterly stage count and performed our first sensory fiber optic fracture monitoring service, a milestone in expanding our leading unconventional technologies outside of North America. In Australia, we recently completed a 67-stage stimulation, the largest job to date in the Betelgeuse Basin. In the Middle East, we drilled the longest well in the region's largest unconventional play. Turning to drilling services, iCruise, Logix Automation, and the iStar platform, delivered strong performance and introduced unique capabilities in several technically demanding markets. Globally, we surpassed 500,000 ft, drilled with Logix closed-loop automation and completed an important trial with a customer in the Middle East. In Norway, we recently utilized iCruise and Logix, to drill the longest well in the Norwegian continental shelf, to a measured depth of over 10 km. In reservoir mapping, we launched EarthStar 3DX.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","Jeff Miller","Chairman, President, and CEO at Halliburton","It builds on our leading EarthStar X and BrightStar mapping technologies, and provides a three-dimensional map, ahead of the bit while drilling. This unique capability allows proactive steering around hazards and precision well bore placement for optimum drilling efficiency and recovery. Next, in production services, we had several activity highlights during the second quarter. In Brazil, we began operations on our largest integrated well intervention contract, which highlights the expansion of our collaborative model from well construction to production. In Norway, we expanded our riserless coil tubing services, beyond our initial pilot and completed a three-well intervention campaign for a customer. Finally, in artificial lift, Halliburton, secured its largest international ESP contract, to date from a Middle East, NOC. Middle East Asia, remains our largest and fastest-growing international lift region, with strong year-over-year growth also achieved in Latin America and Europe, Africa.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
"HAL","2025-07-22","Jeff Miller","Chairman, President, and CEO at Halliburton","We expect international artificial lift revenue to grow over 20% this year and plan to double the installed base of Intelevate, our remote operations and automation platform. It has been a strong start to the year, and I expect to exit the year with an international franchise that is larger than all of Summit, at the time of acquisition, a significant milestone in our growth journey. To conclude my thoughts on the international market, while activity reductions in a few large markets will likely overshadow the solid performance of other geographies, I am confident our strategy is the right one, and our growth engines remain key to that strategy. Now, let's turn to North America, where our second quarter revenue of $2.3 billion was roughly flat to first quarter. Seasonal improvements and completions were offset by lower service pricing and reduced artificial lift activity.","https://www.marketbeat.com/earnings/reports/2025-7-22-halliburton-stock/"
