"symbol","report_date","speaker","title","msg","source_url"
"HIG","2025-07-28",NA,NA,"Hello, and thank you for standing by. My name is Lacey, and I will be your conference operator today. At this time, I would like to welcome everyone to the second-quarter 2025, The Hartford Insurance Group financial results webcast. All lines have been placed on mute to prevent any background noise. After the speaker's remarks, there will be a question-and-answer session. If you would like to ask a question during this time, simply press star followed by the number one on your telephone keypad. If you would like to withdraw your question, press star one again. Please limit yourself to one question and one follow-up. Thank you. I would now like to turn the call over to Kate Jorens, Senior Vice President, Treasurer, and Head of Investor Relations. You may go ahead.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Kate Jorens","SVP, Treasurer, and Head of Investor Relations at The Hartford","Good morning, and thank you for joining us today for our second-quarter 2025 earnings call and webcast. Yesterday, we reported results and posted all earnings-related materials on our website. Before we begin, please note that our presentation includes forward-looking statements, which are not guarantees of future performance and may differ materially from actual results. We do not assume any obligation to update these statements. Investors should consider the risks and uncertainties detailed in our recent SEC filings, news release, and financial supplement, which are available on the Investor Relations section of thehartford.com. Our commentary includes non-GAAP financial measures, with explanations and GAAP reconciliations available in our recent SEC filings, news release, and financial supplements. Now, I'd like to introduce our speakers: Chris Swift, Chairman and Chief Executive Officer, and Beth Costello, Chief Financial Officer.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Kate Jorens","SVP, Treasurer, and Head of Investor Relations at The Hartford","After their remarks, we will take your questions, assisted by several members of our management team. Now, I'll turn the call over to Chris.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","Good morning, and thank you for joining us today. The Hartford second-quarter results were outstanding, with core earnings reaching nearly $1 billion. This performance reflects the effectiveness of our strategy and consistency of execution that drives our momentum. We are expanding our market presence and growing with purpose. Our strategic investments are advancing innovation across the organization to benefit customers and distribution partners. We are pleased with our year-to-date performance, as we have successfully capitalized on market opportunities while maintaining strong margins. With that, let's take a closer look at second-quarter performance. Highlights include. Top-line growth in Business Insurance of 8%, with an outstanding underlying combined ratio of 88. In Personal Insurance, an underlying combined ratio of 88, with 8.7 points of improvement over prior year, an exceptional core earnings margin of 9.2% in Employee Benefits, and continued solid performance in our investment portfolio.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","All these items contributed to an outstanding trailing 12â€“month core earnings ROE of 17%. Turning to Business Insurance, results were excellent, driven by industry-leading underwriting tools, pricing expertise, and data science advancements. Small Business delivered an excellent underlying combined ratio with record-breaking quarterly net new business premium. Strong written premium growth was fueled in part by double-digit increases in Auto and in our industry-leading Package product, as well as a 35% increase in E&S Binding premium. We are on a clear trajectory to exceed $6 billion in annual written premium in 2025. Growth in Small is fueled by technology and data science advancements, which provide significant and unrivaled competitive advantages. For example, our best-in-class quoting platform is powered by intelligent automation, real-time decisioning, and proprietary pricing models differentiated by our rich historical data.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","Over the years, we have streamlined the submission process with intuitive workflows and advanced pre-fill of customer data. Our AI-driven underwriting logic suggests coverages based on business type and reflects the judgment of our most experienced underwriters. All of this delivers a seamless and efficient experience, allowing 75% of all quotes across all admitted lines of business to be bound within minutes. This provides a durable competitive advantage for us with our distribution partners. As we continue to invest in AI, we expect bindability to increase further, driving enhanced efficiency, greater scalability, and sustained profitable growth. Turning to Middle & Large business, underlying results were excellent, with solid growth. We are focused on maintaining margins and making appropriate risk decisions using enhanced underwriting tools. Middle and Large continues to advance the vision of an automated AI-driven underwriting process to enhance productivity and accelerate speed to market.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","Our strategic investments leverage strengths in Small Business and extend those advantages to Middle Market. Over time, we believe this positions us well to capture additional market share in this space. Shifting to Global Specialty, results were outstanding, with sustained underlying margins in the mid-80s and record quarterly gross written premium of $1.3 billion. Our strong competitive position, broad product portfolio, and disciplined renewal pricing drove this performance. Gross written premium in the Wholesale business grew 8%, supported by growth in Casualty, Auto, and Inland Marine. Global Reinsurance gross written premium grew 15%, driven by strong growth in both U.S. Property and Specialty Casualty lines. With a diverse product portfolio and a constructive pricing environment, we remain confident in the growth potential of Global Specialty. As for pricing, Business Insurance Renewal Pricing, excluding Workers' Compensation, is strong at 8.1% and is still comfortably above the overall loss trend.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","Pricing execution remains highly disciplined, with low double-digit increases in auto and general liability, including mid-teens increases in umbrella and excess lines. In Workers' Compensation, although pricing is modestly down from the first quarter, it remains within expectations. Across Business Insurance, focused expansion in property has driven 12% growth, with written premium of $1 billion in the quarter. In Small Business, property pricing within our package product remains strong, as we achieved 15% renewal written price increases. In general industries property, pricing is solid and above loss trends. Large property and wholesale pricing declined from the first quarter by four and eight points, respectively. However, both of these lines have adequate margins and account for less than 10% of total Business Insurance property. As we continue to grow the property book, we are maintaining a consistent catastrophe risk appetite.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","In another active CAT quarter, our CAT losses remain below our market share. Turning to Personal Insurance, results improved significantly over prior year. Homeowners had an outstanding quarter highlighted by 17% written premium growth and lowâ€“70s underlying combined ratio. Renewal written pricing of 12.7%, driven by net rate and insured value increases, continued to support healthy margins and reinforces a strong position in the market. Auto underlying results improved by 9.7 points to a midâ€“90s underlying combined ratio. We are now well-positioned to profitably grow in both auto and home. This month, we introduced our Prevail offering, inclusive of Auto, Home, and Umbrella, to the agency channel, unlocking additional opportunities with preferred market customers. We expect to be in six states by the end of the year and an additional 15â€“20 states next year.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","Agents are energized by the enhanced efficiency of Prevail and have expressed strong commitment to promoting these improved offerings as new states come online. More broadly, agents and brokers at our annual summit in May conveyed a clear eagerness to deepen their partnership with us across the enterprise. They continue to recognize our ability to deliver fast, accurate solutions as a key differentiator in the market. With our ongoing investments in AI, digital tools, and overall ease of doing business, we are well-positioned to grow alongside our distribution partners and strengthen our collaborative success. Moving on to Employee Benefits, core earnings margin of 9.2% was exceptional, driven by excellent Life and Disability results. Persistency remained strong in the low 90s, while fully insured premium growth was flat, reflecting a competitive market. Looking ahead, we are particularly excited about our recent partnership with NAIA, which brings AI-powered personalization to benefits enrollment.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Chris Swift","Chairman and CEO at The Hartford","This collaboration enhances digital capabilities and simplifies the benefits experience for employees through seamless integration with leading HR platforms. Improving benefit utilization enhances employee satisfaction and, in turn, helps employers retain their workers. This is another example of how we are advancing our innovation strategy and delivering meaningful value to both employers and their employees. In summary, second-quarter results reflect the strength of our businesses and the impact of ongoing strategic investments. It is an exciting time at The Hartford as we advance our innovation agenda. We are prioritizing practical, high-impact AI applications that augment human talent and drive productivity to better serve customers and distribution partners. Looking ahead, we are confident in our ability to capture additional market share, deliver profitable growth, and capitalize on the opportunities ahead. Now, I'll turn the call over to Beth to provide more detailed commentary on the quarter.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Beth Costello","CFO at The Hartford","Thank you, Chris. Core earnings for the quarter were $981 million, or $3.41 per diluted share, with a trailing 12-month core earnings ROE of 17%. In Business Insurance, core earnings were $697 million, with written premium growth of 8% and an underlying combined ratio of 88. Small Business continues to deliver industry-leading results, with written premium growth of 9% and an underlying combined ratio of 89. Middle and large business had another quarter of strong profitability, with an underlying combined ratio of 89.1 and written premium growth of 5%. Global Specialty second-quarter was outstanding, with an underlying combined ratio of 84.8 and written premium growth of 9%. The Business Insurance expense ratio of 30.6 improved 0.5 points from second-quarter 2024, primarily driven by the impact of higher earned premium. In Personal Insurance, core earnings for the quarter were $94 million, with an underlying combined ratio of 88.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Beth Costello","CFO at The Hartford","The auto underlying combined ratio of 95.2 improved 9.7 points from the 2024 period, and homeowners produced an excellent underlying combined ratio of 72.7, which improved 5.1 points. Written premium in Personal Insurance increased 7% in the second-quarter, in part driven by steady and successful rate actions. We achieved written pricing increases of 14% in auto and 12.7% in homeowners. Additionally, new business growth continues to be robust in homeowners at 47% over the prior year. Homeowners' policy count continued to grow, while auto decreased as expected. We continue to expect that auto policy count will pivot to growth in 2026. The Personal Insurance second-quarter expense ratio of 25.1 improved from the prior year by 1.3 points, primarily driven by the impact of higher earned premium, partially offset by a higher commission ratio due to business mix.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Beth Costello","CFO at The Hartford","With respect to catastrophes, P&C current active year losses were $212 million before tax, or 4.9 combined ratio points, primarily related to tornado, wind, and hail events largely concentrated in the South and Midwest regions. As a reminder, we have a $200 million aggregate catastrophe cover which attaches when subject losses and expenses exceed $750 million. Through June 30th, losses subject to the treaty were approximately $690 million, leaving $60 million before we reached the attachment point. The aggregate cover does not include losses from the Global Reinsurance business, which purchases its own retrocessional coverage. Total P&C net favorable prior active year development within core earnings was $163 million before tax, primarily due to reserve reductions in Workers' Compensation, catastrophes, bond, commercial property, and across Personal Insurance.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Beth Costello","CFO at The Hartford","We recorded $24 million before tax of deferred gain amortization related to the Navigators ADC, which positively impacted net income with no impact on core earnings. We expect the remaining balance of $8 million to be amortized in the third quarter. Moving to Employee Benefits, we achieved core earnings of $163 million for the quarter. The core earnings margin of 9.2% reflects excellent group life and disability performance. The group disability loss ratio of 68.5 increased 1.4 points from the prior year, driven by short-term disability and a slight increase in long-term disability incidence, partially offset by strong claim recoveries. However, long-term disability incidence rates continue to remain favorable to historical averages and to our expectations. The group life loss ratio of 74.3 for the quarter improved 0.6 points, reflecting lower mortality, primarily driven by the accidental death product.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Beth Costello","CFO at The Hartford","The Employee Benefits expense ratio of 25.7 increased 1.3 points compared with 24.4 in second-quarter 2024, primarily due to higher technology costs and higher staffing costs. Fully insured ongoing sales in the quarter of $107 million increased from $101 million in second-quarter 2024, reflecting higher group disability sales. Turning to investments, net invested income of $664 million increased from second-quarter 2024, primarily driven by a higher level of invested assets and reinvesting at higher interest rates, partially offset by a lower yield on variable-rate securities. The total annualized portfolio yield, excluding limited partnerships, was 4.6% before tax, 20 basis points above first quarter 2025. We continue to strategically manage the portfolio, balancing risk while pursuing accretive trading opportunities, and in the quarter, reinvested at 130 basis points above the sales and maturity yield.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
"HIG","2025-07-28","Beth Costello","CFO at The Hartford","Our second-quarter annualized LP returns of 1% before tax were down from first quarter. Returns have been muted due to market uncertainty stemming from a combination of interest rates and tariff policy, which has limited valuation and sale activity in our private equity and real estate portfolios. However, with stronger public equity performance in the second-quarter, we expect limited partnership returns to improve in the second half of the year, with full-year 2025 returns modestly exceeding 2024. Turning to capital management, holding company resources totaled $1.3 billion at quarter end. During the quarter, we repurchased 3.2 million shares under our share repurchase program for $400 million, and we expect to remain at that level of repurchases in the third quarter. As of June 30th, we had $2.35 billion remaining on our share repurchase authorization through December 31st, 2026.","https://www.marketbeat.com/earnings/reports/2025-7-28-the-hartford-financial-services-group-inc-stock/"
